EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CASTELDELCI (STAID: 17573).
Blended and updated with sources: 194736 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194736,20051201,-9999,    9
194736,20051202,-9999,    9
194736,20051203,-9999,    9
194736,20051204,-9999,    9
194736,20051205,-9999,    9
194736,20051206,-9999,    9
194736,20051207,-9999,    9
194736,20051208,-9999,    9
194736,20051209,-9999,    9
194736,20051210,-9999,    9
194736,20051211,-9999,    9
194736,20051212,-9999,    9
194736,20051213,-9999,    9
194736,20051214,-9999,    9
194736,20051215,-9999,    9
194736,20051216,-9999,    9
194736,20051217,-9999,    9
194736,20051218,-9999,    9
194736,20051219,-9999,    9
194736,20051220,-9999,    9
194736,20051221,-9999,    9
194736,20051222,-9999,    9
194736,20051223,-9999,    9
194736,20051224,-9999,    9
194736,20051225,-9999,    9
194736,20051226,-9999,    9
194736,20051227,-9999,    9
194736,20051228,-9999,    9
194736,20051229,-9999,    9
194736,20051230,-9999,    9
194736,20051231,   35,    0
194736,20060101,   35,    0
194736,20060102,   14,    0
194736,20060103,   12,    0
194736,20060104,    7,    0
194736,20060105,    1,    0
194736,20060106,    3,    0
194736,20060107,   11,    0
194736,20060108,    5,    0
194736,20060109,  -13,    0
194736,20060110,  -16,    0
194736,20060111,    2,    0
194736,20060112,   11,    0
194736,20060113,    0,    0
194736,20060114,  -13,    0
194736,20060115,  -13,    0
194736,20060116,  -15,    0
194736,20060117,   30,    0
194736,20060118,   50,    0
194736,20060119,   39,    0
194736,20060120,   57,    0
194736,20060121,   41,    0
194736,20060122,   10,    0
194736,20060123,  -40,    0
194736,20060124,  -57,    0
194736,20060125,  -50,    0
194736,20060126,    2,    0
194736,20060127,   35,    0
194736,20060128,   51,    0
194736,20060129,   47,    0
194736,20060130,   50,    0
194736,20060131,   52,    0
194736,20060201,   67,    0
194736,20060202,   95,    0
194736,20060203,   71,    0
194736,20060204,   45,    0
194736,20060205,  -13,    0
194736,20060206,  -32,    0
194736,20060207,   -4,    0
194736,20060208,   19,    0
194736,20060209,   44,    0
194736,20060210,   17,    0
194736,20060211,   11,    0
194736,20060212,    9,    0
194736,20060213,    8,    0
194736,20060214,   27,    0
194736,20060215,   44,    0
194736,20060216,   79,    0
194736,20060217,   83,    0
194736,20060218,   74,    0
194736,20060219,   80,    0
194736,20060220,   54,    0
194736,20060221,   42,    0
194736,20060222,   47,    0
194736,20060223,   34,    0
194736,20060224,    6,    0
194736,20060225,   10,    0
194736,20060226,   29,    0
194736,20060227,   19,    0
194736,20060228,   -4,    0
194736,20060301,   11,    0
194736,20060302,    9,    0
194736,20060303,   56,    0
194736,20060304,   85,    0
194736,20060305,   72,    0
194736,20060306,    0,    0
194736,20060307,    5,    0
194736,20060308,   26,    0
194736,20060309,   59,    0
194736,20060310,   69,    0
194736,20060311,   25,    0
194736,20060312,    6,    0
194736,20060313,   -3,    0
194736,20060314,   11,    0
194736,20060315,   29,    0
194736,20060316,   20,    0
194736,20060317,   22,    0
194736,20060318,   22,    0
194736,20060319,   29,    0
194736,20060320,   59,    0
194736,20060321,   85,    0
194736,20060322,   58,    0
194736,20060323,   60,    0
194736,20060324,   67,    0
194736,20060325,   78,    0
194736,20060326,  112,    0
194736,20060327,  118,    0
194736,20060328,  114,    0
194736,20060329,   98,    0
194736,20060330,  106,    0
194736,20060331,  123,    0
194736,20060401,  128,    0
194736,20060402,  111,    0
194736,20060403,  112,    0
194736,20060404,  100,    0
194736,20060405,  107,    0
194736,20060406,   81,    0
194736,20060407,   41,    0
194736,20060408,   83,    0
194736,20060409,  122,    0
194736,20060410,  127,    0
194736,20060411,   69,    0
194736,20060412,   63,    0
194736,20060413,   84,    0
194736,20060414,  124,    0
194736,20060415,  126,    0
194736,20060416,  116,    0
194736,20060417,  128,    0
194736,20060418,   88,    0
194736,20060419,   94,    0
194736,20060420,  120,    0
194736,20060421,  135,    0
194736,20060422,  153,    0
194736,20060423,  161,    0
194736,20060424,  166,    0
194736,20060425,  154,    0
194736,20060426,  134,    0
194736,20060427,  103,    0
194736,20060428,  104,    0
194736,20060429,  114,    0
194736,20060430,   87,    0
194736,20060501,  107,    0
194736,20060502,  121,    0
194736,20060503,  126,    0
194736,20060504,  130,    0
194736,20060505,  116,    0
194736,20060506,  133,    0
194736,20060507,  137,    0
194736,20060508,  135,    0
194736,20060509,  104,    0
194736,20060510,  104,    0
194736,20060511,  118,    0
194736,20060512,  156,    0
194736,20060513,  160,    0
194736,20060514,  121,    0
194736,20060515,  156,    0
194736,20060516,  189,    0
194736,20060517,  187,    0
194736,20060518,  205,    0
194736,20060519,  191,    0
194736,20060520,  165,    0
194736,20060521,  172,    0
194736,20060522,  207,    0
194736,20060523,  189,    0
194736,20060524,  142,    0
194736,20060525,  153,    0
194736,20060526,  179,    0
194736,20060527,  205,    0
194736,20060528,  209,    0
194736,20060529,  185,    0
194736,20060530,  100,    0
194736,20060531,  100,    0
194736,20060601,   93,    0
194736,20060602,   82,    0
194736,20060603,   93,    0
194736,20060604,  144,    0
194736,20060605,  149,    0
194736,20060606,  116,    0
194736,20060607,  112,    0
194736,20060608,  129,    0
194736,20060609,  130,    0
194736,20060610,  164,    0
194736,20060611,  129,    0
194736,20060612,  145,    0
194736,20060613,  190,    0
194736,20060614,  213,    0
194736,20060615,  216,    0
194736,20060616,  209,    0
194736,20060617,  230,    0
194736,20060618,  231,    0
194736,20060619,  233,    0
194736,20060620,  255,    0
194736,20060621,  252,    0
194736,20060622,  243,    0
194736,20060623,  246,    0
194736,20060624,  243,    0
194736,20060625,  266,    0
194736,20060626,  265,    0
194736,20060627,  265,    0
194736,20060628,  272,    0
194736,20060629,  252,    0
194736,20060630,  231,    0
194736,20060701,  229,    0
194736,20060702,  203,    0
194736,20060703,  197,    0
194736,20060704,  189,    0
194736,20060705,  210,    0
194736,20060706,  232,    0
194736,20060707,  175,    0
194736,20060708,  181,    0
194736,20060709,  215,    0
194736,20060710,  227,    0
194736,20060711,  233,    0
194736,20060712,  231,    0
194736,20060713,  230,    0
194736,20060714,  227,    0
194736,20060715,  227,    0
194736,20060716,  200,    0
194736,20060717,  193,    0
194736,20060718,  198,    0
194736,20060719,  230,    0
194736,20060720,  262,    0
194736,20060721,  277,    0
194736,20060722,  278,    0
194736,20060723,  269,    0
194736,20060724,  254,    0
194736,20060725,  256,    0
194736,20060726,  256,    0
194736,20060727,  242,    0
194736,20060728,  266,    0
194736,20060729,  235,    0
194736,20060730,  231,    0
194736,20060731,  258,    0
194736,20060801,  253,    0
194736,20060802,  218,    0
194736,20060803,  203,    0
194736,20060804,  174,    0
194736,20060805,  180,    0
194736,20060806,  200,    0
194736,20060807,  213,    0
194736,20060808,  193,    0
194736,20060809,  174,    0
194736,20060810,  179,    0
194736,20060811,  172,    0
194736,20060812,  156,    0
194736,20060813,  172,    0
194736,20060814,  172,    0
194736,20060815,  199,    0
194736,20060816,  218,    0
194736,20060817,  226,    0
194736,20060818,  229,    0
194736,20060819,  230,    0
194736,20060820,  234,    0
194736,20060821,  205,    0
194736,20060822,  211,    0
194736,20060823,  216,    0
194736,20060824,  210,    0
194736,20060825,  188,    0
194736,20060826,  164,    0
194736,20060827,  165,    0
194736,20060828,  196,    0
194736,20060829,  187,    0
194736,20060830,  143,    0
194736,20060831,  175,    0
194736,20060901,  191,    0
194736,20060902,  200,    0
194736,20060903,  215,    0
194736,20060904,  237,    0
194736,20060905,  244,    0
194736,20060906,  244,    0
194736,20060907,  250,    0
194736,20060908,  219,    0
194736,20060909,  163,    0
194736,20060910,  167,    0
194736,20060911,  179,    0
194736,20060912,  178,    0
194736,20060913,  188,    0
194736,20060914,  187,    0
194736,20060915,  186,    0
194736,20060916,  154,    0
194736,20060917,  140,    0
194736,20060918,  157,    0
194736,20060919,  174,    0
194736,20060920,  183,    0
194736,20060921,  183,    0
194736,20060922,  186,    0
194736,20060923,  159,    0
194736,20060924,  163,    0
194736,20060925,  151,    0
194736,20060926,  150,    0
194736,20060927,  161,    0
194736,20060928,  161,    0
194736,20060929,  177,    0
194736,20060930,  174,    0
194736,20061001,  180,    0
194736,20061002,  182,    0
194736,20061003,  185,    0
194736,20061004,  167,    0
194736,20061005,  138,    0
194736,20061006,  129,    0
194736,20061007,  123,    0
194736,20061008,  120,    0
194736,20061009,  128,    0
194736,20061010,  130,    0
194736,20061011,  138,    0
194736,20061012,  138,    0
194736,20061013,  133,    0
194736,20061014,  128,    0
194736,20061015,  110,    0
194736,20061016,  102,    0
194736,20061017,   92,    0
194736,20061018,  101,    0
194736,20061019,  113,    0
194736,20061020,  131,    0
194736,20061021,  133,    0
194736,20061022,  136,    0
194736,20061023,  162,    0
194736,20061024,  173,    0
194736,20061025,  161,    0
194736,20061026,  163,    0
194736,20061027,  180,    0
194736,20061028,  159,    0
194736,20061029,  175,    0
194736,20061030,  133,    0
194736,20061031,  127,    0
194736,20061101,  130,    0
194736,20061102,   51,    0
194736,20061103,   40,    0
194736,20061104,   47,    0
194736,20061105,   76,    0
194736,20061106,  104,    0
194736,20061107,  118,    0
194736,20061108,  108,    0
194736,20061109,  120,    0
194736,20061110,   92,    0
194736,20061111,   82,    0
194736,20061112,  106,    0
194736,20061113,   97,    0
194736,20061114,  113,    0
194736,20061115,  108,    0
194736,20061116,  119,    0
194736,20061117,  125,    0
194736,20061118,  123,    0
194736,20061119,  112,    0
