EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CASTELFRANCO_EMILIA (STAID: 17574).
Blended and updated with sources: 194048 194752 195968 197232 916128 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
916128,20051201,-9999,    9
916128,20051202,-9999,    9
916128,20051203,-9999,    9
916128,20051204,-9999,    9
916128,20051205,-9999,    9
916128,20051206,-9999,    9
916128,20051207,-9999,    9
916128,20051208,-9999,    9
916128,20051209,-9999,    9
916128,20051210,-9999,    9
916128,20051211,-9999,    9
916128,20051212,-9999,    9
916128,20051213,-9999,    9
916128,20051214,-9999,    9
916128,20051215,-9999,    9
916128,20051216,-9999,    9
916128,20051217,-9999,    9
916128,20051218,-9999,    9
916128,20051219,-9999,    9
916128,20051220,-9999,    9
916128,20051221,-9999,    9
916128,20051222,-9999,    9
916128,20051223,-9999,    9
916128,20051224,-9999,    9
916128,20051225,-9999,    9
916128,20051226,-9999,    9
916128,20051227,-9999,    9
916128,20051228,-9999,    9
916128,20051229,-9999,    9
916128,20051230,-9999,    9
194752,20051231,  -12,    0
194752,20060101,   -3,    0
194752,20060102,   11,    0
194752,20060103,   28,    0
194752,20060104,   19,    0
194752,20060105,   26,    0
194752,20060106,   28,    0
194752,20060107,   21,    0
194752,20060108,   13,    0
194752,20060109,    4,    0
194752,20060110,   -1,    0
194752,20060111,   -3,    0
194752,20060112,   -5,    0
194752,20060113,   -7,    0
194752,20060114,  -22,    0
194752,20060115,  -18,    0
194752,20060116,   -1,    0
194752,20060117,   -2,    0
194752,20060118,    3,    0
194752,20060119,  -29,    0
194752,20060120,  -34,    0
194752,20060121,   -7,    0
194752,20060122,   10,    0
194752,20060123,   -4,    0
194752,20060124,  -32,    0
194752,20060125,  -35,    0
194752,20060126,  -35,    0
194752,20060127,   -3,    0
194752,20060128,   14,    0
194752,20060129,   27,    0
194752,20060130,   43,    0
194752,20060131,   54,    0
194752,20060201,   33,    0
194752,20060202,   33,    0
194752,20060203,   33,    0
194752,20060204,   25,    0
194752,20060205,   11,    0
194752,20060206,  -14,    0
194752,20060207,  -19,    0
194752,20060208,    8,    0
194752,20060209,   13,    0
194752,20060210,   18,    0
194752,20060211,   18,    0
194752,20060212,    0,    0
194752,20060213,   -2,    0
194752,20060214,   10,    0
194752,20060215,   26,    0
194752,20060216,   24,    0
194752,20060217,   61,    0
194752,20060218,   56,    0
194752,20060219,   65,    0
194752,20060220,   63,    0
194752,20060221,   53,    0
194752,20060222,   67,    0
194752,20060223,   69,    0
194752,20060224,   46,    0
194752,20060225,   44,    0
194752,20060226,   55,    0
194752,20060227,   35,    0
194752,20060228,   24,    0
194752,20060301,   36,    0
194752,20060302,   26,    0
194752,20060303,   30,    0
194752,20060304,   84,    0
194752,20060305,  107,    0
194752,20060306,   48,    0
194752,20060307,   37,    0
194752,20060308,   39,    0
194752,20060309,   64,    0
194752,20060310,   72,    0
194752,20060311,   54,    0
194752,20060312,    7,    0
194752,20060313,   44,    0
194752,20060314,   36,    0
194752,20060315,   51,    0
194752,20060316,   44,    0
194752,20060317,   61,    0
194752,20060318,   41,    0
194752,20060319,   50,    0
194752,20060320,   68,    0
194752,20060321,   72,    0
194752,20060322,   84,    0
194752,20060323,  104,    0
194752,20060324,   75,    0
194752,20060325,   97,    0
194752,20060326,  115,    0
194752,20060327,  132,    0
194752,20060328,  139,    0
194752,20060329,  140,    0
194752,20060330,  110,    0
194752,20060331,  132,    0
194752,20060401,  125,    0
194752,20060402,  132,    0
194752,20060403,  119,    0
194752,20060404,  103,    0
194752,20060405,  109,    0
194752,20060406,   78,    0
194752,20060407,   71,    0
194752,20060408,   91,    0
194752,20060409,  113,    0
194752,20060410,  111,    0
194752,20060411,   80,    0
194752,20060412,   90,    0
194752,20060413,  105,    0
194752,20060414,  130,    0
194752,20060415,  127,    0
194752,20060416,  145,    0
194752,20060417,  128,    0
194752,20060418,  135,    0
194752,20060419,  138,    0
194752,20060420,  138,    0
194752,20060421,  147,    0
194752,20060422,  164,    0
194752,20060423,  166,    0
194752,20060424,  162,    0
194752,20060425,  160,    0
194752,20060426,  169,    0
194752,20060427,  142,    0
194752,20060428,  148,    0
194752,20060429,  150,    0
194752,20060430,  111,    0
194752,20060501,  134,    0
194752,20060502,  142,    0
194752,20060503,  141,    0
194752,20060504,  149,    0
194752,20060505,  146,    0
194752,20060506,  158,    0
194752,20060507,  168,    0
