EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CASTEL_SAN_PIETRO (STAID: 17580).
Blended and updated with sources: 194808 195528 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194808,20051201,-9999,    9
194808,20051202,-9999,    9
194808,20051203,-9999,    9
194808,20051204,-9999,    9
194808,20051205,-9999,    9
194808,20051206,-9999,    9
194808,20051207,-9999,    9
194808,20051208,-9999,    9
194808,20051209,-9999,    9
194808,20051210,-9999,    9
194808,20051211,-9999,    9
194808,20051212,-9999,    9
194808,20051213,-9999,    9
194808,20051214,-9999,    9
194808,20051215,-9999,    9
194808,20051216,-9999,    9
194808,20051217,-9999,    9
194808,20051218,-9999,    9
194808,20051219,-9999,    9
194808,20051220,-9999,    9
194808,20051221,-9999,    9
194808,20051222,-9999,    9
194808,20051223,-9999,    9
194808,20051224,-9999,    9
194808,20051225,-9999,    9
194808,20051226,-9999,    9
194808,20051227,-9999,    9
194808,20051228,-9999,    9
194808,20051229,-9999,    9
194808,20051230,-9999,    9
194808,20051231,  -12,    0
194808,20060101,   -2,    0
194808,20060102,   25,    0
194808,20060103,   48,    0
194808,20060104,   31,    0
194808,20060105,   25,    0
194808,20060106,   31,    0
194808,20060107,   37,    0
194808,20060108,   33,    0
194808,20060109,   11,    0
194808,20060110,   17,    0
194808,20060111,   17,    0
194808,20060112,   10,    0
194808,20060113,    6,    0
194808,20060114,   -8,    0
194808,20060115,   -5,    0
194808,20060116,    3,    0
194808,20060117,   -3,    0
194808,20060118,    5,    0
194808,20060119,  -24,    0
194808,20060120,  -28,    0
194808,20060121,   -6,    0
194808,20060122,   22,    0
194808,20060123,    7,    0
194808,20060124,  -22,    0
194808,20060125,  -20,    0
194808,20060126,  -21,    0
194808,20060127,    1,    0
194808,20060128,   34,    0
194808,20060129,   45,    0
194808,20060130,   53,    0
194808,20060131,   64,    0
194808,20060201,   54,    0
194808,20060202,   56,    0
194808,20060203,   54,    0
194808,20060204,   41,    0
194808,20060205,   18,    0
194808,20060206,   -6,    0
194808,20060207,   -2,    0
194808,20060208,   16,    0
194808,20060209,   24,    0
194808,20060210,   29,    0
194808,20060211,   39,    0
194808,20060212,   21,    0
194808,20060213,   17,    0
194808,20060214,   25,    0
194808,20060215,   44,    0
194808,20060216,   32,    0
194808,20060217,   78,    0
194808,20060218,  118,    0
194808,20060219,   68,    0
194808,20060220,   84,    0
194808,20060221,   57,    0
194808,20060222,   67,    0
194808,20060223,   69,    0
194808,20060224,   48,    0
194808,20060225,   45,    0
194808,20060226,   57,    0
194808,20060227,   39,    0
194808,20060228,   24,    0
194808,20060301,   35,    0
194808,20060302,   31,    0
194808,20060303,   68,    0
194808,20060304,  143,    0
194808,20060305,  114,    0
194808,20060306,   44,    0
194808,20060307,   42,    0
194808,20060308,   51,    0
194808,20060309,   69,    0
194808,20060310,   70,    0
194808,20060311,   52,    0
194808,20060312,   27,    0
194808,20060313,   40,    0
194808,20060314,   35,    0
194808,20060315,   48,    0
194808,20060316,   39,    0
194808,20060317,   61,    0
194808,20060318,   47,    0
194808,20060319,   54,    0
194808,20060320,   68,    0
194808,20060321,   72,    0
194808,20060322,   80,    0
194808,20060323,  100,    0
194808,20060324,   82,    0
194808,20060325,   99,    0
194808,20060326,  130,    0
194808,20060327,  141,    0
194808,20060328,  149,    0
194808,20060329,  148,    0
194808,20060330,  143,    0
194808,20060331,  151,    0
194808,20060401,  137,    0
194808,20060402,  140,    0
194808,20060403,  116,    0
194808,20060404,  109,    0
194808,20060405,  135,    0
194808,20060406,   84,    0
194808,20060407,   78,    0
194808,20060408,   99,    0
194808,20060409,  126,    0
194808,20060410,  141,    0
194808,20060411,   97,    0
194808,20060412,  107,    0
194808,20060413,  120,    0
194808,20060414,  165,    0
194808,20060415,  152,    0
194808,20060416,  162,    0
194808,20060417,  140,    0
194808,20060418,  133,    0
194808,20060419,  140,    0
194808,20060420,  153,    0
194808,20060421,  160,    0
194808,20060422,  181,    0
194808,20060423,  186,    0
194808,20060424,  171,    0
194808,20060425,  173,    0
194808,20060426,  175,    0
194808,20060427,  143,    0
194808,20060428,  139,    0
194808,20060429,  148,    0
194808,20060430,  111,    0
194808,20060501,  128,    0
194808,20060502,  138,    0
194808,20060503,  144,    0
194808,20060504,  153,    0
194808,20060505,  151,    0
194808,20060506,  167,    0
194808,20060507,  169,    0
194808,20060508,  156,    0
194808,20060509,  131,    0
194808,20060510,  150,    0
194808,20060511,  162,    0
194808,20060512,  185,    0
194808,20060513,  196,    0
194808,20060514,  157,    0
194808,20060515,  176,    0
194808,20060516,  211,    0
194808,20060517,  217,    0
194808,20060518,  223,    0
194808,20060519,  233,    0
194808,20060520,  209,    0
194808,20060521,  221,    0
194808,20060522,  230,    0
194808,20060523,  213,    0
194808,20060524,  165,    0
194808,20060525,  163,    0
194808,20060526,  193,    0
194808,20060527,  220,    0
194808,20060528,  229,    0
194808,20060529,  186,    0
194808,20060530,  117,    0
194808,20060531,  131,    0
194808,20060601,  147,    0
194808,20060602,  134,    0
194808,20060603,  146,    0
194808,20060604,  186,    0
194808,20060605,  181,    0
194808,20060606,  153,    0
194808,20060607,  159,    0
194808,20060608,  166,    0
194808,20060609,  168,    0
194808,20060610,  201,    0
194808,20060611,  181,    0
194808,20060612,  184,    0
194808,20060613,  220,    0
194808,20060614,  239,    0
194808,20060615,  250,    0
194808,20060616,  239,    0
194808,20060617,  247,    0
194808,20060618,  258,    0
194808,20060619,  253,    0
194808,20060620,  262,    0
194808,20060621,  257,    0
194808,20060622,  272,    0
194808,20060623,  266,    0
194808,20060624,  256,    0
194808,20060625,  260,    0
194808,20060626,  278,    0
194808,20060627,  278,    0
194808,20060628,  271,    0
194808,20060629,  260,    0
194808,20060630,  267,    0
194808,20060701,  256,    0
194808,20060702,  243,    0
194808,20060703,  240,    0
194808,20060704,  234,    0
194808,20060705,  238,    0
194808,20060706,  233,    0
194808,20060707,  204,    0
194808,20060708,  227,    0
194808,20060709,  250,    0
194808,20060710,  261,    0
194808,20060711,  267,    0
194808,20060712,  270,    0
194808,20060713,  261,    0
194808,20060714,  264,    0
194808,20060715,  258,    0
194808,20060716,  235,    0
194808,20060717,  237,    0
194808,20060718,  237,    0
194808,20060719,  258,    0
194808,20060720,  280,    0
194808,20060721,  290,    0
194808,20060722,  293,    0
194808,20060723,  294,    0
194808,20060724,  290,    0
194808,20060725,  284,    0
194808,20060726,  284,    0
194808,20060727,  284,    0
194808,20060728,  280,    0
194808,20060729,  248,    0
194808,20060730,  268,    0
194808,20060731,  282,    0
194808,20060801,  257,    0
194808,20060802,  221,    0
194808,20060803,  226,    0
194808,20060804,  203,    0
194808,20060805,  209,    0
194808,20060806,  229,    0
194808,20060807,  249,    0
194808,20060808,  231,    0
194808,20060809,  210,    0
194808,20060810,  215,    0
194808,20060811,  192,    0
194808,20060812,  167,    0
194808,20060813,  180,    0
194808,20060814,  190,    0
194808,20060815,  217,    0
194808,20060816,  228,    0
194808,20060817,  249,    0
194808,20060818,  264,    0
194808,20060819,  223,    0
194808,20060820,  239,    0
194808,20060821,  224,    0
194808,20060822,  228,    0
194808,20060823,  226,    0
194808,20060824,  238,    0
194808,20060825,  230,    0
194808,20060826,  218,    0
194808,20060827,  203,    0
194808,20060828,  222,    0
194808,20060829,  224,    0
194808,20060830,  186,    0
194808,20060831,  196,    0
194808,20060901,  208,    0
194808,20060902,  221,    0
194808,20060903,  238,    0
194808,20060904,  260,    0
194808,20060905,  258,    0
194808,20060906,  254,    0
194808,20060907,  251,    0
194808,20060908,  223,    0
194808,20060909,  200,    0
194808,20060910,  190,    0
194808,20060911,  194,    0
194808,20060912,  198,    0
194808,20060913,  201,    0
194808,20060914,  198,    0
194808,20060915,  221,    0
194808,20060916,  179,    0
194808,20060917,  172,    0
194808,20060918,  197,    0
194808,20060919,  203,    0
194808,20060920,  204,    0
194808,20060921,  199,    0
194808,20060922,  205,    0
194808,20060923,  188,    0
194808,20060924,  181,    0
194808,20060925,  172,    0
194808,20060926,  188,    0
194808,20060927,  191,    0
194808,20060928,  188,    0
194808,20060929,  195,    0
194808,20060930,  204,    0
194808,20061001,  221,    0
194808,20061002,  226,    0
194808,20061003,  236,    0
194808,20061004,  211,    0
194808,20061005,  163,    0
194808,20061006,  154,    0
194808,20061007,  142,    0
194808,20061008,  151,    0
194808,20061009,  150,    0
194808,20061010,  154,    0
194808,20061011,  152,    0
194808,20061012,  150,    0
194808,20061013,  160,    0
194808,20061014,  148,    0
194808,20061015,  135,    0
194808,20061016,  134,    0
194808,20061017,  115,    0
194808,20061018,  113,    0
194808,20061019,  134,    0
194808,20061020,  134,    0
194808,20061021,  138,    0
194808,20061022,  149,    0
194808,20061023,  179,    0
194808,20061024,  217,    0
194808,20061025,  170,    0
194808,20061026,  161,    0
194808,20061027,  162,    0
194808,20061028,  145,    0
194808,20061029,  157,    0
194808,20061030,  145,    0
194808,20061031,  126,    0
194808,20061101,  147,    0
194808,20061102,   96,    0
194808,20061103,   60,    0
194808,20061104,   58,    0
194808,20061105,   73,    0
194808,20061106,   98,    0
194808,20061107,   94,    0
194808,20061108,  116,    0
194808,20061109,  120,    0
194808,20061110,   97,    0
194808,20061111,   74,    0
194808,20061112,   84,    0
194808,20061113,   79,    0
194808,20061114,   89,    0
194808,20061115,  103,    0
194808,20061116,   99,    0
194808,20061117,   81,    0
194808,20061118,  111,    0
194808,20061119,  102,    0
194808,20061120,   99,    0
194808,20061121,   99,    0
194808,20061122,   94,    0
194808,20061123,   82,    0
194808,20061124,   92,    0
194808,20061125,   89,    0
194808,20061126,   98,    0
194808,20061127,   95,    0
194808,20061128,  105,    0
194808,20061129,  106,    0
194808,20061130,   93,    0
194808,20061201,   80,    0
194808,20061202,   49,    0
194808,20061203,   69,    0
194808,20061204,   73,    0
194808,20061205,   87,    0
194808,20061206,   98,    0
194808,20061207,  104,    0
194808,20061208,  124,    0
194808,20061209,  123,    0
194808,20061210,   83,    0
194808,20061211,   53,    0
194808,20061212,   45,    0
194808,20061213,   41,    0
194808,20061214,   39,    0
194808,20061215,   49,    0
194808,20061216,   54,    0
194808,20061217,   62,    0
194808,20061218,   67,    0
194808,20061219,   49,    0
194808,20061220,   35,    0
194808,20061221,   38,    0
194808,20061222,   43,    0
194808,20061223,   23,    0
194808,20061224,   36,    0
194808,20061225,   36,    0
194808,20061226,   26,    0
194808,20061227,    1,    0
194808,20061228,  -16,    0
194808,20061229,    2,    0
194808,20061230,    8,    0
194808,20061231,   42,    0
194808,20070101,   43,    0
194808,20070102,   65,    0
194808,20070103,   80,    0
194808,20070104,   41,    0
194808,20070105,   50,    0
194808,20070106,   40,    0
194808,20070107,   45,    0
194808,20070108,   57,    0
194808,20070109,   62,    0
194808,20070110,   51,    0
194808,20070111,   45,    0
194808,20070112,   69,    0
194808,20070113,   38,    0
194808,20070114,   42,    0
194808,20070115,   56,    0
194808,20070116,   46,    0
194808,20070117,   60,    0
194808,20070118,   56,    0
194808,20070119,   84,    0
194808,20070120,   54,    0
194808,20070121,   61,    0
194808,20070122,   69,    0
194808,20070123,  117,    0
194808,20070124,   64,    0
194808,20070125,   50,    0
194808,20070126,   22,    0
194808,20070127,   35,    0
194808,20070128,   51,    0
194808,20070129,   60,    0
194808,20070130,   37,    0
194808,20070131,   32,    0
194808,20070201,   12,    0
194808,20070202,   37,    0
194808,20070203,   49,    0
194808,20070204,   39,    0
194808,20070205,   44,    0
194808,20070206,   53,    0
194808,20070207,   52,    0
194808,20070208,   60,    0
194808,20070209,   72,    0
194808,20070210,   82,    0
194808,20070211,   86,    0
194808,20070212,   53,    0
194808,20070213,  105,    0
194808,20070214,   80,    0
194808,20070215,   76,    0
194808,20070216,   62,    0
194808,20070217,   51,    0
194808,20070218,   57,    0
194808,20070219,   67,    0
194808,20070220,   78,    0
194808,20070221,  100,    0
194808,20070222,  102,    0
194808,20070223,   87,    0
194808,20070224,   98,    0
194808,20070225,   91,    0
194808,20070226,   91,    0
194808,20070227,  100,    0
194808,20070228,  105,    0
194808,20070301,  107,    0
194808,20070302,  153,    0
194808,20070303,  128,    0
194808,20070304,  125,    0
194808,20070305,   97,    0
194808,20070306,  117,    0
194808,20070307,  111,    0
194808,20070308,  105,    0
194808,20070309,  106,    0
194808,20070310,   92,    0
194808,20070311,   78,    0
194808,20070312,   86,    0
194808,20070313,  112,    0
194808,20070314,  122,    0
194808,20070315,  124,    0
194808,20070316,  117,    0
194808,20070317,  144,    0
194808,20070318,  147,    0
194808,20070319,  120,    0
194808,20070320,   44,    0
194808,20070321,   64,    0
194808,20070322,   59,    0
194808,20070323,   66,    0
194808,20070324,   84,    0
194808,20070325,   73,    0
194808,20070326,   73,    0
194808,20070327,   85,    0
194808,20070328,   80,    0
194808,20070329,   79,    0
194808,20070330,   79,    0
194808,20070331,   95,    0
194808,20070401,  109,    0
194808,20070402,  118,    0
194808,20070403,  122,    0
194808,20070404,  108,    0
194808,20070405,  107,    0
194808,20070406,  123,    0
194808,20070407,  139,    0
194808,20070408,  140,    0
194808,20070409,  156,    0
194808,20070410,  162,    0
194808,20070411,  159,    0
194808,20070412,  157,    0
194808,20070413,  147,    0
194808,20070414,  149,    0
194808,20070415,  164,    0
194808,20070416,  158,    0
194808,20070417,  154,    0
194808,20070418,  174,    0
194808,20070419,  142,    0
194808,20070420,  156,    0
194808,20070421,  159,    0
194808,20070422,  165,    0
194808,20070423,  195,    0
194808,20070424,  208,    0
194808,20070425,  182,    0
194808,20070426,  170,    0
194808,20070427,  166,    0
194808,20070428,  181,    0
194808,20070429,  200,    0
194808,20070430,  172,    0
194808,20070501,  168,    0
194808,20070502,  145,    0
194808,20070503,  144,    0
194808,20070504,  152,    0
194808,20070505,  148,    0
194808,20070506,  153,    0
194808,20070507,  187,    0
194808,20070508,  220,    0
194808,20070509,  234,    0
194808,20070510,  215,    0
194808,20070511,  219,    0
194808,20070512,  222,    0
194808,20070513,  231,    0
194808,20070514,  241,    0
194808,20070515,  193,    0
194808,20070516,  171,    0
194808,20070517,  180,    0
194808,20070518,  175,    0
194808,20070519,  177,    0
194808,20070520,  198,    0
194808,20070521,  223,    0
194808,20070522,  250,    0
194808,20070523,  250,    0
194808,20070524,  243,    0
194808,20070525,  250,    0
194808,20070526,  241,    0
194808,20070527,  213,    0
194808,20070528,  164,    0
194808,20070529,  144,    0
194808,20070530,  181,    0
194808,20070531,  187,    0
194808,20070601,  175,    0
194808,20070602,  151,    0
194808,20070603,  188,    0
194808,20070604,  197,    0
194808,20070605,  197,    0
194808,20070606,  179,    0
194808,20070607,  184,    0
194808,20070608,  206,    0
194808,20070609,  232,    0
194808,20070610,  244,    0
194808,20070611,  241,    0
194808,20070612,  202,    0
194808,20070613,  227,    0
194808,20070614,  248,    0
194808,20070615,  248,    0
194808,20070616,  241,    0
194808,20070617,  246,    0
194808,20070618,  256,    0
194808,20070619,  262,    0
194808,20070620,  256,    0
194808,20070621,  267,    0
194808,20070622,  261,    0
194808,20070623,  257,    0
194808,20070624,  245,    0
194808,20070625,  266,    0
194808,20070626,  241,    0
194808,20070627,  223,    0
194808,20070628,  214,    0
194808,20070629,  237,    0
194808,20070630,  237,    0
194808,20070701,  253,    0
194808,20070702,  253,    0
194808,20070703,  247,    0
194808,20070704,  227,    0
194808,20070705,  212,    0
194808,20070706,  250,    0
194808,20070707,  267,    0
194808,20070708,  265,    0
194808,20070709,  271,    0
194808,20070710,  226,    0
194808,20070711,  192,    0
194808,20070712,  224,    0
194808,20070713,  240,    0
194808,20070714,  261,    0
194808,20070715,  271,    0
194808,20070716,  290,    0
194808,20070717,  297,    0
194808,20070718,  297,    0
194808,20070719,  297,    0
194808,20070720,  309,    0
194808,20070721,  309,    0
194808,20070722,  292,    0
194808,20070723,  292,    0
194808,20070724,  271,    0
194808,20070725,  249,    0
194808,20070726,  258,    0
194808,20070727,  286,    0
194808,20070728,  291,    0
194808,20070729,  270,    0
194808,20070730,  261,    0
194808,20070731,  203,    0
194808,20070801,  214,    0
194808,20070802,  237,    0
194808,20070803,  222,    0
194808,20070804,  216,    0
194808,20070805,  243,    0
194808,20070806,  241,    0
