EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CAVRIAGO (STAID: 17584).
Blended and updated with sources: 194856 198104 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194856,20051201,-9999,    9
194856,20051202,-9999,    9
194856,20051203,-9999,    9
194856,20051204,-9999,    9
194856,20051205,-9999,    9
194856,20051206,-9999,    9
194856,20051207,-9999,    9
194856,20051208,-9999,    9
194856,20051209,-9999,    9
194856,20051210,-9999,    9
194856,20051211,-9999,    9
194856,20051212,-9999,    9
194856,20051213,-9999,    9
194856,20051214,-9999,    9
194856,20051215,-9999,    9
194856,20051216,-9999,    9
194856,20051217,-9999,    9
194856,20051218,-9999,    9
194856,20051219,-9999,    9
194856,20051220,-9999,    9
194856,20051221,-9999,    9
194856,20051222,-9999,    9
194856,20051223,-9999,    9
194856,20051224,-9999,    9
194856,20051225,-9999,    9
194856,20051226,-9999,    9
194856,20051227,-9999,    9
194856,20051228,-9999,    9
194856,20051229,-9999,    9
194856,20051230,-9999,    9
194856,20051231,  -11,    0
194856,20060101,   -5,    0
194856,20060102,    6,    0
194856,20060103,   22,    0
194856,20060104,    6,    0
194856,20060105,   23,    0
194856,20060106,   24,    0
194856,20060107,   14,    0
194856,20060108,    6,    0
194856,20060109,    1,    0
194856,20060110,   -3,    0
194856,20060111,    4,    0
194856,20060112,   -1,    0
194856,20060113,   -7,    0
194856,20060114,  -14,    0
194856,20060115,  -22,    0
194856,20060116,   -6,    0
194856,20060117,   -3,    0
194856,20060118,    0,    0
194856,20060119,  -22,    0
194856,20060120,  -27,    0
194856,20060121,   -4,    0
194856,20060122,   10,    0
194856,20060123,   -9,    0
194856,20060124,  -30,    0
194856,20060125,  -37,    0
194856,20060126,  -34,    0
194856,20060127,  -11,    0
194856,20060128,   11,    0
194856,20060129,   21,    0
194856,20060130,   31,    0
194856,20060131,   42,    0
194856,20060201,   42,    0
194856,20060202,   37,    0
194856,20060203,   37,    0
194856,20060204,   23,    0
194856,20060205,    7,    0
194856,20060206,  -19,    0
194856,20060207,  -17,    0
194856,20060208,    5,    0
194856,20060209,   18,    0
194856,20060210,   16,    0
194856,20060211,   20,    0
194856,20060212,   -2,    0
194856,20060213,    0,    0
194856,20060214,    9,    0
194856,20060215,   20,    0
194856,20060216,   23,    0
194856,20060217,   42,    0
194856,20060218,   48,    0
194856,20060219,   46,    0
194856,20060220,   51,    0
194856,20060221,   50,    0
194856,20060222,   64,    0
194856,20060223,   66,    0
194856,20060224,   28,    0
194856,20060225,   37,    0
194856,20060226,   43,    0
194856,20060227,   31,    0
194856,20060228,   22,    0
194856,20060301,   21,    0
194856,20060302,   23,    0
194856,20060303,   28,    0
194856,20060304,   96,    0
194856,20060305,  106,    0
194856,20060306,   46,    0
194856,20060307,   39,    0
194856,20060308,   33,    0
194856,20060309,   65,    0
194856,20060310,   77,    0
194856,20060311,   52,    0
194856,20060312,   19,    0
194856,20060313,   37,    0
194856,20060314,   36,    0
194856,20060315,   48,    0
194856,20060316,   36,    0
194856,20060317,   61,    0
194856,20060318,   48,    0
194856,20060319,   54,    0
194856,20060320,   77,    0
194856,20060321,   73,    0
194856,20060322,   82,    0
194856,20060323,   93,    0
194856,20060324,   72,    0
194856,20060325,   96,    0
194856,20060326,  116,    0
194856,20060327,  128,    0
194856,20060328,  136,    0
194856,20060329,  133,    0
194856,20060330,  111,    0
194856,20060331,  134,    0
194856,20060401,  124,    0
194856,20060402,  126,    0
194856,20060403,  130,    0
194856,20060404,  112,    0
194856,20060405,  103,    0
194856,20060406,   74,    0
194856,20060407,   63,    0
194856,20060408,   85,    0
194856,20060409,  110,    0
194856,20060410,  104,    0
194856,20060411,   81,    0
194856,20060412,   80,    0
194856,20060413,  103,    0
194856,20060414,  133,    0
194856,20060415,  130,    0
194856,20060416,  149,    0
194856,20060417,  126,    0
194856,20060418,  124,    0
194856,20060419,  130,    0
194856,20060420,  130,    0
194856,20060421,  143,    0
194856,20060422,  162,    0
194856,20060423,  164,    0
194856,20060424,  165,    0
194856,20060425,  156,    0
194856,20060426,  160,    0
194856,20060427,  150,    0
194856,20060428,  147,    0
194856,20060429,  154,    0
194856,20060430,  113,    0
194856,20060501,  133,    0
194856,20060502,  138,    0
194856,20060503,  144,    0
194856,20060504,  152,    0
194856,20060505,  146,    0
194856,20060506,  155,    0
194856,20060507,  161,    0
194856,20060508,  149,    0
194856,20060509,  127,    0
194856,20060510,  151,    0
194856,20060511,  155,    0
194856,20060512,  171,    0
194856,20060513,  177,    0
194856,20060514,  169,    0
194856,20060515,  170,    0
194856,20060516,  198,    0
194856,20060517,  208,    0
194856,20060518,  209,    0
194856,20060519,  212,    0
194856,20060520,  195,    0
194856,20060521,  213,    0
194856,20060522,  209,    0
194856,20060523,  193,    0
194856,20060524,  171,    0
194856,20060525,  164,    0
194856,20060526,  196,    0
194856,20060527,  218,    0
194856,20060528,  224,    0
194856,20060529,  184,    0
194856,20060530,  122,    0
194856,20060531,  117,    0
194856,20060601,  144,    0
194856,20060602,  127,    0
194856,20060603,  160,    0
194856,20060604,  181,    0
194856,20060605,  161,    0
194856,20060606,  160,    0
194856,20060607,  164,    0
194856,20060608,  174,    0
194856,20060609,  178,    0
194856,20060610,  199,    0
194856,20060611,  193,    0
194856,20060612,  188,    0
194856,20060613,  220,    0
194856,20060614,  235,    0
194856,20060615,  230,    0
194856,20060616,  217,    0
194856,20060617,  235,    0
194856,20060618,  241,    0
194856,20060619,  246,    0
194856,20060620,  251,    0
194856,20060621,  249,    0
194856,20060622,  255,    0
194856,20060623,  262,    0
194856,20060624,  265,    0
194856,20060625,  254,    0
194856,20060626,  268,    0
194856,20060627,  275,    0
194856,20060628,  272,    0
194856,20060629,  252,    0
194856,20060630,  258,    0
194856,20060701,  258,    0
194856,20060702,  246,    0
194856,20060703,  246,    0
194856,20060704,  249,    0
194856,20060705,  243,    0
194856,20060706,  223,    0
194856,20060707,  202,    0
194856,20060708,  230,    0
194856,20060709,  248,    0
194856,20060710,  258,    0
194856,20060711,  266,    0
194856,20060712,  279,    0
194856,20060713,  262,    0
194856,20060714,  262,    0
194856,20060715,  265,    0
194856,20060716,  245,    0
194856,20060717,  232,    0
194856,20060718,  236,    0
194856,20060719,  247,    0
194856,20060720,  268,    0
194856,20060721,  279,    0
194856,20060722,  289,    0
194856,20060723,  285,    0
194856,20060724,  279,    0
194856,20060725,  280,    0
194856,20060726,  280,    0
194856,20060727,  270,    0
194856,20060728,  259,    0
194856,20060729,  233,    0
194856,20060730,  266,    0
194856,20060731,  272,    0
194856,20060801,  262,    0
194856,20060802,  230,    0
194856,20060803,  186,    0
194856,20060804,  204,    0
194856,20060805,  200,    0
194856,20060806,  221,    0
194856,20060807,  236,    0
194856,20060808,  239,    0
194856,20060809,  219,    0
194856,20060810,  204,    0
194856,20060811,  196,    0
194856,20060812,  166,    0
194856,20060813,  171,    0
194856,20060814,  173,    0
194856,20060815,  196,    0
194856,20060816,  185,    0
194856,20060817,  226,    0
194856,20060818,  240,    0
194856,20060819,  209,    0
194856,20060820,  224,    0
194856,20060821,  205,    0
194856,20060822,  217,    0
194856,20060823,  221,    0
194856,20060824,  224,    0
194856,20060825,  203,    0
194856,20060826,  197,    0
194856,20060827,  197,    0
194856,20060828,  195,    0
194856,20060829,  212,    0
194856,20060830,  184,    0
194856,20060831,  180,    0
194856,20060901,  189,    0
194856,20060902,  200,    0
194856,20060903,  218,    0
194856,20060904,  238,    0
194856,20060905,  244,    0
194856,20060906,  245,    0
194856,20060907,  252,    0
194856,20060908,  226,    0
194856,20060909,  202,    0
194856,20060910,  181,    0
194856,20060911,  180,    0
194856,20060912,  186,    0
194856,20060913,  192,    0
194856,20060914,  192,    0
194856,20060915,  209,    0
194856,20060916,  181,    0
194856,20060917,  169,    0
194856,20060918,  189,    0
194856,20060919,  197,    0
194856,20060920,  197,    0
194856,20060921,  191,    0
194856,20060922,  194,    0
194856,20060923,  183,    0
194856,20060924,  171,    0
194856,20060925,  168,    0
194856,20060926,  173,    0
194856,20060927,  181,    0
194856,20060928,  176,    0
194856,20060929,  179,    0
194856,20060930,  179,    0
194856,20061001,  199,    0
194856,20061002,  193,    0
194856,20061003,  211,    0
194856,20061004,  189,    0
194856,20061005,  150,    0
194856,20061006,  141,    0
194856,20061007,  126,    0
194856,20061008,  144,    0
194856,20061009,  140,    0
194856,20061010,  141,    0
194856,20061011,  139,    0
194856,20061012,  133,    0
194856,20061013,  140,    0
194856,20061014,  140,    0
194856,20061015,  128,    0
194856,20061016,  130,    0
194856,20061017,  105,    0
194856,20061018,  109,    0
194856,20061019,  124,    0
194856,20061020,  131,    0
194856,20061021,  132,    0
194856,20061022,  142,    0
194856,20061023,  152,    0
194856,20061024,  171,    0
194856,20061025,  155,    0
194856,20061026,  157,    0
194856,20061027,  162,    0
194856,20061028,  138,    0
194856,20061029,  151,    0
194856,20061030,  129,    0
194856,20061031,  119,    0
194856,20061101,  129,    0
194856,20061102,   82,    0
194856,20061103,   49,    0
194856,20061104,   40,    0
194856,20061105,   54,    0
194856,20061106,   75,    0
194856,20061107,   77,    0
194856,20061108,   87,    0
194856,20061109,  102,    0
194856,20061110,   80,    0
194856,20061111,   65,    0
194856,20061112,   77,    0
194856,20061113,   56,    0
194856,20061114,   71,    0
194856,20061115,   84,    0
194856,20061116,   97,    0
194856,20061117,  102,    0
194856,20061118,  112,    0
194856,20061119,  100,    0
194856,20061120,  102,    0
194856,20061121,   96,    0
194856,20061122,   82,    0
194856,20061123,   67,    0
194856,20061124,   83,    0
194856,20061125,   81,    0
194856,20061126,   92,    0
194856,20061127,   94,    0
194856,20061128,   96,    0
194856,20061129,   99,    0
194856,20061130,   80,    0
194856,20061201,   55,    0
194856,20061202,   49,    0
194856,20061203,   74,    0
194856,20061204,   69,    0
194856,20061205,   83,    0
194856,20061206,   89,    0
194856,20061207,   92,    0
194856,20061208,   96,    0
194856,20061209,  114,    0
194856,20061210,   55,    0
194856,20061211,   38,    0
194856,20061212,   33,    0
194856,20061213,   41,    0
194856,20061214,   28,    0
194856,20061215,   29,    0
194856,20061216,   39,    0
194856,20061217,   57,    0
194856,20061218,   57,    0
194856,20061219,   35,    0
194856,20061220,    9,    0
194856,20061221,   12,    0
194856,20061222,   20,    0
194856,20061223,    7,    0
194856,20061224,   26,    0
194856,20061225,   26,    0
194856,20061226,    3,    0
