EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CESENATICO_PORTO (STAID: 17588).
Blended and updated with sources: 194912 195856 916148 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
916148,20060701,  239,    0
916148,20060702,  247,    0
916148,20060703,  232,    0
916148,20060704,  234,    0
916148,20060705,  221,    0
916148,20060706,  233,    0
916148,20060707,  231,    0
916148,20060708,  237,    0
916148,20060709,  241,    0
916148,20060710,  250,    0
916148,20060711,  255,    0
916148,20060712,  257,    0
195856,20060713,  277,    0
195856,20060714,  258,    0
195856,20060715,  249,    0
195856,20060716,  227,    0
195856,20060717,  220,    0
195856,20060718,  225,    0
195856,20060719,  244,    0
195856,20060720,  264,    0
195856,20060721,  280,    0
195856,20060722,  286,    0
195856,20060723,  290,    0
195856,20060724,  279,    0
195856,20060725,  275,    0
195856,20060726,  277,    0
195856,20060727,  275,    0
195856,20060728,  284,    0
195856,20060729,  250,    0
195856,20060730,  261,    0
195856,20060731,  273,    0
195856,20060801,  261,    0
195856,20060802,  231,    0
195856,20060803,  228,    0
195856,20060804,  200,    0
195856,20060805,  205,    0
195856,20060806,  228,    0
195856,20060807,  242,    0
195856,20060808,  217,    0
195856,20060809,  199,    0
195856,20060810,  206,    0
195856,20060811,  190,    0
195856,20060812,  165,    0
195856,20060813,  191,    0
195856,20060814,  201,    0
195856,20060815,  215,    0
195856,20060816,  231,    0
195856,20060817,  244,    0
195856,20060818,  265,    0
195856,20060819,  230,    0
195856,20060820,  234,    0
195856,20060821,  220,    0
195856,20060822,  219,    0
195856,20060823,  225,    0
195856,20060824,  236,    0
195856,20060825,  225,    0
195856,20060826,  209,    0
195856,20060827,  196,    0
195856,20060828,  215,    0
195856,20060829,  220,    0
195856,20060830,  181,    0
195856,20060831,  189,    0
195856,20060901,  192,    0
195856,20060902,  208,    0
195856,20060903,  221,    0
195856,20060904,  237,    0
195856,20060905,  238,    0
195856,20060906,  241,    0
195856,20060907,  243,    0
195856,20060908,  233,    0
195856,20060909,  196,    0
195856,20060910,  184,    0
195856,20060911,  189,    0
195856,20060912,  193,    0
195856,20060913,  201,    0
195856,20060914,  204,    0
195856,20060915,  229,    0
195856,20060916,  181,    0
195856,20060917,  179,    0
195856,20060918,  193,    0
195856,20060919,  203,    0
195856,20060920,  202,    0
195856,20060921,  198,    0
195856,20060922,  198,    0
195856,20060923,  187,    0
195856,20060924,  181,    0
195856,20060925,  177,    0
195856,20060926,  199,    0
195856,20060927,  196,    0
195856,20060928,  189,    0
195856,20060929,  188,    0
195856,20060930,  197,    0
195856,20061001,  213,    0
195856,20061002,  211,    0
195856,20061003,  229,    0
195856,20061004,  213,    0
195856,20061005,  169,    0
195856,20061006,  162,    0
195856,20061007,  151,    0
195856,20061008,  159,    0
195856,20061009,  155,    0
195856,20061010,  158,    0
195856,20061011,  153,    0
195856,20061012,  155,    0
195856,20061013,  162,    0
195856,20061014,  158,    0
195856,20061015,  144,    0
