EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CESENA_URBANA (STAID: 17589).
Blended and updated with sources: 194920 197080 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194920,20051201,-9999,    9
194920,20051202,-9999,    9
194920,20051203,-9999,    9
194920,20051204,-9999,    9
194920,20051205,-9999,    9
194920,20051206,-9999,    9
194920,20051207,-9999,    9
194920,20051208,-9999,    9
194920,20051209,-9999,    9
194920,20051210,-9999,    9
194920,20051211,-9999,    9
194920,20051212,-9999,    9
194920,20051213,-9999,    9
194920,20051214,-9999,    9
194920,20051215,-9999,    9
194920,20051216,-9999,    9
194920,20051217,-9999,    9
194920,20051218,-9999,    9
194920,20051219,-9999,    9
194920,20051220,-9999,    9
194920,20051221,-9999,    9
194920,20051222,-9999,    9
194920,20051223,-9999,    9
194920,20051224,-9999,    9
194920,20051225,-9999,    9
194920,20051226,-9999,    9
194920,20051227,-9999,    9
194920,20051228,-9999,    9
194920,20051229,-9999,    9
194920,20051230,-9999,    9
194920,20051231,   -1,    0
194920,20060101,    0,    0
194920,20060102,   33,    0
194920,20060103,   47,    0
194920,20060104,   41,    0
194920,20060105,   38,    0
194920,20060106,   44,    0
194920,20060107,   53,    0
194920,20060108,   41,    0
194920,20060109,   24,    0
194920,20060110,   23,    0
194920,20060111,   29,    0
194920,20060112,   33,    0
194920,20060113,   26,    0
194920,20060114,   14,    0
194920,20060115,    4,    0
194920,20060116,   11,    0
194920,20060117,    2,    0
194920,20060118,   10,    0
194920,20060119,   -2,    0
194920,20060120,   -3,    0
194920,20060121,    4,    0
194920,20060122,   35,    0
194920,20060123,   11,    0
194920,20060124,   -5,    0
194920,20060125,  -16,    0
194920,20060126,   -4,    0
194920,20060127,    6,    0
194920,20060128,   36,    0
194920,20060129,   53,    0
194920,20060130,   59,    0
194920,20060131,   77,    0
194920,20060201,   75,    0
194920,20060202,   84,    0
194920,20060203,   70,    0
194920,20060204,   62,    0
194920,20060205,   29,    0
194920,20060206,    2,    0
194920,20060207,    3,    0
194920,20060208,   30,    0
194920,20060209,   36,    0
194920,20060210,   42,    0
194920,20060211,   40,    0
194920,20060212,   30,    0
194920,20060213,   24,    0
194920,20060214,   35,    0
194920,20060215,   68,    0
194920,20060216,   39,    0
194920,20060217,   92,    0
194920,20060218,  126,    0
