EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CIVAGO (STAID: 17592).
Blended and updated with sources: 194944 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194944,20051201,-9999,    9
194944,20051202,-9999,    9
194944,20051203,-9999,    9
194944,20051204,-9999,    9
194944,20051205,-9999,    9
194944,20051206,-9999,    9
194944,20051207,-9999,    9
194944,20051208,-9999,    9
194944,20051209,-9999,    9
194944,20051210,-9999,    9
194944,20051211,-9999,    9
194944,20051212,-9999,    9
194944,20051213,-9999,    9
194944,20051214,-9999,    9
194944,20051215,-9999,    9
194944,20051216,-9999,    9
194944,20051217,-9999,    9
194944,20051218,-9999,    9
194944,20051219,-9999,    9
194944,20051220,-9999,    9
194944,20051221,-9999,    9
194944,20051222,-9999,    9
194944,20051223,-9999,    9
194944,20051224,-9999,    9
194944,20051225,-9999,    9
194944,20051226,-9999,    9
194944,20051227,-9999,    9
194944,20051228,-9999,    9
194944,20051229,-9999,    9
194944,20051230,-9999,    9
194944,20051231,    0,    0
194944,20060101,   -4,    0
194944,20060102,   -8,    0
194944,20060103,   -1,    0
194944,20060104,  -15,    0
194944,20060105,  -39,    0
194944,20060106,  -42,    0
194944,20060107,  -17,    0
194944,20060108,  -21,    0
194944,20060109,  -46,    0
194944,20060110,  -50,    0
194944,20060111,  -37,    0
194944,20060112,  -22,    0
194944,20060113,  -49,    0
194944,20060114,  -50,    0
194944,20060115,  -54,    0
194944,20060116,  -47,    0
194944,20060117,   -5,    0
194944,20060118,   28,    0
194944,20060119,    2,    0
194944,20060120,   33,    0
194944,20060121,   28,    0
194944,20060122,  -10,    0
194944,20060123,  -56,    0
194944,20060124,  -70,    0
194944,20060125,  -64,    0
194944,20060126,  -61,    0
194944,20060127,  -21,    0
194944,20060128,    9,    0
194944,20060129,   17,    0
194944,20060130,   26,    0
194944,20060131,   23,    0
194944,20060201,   27,    0
194944,20060202,   48,    0
194944,20060203,   22,    0
194944,20060204,   16,    0
194944,20060205,  -31,    0
194944,20060206,  -61,    0
194944,20060207,  -29,    0
194944,20060208,   19,    0
194944,20060209,  -11,    0
194944,20060210,  -28,    0
194944,20060211,  -34,    0
194944,20060212,  -36,    0
194944,20060213,  -28,    0
194944,20060214,   -5,    0
194944,20060215,   27,    0
194944,20060216,   54,    0
194944,20060217,   44,    0
194944,20060218,   42,    0
194944,20060219,   40,    0
194944,20060220,   19,    0
194944,20060221,    0,    0
194944,20060222,    6,    0
194944,20060223,    2,    0
194944,20060224,  -18,    0
194944,20060225,  -13,    0
194944,20060226,    5,    0
194944,20060227,  -12,    0
194944,20060228,  -28,    0
194944,20060301,  -17,    0
194944,20060302,  -21,    0
194944,20060303,   25,    0
194944,20060304,   47,    0
194944,20060305,   37,    0
194944,20060306,  -29,    0
194944,20060307,  -30,    0
194944,20060308,   -1,    0
194944,20060309,   63,    0
194944,20060310,   30,    0
194944,20060311,   -8,    0
194944,20060312,-9999,    9
194944,20060313,  -15,    0
194944,20060314,   -4,    0
194944,20060315,   17,    0
194944,20060316,   -6,    0
194944,20060317,   -1,    0
194944,20060318,   10,    0
194944,20060319,    9,    0
194944,20060320,   43,    0
194944,20060321,   47,    0
194944,20060322,   32,    0
194944,20060323,   45,    0
194944,20060324,   44,    0
194944,20060325,   32,    0
194944,20060326,   83,    0
194944,20060327,  105,    0
194944,20060328,   74,    0
194944,20060329,   69,    0
194944,20060330,   72,    0
194944,20060331,   95,    0
194944,20060401,   90,    0
