EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CORREGGIO (STAID: 17601).
Blended and updated with sources: 195072 195864 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195072,20051201,-9999,    9
195072,20051202,-9999,    9
195072,20051203,-9999,    9
195072,20051204,-9999,    9
195072,20051205,-9999,    9
195072,20051206,-9999,    9
195072,20051207,-9999,    9
195072,20051208,-9999,    9
195072,20051209,-9999,    9
195072,20051210,-9999,    9
195072,20051211,-9999,    9
195072,20051212,-9999,    9
195072,20051213,-9999,    9
195072,20051214,-9999,    9
195072,20051215,-9999,    9
195072,20051216,-9999,    9
195072,20051217,-9999,    9
195072,20051218,-9999,    9
195072,20051219,-9999,    9
195072,20051220,-9999,    9
195072,20051221,-9999,    9
195072,20051222,-9999,    9
195072,20051223,-9999,    9
195072,20051224,-9999,    9
195072,20051225,-9999,    9
195072,20051226,-9999,    9
195072,20051227,-9999,    9
195072,20051228,-9999,    9
195072,20051229,-9999,    9
195072,20051230,-9999,    9
195072,20051231,  -11,    0
195072,20060101,   -4,    0
195072,20060102,    4,    0
195072,20060103,   16,    0
195072,20060104,    5,    0
195072,20060105,   12,    0
195072,20060106,   12,    0
195072,20060107,   12,    0
195072,20060108,    1,    0
195072,20060109,    0,    0
195072,20060110,  -14,    0
195072,20060111,  -10,    0
195072,20060112,  -11,    0
195072,20060113,  -17,    0
195072,20060114,  -30,    0
195072,20060115,  -23,    0
195072,20060116,   -5,    0
195072,20060117,   -3,    0
195072,20060118,    1,    0
195072,20060119,  -33,    0
195072,20060120,  -36,    0
195072,20060121,   -7,    0
195072,20060122,    3,    0
195072,20060123,   -7,    0
195072,20060124,  -31,    0
195072,20060125,  -39,    0
195072,20060126,  -35,    0
195072,20060127,   -8,    0
195072,20060128,    8,    0
195072,20060129,   16,    0
195072,20060130,   30,    0
195072,20060131,   39,    0
195072,20060201,   26,    0
195072,20060202,   22,    0
195072,20060203,   24,    0
195072,20060204,   19,    0
195072,20060205,    6,    0
195072,20060206,  -15,    0
195072,20060207,  -23,    0
195072,20060208,    6,    0
195072,20060209,   12,    0
195072,20060210,   10,    0
195072,20060211,   17,    0
195072,20060212,   -5,    0
195072,20060213,   -8,    0
195072,20060214,    4,    0
195072,20060215,   26,    0
195072,20060216,   21,    0
195072,20060217,   37,    0
195072,20060218,   50,    0
195072,20060219,   50,    0
195072,20060220,   55,    0
195072,20060221,   52,    0
195072,20060222,   69,    0
195072,20060223,   73,    0
195072,20060224,   43,    0
195072,20060225,   43,    0
195072,20060226,   54,    0
195072,20060227,   34,    0
195072,20060228,   24,    0
195072,20060301,   34,    0
195072,20060302,   27,    0
195072,20060303,   34,    0
195072,20060304,   94,    0
195072,20060305,  101,    0
195072,20060306,   53,    0
195072,20060307,   36,    0
195072,20060308,   37,    0
195072,20060309,   69,    0
195072,20060310,   76,    0
195072,20060311,   57,    0
195072,20060312,    7,    0
195072,20060313,   46,    0
195072,20060314,   41,    0
195072,20060315,   56,    0
195072,20060316,   46,    0
195072,20060317,   60,    0
195072,20060318,   50,    0
195072,20060319,   59,    0
195072,20060320,   74,    0
195072,20060321,   74,    0
195072,20060322,   87,    0
195072,20060323,  100,    0
195072,20060324,   79,    0
195072,20060325,   95,    0
195072,20060326,  121,    0
195072,20060327,  135,    0
195072,20060328,  139,    0
195072,20060329,  139,    0
195072,20060330,  109,    0
195072,20060331,  133,    0
195072,20060401,  128,    0
195072,20060402,  130,    0
195072,20060403,  124,    0
195072,20060404,  111,    0
195072,20060405,  110,    0
195072,20060406,   76,    0
195072,20060407,   70,    0
195072,20060408,   91,    0
195072,20060409,  113,    0
195072,20060410,  116,    0
195072,20060411,   86,    0
195072,20060412,   85,    0
195072,20060413,  104,    0
195072,20060414,  137,    0
195072,20060415,  132,    0
195072,20060416,  151,    0
195072,20060417,  136,    0
195072,20060418,  134,    0
195072,20060419,  139,    0
195072,20060420,  136,    0
195072,20060421,  146,    0
195072,20060422,  162,    0
195072,20060423,  167,    0
195072,20060424,  169,    0
195072,20060425,  160,    0
195072,20060426,  172,    0
195072,20060427,  148,    0
195072,20060428,  146,    0
195072,20060429,  151,    0
195072,20060430,  113,    0
195072,20060501,  129,    0
195072,20060502,  146,    0
195072,20060503,  148,    0
195072,20060504,  158,    0
195072,20060505,  153,    0
195072,20060506,  161,    0
195072,20060507,  167,    0
195072,20060508,  160,    0
195072,20060509,  130,    0
195072,20060510,  154,    0
195072,20060511,  158,    0
195072,20060512,  175,    0
195072,20060513,  180,    0
195072,20060514,  170,    0
195072,20060515,  180,    0
195072,20060516,  194,    0
195072,20060517,  202,    0
195072,20060518,  210,    0
195072,20060519,  210,    0
195072,20060520,  198,    0
195072,20060521,  210,    0
195072,20060522,  212,    0
195072,20060523,  197,    0
195072,20060524,  168,    0
195072,20060525,  169,    0
195072,20060526,  188,    0
195072,20060527,  212,    0
195072,20060528,  221,    0
195072,20060529,  189,    0
195072,20060530,  119,    0
195072,20060531,  121,    0
195072,20060601,  149,    0
195072,20060602,  132,    0
195072,20060603,  151,    0
195072,20060604,  173,    0
195072,20060605,  164,    0
195072,20060606,  161,    0
195072,20060607,  169,    0
195072,20060608,  178,    0
195072,20060609,  178,    0
195072,20060610,  197,    0
195072,20060611,  197,    0
195072,20060612,  190,    0
195072,20060613,  214,    0
195072,20060614,  226,    0
195072,20060615,  232,    0
195072,20060616,  217,    0
195072,20060617,  231,    0
195072,20060618,  239,    0
195072,20060619,  236,    0
195072,20060620,  251,    0
195072,20060621,  248,    0
195072,20060622,  252,    0
195072,20060623,  263,    0
195072,20060624,  267,    0
195072,20060625,  255,    0
195072,20060626,  266,    0
195072,20060627,  268,    0
195072,20060628,  270,    0
195072,20060629,  252,    0
195072,20060630,  258,    0
195072,20060701,  257,    0
195072,20060702,  250,    0
195072,20060703,  249,    0
195072,20060704,  247,    0
195072,20060705,  244,    0
195072,20060706,  224,    0
195072,20060707,  200,    0
195072,20060708,  227,    0
195072,20060709,  242,    0
195072,20060710,  253,    0
195072,20060711,  266,    0
195072,20060712,  276,    0
195072,20060713,  263,    0
195072,20060714,  258,    0
195072,20060715,  263,    0
195072,20060716,  247,    0
195072,20060717,  236,    0
195072,20060718,  232,    0
195072,20060719,  240,    0
195072,20060720,  255,    0
195072,20060721,  265,    0
195072,20060722,  272,    0
195072,20060723,  282,    0
195072,20060724,  269,    0
195072,20060725,  280,    0
195072,20060726,  276,    0
195072,20060727,  270,    0
195072,20060728,  247,    0
195072,20060729,  233,    0
195072,20060730,  259,    0
195072,20060731,  269,    0
195072,20060801,  258,    0
195072,20060802,  234,    0
195072,20060803,  191,    0
195072,20060804,  201,    0
195072,20060805,  199,    0
195072,20060806,  213,    0
195072,20060807,  228,    0
195072,20060808,  239,    0
195072,20060809,  222,    0
195072,20060810,  209,    0
195072,20060811,  198,    0
195072,20060812,  172,    0
195072,20060813,  178,    0
195072,20060814,  176,    0
195072,20060815,  196,    0
195072,20060816,  196,    0
195072,20060817,  231,    0
195072,20060818,  248,    0
195072,20060819,  211,    0
195072,20060820,  219,    0
195072,20060821,  204,    0
195072,20060822,  218,    0
195072,20060823,  225,    0
195072,20060824,  227,    0
195072,20060825,  208,    0
195072,20060826,  204,    0
195072,20060827,  202,    0
195072,20060828,  192,    0
195072,20060829,  209,    0
195072,20060830,  177,    0
195072,20060831,  173,    0
195072,20060901,  181,    0
195072,20060902,  194,    0
195072,20060903,  214,    0
195072,20060904,  228,    0
195072,20060905,  231,    0
195072,20060906,  245,    0
195072,20060907,  249,    0
195072,20060908,  228,    0
195072,20060909,  203,    0
195072,20060910,  176,    0
