EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CORSICCHIE (STAID: 17602).
Blended and updated with sources: 195080 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195080,20051201,-9999,    9
195080,20051202,-9999,    9
195080,20051203,-9999,    9
195080,20051204,-9999,    9
195080,20051205,-9999,    9
195080,20051206,-9999,    9
195080,20051207,-9999,    9
195080,20051208,-9999,    9
195080,20051209,-9999,    9
195080,20051210,-9999,    9
195080,20051211,-9999,    9
195080,20051212,-9999,    9
195080,20051213,-9999,    9
195080,20051214,-9999,    9
195080,20051215,-9999,    9
195080,20051216,-9999,    9
195080,20051217,-9999,    9
195080,20051218,-9999,    9
195080,20051219,-9999,    9
195080,20051220,-9999,    9
195080,20051221,-9999,    9
195080,20051222,-9999,    9
195080,20051223,-9999,    9
195080,20051224,-9999,    9
195080,20051225,-9999,    9
195080,20051226,-9999,    9
195080,20051227,-9999,    9
195080,20051228,-9999,    9
195080,20051229,-9999,    9
195080,20051230,-9999,    9
195080,20051231,   14,    0
195080,20060101,   22,    0
195080,20060102,   -5,    0
195080,20060103,   -9,    0
195080,20060104,  -19,    0
195080,20060105,  -22,    0
195080,20060106,  -26,    0
195080,20060107,  -16,    0
195080,20060108,  -21,    0
195080,20060109,  -37,    0
195080,20060110,  -48,    0
195080,20060111,  -21,    0
195080,20060112,  -24,    0
195080,20060113,  -35,    0
195080,20060114,  -44,    0
195080,20060115,  -37,    0
195080,20060116,  -27,    0
195080,20060117,    4,    0
195080,20060118,   23,    0
195080,20060119,   19,    0
195080,20060120,   35,    0
195080,20060121,   16,    0
195080,20060122,  -15,    0
195080,20060123,  -76,    0
195080,20060124,  -89,    0
195080,20060125,  -62,    0
195080,20060126,  -31,    0
195080,20060127,    0,    0
195080,20060128,   33,    0
195080,20060129,   38,    0
195080,20060130,   25,    0
195080,20060131,   22,    0
195080,20060201,   42,    0
195080,20060202,   82,    0
195080,20060203,   44,    0
195080,20060204,   14,    0
195080,20060205,  -50,    0
195080,20060206,  -72,    0
195080,20060207,  -24,    0
195080,20060208,    4,    0
195080,20060209,    9,    0
195080,20060210,  -13,    0
195080,20060211,  -20,    0
195080,20060212,  -21,    0
195080,20060213,  -16,    0
195080,20060214,   -1,    0
195080,20060215,   11,    0
195080,20060216,   40,    0
195080,20060217,   36,    0
195080,20060218,   31,    0
195080,20060219,   36,    0
195080,20060220,   19,    0
195080,20060221,    8,    0
195080,20060222,   12,    0
195080,20060223,    5,    0
195080,20060224,  -10,    0
195080,20060225,   -6,    0
195080,20060226,   -1,    0
195080,20060227,   -9,    0
195080,20060228,  -27,    0
195080,20060301,  -20,    0
195080,20060302,  -21,    0
195080,20060303,   19,    0
195080,20060304,   41,    0
195080,20060305,   34,    0
195080,20060306,  -39,    0
195080,20060307,  -30,    0
195080,20060308,  -10,    0
195080,20060309,   30,    0
195080,20060310,   29,    0
195080,20060311,   -6,    0
195080,20060312,  -28,    0
195080,20060313,  -35,    0
195080,20060314,  -12,    0
195080,20060315,    4,    0
195080,20060316,   -1,    0
195080,20060317,   -6,    0
195080,20060318,  -10,    0
195080,20060319,   -3,    0
195080,20060320,   35,    0
195080,20060321,   48,    0
195080,20060322,   38,    0
195080,20060323,   33,    0
195080,20060324,   39,    0
195080,20060325,   46,    0
195080,20060326,   86,    0
195080,20060327,   90,    0
195080,20060328,   74,    0
195080,20060329,   59,    0
195080,20060330,   74,    0
195080,20060331,   87,    0
195080,20060401,  105,    0
195080,20060402,   78,    0
195080,20060403,   78,    0
195080,20060404,   70,    0
195080,20060405,   69,    0
195080,20060406,   47,    0
195080,20060407,   15,    0
195080,20060408,   57,    0
195080,20060409,   86,    0
195080,20060410,   85,    0
195080,20060411,   33,    0
195080,20060412,   30,    0
195080,20060413,   53,    0
195080,20060414,  105,    0
195080,20060415,  100,    0
195080,20060416,   84,    0
195080,20060417,   96,    0
195080,20060418,   62,    0
195080,20060419,   65,    0
195080,20060420,   86,    0
195080,20060421,   98,    0
195080,20060422,  116,    0
195080,20060423,  131,    0
195080,20060424,  132,    0
195080,20060425,  123,    0
195080,20060426,  103,    0
195080,20060427,   72,    0
195080,20060428,   75,    0
195080,20060429,   84,    0
195080,20060430,   65,    0
195080,20060501,   83,    0
195080,20060502,   93,    0
195080,20060503,   89,    0
195080,20060504,   92,    0
195080,20060505,   82,    0
195080,20060506,   99,    0
195080,20060507,  108,    0
195080,20060508,  105,    0
195080,20060509,   68,    0
195080,20060510,   68,    0
195080,20060511,   87,    0
195080,20060512,  123,    0
195080,20060513,  124,    0
195080,20060514,   89,    0
195080,20060515,  119,    0
195080,20060516,  151,    0
195080,20060517,  161,    0
195080,20060518,  179,    0
195080,20060519,  152,    0
195080,20060520,  120,    0
195080,20060521,  133,    0
195080,20060522,  168,    0
195080,20060523,  148,    0
195080,20060524,  113,    0
195080,20060525,  121,    0
195080,20060526,  151,    0
195080,20060527,  182,    0
195080,20060528,  182,    0
195080,20060529,  150,    0
195080,20060530,   65,    0
195080,20060531,   56,    0
195080,20060601,   58,    0
195080,20060602,   46,    0
195080,20060603,   55,    0
195080,20060604,  112,    0
195080,20060605,  118,    0
195080,20060606,   85,    0
195080,20060607,   81,    0
195080,20060608,   93,    0
195080,20060609,   98,    0
195080,20060610,  128,    0
195080,20060611,   93,    0
195080,20060612,  109,    0
195080,20060613,  155,    0
195080,20060614,  181,    0
195080,20060615,  188,    0
195080,20060616,  181,    0
195080,20060617,  183,    0
195080,20060618,  191,    0
195080,20060619,  199,    0
195080,20060620,  233,    0
195080,20060621,  221,    0
195080,20060622,  206,    0
195080,20060623,  212,    0
195080,20060624,  205,    0
195080,20060625,  226,    0
195080,20060626,  221,    0
195080,20060627,  232,    0
195080,20060628,  238,    0
195080,20060629,  211,    0
195080,20060630,  195,    0
195080,20060701,  184,    0
195080,20060702,  167,    0
195080,20060703,  169,    0
195080,20060704,  155,    0
195080,20060705,  173,    0
195080,20060706,  191,    0
195080,20060707,  140,    0
195080,20060708,  144,    0
195080,20060709,  179,    0
195080,20060710,  189,    0
195080,20060711,  196,    0
195080,20060712,  195,    0
195080,20060713,  190,    0
195080,20060714,  192,    0
195080,20060715,  186,    0
195080,20060716,  161,    0
195080,20060717,  153,    0
195080,20060718,  157,    0
195080,20060719,  153,    0
195080,20060720,  228,    0
195080,20060721,  235,    0
195080,20060722,  233,    0
195080,20060723,  232,    0
195080,20060724,  214,    0
195080,20060725,  216,    0
195080,20060726,  217,    0
195080,20060727,  209,    0
195080,20060728,  226,    0
195080,20060729,  194,    0
195080,20060730,  194,    0
195080,20060731,  220,    0
195080,20060801,  209,    0
195080,20060802,  174,    0
195080,20060803,  156,    0
195080,20060804,  140,    0
195080,20060805,  146,    0
195080,20060806,  161,    0
195080,20060807,  182,    0
195080,20060808,  156,    0
195080,20060809,  131,    0
195080,20060810,  147,    0
195080,20060811,  142,    0
195080,20060812,  119,    0
195080,20060813,  138,    0
195080,20060814,  127,    0
195080,20060815,  157,    0
195080,20060816,  169,    0
195080,20060817,  176,    0
195080,20060818,  181,    0
195080,20060819,  186,    0
195080,20060820,  191,    0
195080,20060821,  168,    0
195080,20060822,  177,    0
195080,20060823,  173,    0
195080,20060824,  167,    0
195080,20060825,  151,    0
195080,20060826,  134,    0
195080,20060827,  139,    0
195080,20060828,  151,    0
195080,20060829,  141,    0
195080,20060830,  100,    0
195080,20060831,  140,    0
195080,20060901,  158,    0
195080,20060902,  166,    0
195080,20060903,  186,    0
195080,20060904,  217,    0
195080,20060905,  218,    0
195080,20060906,  214,    0
195080,20060907,  215,    0
195080,20060908,  186,    0
195080,20060909,  135,    0
195080,20060910,  134,    0
195080,20060911,  145,    0
195080,20060912,  144,    0
195080,20060913,  156,    0
195080,20060914,  150,    0
195080,20060915,  148,    0
195080,20060916,  121,    0
195080,20060917,  110,    0
195080,20060918,  123,    0
195080,20060919,  136,    0
195080,20060920,  150,    0
195080,20060921,  150,    0
195080,20060922,  161,    0
195080,20060923,  120,    0
195080,20060924,  127,    0
195080,20060925,  117,    0
195080,20060926,  119,    0
195080,20060927,  118,    0
195080,20060928,  127,    0
195080,20060929,  144,    0
195080,20060930,  143,    0
195080,20061001,  144,    0
195080,20061002,  139,    0
195080,20061003,  145,    0
195080,20061004,  125,    0
195080,20061005,  101,    0
195080,20061006,   98,    0
195080,20061007,   92,    0
195080,20061008,   81,    0
195080,20061009,   97,    0
195080,20061010,  104,    0
195080,20061011,  114,    0
195080,20061012,  117,    0
195080,20061013,  107,    0
195080,20061014,   89,    0
195080,20061015,   75,    0
195080,20061016,   63,    0
195080,20061017,   56,    0
195080,20061018,   90,    0
195080,20061019,   83,    0
195080,20061020,  103,    0
195080,20061021,  106,    0
195080,20061022,  117,    0
195080,20061023,  124,    0
195080,20061024,  131,    0
195080,20061025,  136,    0
195080,20061026,  164,    0
195080,20061027,  180,    0
195080,20061028,  151,    0
195080,20061029,  169,    0
195080,20061030,   98,    0
195080,20061031,   98,    0
195080,20061101,  100,    0
195080,20061102,   13,    0
195080,20061103,   10,    0
195080,20061104,   23,    0
195080,20061105,   49,    0
195080,20061106,   93,    0
195080,20061107,  126,    0
195080,20061108,   93,    0
195080,20061109,   87,    0
195080,20061110,   60,    0
195080,20061111,   62,    0
195080,20061112,   84,    0
195080,20061113,   80,    0
195080,20061114,   92,    0
195080,20061115,   80,    0
195080,20061116,   84,    0
195080,20061117,   89,    0
195080,20061118,   84,    0
195080,20061119,   76,    0
195080,20061120,   66,    0
195080,20061121,   56,    0
195080,20061122,   31,    0
195080,20061123,   59,    0
195080,20061124,   82,    0
195080,20061125,   92,    0
195080,20061126,   99,    0
195080,20061127,   86,    0
195080,20061128,   59,    0
195080,20061129,   49,    0
195080,20061130,   33,    0
195080,20061201,   38,    0
195080,20061202,   45,    0
195080,20061203,   58,    0
195080,20061204,   69,    0
195080,20061205,   88,    0
195080,20061206,   81,    0
195080,20061207,   80,    0
195080,20061208,   67,    0
195080,20061209,   40,    0
195080,20061210,   36,    0
195080,20061211,   11,    0
195080,20061212,   13,    0
195080,20061213,   23,    0
195080,20061214,   50,    0
195080,20061215,   86,    0
195080,20061216,   87,    0
195080,20061217,   62,    0
195080,20061218,   36,    0
195080,20061219,   -5,    0
195080,20061220,  -18,    0
195080,20061221,  -14,    0
195080,20061222,   -8,    0
195080,20061223,  -18,    0
195080,20061224,   -3,    0
195080,20061225,   17,    0
195080,20061226,   17,    0
195080,20061227,   46,    0
195080,20061228,   31,    0
195080,20061229,   29,    0
195080,20061230,   37,    0
195080,20061231,   54,    0
195080,20070101,   63,    0
195080,20070102,   16,    0
195080,20070103,   17,    0
195080,20070104,   29,    0
195080,20070105,   35,    0
195080,20070106,   53,    0
195080,20070107,   43,    0
195080,20070108,   48,    0
195080,20070109,-9999,    9
195080,20070110,-9999,    9
195080,20070111,-9999,    9
195080,20070112,-9999,    9
195080,20070113,-9999,    9
195080,20070114,-9999,    9
195080,20070115,-9999,    9
195080,20070116,-9999,    9
195080,20070117,-9999,    9
195080,20070118,-9999,    9
195080,20070119,-9999,    9
195080,20070120,-9999,    9
195080,20070121,-9999,    9
195080,20070122,-9999,    9
195080,20070123,-9999,    9
195080,20070124,-9999,    9
195080,20070125,-9999,    9
195080,20070126,-9999,    9
195080,20070127,-9999,    9
195080,20070128,-9999,    9
195080,20070129,-9999,    9
195080,20070130,-9999,    9
195080,20070131,-9999,    9
195080,20070201,-9999,    9
195080,20070202,-9999,    9
195080,20070203,-9999,    9
195080,20070204,-9999,    9
195080,20070205,-9999,    9
195080,20070206,-9999,    9
195080,20070207,-9999,    9
195080,20070208,-9999,    9
195080,20070209,-9999,    9
195080,20070210,-9999,    9
195080,20070211,-9999,    9
195080,20070212,-9999,    9
195080,20070213,-9999,    9
195080,20070214,-9999,    9
195080,20070215,-9999,    9
195080,20070216,-9999,    9
195080,20070217,-9999,    9
195080,20070218,-9999,    9
195080,20070219,-9999,    9
195080,20070220,-9999,    9
195080,20070221,-9999,    9
195080,20070222,-9999,    9
195080,20070223,-9999,    9
195080,20070224,-9999,    9
195080,20070225,-9999,    9
195080,20070226,-9999,    9
195080,20070227,-9999,    9
195080,20070228,-9999,    9
195080,20070301,-9999,    9
195080,20070302,-9999,    9
195080,20070303,-9999,    9
195080,20070304,-9999,    9
195080,20070305,-9999,    9
195080,20070306,-9999,    9
195080,20070307,-9999,    9
195080,20070308,-9999,    9
195080,20070309,-9999,    9
195080,20070310,-9999,    9
195080,20070311,-9999,    9
195080,20070312,-9999,    9
195080,20070313,-9999,    9
195080,20070314,-9999,    9
195080,20070315,-9999,    9
195080,20070316,-9999,    9
195080,20070317,-9999,    9
195080,20070318,-9999,    9
195080,20070319,-9999,    9
195080,20070320,-9999,    9
195080,20070321,-9999,    9
195080,20070322,-9999,    9
195080,20070323,-9999,    9
195080,20070324,-9999,    9
195080,20070325,-9999,    9
195080,20070326,-9999,    9
195080,20070327,-9999,    9
195080,20070328,-9999,    9
195080,20070329,-9999,    9
195080,20070330,-9999,    9
195080,20070331,-9999,    9
195080,20070401,-9999,    9
195080,20070402,-9999,    9
195080,20070403,-9999,    9
195080,20070404,-9999,    9
195080,20070405,-9999,    9
195080,20070406,-9999,    9
195080,20070407,-9999,    9
195080,20070408,-9999,    9
195080,20070409,-9999,    9
195080,20070410,-9999,    9
195080,20070411,-9999,    9
195080,20070412,-9999,    9
195080,20070413,-9999,    9
195080,20070414,-9999,    9
195080,20070415,-9999,    9
195080,20070416,-9999,    9
195080,20070417,-9999,    9
195080,20070418,-9999,    9
195080,20070419,-9999,    9
195080,20070420,-9999,    9
195080,20070421,-9999,    9
195080,20070422,-9999,    9
195080,20070423,-9999,    9
195080,20070424,-9999,    9
195080,20070425,-9999,    9
195080,20070426,-9999,    9
195080,20070427,-9999,    9
195080,20070428,-9999,    9
195080,20070429,-9999,    9
195080,20070430,-9999,    9
195080,20070501,-9999,    9
195080,20070502,-9999,    9
195080,20070503,-9999,    9
195080,20070504,-9999,    9
195080,20070505,-9999,    9
195080,20070506,-9999,    9
195080,20070507,-9999,    9
195080,20070508,-9999,    9
195080,20070509,-9999,    9
195080,20070510,-9999,    9
195080,20070511,-9999,    9
195080,20070512,-9999,    9
195080,20070513,-9999,    9
195080,20070514,-9999,    9
195080,20070515,-9999,    9
195080,20070516,-9999,    9
195080,20070517,-9999,    9
195080,20070518,-9999,    9
195080,20070519,-9999,    9
195080,20070520,-9999,    9
195080,20070521,-9999,    9
195080,20070522,-9999,    9
195080,20070523,-9999,    9
195080,20070524,-9999,    9
195080,20070525,-9999,    9
195080,20070526,-9999,    9
195080,20070527,-9999,    9
195080,20070528,-9999,    9
195080,20070529,-9999,    9
195080,20070530,-9999,    9
195080,20070531,-9999,    9
195080,20070601,-9999,    9
195080,20070602,-9999,    9
195080,20070603,-9999,    9
195080,20070604,-9999,    9
195080,20070605,-9999,    9
195080,20070606,-9999,    9
195080,20070607,-9999,    9
195080,20070608,-9999,    9
195080,20070609,-9999,    9
195080,20070610,-9999,    9
195080,20070611,-9999,    9
195080,20070612,-9999,    9
195080,20070613,-9999,    9
195080,20070614,-9999,    9
195080,20070615,-9999,    9
195080,20070616,-9999,    9
195080,20070617,-9999,    9
195080,20070618,-9999,    9
195080,20070619,-9999,    9
195080,20070620,-9999,    9
195080,20070621,-9999,    9
195080,20070622,-9999,    9
195080,20070623,-9999,    9
195080,20070624,-9999,    9
195080,20070625,-9999,    9
195080,20070626,-9999,    9
195080,20070627,-9999,    9
195080,20070628,-9999,    9
195080,20070629,-9999,    9
