EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CORTE_CENTRALE (STAID: 17603).
Blended and updated with sources: 194984 195088 195568 195616 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195568,20121201,-9999,    9
195568,20121202,-9999,    9
195568,20121203,-9999,    9
195568,20121204,-9999,    9
195568,20121205,-9999,    9
195568,20121206,-9999,    9
195568,20121207,-9999,    9
195568,20121208,-9999,    9
195568,20121209,-9999,    9
195568,20121210,-9999,    9
195568,20121211,-9999,    9
195568,20121212,-9999,    9
195568,20121213,-9999,    9
195568,20121214,-9999,    9
195568,20121215,-9999,    9
195568,20121216,-9999,    9
195568,20121217,-9999,    9
195568,20121218,-9999,    9
195568,20121219,-9999,    9
195568,20121220,-9999,    9
195568,20121221,-9999,    9
195568,20121222,-9999,    9
195568,20121223,-9999,    9
195568,20121224,-9999,    9
195568,20121225,-9999,    9
195568,20121226,-9999,    9
195568,20121227,-9999,    9
195568,20121228,-9999,    9
195568,20121229,-9999,    9
195568,20121230,-9999,    9
195568,20121231,   -8,    0
195568,20130101,   19,    0
195568,20130102,   49,    0
195568,20130103,   58,    0
195568,20130104,   35,    0
195568,20130105,   14,    0
195568,20130106,   18,    0
195568,20130107,   28,    0
195568,20130108,   63,    0
195568,20130109,   57,    0
195568,20130110,   52,    0
195568,20130111,   33,    0
195568,20130112,   46,    0
195568,20130113,   53,    0
195568,20130114,   37,    0
195568,20130115,   35,    0
195568,20130116,   32,    0
195568,20130117,   19,    0
195568,20130118,   22,    0
195568,20130119,    7,    0
195568,20130120,   40,    0
195568,20130121,   41,    0
195568,20130122,   43,    0
195568,20130123,   39,    0
195568,20130124,   67,    0
195568,20130125,   47,    0
195568,20130126,   22,    0
195568,20130127,    0,    0
195568,20130128,   19,    0
195568,20130129,   23,    0
195568,20130130,   34,    0
195568,20130131,   37,    0
195568,20130201,   38,    0
195568,20130202,   51,    0
195568,20130203,   56,    0
195568,20130204,   47,    0
195568,20130205,   41,    0
195568,20130206,   38,    0
195568,20130207,   45,    0
195568,20130208,   33,    0
195568,20130209,   23,    0
195568,20130210,   10,    0
195568,20130211,   12,    0
195568,20130212,   19,    0
195568,20130213,   18,    0
195568,20130214,   43,    0
195568,20130215,   37,    0
195568,20130216,   49,    0
195568,20130217,   49,    0
195568,20130218,   41,    0
195568,20130219,   36,    0
195568,20130220,   40,    0
195568,20130221,   28,    0
195568,20130222,   14,    0
195568,20130223,   25,    0
195568,20130224,   54,    0
195568,20130225,   49,    0
195568,20130226,   50,    0
195568,20130227,   54,    0
195568,20130228,   57,    0
195568,20130301,   57,    0
195568,20130302,   52,    0
195568,20130303,   59,    0
195568,20130304,   59,    0
195568,20130305,   72,    0
195568,20130306,   94,    0
195568,20130307,  102,    0
195568,20130308,  101,    0
195568,20130309,  115,    0
195568,20130310,  115,    0
195568,20130311,  107,    0
195568,20130312,  104,    0
195568,20130313,   97,    0
195568,20130314,   76,    0
195568,20130315,   53,    0
195568,20130316,   44,    0
195568,20130317,   70,    0
195568,20130318,   65,    0
195568,20130319,   80,    0
195568,20130320,   77,    0
195568,20130321,   99,    0
195568,20130322,   93,    0
195568,20130323,  109,    0
195568,20130324,   74,    0
195568,20130325,   30,    0
195568,20130326,   49,    0
195568,20130327,   62,    0
195568,20130328,   73,    0
195568,20130329,   82,    0
195568,20130330,   86,    0
195568,20130331,   97,    0
195568,20130401,   90,    0
195568,20130402,   88,    0
195568,20130403,   90,    0
195568,20130404,   91,    0
195568,20130405,   91,    0
195568,20130406,  110,    0
195568,20130407,  101,    0
195568,20130408,   95,    0
195568,20130409,   99,    0
195568,20130410,  113,    0
195568,20130411,  134,    0
195568,20130412,  159,    0
195568,20130413,  142,    0
195568,20130414,  152,    0
195568,20130415,  154,    0
195568,20130416,  158,    0
195568,20130417,  169,    0
195568,20130418,  177,    0
195568,20130419,  181,    0
195568,20130420,  158,    0
195568,20130421,  136,    0
195568,20130422,  126,    0
195568,20130423,  128,    0
195568,20130424,  143,    0
195568,20130425,  161,    0
195568,20130426,  166,    0
195568,20130427,  163,    0
195568,20130428,  179,    0
195568,20130429,  178,    0
195568,20130430,  167,    0
195568,20130501,  189,    0
195568,20130502,  178,    0
195568,20130503,  170,    0
195568,20130504,  192,    0
195568,20130505,  185,    0
195568,20130506,  176,    0
195568,20130507,  175,    0
195568,20130508,  178,    0
195568,20130509,  201,    0
195568,20130510,  187,    0
195568,20130511,  172,    0
195568,20130512,  164,    0
195568,20130513,  156,    0
195568,20130514,  166,    0
195568,20130515,  186,    0
195568,20130516,  178,    0
195568,20130517,  166,    0
195568,20130518,  168,    0
195568,20130519,  172,    0
195568,20130520,  146,    0
195568,20130521,  150,    0
195568,20130522,  163,    0
195568,20130523,  178,    0
195568,20130524,  125,    0
195568,20130525,  111,    0
195568,20130526,  147,    0
195568,20130527,  161,    0
195568,20130528,  163,    0
195568,20130529,  175,    0
195568,20130530,  147,    0
195568,20130531,  159,    0
195568,20130601,  168,    0
195568,20130602,  180,    0
195568,20130603,  184,    0
195568,20130604,  192,    0
195568,20130605,  199,    0
195568,20130606,  202,    0
195568,20130607,  211,    0
195568,20130608,  221,    0
195568,20130609,  200,    0
195568,20130610,  188,    0
195568,20130611,  202,    0
195568,20130612,  220,    0
195568,20130613,  230,    0
195568,20130614,  225,    0
195568,20130615,  248,    0
195568,20130616,  252,    0
195568,20130617,  261,    0
195568,20130618,  271,    0
195568,20130619,  272,    0
195568,20130620,  271,    0
195568,20130621,  251,    0
195568,20130622,  236,    0
195568,20130623,  237,    0
195568,20130624,  200,    0
195568,20130625,  204,    0
195568,20130626,  182,    0
195568,20130627,  183,    0
195568,20130628,  161,    0
195568,20130629,  183,    0
195568,20130630,  203,    0
195568,20130701,  218,    0
195568,20130702,  229,    0
195568,20130703,  232,    0
195568,20130704,  250,    0
195568,20130705,  260,    0
195568,20130706,  263,    0
195568,20130707,  252,    0
195568,20130708,  256,    0
195568,20130709,  254,    0
195568,20130710,  254,    0
195568,20130711,  249,    0
195568,20130712,  235,    0
195568,20130713,  239,    0
195568,20130714,  232,    0
195568,20130715,  238,    0
195568,20130716,  242,    0
195568,20130717,  239,    0
195568,20130718,  236,    0
195568,20130719,  243,    0
195568,20130720,  252,    0
195568,20130721,  253,    0
195568,20130722,  253,    0
195568,20130723,  254,    0
195568,20130724,  256,    0
195568,20130725,  265,    0
195568,20130726,  278,    0
195568,20130727,  284,    0
195568,20130728,  285,    0
195568,20130729,  243,    0
195568,20130730,  233,    0
195568,20130731,  243,    0
195568,20130801,  256,    0
195568,20130802,  265,    0
195568,20130803,  271,    0
195568,20130804,  285,    0
195568,20130805,  286,    0
195568,20130806,  287,    0
195568,20130807,  278,    0
195568,20130808,  272,    0
195568,20130809,  254,    0
195568,20130810,  239,    0
195568,20130811,  241,    0
195568,20130812,  245,    0
195568,20130813,  254,    0
195568,20130814,  210,    0
195568,20130815,  213,    0
195568,20130816,  219,    0
195568,20130817,  229,    0
195568,20130818,  241,    0
195568,20130819,  245,    0
195568,20130820,  198,    0
195568,20130821,  210,    0
195568,20130822,  218,    0
195568,20130823,  224,    0
195568,20130824,  232,    0
195568,20130825,  217,    0
195568,20130826,  208,    0
195568,20130827,  209,    0
195568,20130828,  209,    0
195568,20130829,  215,    0
195568,20130830,  208,    0
195568,20130831,  211,    0
195568,20130901,  214,    0
195568,20130902,  217,    0
195568,20130903,  221,    0
195568,20130904,  228,    0
195568,20130905,  227,    0
195568,20130906,  228,    0
195568,20130907,  232,    0
195568,20130908,  245,    0
195568,20130909,  244,    0
195568,20130910,  216,    0
195568,20130911,  180,    0
195568,20130912,  174,    0
195568,20130913,  185,    0
195568,20130914,  187,    0
195568,20130915,  188,    0
195568,20130916,  199,    0
195568,20130917,  175,    0
195568,20130918,  155,    0
195568,20130919,  177,    0
195568,20130920,  189,    0
195568,20130921,  194,    0
195568,20130922,  183,    0
195568,20130923,  183,    0
195568,20130924,  189,    0
195568,20130925,  203,    0
195568,20130926,  204,    0
195568,20130927,  218,    0
195568,20130928,  215,    0
195568,20130929,  184,    0
195568,20130930,  142,    0
195568,20131001,  160,    0
195568,20131002,  164,    0
195568,20131003,  150,    0
195568,20131004,  140,    0
195568,20131005,  122,    0
195568,20131006,  147,    0
195568,20131007,  153,    0
195568,20131008,  144,    0
195568,20131009,  158,    0
195568,20131010,  164,    0
195568,20131011,  136,    0
195568,20131012,  139,    0
195568,20131013,  131,    0
195568,20131014,  131,    0
195568,20131015,  140,    0
195568,20131016,  155,    0
195568,20131017,  142,    0
195568,20131018,  137,    0
195568,20131019,  154,    0
195568,20131020,  166,    0
195568,20131021,  158,    0
195568,20131022,  165,    0
195568,20131023,  178,    0
195568,20131024,  175,    0
195568,20131025,  164,    0
195568,20131026,  173,    0
195568,20131027,  165,    0
195568,20131028,  176,    0
195568,20131029,  183,    0
195568,20131030,  178,    0
195568,20131031,  150,    0
195568,20131101,  126,    0
195568,20131102,  147,    0
195568,20131103,  155,    0
195568,20131104,  134,    0
195568,20131105,  129,    0
195568,20131106,  112,    0
195568,20131107,  125,    0
195568,20131108,  147,    0
195568,20131109,  141,    0
195568,20131110,  114,    0
195568,20131111,  129,    0
195568,20131112,  128,    0
195568,20131113,  125,    0
195568,20131114,  116,    0
195568,20131115,  107,    0
195568,20131116,  109,    0
195568,20131117,  104,    0
195568,20131118,  117,    0
195568,20131119,  133,    0
195568,20131120,  107,    0
195568,20131121,   85,    0
195568,20131122,   81,    0
195568,20131123,   89,    0
195568,20131124,   90,    0
195568,20131125,   61,    0
195568,20131126,   33,    0
195568,20131127,   30,    0
195568,20131128,   32,    0
195568,20131129,   13,    0
195568,20131130,   34,    0
195568,20131201,   64,    0
195568,20131202,   76,    0
195568,20131203,   41,    0
195568,20131204,   23,    0
195568,20131205,   13,    0
195568,20131206,   29,    0
195568,20131207,   30,    0
195568,20131208,   14,    0
195568,20131209,   12,    0
195568,20131210,   13,    0
195568,20131211,    5,    0
195568,20131212,   17,    0
195568,20131213,    8,    0
195568,20131214,    2,    0
195568,20131215,   29,    0
195568,20131216,    9,    0
195568,20131217,-9999,    9
195568,20131218,-9999,    9
195568,20131219,-9999,    9
195568,20131220,-9999,    9
195568,20131221,-9999,    9
195568,20131222,-9999,    9
195568,20131223,-9999,    9
195568,20131224,-9999,    9
195568,20131225,-9999,    9
195568,20131226,-9999,    9
195568,20131227,-9999,    9
195568,20131228,   48,    0
195568,20131229,   78,    0
195568,20131230,   84,    0
195568,20131231,   38,    0
195568,20140101,   23,    0
195568,20140102,   39,    0
195568,20140103,   57,    0
195568,20140104,   78,    0
195568,20140105,   85,    0
195568,20140106,   79,    0
195568,20140107,   51,    0
195568,20140108,   57,    0
195568,20140109,   73,    0
195568,20140110,   66,    0
195568,20140111,   82,    0
195568,20140112,   80,    0
195568,20140113,   76,    0
195568,20140114,   87,    0
195568,20140115,   48,    0
195568,20140116,   51,    0
195568,20140117,   84,    0
195568,20140118,   71,    0
195568,20140119,   82,    0
195568,20140120,   83,    0
195568,20140121,   93,    0
195568,20140122,   80,    0
195568,20140123,   76,    0
195568,20140124,   71,    0
195568,20140125,   47,    0
195568,20140126,   40,    0
195568,20140127,   57,    0
195568,20140128,   48,    0
195568,20140129,   46,    0
195568,20140130,   75,    0
195568,20140131,   62,    0
195568,20140201,   75,    0
195568,20140202,   90,    0
195568,20140203,   84,    0
195568,20140204,   71,    0
195568,20140205,   81,    0
195568,20140206,   79,    0
195568,20140207,   78,    0
195568,20140208,   88,    0
195568,20140209,   80,    0
195568,20140210,   71,    0
195568,20140211,   77,    0
195568,20140212,   79,    0
195568,20140213,   60,    0
195568,20140214,   80,    0
195568,20140215,   92,    0
195568,20140216,   86,    0
195568,20140217,   89,    0
195568,20140218,   91,    0
195568,20140219,  105,    0
195568,20140220,   92,    0
195568,20140221,  103,    0
195568,20140222,   82,    0
195568,20140223,   78,    0
195568,20140224,   72,    0
195568,20140225,   72,    0
195568,20140226,   84,    0
195568,20140227,   69,    0
195568,20140228,   82,    0
195568,20140301,   94,    0
195568,20140302,   86,    0
195568,20140303,   88,    0
195568,20140304,   93,    0
195568,20140305,  104,    0
195568,20140306,  110,    0
195568,20140307,  112,    0
195568,20140308,  103,    0
195568,20140309,  102,    0
195568,20140310,  105,    0
195568,20140311,   97,    0
195568,20140312,   95,    0
195568,20140313,  100,    0
195568,20140314,  101,    0
195568,20140315,  102,    0
195568,20140316,  111,    0
195568,20140317,  113,    0
