EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CORTILE_DI_CARPI (STAID: 17604).
Blended and updated with sources: 194048 195096 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194048,20051201,-9999,    9
194048,20051202,-9999,    9
194048,20051203,-9999,    9
194048,20051204,-9999,    9
194048,20051205,-9999,    9
194048,20051206,-9999,    9
194048,20051207,-9999,    9
194048,20051208,-9999,    9
194048,20051209,-9999,    9
194048,20051210,-9999,    9
194048,20051211,-9999,    9
194048,20051212,-9999,    9
194048,20051213,-9999,    9
194048,20051214,-9999,    9
194048,20051215,-9999,    9
194048,20051216,-9999,    9
194048,20051217,-9999,    9
194048,20051218,-9999,    9
194048,20051219,-9999,    9
194048,20051220,-9999,    9
194048,20051221,-9999,    9
194048,20051222,-9999,    9
194048,20051223,-9999,    9
194048,20051224,-9999,    9
194048,20051225,-9999,    9
194048,20051226,-9999,    9
194048,20051227,-9999,    9
194048,20051228,-9999,    9
194048,20051229,-9999,    9
194048,20051230,-9999,    9
194048,20051231,  -12,    0
194048,20060101,   -5,    0
194048,20060102,    6,    0
194048,20060103,   23,    0
194048,20060104,   15,    0
194048,20060105,   19,    0
194048,20060106,   24,    0
194048,20060107,   21,    0
194048,20060108,   11,    0
194048,20060109,   10,    0
194048,20060110,    0,    0
194048,20060111,    4,    0
194048,20060112,    0,    0
194048,20060113,    0,    0
194048,20060114,  -20,    0
194048,20060115,  -19,    0
194048,20060116,   -1,    0
194048,20060117,   -3,    0
194048,20060118,    2,    0
194048,20060119,  -30,    0
194048,20060120,  -33,    0
194048,20060121,  -12,    0
194048,20060122,    9,    0
194048,20060123,   -6,    0
194048,20060124,  -27,    0
194048,20060125,  -34,    0
194048,20060126,  -35,    0
194048,20060127,   -5,    0
194048,20060128,   10,    0
194048,20060129,   19,    0
194048,20060130,   34,    0
194048,20060131,   51,    0
194048,20060201,   38,    0
194048,20060202,   37,    0
194048,20060203,   37,    0
194048,20060204,   26,    0
194048,20060205,   10,    0
194048,20060206,  -16,    0
194048,20060207,  -15,    0
194048,20060208,    6,    0
194048,20060209,   17,    0
194048,20060210,   23,    0
194048,20060211,   19,    0
194048,20060212,    3,    0
194048,20060213,    3,    0
194048,20060214,   11,    0
194048,20060215,   25,    0
194048,20060216,   21,    0
194048,20060217,   47,    0
194048,20060218,   53,    0
194048,20060219,   53,    0
194048,20060220,   60,    0
194048,20060221,   52,    0
194048,20060222,   69,    0
194048,20060223,   70,    0
194048,20060224,   47,    0
194048,20060225,   44,    0
194048,20060226,   55,    0
194048,20060227,   36,    0
194048,20060228,   21,    0
194048,20060301,   33,    0
194048,20060302,   30,    0
194048,20060303,   30,    0
194048,20060304,   85,    0
194048,20060305,   95,    0
194048,20060306,   51,    0
194048,20060307,   43,    0
194048,20060308,   40,    0
194048,20060309,   65,    0
194048,20060310,   73,    0
194048,20060311,   57,    0
194048,20060312,   10,    0
194048,20060313,   43,    0
194048,20060314,   38,    0
194048,20060315,   49,    0
194048,20060316,   46,    0
194048,20060317,   57,    0
194048,20060318,   43,    0
194048,20060319,   50,    0
194048,20060320,   68,    0
194048,20060321,   73,    0
194048,20060322,   87,    0
194048,20060323,  101,    0
194048,20060324,   73,    0
194048,20060325,   97,    0
194048,20060326,  119,    0
194048,20060327,  134,    0
194048,20060328,  138,    0
194048,20060329,  142,    0
194048,20060330,  109,    0
194048,20060331,  133,    0
194048,20060401,  129,    0
194048,20060402,  135,    0
194048,20060403,  118,    0
194048,20060404,  107,    0
194048,20060405,  110,    0
194048,20060406,   77,    0
194048,20060407,   70,    0
194048,20060408,   95,    0
194048,20060409,  115,    0
194048,20060410,  116,    0
194048,20060411,   86,    0
194048,20060412,   92,    0
194048,20060413,  110,    0
194048,20060414,  136,    0
194048,20060415,  133,    0
194048,20060416,  151,    0
194048,20060417,  135,    0
194048,20060418,  136,    0
194048,20060419,  139,    0
194048,20060420,  144,    0
194048,20060421,  153,    0
194048,20060422,  171,    0
194048,20060423,  170,    0
194048,20060424,  167,    0
194048,20060425,  162,    0
194048,20060426,  179,    0
194048,20060427,  144,    0
194048,20060428,  147,    0
194048,20060429,  147,    0
194048,20060430,  110,    0
194048,20060501,  127,    0
194048,20060502,  141,    0
194048,20060503,  144,    0
194048,20060504,  154,    0
194048,20060505,  151,    0
194048,20060506,  163,    0
194048,20060507,  170,    0
194048,20060508,  158,    0
194048,20060509,  125,    0
194048,20060510,  152,    0
194048,20060511,  160,    0
194048,20060512,  177,    0
194048,20060513,  188,    0
194048,20060514,  166,    0
194048,20060515,  174,    0
194048,20060516,  201,    0
194048,20060517,  206,    0
194048,20060518,  208,    0
194048,20060519,  213,    0
194048,20060520,  204,    0
194048,20060521,  212,    0
194048,20060522,  211,    0
194048,20060523,  195,    0
194048,20060524,  166,    0
194048,20060525,  164,    0
194048,20060526,  196,    0
194048,20060527,  209,    0
194048,20060528,  224,    0
194048,20060529,  183,    0
194048,20060530,  117,    0
194048,20060531,  126,    0
194048,20060601,  148,    0
194048,20060602,  130,    0
194048,20060603,  151,    0
194048,20060604,  179,    0
194048,20060605,  167,    0
194048,20060606,  159,    0
194048,20060607,  161,    0
194048,20060608,  168,    0
194048,20060609,  173,    0
194048,20060610,  198,    0
194048,20060611,  190,    0
194048,20060612,  188,    0
194048,20060613,  210,    0
194048,20060614,  227,    0
194048,20060615,  234,    0
194048,20060616,  227,    0
194048,20060617,  236,    0
194048,20060618,  238,    0
194048,20060619,  236,    0
194048,20060620,  255,    0
194048,20060621,  250,    0
194048,20060622,  252,    0
194048,20060623,  261,    0
194048,20060624,  264,    0
194048,20060625,  258,    0
194048,20060626,  264,    0
194048,20060627,  268,    0
194048,20060628,  267,    0
194048,20060629,  255,    0
194048,20060630,  258,    0
194048,20060701,  256,    0
194048,20060702,  247,    0
194048,20060703,  244,    0
194048,20060704,  243,    0
194048,20060705,  239,    0
194048,20060706,  225,    0
194048,20060707,  195,    0
194048,20060708,  225,    0
194048,20060709,  246,    0
194048,20060710,  257,    0
194048,20060711,  265,    0
194048,20060712,  275,    0
194048,20060713,  261,    0
194048,20060714,  260,    0
194048,20060715,  260,    0
194048,20060716,  243,    0
194048,20060717,  230,    0
194048,20060718,  229,    0
194048,20060719,  239,    0
194048,20060720,  260,    0
194048,20060721,  269,    0
194048,20060722,  276,    0
194048,20060723,  282,    0
194048,20060724,  282,    0
194048,20060725,  281,    0
194048,20060726,  279,    0
194048,20060727,  271,    0
194048,20060728,  252,    0
194048,20060729,  236,    0
194048,20060730,  261,    0
194048,20060731,  273,    0
194048,20060801,  258,    0
194048,20060802,  234,    0
194048,20060803,  194,    0
194048,20060804,  199,    0
194048,20060805,  204,    0
194048,20060806,  223,    0
194048,20060807,  233,    0
194048,20060808,  238,    0
194048,20060809,  216,    0
194048,20060810,  213,    0
194048,20060811,  195,    0
194048,20060812,  170,    0
194048,20060813,  179,    0
194048,20060814,  183,    0
194048,20060815,  200,    0
194048,20060816,  203,    0
194048,20060817,  230,    0
194048,20060818,  250,    0
194048,20060819,  214,    0
194048,20060820,  226,    0
194048,20060821,  206,    0
194048,20060822,  223,    0
194048,20060823,  228,    0
194048,20060824,  229,    0
194048,20060825,  211,    0
194048,20060826,  209,    0
194048,20060827,  203,    0
194048,20060828,  196,    0
194048,20060829,  213,    0
194048,20060830,  181,    0
194048,20060831,  181,    0
194048,20060901,  189,    0
194048,20060902,  203,    0
194048,20060903,  220,    0
194048,20060904,  238,    0
194048,20060905,  239,    0
194048,20060906,  252,    0
194048,20060907,  253,    0
194048,20060908,  229,    0
194048,20060909,  199,    0
194048,20060910,  183,    0
194048,20060911,  186,    0
194048,20060912,  194,    0
194048,20060913,  201,    0
194048,20060914,  205,    0
194048,20060915,  220,    0
194048,20060916,  182,    0
194048,20060917,  166,    0
194048,20060918,  186,    0
194048,20060919,  199,    0
194048,20060920,  200,    0
194048,20060921,  196,    0
194048,20060922,  199,    0
194048,20060923,  184,    0
194048,20060924,  177,    0
194048,20060925,  175,    0
194048,20060926,  182,    0
194048,20060927,  191,    0
194048,20060928,  182,    0
194048,20060929,  183,    0
194048,20060930,  188,    0
194048,20061001,  207,    0
194048,20061002,  204,    0
194048,20061003,  207,    0
194048,20061004,  190,    0
194048,20061005,  158,    0
194048,20061006,  147,    0
194048,20061007,  124,    0
194048,20061008,  144,    0
194048,20061009,  141,    0
194048,20061010,  140,    0
194048,20061011,  139,    0
194048,20061012,  132,    0
194048,20061013,  142,    0
194048,20061014,  141,    0
194048,20061015,  133,    0
194048,20061016,  128,    0
194048,20061017,  108,    0
194048,20061018,  103,    0
194048,20061019,  129,    0
194048,20061020,  133,    0
194048,20061021,  136,    0
194048,20061022,  152,    0
194048,20061023,  154,    0
194048,20061024,  177,    0
194048,20061025,  160,    0
194048,20061026,  157,    0
194048,20061027,  157,    0
194048,20061028,  142,    0
194048,20061029,  155,    0
194048,20061030,  130,    0
194048,20061031,  119,    0
194048,20061101,  143,    0
194048,20061102,   84,    0
194048,20061103,   50,    0
194048,20061104,   44,    0
194048,20061105,   58,    0
194048,20061106,   87,    0
194048,20061107,   72,    0
194048,20061108,   91,    0
194048,20061109,  106,    0
194048,20061110,   72,    0
194048,20061111,   66,    0
