EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CUSERCOLI (STAID: 17605).
Blended and updated with sources: 195112 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195112,20051201,-9999,    9
195112,20051202,-9999,    9
195112,20051203,-9999,    9
195112,20051204,-9999,    9
195112,20051205,-9999,    9
195112,20051206,-9999,    9
195112,20051207,-9999,    9
195112,20051208,-9999,    9
195112,20051209,-9999,    9
195112,20051210,-9999,    9
195112,20051211,-9999,    9
195112,20051212,-9999,    9
195112,20051213,-9999,    9
195112,20051214,-9999,    9
195112,20051215,-9999,    9
195112,20051216,-9999,    9
195112,20051217,-9999,    9
195112,20051218,-9999,    9
195112,20051219,-9999,    9
195112,20051220,-9999,    9
195112,20051221,-9999,    9
195112,20051222,-9999,    9
195112,20051223,-9999,    9
195112,20051224,-9999,    9
195112,20051225,-9999,    9
195112,20051226,-9999,    9
195112,20051227,-9999,    9
195112,20051228,-9999,    9
195112,20051229,-9999,    9
195112,20051230,-9999,    9
195112,20051231,   -7,    0
195112,20060101,   -9,    0
195112,20060102,   22,    0
195112,20060103,   37,    0
195112,20060104,   26,    0
195112,20060105,   22,    0
195112,20060106,   32,    0
195112,20060107,   35,    0
195112,20060108,   25,    0
195112,20060109,    6,    0
195112,20060110,    6,    0
195112,20060111,   16,    0
195112,20060112,   18,    0
195112,20060113,   13,    0
195112,20060114,    4,    0
195112,20060115,   -9,    0
195112,20060116,  -10,    0
195112,20060117,  -11,    0
195112,20060118,   -7,    0
195112,20060119,   23,    0
195112,20060120,   33,    0
195112,20060121,   34,    0
195112,20060122,   22,    0
195112,20060123,   -9,    0
195112,20060124,  -27,    0
195112,20060125,  -33,    0
195112,20060126,  -11,    0
195112,20060127,    6,    0
195112,20060128,   25,    0
195112,20060129,   45,    0
195112,20060130,   51,    0
195112,20060131,   68,    0
195112,20060201,   71,    0
195112,20060202,   76,    0
195112,20060203,   76,    0
195112,20060204,   59,    0
195112,20060205,   10,    0
195112,20060206,  -11,    0
195112,20060207,   -1,    0
195112,20060208,   28,    0
195112,20060209,   33,    0
195112,20060210,   31,    0
195112,20060211,   24,    0
195112,20060212,   19,    0
195112,20060213,   16,    0
195112,20060214,   30,    0
195112,20060215,   75,    0
195112,20060216,   34,    0
195112,20060217,  113,    0
195112,20060218,  113,    0
195112,20060219,  114,    0
195112,20060220,   86,    0
195112,20060221,   51,    0
195112,20060222,   54,    0
195112,20060223,   51,    0
195112,20060224,   22,    0
195112,20060225,   25,    0
195112,20060226,   47,    0
195112,20060227,   32,    0
195112,20060228,   12,    0
195112,20060301,   27,    0
195112,20060302,   15,    0
195112,20060303,   83,    0
195112,20060304,  126,    0
195112,20060305,  102,    0
195112,20060306,   23,    0
195112,20060307,   31,    0
195112,20060308,   41,    0
195112,20060309,   66,    0
195112,20060310,   58,    0
195112,20060311,   38,    0
195112,20060312,   17,    0
195112,20060313,   27,    0
195112,20060314,   30,    0
195112,20060315,   44,    0
195112,20060316,   27,    0
195112,20060317,   46,    0
195112,20060318,   39,    0
195112,20060319,   45,    0
195112,20060320,   71,    0
195112,20060321,   83,    0
195112,20060322,   64,    0
195112,20060323,   82,    0
195112,20060324,   75,    0
195112,20060325,   88,    0
195112,20060326,  119,    0
195112,20060327,  151,    0
195112,20060328,  143,    0
195112,20060329,  131,    0
195112,20060330,  136,    0
195112,20060331,  159,    0
195112,20060401,  144,    0
195112,20060402,  133,    0
195112,20060403,  121,    0
195112,20060404,  107,    0
195112,20060405,  139,    0
195112,20060406,   88,    0
195112,20060407,   65,    0
195112,20060408,   90,    0
195112,20060409,  131,    0
195112,20060410,  147,    0
195112,20060411,   89,    0
195112,20060412,   86,    0
195112,20060413,  104,    0
195112,20060414,  161,    0
195112,20060415,  154,    0
195112,20060416,  147,    0
195112,20060417,  136,    0
195112,20060418,  108,    0
195112,20060419,  120,    0
195112,20060420,  135,    0
195112,20060421,  143,    0
195112,20060422,  162,    0
195112,20060423,  185,    0
195112,20060424,  170,    0
195112,20060425,  165,    0
195112,20060426,  157,    0
195112,20060427,  120,    0
195112,20060428,  123,    0
195112,20060429,  135,    0
195112,20060430,   98,    0
195112,20060501,  115,    0
195112,20060502,  133,    0
195112,20060503,  136,    0
195112,20060504,  142,    0
195112,20060505,  134,    0
195112,20060506,  144,    0
195112,20060507,  149,    0
195112,20060508,  146,    0
195112,20060509,  126,    0
195112,20060510,  129,    0
195112,20060511,  142,    0
195112,20060512,  172,    0
195112,20060513,  186,    0
195112,20060514,  139,    0
195112,20060515,  166,    0
195112,20060516,  205,    0
195112,20060517,  215,    0
195112,20060518,  222,    0
195112,20060519,  228,    0
195112,20060520,  192,    0
195112,20060521,  206,    0
195112,20060522,  228,    0
195112,20060523,  212,    0
195112,20060524,  154,    0
195112,20060525,  157,    0
195112,20060526,  182,    0
195112,20060527,  224,    0
195112,20060528,  238,    0
195112,20060529,  211,    0
195112,20060530,  105,    0
195112,20060531,  111,    0
195112,20060601,  109,    0
195112,20060602,  111,    0
195112,20060603,  111,    0
195112,20060604,  167,    0
195112,20060605,  175,    0
195112,20060606,  135,    0
195112,20060607,  132,    0
195112,20060608,  145,    0
195112,20060609,  149,    0
195112,20060610,  182,    0
195112,20060611,  158,    0
195112,20060612,  170,    0
195112,20060613,  204,    0
195112,20060614,  232,    0
195112,20060615,  241,    0
195112,20060616,  236,    0
195112,20060617,  247,    0
195112,20060618,  249,    0
195112,20060619,  261,    0
195112,20060620,  257,    0
195112,20060621,  257,    0
195112,20060622,  260,    0
195112,20060623,  258,    0
195112,20060624,  249,    0
195112,20060625,  259,    0
195112,20060626,  284,    0
195112,20060627,  274,    0
195112,20060628,  270,    0
195112,20060629,  266,    0
195112,20060630,  248,    0
195112,20060701,  239,    0
195112,20060702,  228,    0
195112,20060703,  221,    0
195112,20060704,  211,    0
195112,20060705,  221,    0
195112,20060706,  230,    0
195112,20060707,  189,    0
195112,20060708,  204,    0
195112,20060709,  230,    0
195112,20060710,  241,    0
195112,20060711,  246,    0
195112,20060712,  246,    0
195112,20060713,  246,    0
195112,20060714,  245,    0
195112,20060715,  239,    0
195112,20060716,  221,    0
195112,20060717,  212,    0
195112,20060718,  216,    0
195112,20060719,  236,    0
195112,20060720,  261,    0
195112,20060721,  277,    0
195112,20060722,  281,    0
195112,20060723,  281,    0
195112,20060724,  273,    0
195112,20060725,  269,    0
195112,20060726,  269,    0
195112,20060727,  263,    0
195112,20060728,  283,    0
195112,20060729,  236,    0
195112,20060730,  253,    0
195112,20060731,  268,    0
195112,20060801,  271,    0
195112,20060802,  228,    0
195112,20060803,  216,    0
195112,20060804,  192,    0
195112,20060805,  196,    0
195112,20060806,  215,    0
195112,20060807,  242,    0
195112,20060808,  196,    0
195112,20060809,  179,    0
195112,20060810,  197,    0
195112,20060811,  173,    0
195112,20060812,  147,    0
195112,20060813,  181,    0
195112,20060814,  194,    0
195112,20060815,  217,    0
195112,20060816,  218,    0
195112,20060817,  232,    0
195112,20060818,  246,    0
195112,20060819,  219,    0
195112,20060820,  227,    0
195112,20060821,  218,    0
195112,20060822,  212,    0
195112,20060823,  216,    0
195112,20060824,  227,    0
195112,20060825,  215,    0
195112,20060826,  192,    0
195112,20060827,  182,    0
195112,20060828,  210,    0
195112,20060829,  217,    0
195112,20060830,  164,    0
195112,20060831,  178,    0
195112,20060901,  188,    0
195112,20060902,  200,    0
195112,20060903,  217,    0
195112,20060904,  246,    0
195112,20060905,  243,    0
195112,20060906,  240,    0
195112,20060907,  246,    0
195112,20060908,  225,    0
195112,20060909,  182,    0
195112,20060910,  175,    0
195112,20060911,  183,    0
195112,20060912,  188,    0
195112,20060913,  194,    0
195112,20060914,  188,    0
195112,20060915,  214,    0
195112,20060916,  168,    0
195112,20060917,  164,    0
195112,20060918,  178,    0
195112,20060919,  183,    0
195112,20060920,  188,    0
195112,20060921,  188,    0
195112,20060922,  189,    0
195112,20060923,  174,    0
195112,20060924,  167,    0
195112,20060925,  164,    0
195112,20060926,  176,    0
195112,20060927,  180,    0
195112,20060928,  174,    0
195112,20060929,  180,    0
195112,20060930,  194,    0
195112,20061001,  207,    0
195112,20061002,  212,    0
195112,20061003,  218,    0
195112,20061004,  198,    0
195112,20061005,  158,    0
195112,20061006,  146,    0
195112,20061007,  132,    0
195112,20061008,  139,    0
195112,20061009,  141,    0
195112,20061010,  142,    0
195112,20061011,  143,    0
195112,20061012,  146,    0
195112,20061013,  149,    0
195112,20061014,  146,    0
195112,20061015,  128,    0
195112,20061016,  119,    0
195112,20061017,  111,    0
195112,20061018,  103,    0
195112,20061019,  125,    0
195112,20061020,  124,    0
195112,20061021,  128,    0
195112,20061022,  137,    0
195112,20061023,  185,    0
195112,20061024,  204,    0
195112,20061025,  180,    0
195112,20061026,  158,    0
195112,20061027,  159,    0
195112,20061028,  155,    0
195112,20061029,  164,    0
195112,20061030,  146,    0
195112,20061031,  129,    0
195112,20061101,  139,    0
195112,20061102,   83,    0
195112,20061103,   55,    0
195112,20061104,   55,    0
195112,20061105,  106,    0
195112,20061106,  124,    0
195112,20061107,  114,    0
195112,20061108,  131,    0
195112,20061109,  149,    0
195112,20061110,  107,    0
195112,20061111,   88,    0
195112,20061112,   94,    0
195112,20061113,   87,    0
195112,20061114,  129,    0
195112,20061115,  130,    0
195112,20061116,  141,    0
195112,20061117,  158,    0
195112,20061118,  146,    0
195112,20061119,  118,    0
195112,20061120,  110,    0
195112,20061121,  108,    0
195112,20061122,   77,    0
195112,20061123,   88,    0
195112,20061124,  108,    0
195112,20061125,   95,    0
195112,20061126,   96,    0
195112,20061127,   89,    0
195112,20061128,   90,    0
195112,20061129,   86,    0
195112,20061130,   83,    0
195112,20061201,   80,    0
195112,20061202,   64,    0
195112,20061203,   78,    0
195112,20061204,   92,    0
195112,20061205,   66,    0
195112,20061206,  143,    0
195112,20061207,   92,    0
195112,20061208,  137,    0
195112,20061209,  107,    0
195112,20061210,   87,    0
195112,20061211,   61,    0
195112,20061212,   41,    0
195112,20061213,   48,    0
195112,20061214,   48,    0
195112,20061215,   64,    0
195112,20061216,   63,    0
195112,20061217,   52,    0
195112,20061218,   58,    0
195112,20061219,   42,    0
195112,20061220,   31,    0
195112,20061221,   33,    0
195112,20061222,   47,    0
195112,20061223,   30,    0
195112,20061224,   36,    0
195112,20061225,   51,    0
195112,20061226,   44,    0
195112,20061227,   21,    0
195112,20061228,   12,    0
195112,20061229,   -9,    0
195112,20061230,   11,    0
195112,20061231,   50,    0
195112,20070101,  125,    0
195112,20070102,   73,    0
195112,20070103,   68,    0
195112,20070104,   76,    0
195112,20070105,   54,    0
