EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, DIGA_DI_BRASIMONE (STAID: 17608).
Blended and updated with sources: 195152 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195152,20180401,-9999,    9
195152,20180402,-9999,    9
195152,20180403,-9999,    9
195152,20180404,-9999,    9
195152,20180405,-9999,    9
195152,20180406,-9999,    9
195152,20180407,   88,    0
195152,20180408,  102,    0
195152,20180409,   68,    0
195152,20180410,   74,    0
195152,20180411,   79,    0
195152,20180412,   88,    0
195152,20180413,   79,    0
195152,20180414,   88,    0
195152,20180415,   93,    0
195152,20180416,  115,    0
195152,20180417,  120,    0
195152,20180418,  118,    0
195152,20180419,  124,    0
195152,20180420,-9999,    9
195152,20180421,  147,    0
195152,20180422,  148,    0
195152,20180423,  149,    0
195152,20180424,  148,    0
195152,20180425,  154,    0
195152,20180426,-9999,    9
195152,20180427,  133,    0
195152,20180428,  154,    0
195152,20180429,  161,    0
195152,20180430,  116,    0
195152,20180501,   95,    0
195152,20180502,   91,    0
195152,20180503,  104,    0
195152,20180504,  111,    0
195152,20180505,  125,    0
195152,20180506,  142,    0
195152,20180507,  140,    0
195152,20180508,  146,    0
195152,20180509,  123,    0
195152,20180510,  121,    0
195152,20180511,  124,    0
195152,20180512,  134,    0
195152,20180513,  124,    0
195152,20180514,   83,    0
195152,20180515,   80,    0
195152,20180516,  101,    0
195152,20180517,  102,    0
195152,20180518,  119,    0
195152,20180519,  129,    0
195152,20180520,  134,    0
195152,20180521,  132,    0
195152,20180522,  123,    0
195152,20180523,  127,    0
195152,20180524,  147,    0
195152,20180525,  167,    0
195152,20180526,  178,    0
195152,20180527,  181,    0
195152,20180528,  189,    0
195152,20180529,  185,    0
195152,20180530,  169,    0
195152,20180531,  173,    0
195152,20180601,  156,    0
195152,20180602,  164,    0
195152,20180603,  184,    0
195152,20180604,  170,    0
195152,20180605,  161,    0
195152,20180606,  163,    0
195152,20180607,  183,    0
195152,20180608,  157,    0
195152,20180609,  165,    0
195152,20180610,  172,    0
195152,20180611,  202,    0
195152,20180612,  184,    0
195152,20180613,  157,    0
195152,20180614,  147,    0
195152,20180615,  152,    0
195152,20180616,  160,    0
195152,20180617,  179,    0
195152,20180618,  169,    0
195152,20180619,  179,    0
195152,20180620,  180,    0
195152,20180621,  192,    0
195152,20180622,  172,    0
195152,20180623,  144,    0
195152,20180624,  142,    0
195152,20180625,  133,    0
195152,20180626,  139,    0
195152,20180627,  165,    0
195152,20180628,  158,    0
195152,20180629,  182,    0
195152,20180630,  201,    0
195152,20180701,  209,    0
195152,20180702,  205,    0
195152,20180703,  206,    0
195152,20180704,  203,    0
195152,20180705,  212,    0
195152,20180706,  180,    0
195152,20180707,  178,    0
195152,20180708,  192,    0
195152,20180709,  194,    0
195152,20180710,  198,    0
195152,20180711,  198,    0
195152,20180712,  191,    0
195152,20180713,  191,    0
195152,20180714,  211,    0
195152,20180715,  197,    0
195152,20180716,  179,    0
195152,20180717,  185,    0
195152,20180718,  198,    0
195152,20180719,  212,    0
195152,20180720,  206,    0
195152,20180721,  188,    0
195152,20180722,  185,    0
195152,20180723,  184,    0
195152,20180724,  192,    0
195152,20180725,  198,    0
195152,20180726,  182,    0
195152,20180727,  196,    0
195152,20180728,  203,    0
195152,20180729,  209,    0
195152,20180730,  219,    0
195152,20180731,  227,    0
195152,20180801,  222,    0
195152,20180802,  211,    0
195152,20180803,  206,    0
195152,20180804,  214,    0
195152,20180805,  218,    0
195152,20180806,  219,    0
195152,20180807,  209,    0
195152,20180808,  206,    0
195152,20180809,  211,    0
195152,20180810,  214,    0
195152,20180811,  205,    0
195152,20180812,  197,    0
195152,20180813,  195,    0
195152,20180814,  174,    0
195152,20180815,  165,    0
195152,20180816,  180,    0
195152,20180817,  185,    0
195152,20180818,  193,    0
195152,20180819,  196,    0
195152,20180820,  199,    0
195152,20180821,  200,    0
195152,20180822,  195,    0
195152,20180823,  180,    0
195152,20180824,  201,    0
195152,20180825,  194,    0
195152,20180826,  128,    0
195152,20180827,  136,    0
195152,20180828,  164,    0
195152,20180829,  191,    0
195152,20180830,  189,    0
195152,20180831,  175,    0
195152,20180901,  145,    0
195152,20180902,  139,    0
195152,20180903,  143,    0
195152,20180904,  152,    0
195152,20180905,  165,    0
195152,20180906,  173,    0
195152,20180907,  152,    0
195152,20180908,  166,    0
195152,20180909,  172,    0
195152,20180910,  178,    0
195152,20180911,  186,    0
195152,20180912,  189,    0
195152,20180913,  171,    0
195152,20180914,  183,    0
195152,20180915,  181,    0
195152,20180916,  185,    0
195152,20180917,  179,    0
195152,20180918,  169,    0
195152,20180919,  173,    0
195152,20180920,  177,    0
195152,20180921,  182,    0
195152,20180922,  188,    0
195152,20180923,  191,    0
195152,20180924,  161,    0
195152,20180925,   96,    0
195152,20180926,   83,    0
195152,20180927,  108,    0
195152,20180928,  131,    0
195152,20180929,  128,    0
195152,20180930,  119,    0
195152,20181001,  109,    0
195152,20181002,   74,    0
195152,20181003,   93,    0
195152,20181004,  112,    0
195152,20181005,  104,    0
195152,20181006,  107,    0
195152,20181007,  124,    0
195152,20181008,  124,    0
195152,20181009,  136,    0
195152,20181010,  130,    0
195152,20181011,  135,    0
195152,20181012,  138,    0
195152,20181013,  128,    0
195152,20181014,  111,    0
195152,20181015,  118,    0
195152,20181016,  124,    0
195152,20181017,  116,    0
195152,20181018,  132,    0
195152,20181019,  133,    0
195152,20181020,  120,    0
195152,20181021,   90,    0
195152,20181022,   70,    0
195152,20181023,   90,    0
195152,20181024,  151,    0
195152,20181025,  134,    0
195152,20181026,  131,    0
195152,20181027,  139,    0
195152,20181028,  133,    0
195152,20181029,  121,    0
195152,20181030,   74,    0
195152,20181031,   91,    0
195152,20181101,  102,    0
195152,20181102,   96,    0
195152,20181103,   99,    0
195152,20181104,  109,    0
195152,20181105,  114,    0
195152,20181106,  109,    0
195152,20181107,  101,    0
195152,20181108,   92,    0
195152,20181109,   94,    0
195152,20181110,  100,    0
195152,20181111,  108,    0
195152,20181112,  109,    0
195152,20181113,  103,    0
195152,20181114,   88,    0
195152,20181115,   75,    0
