EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, DOCCIA_DI_FIUMALBO (STAID: 17610).
Blended and updated with sources: 195192 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195192,20051201,-9999,    9
195192,20051202,-9999,    9
195192,20051203,-9999,    9
195192,20051204,-9999,    9
195192,20051205,-9999,    9
195192,20051206,-9999,    9
195192,20051207,-9999,    9
195192,20051208,-9999,    9
195192,20051209,-9999,    9
195192,20051210,-9999,    9
195192,20051211,-9999,    9
195192,20051212,-9999,    9
195192,20051213,-9999,    9
195192,20051214,-9999,    9
195192,20051215,-9999,    9
195192,20051216,-9999,    9
195192,20051217,-9999,    9
195192,20051218,-9999,    9
195192,20051219,-9999,    9
195192,20051220,-9999,    9
195192,20051221,-9999,    9
195192,20051222,-9999,    9
195192,20051223,-9999,    9
195192,20051224,-9999,    9
195192,20051225,-9999,    9
195192,20051226,-9999,    9
195192,20051227,-9999,    9
195192,20051228,-9999,    9
195192,20051229,-9999,    9
195192,20051230,-9999,    9
195192,20051231,   13,    0
195192,20060101,    9,    0
195192,20060102,  -19,    0
195192,20060103,  -20,    0
195192,20060104,  -38,    0
195192,20060105,  -52,    0
195192,20060106,  -49,    0
195192,20060107,  -35,    0
195192,20060108,  -43,    0
195192,20060109,  -65,    0
195192,20060110,  -53,    0
195192,20060111,  -34,    0
195192,20060112,  -25,    0
195192,20060113,  -52,    0
195192,20060114,  -49,    0
195192,20060115,  -73,    0
195192,20060116,  -51,    0
195192,20060117,   -3,    0
195192,20060118,   22,    0
195192,20060119,    6,    0
195192,20060120,   12,    0
195192,20060121,   11,    0
195192,20060122,  -14,    0
195192,20060123,  -74,    0
195192,20060124,  -85,    0
195192,20060125,  -61,    0
195192,20060126,  -47,    0
195192,20060127,  -20,    0
195192,20060128,    2,    0
195192,20060129,   10,    0
195192,20060130,   16,    0
195192,20060131,   32,    0
195192,20060201,   59,    0
195192,20060202,   53,    0
195192,20060203,   19,    0
195192,20060204,    0,    0
195192,20060205,  -46,    0
195192,20060206,  -77,    0
195192,20060207,  -17,    0
195192,20060208,    0,    0
195192,20060209,   -6,    0
195192,20060210,  -33,    0
195192,20060211,  -38,    0
195192,20060212,  -49,    0
195192,20060213,  -38,    0
