EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, FARFANARO (STAID: 17614).
Blended and updated with sources: 195232 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195232,20051201,-9999,    9
195232,20051202,-9999,    9
195232,20051203,-9999,    9
195232,20051204,-9999,    9
195232,20051205,-9999,    9
195232,20051206,-9999,    9
195232,20051207,-9999,    9
195232,20051208,-9999,    9
195232,20051209,-9999,    9
195232,20051210,-9999,    9
195232,20051211,-9999,    9
195232,20051212,-9999,    9
195232,20051213,-9999,    9
195232,20051214,-9999,    9
195232,20051215,-9999,    9
195232,20051216,-9999,    9
195232,20051217,-9999,    9
195232,20051218,-9999,    9
195232,20051219,-9999,    9
195232,20051220,-9999,    9
195232,20051221,-9999,    9
195232,20051222,-9999,    9
195232,20051223,-9999,    9
195232,20051224,-9999,    9
195232,20051225,-9999,    9
195232,20051226,-9999,    9
195232,20051227,-9999,    9
195232,20051228,-9999,    9
195232,20051229,-9999,    9
195232,20051230,-9999,    9
195232,20051231,  -31,    0
195232,20060101,  -27,    0
195232,20060102,    3,    0
195232,20060103,    7,    0
195232,20060104,  -11,    0
195232,20060105,  -13,    0
195232,20060106,   -5,    0
195232,20060107,    0,    0
195232,20060108,   -9,    0
195232,20060109,  -30,    0
195232,20060110,  -14,    0
195232,20060111,   11,    0
195232,20060112,    2,    0
195232,20060113,  -18,    0
195232,20060114,   -3,    0
195232,20060115,  -41,    0
195232,20060116,  -37,    0
195232,20060117,   -5,    0
195232,20060118,   42,    0
195232,20060119,   37,    0
195232,20060120,   44,    0
195232,20060121,   44,    0
195232,20060122,   15,    0
195232,20060123,  -31,    0
195232,20060124,  -61,    0
195232,20060125,  -40,    0
195232,20060126,  -64,    0
195232,20060127,  -43,    0
195232,20060128,   -2,    0
195232,20060129,   22,    0
195232,20060130,   28,    0
195232,20060131,   59,    0
195232,20060201,   80,    0
195232,20060202,   76,    0
195232,20060203,   37,    0
195232,20060204,   31,    0
195232,20060205,  -26,    0
195232,20060206,  -40,    0
195232,20060207,   -9,    0
195232,20060208,   23,    0
195232,20060209,   33,    0
195232,20060210,    4,    0
195232,20060211,    4,    0
195232,20060212,    3,    0
195232,20060213,    5,    0
195232,20060214,   14,    0
195232,20060215,   42,    0
195232,20060216,   64,    0
195232,20060217,   63,    0
195232,20060218,   54,    0
195232,20060219,   53,    0
195232,20060220,   40,    0
195232,20060221,    9,    0
195232,20060222,   17,    0
195232,20060223,   17,    0
195232,20060224,   -9,    0
195232,20060225,   -3,    0
195232,20060226,   18,    0
195232,20060227,   -2,    0
195232,20060228,  -11,    0
195232,20060301,    1,    0
195232,20060302,   -2,    0
195232,20060303,   50,    0
195232,20060304,   68,    0
195232,20060305,   61,    0
195232,20060306,    0,    0
195232,20060307,    2,    0
195232,20060308,   16,    0
195232,20060309,   55,    0
195232,20060310,   59,    0
195232,20060311,   21,    0
195232,20060312,   -4,    0
195232,20060313,    4,    0
195232,20060314,   32,    0
195232,20060315,   33,    0
195232,20060316,    3,    0
195232,20060317,   22,    0
195232,20060318,   22,    0
195232,20060319,   28,    0
195232,20060320,   57,    0
195232,20060321,   42,    0
195232,20060322,   48,    0
195232,20060323,   71,    0
195232,20060324,   55,    0
195232,20060325,   66,    0
195232,20060326,   86,    0
195232,20060327,   91,    0
195232,20060328,   83,    0
195232,20060329,   90,    0
195232,20060330,   75,    0
195232,20060331,   88,    0
195232,20060401,   98,    0
195232,20060402,  108,    0
195232,20060403,  120,    0
195232,20060404,   98,    0
195232,20060405,   77,    0
195232,20060406,   36,    0
195232,20060407,   44,    0
195232,20060408,   67,    0
195232,20060409,   86,    0
195232,20060410,   83,    0
195232,20060411,   35,    0
195232,20060412,   67,    0
195232,20060413,   93,    0
195232,20060414,  109,    0
195232,20060415,   96,    0
195232,20060416,  110,    0
195232,20060417,  108,    0
195232,20060418,   87,    0
195232,20060419,  107,    0
195232,20060420,  104,    0
195232,20060421,  110,    0
195232,20060422,  138,    0
195232,20060423,  132,    0
195232,20060424,  150,    0
195232,20060425,  138,    0
195232,20060426,  119,    0
195232,20060427,  121,    0
195232,20060428,  104,    0
195232,20060429,  113,    0
195232,20060430,   77,    0
195232,20060501,  104,    0
195232,20060502,  109,    0
195232,20060503,  118,    0
195232,20060504,  124,    0
195232,20060505,  111,    0
195232,20060506,  122,    0
195232,20060507,  121,    0
195232,20060508,  127,    0
195232,20060509,   77,    0
195232,20060510,  101,    0
195232,20060511,  112,    0
195232,20060512,  144,    0
195232,20060513,  131,    0
195232,20060514,  145,    0
195232,20060515,  155,    0
195232,20060516,  159,    0
195232,20060517,  161,    0
195232,20060518,  178,    0
195232,20060519,  162,    0
195232,20060520,  140,    0
195232,20060521,  147,    0
195232,20060522,  173,    0
195232,20060523,  146,    0
195232,20060524,  130,    0
195232,20060525,  143,    0
195232,20060526,  168,    0
195232,20060527,  201,    0
195232,20060528,  192,    0
195232,20060529,  163,    0
195232,20060530,  110,    0
195232,20060531,   78,    0
195232,20060601,  100,    0
195232,20060602,   76,    0
195232,20060603,  128,    0
195232,20060604,  147,    0
195232,20060605,  136,    0
195232,20060606,  132,    0
195232,20060607,  125,    0
195232,20060608,  140,    0
195232,20060609,  138,    0
195232,20060610,  160,    0
195232,20060611,  147,    0
195232,20060612,  153,    0
195232,20060613,  188,    0
195232,20060614,  190,    0
195232,20060615,  191,    0
195232,20060616,  187,    0
195232,20060617,  205,    0
195232,20060618,  213,    0
195232,20060619,  216,    0
195232,20060620,  234,    0
195232,20060621,  235,    0
195232,20060622,  230,    0
195232,20060623,  233,    0
195232,20060624,  230,    0
195232,20060625,  229,    0
195232,20060626,  230,    0
195232,20060627,  240,    0
195232,20060628,  243,    0
195232,20060629,  223,    0
195232,20060630,  238,    0
195232,20060701,  238,    0
195232,20060702,  212,    0
195232,20060703,  216,    0
195232,20060704,  212,    0
195232,20060705,  213,    0
195232,20060706,  196,    0
195232,20060707,  168,    0
195232,20060708,  191,    0
195232,20060709,  216,    0
195232,20060710,  230,    0
195232,20060711,  243,    0
195232,20060712,  243,    0
195232,20060713,  212,    0
195232,20060714,  228,    0
195232,20060715,  230,    0
195232,20060716,  220,    0
195232,20060717,  211,    0
195232,20060718,  216,    0
195232,20060719,  233,    0
195232,20060720,  259,    0
195232,20060721,  265,    0
195232,20060722,  260,    0
195232,20060723,  234,    0
195232,20060724,  242,    0
195232,20060725,  246,    0
195232,20060726,  225,    0
195232,20060727,  237,    0
195232,20060728,  231,    0
195232,20060729,  206,    0
195232,20060730,  235,    0
195232,20060731,  244,    0
195232,20060801,  225,    0
195232,20060802,  205,    0
195232,20060803,  165,    0
195232,20060804,  175,    0
195232,20060805,  164,    0
195232,20060806,  185,    0
195232,20060807,  200,    0
195232,20060808,  201,    0
195232,20060809,  167,    0
195232,20060810,  172,    0
195232,20060811,  156,    0
195232,20060812,  127,    0
195232,20060813,  143,    0
195232,20060814,  137,    0
195232,20060815,  159,    0
195232,20060816,  150,    0
195232,20060817,  191,    0
195232,20060818,  190,    0
195232,20060819,  180,    0
195232,20060820,  185,    0
195232,20060821,  183,    0
195232,20060822,  193,    0
195232,20060823,  192,    0
195232,20060824,  178,    0
195232,20060825,  175,    0
195232,20060826,  168,    0
195232,20060827,  172,    0
195232,20060828,  164,    0
195232,20060829,  169,    0
195232,20060830,  142,    0
195232,20060831,  163,    0
195232,20060901,  168,    0
195232,20060902,  170,    0
195232,20060903,  193,    0
195232,20060904,  213,    0
195232,20060905,  237,    0
195232,20060906,  236,    0
195232,20060907,  230,    0
195232,20060908,  202,    0
195232,20060909,  158,    0
195232,20060910,  152,    0
195232,20060911,  165,    0
195232,20060912,  161,    0
195232,20060913,  170,    0
195232,20060914,  152,    0
195232,20060915,  166,    0
195232,20060916,  152,    0
195232,20060917,  130,    0
195232,20060918,  163,    0
195232,20060919,  175,    0
195232,20060920,  176,    0
195232,20060921,  175,    0
195232,20060922,  180,    0
195232,20060923,  164,    0
195232,20060924,  145,    0
195232,20060925,  132,    0
195232,20060926,  130,    0
195232,20060927,  151,    0
195232,20060928,  163,    0
195232,20060929,  156,    0
195232,20060930,  146,    0
195232,20061001,  160,    0
195232,20061002,  160,    0
195232,20061003,  168,    0
195232,20061004,  134,    0
195232,20061005,  113,    0
195232,20061006,  122,    0
195232,20061007,  107,    0
195232,20061008,  115,    0
195232,20061009,  121,    0
195232,20061010,  127,    0
195232,20061011,  127,    0
195232,20061012,  130,    0
195232,20061013,  130,    0
195232,20061014,  119,    0
195232,20061015,   95,    0
195232,20061016,  109,    0
195232,20061017,   84,    0
195232,20061018,   97,    0
195232,20061019,   93,    0
195232,20061020,   96,    0
195232,20061021,  102,    0
195232,20061022,  120,    0
195232,20061023,  143,    0
195232,20061024,  155,    0
195232,20061025,  138,    0
195232,20061026,  137,    0
195232,20061027,  159,    0
195232,20061028,  163,    0
195232,20061029,  183,    0
195232,20061030,  138,    0
195232,20061031,  117,    0
195232,20061101,  126,    0
195232,20061102,   46,    0
195232,20061103,   34,    0
195232,20061104,   48,    0
195232,20061105,   78,    0
195232,20061106,  103,    0
195232,20061107,  103,    0
195232,20061108,  105,    0
195232,20061109,  113,    0
195232,20061110,   97,    0
195232,20061111,   80,    0
195232,20061112,  113,    0
195232,20061113,  101,    0
195232,20061114,  109,    0
195232,20061115,  107,    0
195232,20061116,  103,    0
195232,20061117,  120,    0
195232,20061118,   93,    0
195232,20061119,   93,    0
195232,20061120,   79,    0
195232,20061121,   66,    0
195232,20061122,   61,    0
195232,20061123,   82,    0
195232,20061124,   53,    0
195232,20061125,  100,    0
195232,20061126,  113,    0
195232,20061127,   64,    0
195232,20061128,   58,    0
195232,20061129,   60,    0
195232,20061130,   49,    0
195232,20061201,   57,    0
195232,20061202,   47,    0
195232,20061203,   73,    0
195232,20061204,   97,    0
195232,20061205,  110,    0
195232,20061206,  104,    0
195232,20061207,   82,    0
195232,20061208,   92,    0
195232,20061209,   60,    0
195232,20061210,   42,    0
195232,20061211,   24,    0
195232,20061212,   31,    0
195232,20061213,   38,    0
195232,20061214,   58,    0
195232,20061215,   72,    0
195232,20061216,   70,    0
195232,20061217,   34,    0
195232,20061218,   24,    0
195232,20061219,    2,    0
195232,20061220,   -7,    0
195232,20061221,    0,    0
195232,20061222,   -3,    0
195232,20061223,   -7,    0
195232,20061224,   40,    0
195232,20061225,   62,    0
195232,20061226,   32,    0
195232,20061227,   18,    0
195232,20061228,   46,    0
195232,20061229,   50,    0
195232,20061230,   53,    0
195232,20061231,   87,    0
195232,20070101,   90,    0
195232,20070102,   54,    0
195232,20070103,   50,    0
195232,20070104,   62,    0
195232,20070105,   56,    0
195232,20070106,   63,    0
195232,20070107,   69,    0
195232,20070108,   62,    0
195232,20070109,   77,    0
195232,20070110,   78,    0
195232,20070111,   81,    0
195232,20070112,  124,    0
195232,20070113,  118,    0
195232,20070114,   78,    0
195232,20070115,   54,    0
195232,20070116,   66,    0
195232,20070117,   50,    0
195232,20070118,   77,    0
195232,20070119,  148,    0
195232,20070120,  129,    0
195232,20070121,   89,    0
195232,20070122,   79,    0
195232,20070123,   63,    0
195232,20070124,    3,    0
195232,20070125,  -17,    0
195232,20070126,  -27,    0
195232,20070127,    5,    0
195232,20070128,   46,    0
195232,20070129,   48,    0
195232,20070130,   53,    0
195232,20070131,   47,    0
195232,20070201,   58,    0
195232,20070202,   37,    0
195232,20070203,   83,    0
195232,20070204,   41,    0
195232,20070205,   56,    0
195232,20070206,   53,    0
195232,20070207,   38,    0
195232,20070208,   50,    0
195232,20070209,   39,    0
195232,20070210,   45,    0
195232,20070211,   58,    0
195232,20070212,   52,    0
195232,20070213,   74,    0
195232,20070214,   57,    0
195232,20070215,   66,    0
195232,20070216,   71,    0
195232,20070217,   35,    0
195232,20070218,   12,    0
195232,20070219,   21,    0
195232,20070220,   37,    0
195232,20070221,   66,    0
195232,20070222,   71,    0
195232,20070223,   68,    0
195232,20070224,   63,    0
195232,20070225,   64,    0
195232,20070226,   78,    0
195232,20070227,   86,    0
195232,20070228,   83,    0
195232,20070301,   84,    0
195232,20070302,  112,    0
195232,20070303,  104,    0
