EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, FEBBIO (STAID: 17616).
Blended and updated with sources: 195256 196312 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195256,20051201,-9999,    9
195256,20051202,-9999,    9
195256,20051203,-9999,    9
195256,20051204,-9999,    9
195256,20051205,-9999,    9
195256,20051206,-9999,    9
195256,20051207,-9999,    9
195256,20051208,-9999,    9
195256,20051209,-9999,    9
195256,20051210,-9999,    9
195256,20051211,-9999,    9
195256,20051212,-9999,    9
195256,20051213,-9999,    9
195256,20051214,-9999,    9
195256,20051215,-9999,    9
195256,20051216,-9999,    9
195256,20051217,-9999,    9
195256,20051218,-9999,    9
195256,20051219,-9999,    9
195256,20051220,-9999,    9
195256,20051221,-9999,    9
195256,20051222,-9999,    9
195256,20051223,-9999,    9
195256,20051224,-9999,    9
195256,20051225,-9999,    9
195256,20051226,-9999,    9
195256,20051227,-9999,    9
195256,20051228,-9999,    9
195256,20051229,-9999,    9
195256,20051230,-9999,    9
195256,20051231,  -10,    0
195256,20060101,    8,    0
195256,20060102,  -14,    0
195256,20060103,  -12,    0
195256,20060104,  -28,    0
195256,20060105,  -43,    0
195256,20060106,  -46,    0
195256,20060107,  -27,    0
195256,20060108,  -29,    0
195256,20060109,  -57,    0
195256,20060110,  -62,    0
195256,20060111,  -49,    0
195256,20060112,  -49,    0
195256,20060113,  -67,    0
195256,20060114,  -72,    0
195256,20060115,  -70,    0
195256,20060116,  -53,    0
195256,20060117,  -11,    0
195256,20060118,   27,    0
195256,20060119,  -10,    0
195256,20060120,  -12,    0
195256,20060121,   -2,    0
195256,20060122,  -24,    0
195256,20060123,  -70,    0
195256,20060124,  -82,    0
195256,20060125,  -83,    0
195256,20060126,  -72,    0
195256,20060127,  -18,    0
195256,20060128,    5,    0
195256,20060129,   10,    0
195256,20060130,   12,    0
195256,20060131,    9,    0
195256,20060201,   19,    0
195256,20060202,   31,    0
195256,20060203,    3,    0
195256,20060204,   -7,    0
195256,20060205,  -43,    0
195256,20060206,  -75,    0
195256,20060207,  -46,    0
195256,20060208,   -7,    0
195256,20060209,  -12,    0
195256,20060210,  -39,    0
195256,20060211,  -56,    0
195256,20060212,  -59,    0
195256,20060213,  -55,    0
195256,20060214,  -29,    0
195256,20060215,   16,    0
195256,20060216,   50,    0
195256,20060217,   38,    0
195256,20060218,   37,    0
195256,20060219,   35,    0
195256,20060220,   15,    0
195256,20060221,   -3,    0
195256,20060222,    0,    0
195256,20060223,   -1,    0
195256,20060224,  -20,    0
195256,20060225,  -18,    0
195256,20060226,   -3,    0
195256,20060227,  -22,    0
195256,20060228,  -32,    0
195256,20060301,  -23,    0
195256,20060302,  -32,    0
195256,20060303,   18,    0
195256,20060304,   42,    0
195256,20060305,   32,    0
195256,20060306,  -33,    0
195256,20060307,  -39,    0
195256,20060308,  -16,    0
195256,20060309,   44,    0
195256,20060310,   29,    0
195256,20060311,  -14,    0
195256,20060312,  -38,    0
195256,20060313,  -27,    0
195256,20060314,  -13,    0
195256,20060315,   -2,    0
195256,20060316,  -10,    0
195256,20060317,    1,    0
195256,20060318,   -2,    0
195256,20060319,    1,    0
195256,20060320,   33,    0
195256,20060321,   25,    0
195256,20060322,   22,    0
195256,20060323,   28,    0
195256,20060324,   23,    0
195256,20060325,   30,    0
195256,20060326,   60,    0
195256,20060327,   96,    0
195256,20060328,   80,    0
195256,20060329,   64,    0
195256,20060330,   69,    0
195256,20060331,  101,    0
195256,20060401,   70,    0
195256,20060402,   64,    0
195256,20060403,   68,    0
195256,20060404,   64,    0
195256,20060405,   71,    0
195256,20060406,   29,    0
195256,20060407,   15,    0
195256,20060408,   38,    0
195256,20060409,   81,    0
195256,20060410,   87,    0
195256,20060411,   15,    0
195256,20060412,   29,    0
195256,20060413,   54,    0
195256,20060414,   94,    0
195256,20060415,   92,    0
195256,20060416,   79,    0
195256,20060417,   74,    0
195256,20060418,   59,    0
195256,20060419,   65,    0
195256,20060420,   70,    0
195256,20060421,   73,    0
195256,20060422,  104,    0
195256,20060423,  118,    0
195256,20060424,  107,    0
195256,20060425,  103,    0
195256,20060426,   92,    0
195256,20060427,   87,    0
195256,20060428,   76,    0
195256,20060429,   77,    0
195256,20060430,   55,    0
195256,20060501,   72,    0
195256,20060502,   80,    0
195256,20060503,   85,    0
195256,20060504,   90,    0
195256,20060505,   80,    0
195256,20060506,   88,    0
195256,20060507,   84,    0
195256,20060508,  101,    0
195256,20060509,   59,    0
195256,20060510,   77,    0
195256,20060511,   74,    0
195256,20060512,  113,    0
195256,20060513,  124,    0
195256,20060514,  103,    0
195256,20060515,  113,    0
195256,20060516,  141,    0
195256,20060517,  153,    0
195256,20060518,  169,    0
195256,20060519,  170,    0
195256,20060520,  135,    0
195256,20060521,  135,    0
195256,20060522,  166,    0
195256,20060523,  146,    0
195256,20060524,  106,    0
195256,20060525,  107,    0
195256,20060526,  131,    0
195256,20060527,  167,    0
195256,20060528,  185,    0
195256,20060529,  155,    0
195256,20060530,   67,    0
195256,20060531,   55,    0
195256,20060601,   61,    0
195256,20060602,   34,    0
195256,20060603,   79,    0
195256,20060604,   98,    0
195256,20060605,  115,    0
195256,20060606,   82,    0
195256,20060607,   84,    0
195256,20060608,   93,    0
195256,20060609,   95,    0
195256,20060610,  121,    0
195256,20060611,  117,    0
195256,20060612,  117,    0
195256,20060613,  144,    0
195256,20060614,  171,    0
195256,20060615,  173,    0
195256,20060616,  174,    0
195256,20060617,  189,    0
195256,20060618,  183,    0
195256,20060619,  199,    0
195256,20060620,  208,    0
195256,20060621,  196,    0
195256,20060622,  219,    0
195256,20060623,  194,    0
195256,20060624,  189,    0
195256,20060625,  202,    0
195256,20060626,  200,    0
195256,20060627,  203,    0
195256,20060628,  218,    0
195256,20060629,  176,    0
195256,20060630,  186,    0
195256,20060701,  193,    0
195256,20060702,  174,    0
195256,20060703,  173,    0
195256,20060704,  176,    0
195256,20060705,  181,    0
195256,20060706,  165,    0
195256,20060707,  130,    0
195256,20060708,  154,    0
195256,20060709,  169,    0
195256,20060710,  181,    0
195256,20060711,  189,    0
195256,20060712,  200,    0
195256,20060713,  179,    0
195256,20060714,  185,    0
195256,20060715,  184,    0
195256,20060716,  176,    0
195256,20060717,  166,    0
195256,20060718,  169,    0
195256,20060719,  180,    0
195256,20060720,  202,    0
195256,20060721,  209,    0
195256,20060722,  215,    0
195256,20060723,  203,    0
195256,20060724,  195,    0
195256,20060725,  201,    0
195256,20060726,  184,    0
195256,20060727,  176,    0
195256,20060728,  211,    0
195256,20060729,  170,    0
195256,20060730,  185,    0
195256,20060731,  190,    0
195256,20060801,  206,    0
195256,20060802,  167,    0
195256,20060803,  140,    0
195256,20060804,  128,    0
195256,20060805,  122,    0
195256,20060806,  140,    0
195256,20060807,  165,    0
195256,20060808,  150,    0
195256,20060809,  138,    0
195256,20060810,  134,    0
195256,20060811,  119,    0
195256,20060812,  103,    0
195256,20060813,  116,    0
195256,20060814,  120,    0
195256,20060815,  151,    0
195256,20060816,  144,    0
195256,20060817,  174,    0
195256,20060818,  176,    0
195256,20060819,  153,    0
195256,20060820,  176,    0
195256,20060821,  145,    0
195256,20060822,  146,    0
195256,20060823,  152,    0
195256,20060824,  159,    0
195256,20060825,  152,    0
195256,20060826,  129,    0
195256,20060827,  127,    0
195256,20060828,  142,    0
195256,20060829,  148,    0
195256,20060830,  110,    0
195256,20060831,  111,    0
195256,20060901,  123,    0
195256,20060902,  135,    0
195256,20060903,  150,    0
195256,20060904,  177,    0
195256,20060905,  181,    0
195256,20060906,  186,    0
195256,20060907,  181,    0
195256,20060908,  157,    0
195256,20060909,  129,    0
195256,20060910,  104,    0
195256,20060911,  112,    0
195256,20060912,  127,    0
195256,20060913,  127,    0
195256,20060914,  135,    0
195256,20060915,  148,    0
195256,20060916,  122,    0
195256,20060917,  107,    0
195256,20060918,  124,    0
195256,20060919,  118,    0
195256,20060920,  119,    0
195256,20060921,  124,    0
195256,20060922,  131,    0
195256,20060923,  125,    0
195256,20060924,  113,    0
195256,20060925,  115,    0
195256,20060926,  104,    0
195256,20060927,  115,    0
195256,20060928,  110,    0
195256,20060929,  122,    0
195256,20060930,  131,    0
195256,20061001,  149,    0
195256,20061002,  151,    0
