EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, FORLI_URBANA (STAID: 17622).
Blended and updated with sources: 195352 196848 916147 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
916147,20051201,   49,    0
916147,20051202,   46,    0
916147,20051203,   94,    0
916147,20051204,   66,    0
916147,20051205,   76,    0
916147,20051206,   84,    0
916147,20051207,-9999,    9
916147,20051208,-9999,    9
916147,20051209,   73,    0
916147,20051210,   58,    0
916147,20051211,   49,    0
916147,20051212,   41,    0
916147,20051213,   48,    0
916147,20051214,   63,    0
916147,20051215,   48,    0
916147,20051216,   23,    0
916147,20051217,   16,    0
916147,20051218,   25,    0
916147,20051219,   19,    0
916147,20051220,   33,    0
916147,20051221,-9999,    9
916147,20051222,-9999,    9
916147,20051223,   23,    0
916147,20051224,   25,    0
916147,20051225,   28,    0
916147,20051226,   46,    0
916147,20051227,   33,    0
916147,20051228,   58,    0
916147,20051229,    6,    0
916147,20051230,    0,    0
195352,20051231,   -3,    0
195352,20060101,    0,    0
195352,20060102,   32,    0
195352,20060103,   48,    0
195352,20060104,   41,    0
195352,20060105,   38,    0
195352,20060106,   43,    0
195352,20060107,   49,    0
195352,20060108,   41,    0
195352,20060109,   24,    0
195352,20060110,   20,    0
195352,20060111,   24,    0
195352,20060112,   25,    0
195352,20060113,   21,    0
195352,20060114,   10,    0
195352,20060115,    4,    0
195352,20060116,   11,    0
195352,20060117,    2,    0
195352,20060118,   12,    0
195352,20060119,   -3,    0
195352,20060120,   -6,    0
195352,20060121,    4,    0
195352,20060122,   33,    0
195352,20060123,   13,    0
195352,20060124,   -4,    0
195352,20060125,  -15,    0
195352,20060126,   -6,    0
195352,20060127,    0,    0
195352,20060128,   37,    0
195352,20060129,   52,    0
195352,20060130,   58,    0
195352,20060131,   70,    0
195352,20060201,   69,    0
195352,20060202,   75,    0
195352,20060203,   67,    0
195352,20060204,   62,    0
195352,20060205,   27,    0
195352,20060206,    5,    0
195352,20060207,    8,    0
195352,20060208,   25,    0
195352,20060209,   37,    0
195352,20060210,   40,    0
195352,20060211,   37,    0
195352,20060212,   29,    0
195352,20060213,   27,    0
195352,20060214,   37,    0
195352,20060215,   58,    0
195352,20060216,   38,    0
195352,20060217,   92,    0
195352,20060218,  124,    0
195352,20060219,  103,    0
195352,20060220,   99,    0
195352,20060221,   62,    0
195352,20060222,   74,    0
195352,20060223,   74,    0
195352,20060224,   53,    0
195352,20060225,   46,    0
195352,20060226,   62,    0
195352,20060227,   49,    0
195352,20060228,   27,    0
195352,20060301,   41,    0
195352,20060302,   38,    0
195352,20060303,   82,    0
195352,20060304,  150,    0
