EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, FRASSINETO (STAID: 17624).
Blended and updated with sources: 195376 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195376,20051201,-9999,    9
195376,20051202,-9999,    9
195376,20051203,-9999,    9
195376,20051204,-9999,    9
195376,20051205,-9999,    9
195376,20051206,-9999,    9
195376,20051207,-9999,    9
195376,20051208,-9999,    9
195376,20051209,-9999,    9
195376,20051210,-9999,    9
195376,20051211,-9999,    9
195376,20051212,-9999,    9
195376,20051213,-9999,    9
195376,20051214,-9999,    9
195376,20051215,-9999,    9
195376,20051216,-9999,    9
195376,20051217,-9999,    9
195376,20051218,-9999,    9
195376,20051219,-9999,    9
195376,20051220,-9999,    9
195376,20051221,-9999,    9
195376,20051222,-9999,    9
195376,20051223,-9999,    9
195376,20051224,-9999,    9
195376,20051225,-9999,    9
195376,20051226,-9999,    9
195376,20051227,-9999,    9
195376,20051228,-9999,    9
195376,20051229,-9999,    9
195376,20051230,-9999,    9
195376,20051231,  -33,    0
195376,20060101,  -30,    0
195376,20060102,  -10,    0
195376,20060103,   -3,    0
195376,20060104,  -15,    0
195376,20060105,  -15,    0
195376,20060106,  -14,    0
195376,20060107,   -6,    0
195376,20060108,  -10,    0
195376,20060109,  -34,    0
195376,20060110,  -35,    0
195376,20060111,  -14,    0
195376,20060112,  -17,    0
195376,20060113,  -34,    0
195376,20060114,  -26,    0
195376,20060115,  -48,    0
195376,20060116,  -40,    0
195376,20060117,   -9,    0
195376,20060118,   48,    0
195376,20060119,   25,    0
195376,20060120,   31,    0
195376,20060121,   40,    0
195376,20060122,   10,    0
195376,20060123,  -32,    0
195376,20060124,  -53,    0
195376,20060125,  -49,    0
195376,20060126,  -65,    0
195376,20060127,  -44,    0
195376,20060128,   -2,    0
195376,20060129,   19,    0
195376,20060130,   33,    0
195376,20060131,   32,    0
195376,20060201,   48,    0
195376,20060202,   58,    0
195376,20060203,   21,    0
195376,20060204,   18,    0
195376,20060205,  -27,    0
195376,20060206,  -49,    0
195376,20060207,  -15,    0
195376,20060208,   22,    0
195376,20060209,   20,    0
195376,20060210,   10,    0
195376,20060211,  -14,    0
195376,20060212,  -15,    0
195376,20060213,  -11,    0
195376,20060214,    7,    0
195376,20060215,   41,    0
195376,20060216,   63,    0
195376,20060217,   64,    0
195376,20060218,   48,    0
195376,20060219,   45,    0
195376,20060220,   34,    0
195376,20060221,    8,    0
195376,20060222,   14,    0
195376,20060223,   14,    0
195376,20060224,   -8,    0
195376,20060225,   -4,    0
195376,20060226,    9,    0
195376,20060227,   -4,    0
195376,20060228,  -16,    0
195376,20060301,   -7,    0
195376,20060302,  -13,    0
195376,20060303,   54,    0
195376,20060304,   69,    0
195376,20060305,   61,    0
195376,20060306,    3,    0
195376,20060307,    0,    0
195376,20060308,    7,    0
195376,20060309,   56,    0
195376,20060310,   55,    0
195376,20060311,   18,    0
195376,20060312,  -11,    0
195376,20060313,    4,    0
195376,20060314,   19,    0
195376,20060315,   19,    0
195376,20060316,    2,    0
195376,20060317,   17,    0
195376,20060318,   24,    0
195376,20060319,   28,    0
195376,20060320,   49,    0
195376,20060321,   39,    0
195376,20060322,   40,    0
195376,20060323,   52,    0
195376,20060324,   49,    0
195376,20060325,   57,    0
195376,20060326,   81,    0
195376,20060327,   90,    0
195376,20060328,   80,    0
195376,20060329,   83,    0
195376,20060330,   73,    0
195376,20060331,   91,    0
195376,20060401,   90,    0
195376,20060402,   84,    0
195376,20060403,  105,    0
195376,20060404,   85,    0
195376,20060405,   68,    0
195376,20060406,   32,    0
195376,20060407,   33,    0
195376,20060408,   56,    0
195376,20060409,   78,    0
195376,20060410,   83,    0
195376,20060411,   32,    0
195376,20060412,   61,    0
195376,20060413,   89,    0
195376,20060414,   99,    0
195376,20060415,   95,    0
195376,20060416,  108,    0
195376,20060417,  100,    0
195376,20060418,   85,    0
195376,20060419,   98,    0
195376,20060420,   87,    0
195376,20060421,   92,    0
195376,20060422,  123,    0
195376,20060423,  130,    0
195376,20060424,  131,    0
195376,20060425,  125,    0
195376,20060426,  110,    0
195376,20060427,  111,    0
195376,20060428,   97,    0
195376,20060429,  105,    0
195376,20060430,   76,    0
195376,20060501,   93,    0
195376,20060502,  101,    0
195376,20060503,  108,    0
195376,20060504,  111,    0
195376,20060505,   98,    0
195376,20060506,  110,    0
195376,20060507,  110,    0
195376,20060508,  121,    0
195376,20060509,   73,    0
195376,20060510,   98,    0
195376,20060511,   98,    0
195376,20060512,  127,    0
195376,20060513,  126,    0
195376,20060514,  136,    0
195376,20060515,  138,    0
195376,20060516,  147,    0
195376,20060517,  152,    0
195376,20060518,  171,    0
195376,20060519,  157,    0
195376,20060520,  141,    0
195376,20060521,  145,    0
195376,20060522,  165,    0
195376,20060523,  147,    0
195376,20060524,  119,    0
195376,20060525,  127,    0
195376,20060526,  152,    0
195376,20060527,  184,    0
195376,20060528,  186,    0
195376,20060529,  157,    0
195376,20060530,  115,    0
195376,20060531,   68,    0
195376,20060601,   95,    0
195376,20060602,   69,    0
195376,20060603,  117,    0
195376,20060604,  128,    0
195376,20060605,  131,    0
195376,20060606,  117,    0
195376,20060607,  111,    0
195376,20060608,  122,    0
195376,20060609,  125,    0
195376,20060610,  149,    0
195376,20060611,  134,    0
195376,20060612,  135,    0
195376,20060613,  169,    0
195376,20060614,  182,    0
195376,20060615,  176,    0
195376,20060616,  172,    0
195376,20060617,  191,    0
195376,20060618,  192,    0
195376,20060619,  201,    0
195376,20060620,  218,    0
195376,20060621,  225,    0
195376,20060622,  217,    0
195376,20060623,  213,    0
195376,20060624,  208,    0
195376,20060625,  215,    0
195376,20060626,  217,    0
195376,20060627,  217,    0
195376,20060628,  225,    0
195376,20060629,  205,    0
195376,20060630,  222,    0
195376,20060701,  217,    0
195376,20060702,  197,    0
195376,20060703,  200,    0
195376,20060704,  199,    0
195376,20060705,  194,    0
195376,20060706,  182,    0
195376,20060707,  162,    0
195376,20060708,  177,    0
195376,20060709,  190,    0
195376,20060710,  206,    0
195376,20060711,  220,    0
195376,20060712,  225,    0
195376,20060713,  188,    0
195376,20060714,  198,    0
195376,20060715,  204,    0
195376,20060716,  201,    0
195376,20060717,  192,    0
195376,20060718,  194,    0
195376,20060719,  207,    0
195376,20060720,  230,    0
195376,20060721,  240,    0
195376,20060722,  222,    0
195376,20060723,  214,    0
195376,20060724,  209,    0
195376,20060725,  223,    0
195376,20060726,  207,    0
195376,20060727,  210,    0
195376,20060728,  208,    0
195376,20060729,  185,    0
195376,20060730,  210,    0
195376,20060731,  227,    0
195376,20060801,  218,    0
195376,20060802,  193,    0
195376,20060803,  162,    0
195376,20060804,  159,    0
195376,20060805,  148,    0
195376,20060806,  171,    0
195376,20060807,  187,    0
195376,20060808,  175,    0
195376,20060809,  157,    0
195376,20060810,  150,    0
195376,20060811,  150,    0
195376,20060812,  121,    0
195376,20060813,  137,    0
195376,20060814,  130,    0
195376,20060815,  151,    0
195376,20060816,  144,    0
195376,20060817,  185,    0
195376,20060818,  191,    0
195376,20060819,  170,    0
195376,20060820,  175,    0
195376,20060821,  164,    0
195376,20060822,  173,    0
195376,20060823,  174,    0
195376,20060824,  166,    0
195376,20060825,  163,    0
195376,20060826,  148,    0
195376,20060827,  149,    0
195376,20060828,  154,    0
195376,20060829,  160,    0
195376,20060830,  140,    0
195376,20060831,  135,    0
195376,20060901,  144,    0
195376,20060902,  148,    0
195376,20060903,  174,    0
195376,20060904,  191,    0
195376,20060905,  211,    0
195376,20060906,  208,    0
195376,20060907,  203,    0
195376,20060908,  176,    0
195376,20060909,  150,    0
195376,20060910,  130,    0
195376,20060911,  140,    0
195376,20060912,  145,    0
195376,20060913,  145,    0
195376,20060914,  144,    0
195376,20060915,  157,    0
195376,20060916,  145,    0
195376,20060917,  125,    0
195376,20060918,  148,    0
195376,20060919,  151,    0
195376,20060920,  156,    0
195376,20060921,  160,    0
195376,20060922,  158,    0
195376,20060923,  152,    0
195376,20060924,  132,    0
195376,20060925,  127,    0
195376,20060926,  124,    0
195376,20060927,  129,    0
195376,20060928,  141,    0
195376,20060929,  135,    0
195376,20060930,  133,    0
195376,20061001,  156,    0
195376,20061002,  157,    0
195376,20061003,  165,    0
195376,20061004,  129,    0
195376,20061005,   98,    0
195376,20061006,  100,    0
195376,20061007,   97,    0
195376,20061008,   96,    0
195376,20061009,   99,    0
195376,20061010,   97,    0
195376,20061011,  105,    0
195376,20061012,  111,    0
195376,20061013,  104,    0
195376,20061014,  106,    0
195376,20061015,   88,    0
195376,20061016,   85,    0
195376,20061017,   68,    0
195376,20061018,   89,    0
195376,20061019,   89,    0
