EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, GARIGA (STAID: 17630).
Blended and updated with sources: 195424 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195424,20070701,-9999,    9
195424,20070702,-9999,    9
195424,20070703,-9999,    9
195424,20070704,-9999,    9
195424,20070705,-9999,    9
195424,20070706,-9999,    9
195424,20070707,-9999,    9
195424,20070708,-9999,    9
195424,20070709,-9999,    9
195424,20070710,-9999,    9
195424,20070711,-9999,    9
195424,20070712,-9999,    9
195424,20070713,-9999,    9
195424,20070714,-9999,    9
195424,20070715,-9999,    9
195424,20070716,-9999,    9
195424,20070717,-9999,    9
195424,20070718,-9999,    9
195424,20070719,-9999,    9
195424,20070720,-9999,    9
195424,20070721,-9999,    9
195424,20070722,-9999,    9
195424,20070723,-9999,    9
195424,20070724,-9999,    9
195424,20070725,-9999,    9
195424,20070726,-9999,    9
195424,20070727,-9999,    9
195424,20070728,  285,    0
195424,20070729,  260,    0
195424,20070730,  254,    0
195424,20070731,  211,    0
195424,20070801,  209,    0
195424,20070802,  220,    0
195424,20070803,  232,    0
195424,20070804,  224,    0
195424,20070805,  228,    0
195424,20070806,  230,    0
195424,20070807,  242,    0
195424,20070808,  223,    0
195424,20070809,  185,    0
195424,20070810,  212,    0
195424,20070811,  226,    0
195424,20070812,  240,    0
195424,20070813,  240,    0
195424,20070814,  239,    0
195424,20070815,  250,    0
195424,20070816,  250,    0
195424,20070817,  250,    0
195424,20070818,  227,    0
195424,20070819,  234,    0
195424,20070820,  187,    0
195424,20070821,  165,    0
195424,20070822,  176,    0
195424,20070823,  190,    0
195424,20070824,  197,    0
195424,20070825,  230,    0
195424,20070826,  239,    0
195424,20070827,  249,    0
195424,20070828,  251,    0
195424,20070829,  230,    0
195424,20070830,  221,    0
195424,20070831,  195,    0
195424,20070901,  199,    0
195424,20070902,  206,    0
195424,20070903,  211,    0
195424,20070904,  183,    0
195424,20070905,  170,    0
195424,20070906,  165,    0
195424,20070907,  183,    0
195424,20070908,  191,    0
195424,20070909,  208,    0
195424,20070910,  206,    0
195424,20070911,  212,    0
195424,20070912,  191,    0
195424,20070913,  183,    0
195424,20070914,  195,    0
195424,20070915,  215,    0
195424,20070916,  217,    0
195424,20070917,  214,    0
195424,20070918,  209,    0
195424,20070919,  165,    0
195424,20070920,  150,    0
195424,20070921,  157,    0
195424,20070922,  169,    0
195424,20070923,  178,    0
195424,20070924,  183,    0
195424,20070925,  181,    0
195424,20070926,  131,    0
195424,20070927,  112,    0
195424,20070928,  131,    0
195424,20070929,  146,    0
195424,20070930,  151,    0
195424,20071001,  158,    0
195424,20071002,  177,    0
195424,20071003,  192,    0
195424,20071004,  199,    0
195424,20071005,  196,    0
195424,20071006,  181,    0
195424,20071007,  157,    0
195424,20071008,  140,    0
195424,20071009,  134,    0
195424,20071010,  127,    0
195424,20071011,  139,    0
195424,20071012,  145,    0
195424,20071013,  137,    0
195424,20071014,  125,    0
195424,20071015,  109,    0
195424,20071016,  115,    0
195424,20071017,  112,    0
195424,20071018,  120,    0
195424,20071019,  105,    0
195424,20071020,   64,    0
195424,20071021,   55,    0
195424,20071022,   79,    0
195424,20071023,  100,    0
195424,20071024,   86,    0
195424,20071025,   93,    0
195424,20071026,  104,    0
195424,20071027,  124,    0
195424,20071028,  124,    0
195424,20071029,  124,    0
195424,20071030,  107,    0
195424,20071031,  109,    0
195424,20071101,   92,    0
195424,20071102,   89,    0
195424,20071103,   87,    0
195424,20071104,   96,    0
195424,20071105,   92,    0
195424,20071106,   91,    0
195424,20071107,   78,    0
195424,20071108,   83,    0
195424,20071109,   88,    0
195424,20071110,   86,    0
195424,20071111,  111,    0
195424,20071112,   97,    0
195424,20071113,   52,    0
195424,20071114,   54,    0
195424,20071115,   40,    0
195424,20071116,    5,    0
195424,20071117,    5,    0
195424,20071118,   15,    0
195424,20071119,    8,    0
195424,20071120,   33,    0
195424,20071121,   48,    0
195424,20071122,   48,    0
195424,20071123,   64,    0
195424,20071124,   81,    0
195424,20071125,   95,    0
195424,20071126,   79,    0
195424,20071127,   64,    0
195424,20071128,   71,    0
195424,20071129,   62,    0
195424,20071130,   45,    0
195424,20071201,   37,    0
195424,20071202,   70,    0
195424,20071203,   83,    0
195424,20071204,   68,    0
195424,20071205,   41,    0
195424,20071206,   43,    0
195424,20071207,   50,    0
195424,20071208,   54,    0
195424,20071209,   23,    0
195424,20071210,    5,    0
195424,20071211,    5,    0
195424,20071212,   32,    0
195424,20071213,   28,    0
195424,20071214,   12,    0
