EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, GROPPARELLO (STAID: 17635).
Blended and updated with sources: 194312 195464 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194312,20051201,-9999,    9
194312,20051202,-9999,    9
194312,20051203,-9999,    9
194312,20051204,-9999,    9
194312,20051205,-9999,    9
194312,20051206,-9999,    9
194312,20051207,-9999,    9
194312,20051208,-9999,    9
194312,20051209,-9999,    9
194312,20051210,-9999,    9
194312,20051211,-9999,    9
194312,20051212,-9999,    9
194312,20051213,-9999,    9
194312,20051214,-9999,    9
194312,20051215,-9999,    9
194312,20051216,-9999,    9
194312,20051217,-9999,    9
194312,20051218,-9999,    9
194312,20051219,-9999,    9
194312,20051220,-9999,    9
194312,20051221,-9999,    9
194312,20051222,-9999,    9
194312,20051223,-9999,    9
194312,20051224,-9999,    9
194312,20051225,-9999,    9
194312,20051226,-9999,    9
194312,20051227,-9999,    9
194312,20051228,-9999,    9
194312,20051229,-9999,    9
194312,20051230,-9999,    9
194312,20051231,  -27,    0
194312,20060101,  -22,    0
194312,20060102,   19,    0
194312,20060103,   32,    1
194312,20060104,   19,    0
194312,20060105,    7,    0
194312,20060106,   15,    0
194312,20060107,   22,    0
194312,20060108,    7,    0
194312,20060109,   -8,    0
194312,20060110,    2,    0
194312,20060111,   24,    0
194312,20060112,   19,    0
194312,20060113,    3,    0
194312,20060114,   13,    0
194312,20060115,  -22,    0
194312,20060116,  -26,    0
194312,20060117,  -22,    0
194312,20060118,   17,    1
194312,20060119,   35,    1
194312,20060120,   45,    1
194312,20060121,   45,    1
194312,20060122,   38,    0
194312,20060123,   -3,    0
194312,20060124,  -33,    0
194312,20060125,  -34,    0
194312,20060126,  -53,    0
194312,20060127,  -33,    1
194312,20060128,   17,    0
194312,20060129,   26,    1
194312,20060130,   39,    1
194312,20060131,   69,    1
194312,20060201,   82,    1
194312,20060202,   81,    1
194312,20060203,   58,    0
194312,20060204,   44,    0
194312,20060205,   -1,    0
194312,20060206,  -19,    0
194312,20060207,  -16,    0
194312,20060208,   15,    1
194312,20060209,   47,    0
194312,20060210,   33,    0
194312,20060211,   22,    0
194312,20060212,   14,    0
194312,20060213,   12,    0
194312,20060214,   22,    0
194312,20060215,   11,    1
194312,20060216,   18,    1
194312,20060217,   68,    0
194312,20060218,   61,    0
194312,20060219,   46,    1
194312,20060220,   33,    1
194312,20060221,   22,    0
194312,20060222,   30,    0
194312,20060223,   33,    0
194312,20060224,    6,    0
194312,20060225,    9,    1
194312,20060226,   23,    0
194312,20060227,   11,    1
194312,20060228,   -1,    0
194312,20060301,   11,    0
194312,20060302,    8,    0
194312,20060303,   36,    0
194312,20060304,   93,    0
194312,20060305,   75,    0
194312,20060306,   25,    0
194312,20060307,   25,    0
194312,20060308,   26,    0
194312,20060309,   55,    0
194312,20060310,   72,    0
194312,20060311,   46,    0
194312,20060312,   13,    0
194312,20060313,   27,    0
194312,20060314,   48,    0
194312,20060315,   43,    0
194312,20060316,   27,    0
