EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, GRUGNO (STAID: 17636).
Blended and updated with sources: 195408 195472 197192 916130 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
916130,20051201,-9999,    9
916130,20051202,-9999,    9
916130,20051203,-9999,    9
916130,20051204,-9999,    9
916130,20051205,-9999,    9
916130,20051206,-9999,    9
916130,20051207,-9999,    9
916130,20051208,-9999,    9
916130,20051209,-9999,    9
916130,20051210,-9999,    9
916130,20051211,-9999,    9
916130,20051212,-9999,    9
916130,20051213,-9999,    9
916130,20051214,-9999,    9
916130,20051215,   22,    0
916130,20051216,  -12,    0
916130,20051217,   25,    0
916130,20051218,   28,    0
916130,20051219,   -2,    0
916130,20051220,   14,    0
916130,20051221,   16,    0
916130,20051222,   23,    0
916130,20051223,   12,    0
916130,20051224,   11,    0
916130,20051225,   24,    0
916130,20051226,   35,    0
916130,20051227,    8,    0
916130,20051228,   10,    0
916130,20051229,    5,    0
916130,20051230,  -49,    0
195472,20051231,  -16,    0
195472,20060101,   -5,    0
195472,20060102,  -14,    0
195472,20060103,   -5,    0
195472,20060104,  -36,    0
195472,20060105,    2,    0
195472,20060106,   -3,    0
195472,20060107,   -5,    0
195472,20060108,  -15,    0
195472,20060109,  -15,    0
195472,20060110,  -30,    0
195472,20060111,  -24,    0
195472,20060112,  -27,    0
195472,20060113,  -32,    0
195472,20060114,  -36,    0
195472,20060115,  -37,    0
195472,20060116,  -12,    0
195472,20060117,   -3,    0
195472,20060118,   -1,    0
195472,20060119,  -49,    0
195472,20060120,  -53,    0
195472,20060121,   -7,    0
195472,20060122,    0,    0
195472,20060123,  -14,    0
195472,20060124,  -37,    0
195472,20060125,  -47,    0
195472,20060126,  -30,    0
195472,20060127,  -13,    0
195472,20060128,    6,    0
195472,20060129,   12,    0
195472,20060130,   19,    0
195472,20060131,   12,    0
195472,20060201,   -5,    0
195472,20060202,    7,    0
195472,20060203,    7,    0
195472,20060204,   -5,    0
195472,20060205,    3,    0
195472,20060206,  -17,    0
195472,20060207,  -20,    0
195472,20060208,    0,    0
195472,20060209,    6,    0
195472,20060210,    9,    0
195472,20060211,   12,    0
195472,20060212,    0,    0
195472,20060213,   -5,    0
195472,20060214,    7,    0
195472,20060215,   20,    0
195472,20060216,   24,    0
195472,20060217,   21,    0
195472,20060218,   37,    0
195472,20060219,   38,    0
195472,20060220,   43,    0
195472,20060221,   51,    0
195472,20060222,   68,    0
195472,20060223,   69,    0
195472,20060224,   38,    0
195472,20060225,   43,    0
195472,20060226,   46,    0
195472,20060227,   35,    0
195472,20060228,   23,    0
195472,20060301,   32,    0
195472,20060302,   31,    0
195472,20060303,   35,    0
195472,20060304,   93,    0
195472,20060305,   99,    0
195472,20060306,   57,    0
195472,20060307,   41,    0
195472,20060308,   37,    0
195472,20060309,   69,    0
195472,20060310,   83,    0
195472,20060311,   63,    0
195472,20060312,   27,    0
195472,20060313,   50,    0
195472,20060314,   45,    0
195472,20060315,   51,    0
195472,20060316,   51,    0
195472,20060317,   61,    0
195472,20060318,   56,    0
195472,20060319,   60,    0
195472,20060320,   77,    0
195472,20060321,   77,    0
195472,20060322,   87,    0
195472,20060323,   91,    0
195472,20060324,   80,    0
195472,20060325,   93,    0
195472,20060326,  120,    0
195472,20060327,  131,    0
195472,20060328,  132,    0
195472,20060329,  139,    0
195472,20060330,  114,    0
195472,20060331,  142,    0
195472,20060401,  132,    0
195472,20060402,  131,    0
195472,20060403,  132,    0
195472,20060404,  118,    0
195472,20060405,  106,    0
195472,20060406,   77,    0
195472,20060407,   72,    0
195472,20060408,   89,    0
195472,20060409,  102,    0
195472,20060410,  113,    0
195472,20060411,   86,    0
195472,20060412,   84,    0
195472,20060413,  108,    0
195472,20060414,  134,    0
195472,20060415,  136,    0
195472,20060416,  153,    0
195472,20060417,  135,    0
195472,20060418,  127,    0
195472,20060419,  137,    0
195472,20060420,  135,    0
195472,20060421,  144,    0
195472,20060422,  166,    0
195472,20060423,  164,    0
195472,20060424,  166,    0
195472,20060425,  153,    0
195472,20060426,  161,    0
195472,20060427,  151,    0
195472,20060428,  153,    0
195472,20060429,  153,    0
195472,20060430,  116,    0
195472,20060501,  131,    0
195472,20060502,  145,    0
195472,20060503,  149,    0
195472,20060504,  161,    0
195472,20060505,  157,    0
195472,20060506,  155,    0
195472,20060507,  160,    0
195472,20060508,  157,    0
195472,20060509,  136,    0
195472,20060510,  154,    0
195472,20060511,  160,    0
195472,20060512,  172,    0
195472,20060513,  177,    0
195472,20060514,  184,    0
195472,20060515,  181,    0
195472,20060516,  195,    0
195472,20060517,  209,    0
195472,20060518,  213,    0
195472,20060519,  223,    0
195472,20060520,  204,    0
195472,20060521,  218,    0
195472,20060522,  215,    0
195472,20060523,  211,    0
195472,20060524,  174,    0
195472,20060525,  175,    0
195472,20060526,  197,    0
195472,20060527,  219,    0
