EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, IMOLA_MARIO_NERI (STAID: 17642).
Blended and updated with sources: 195544 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195544,20051201,-9999,    9
195544,20051202,-9999,    9
195544,20051203,-9999,    9
195544,20051204,-9999,    9
195544,20051205,-9999,    9
195544,20051206,-9999,    9
195544,20051207,-9999,    9
195544,20051208,-9999,    9
195544,20051209,-9999,    9
195544,20051210,-9999,    9
195544,20051211,-9999,    9
195544,20051212,-9999,    9
195544,20051213,-9999,    9
195544,20051214,-9999,    9
195544,20051215,-9999,    9
195544,20051216,-9999,    9
195544,20051217,-9999,    9
195544,20051218,-9999,    9
195544,20051219,-9999,    9
195544,20051220,-9999,    9
195544,20051221,-9999,    9
195544,20051222,-9999,    9
195544,20051223,-9999,    9
195544,20051224,-9999,    9
195544,20051225,-9999,    9
195544,20051226,-9999,    9
195544,20051227,-9999,    9
195544,20051228,-9999,    9
195544,20051229,-9999,    9
195544,20051230,-9999,    9
195544,20051231,  -13,    0
195544,20060101,   -4,    0
195544,20060102,   25,    0
195544,20060103,   48,    0
195544,20060104,   34,    0
195544,20060105,   29,    0
195544,20060106,   36,    0
195544,20060107,   47,    0
195544,20060108,   35,    0
195544,20060109,   16,    0
195544,20060110,   21,    0
195544,20060111,   20,    0
195544,20060112,   21,    0
195544,20060113,   11,    0
195544,20060114,   -2,    0
195544,20060115,   -4,    0
195544,20060116,    3,    0
195544,20060117,   -4,    0
195544,20060118,    6,    0
195544,20060119,  -17,    0
195544,20060120,  -26,    0
195544,20060121,   -6,    0
195544,20060122,   25,    0
195544,20060123,    7,    0
195544,20060124,  -15,    0
195544,20060125,  -19,    0
195544,20060126,  -18,    0
195544,20060127,    1,    0
195544,20060128,   31,    0
195544,20060129,   46,    0
195544,20060130,   53,    0
195544,20060131,   63,    0
195544,20060201,   60,    0
195544,20060202,   66,    0
195544,20060203,   61,    0
195544,20060204,   50,    0
195544,20060205,   18,    0
195544,20060206,   -4,    0
195544,20060207,   -2,    0
195544,20060208,   13,    0
195544,20060209,   26,    0
195544,20060210,   35,    0
195544,20060211,   38,    0
195544,20060212,   23,    0
195544,20060213,   17,    0
195544,20060214,   29,    0
195544,20060215,   49,    0
195544,20060216,   32,    0
195544,20060217,   80,    0
195544,20060218,  117,    0
195544,20060219,   71,    0
195544,20060220,   81,    0
195544,20060221,   56,    0
195544,20060222,   64,    0
195544,20060223,   67,    0
195544,20060224,   45,    0
195544,20060225,   40,    0
195544,20060226,   56,    0
195544,20060227,   39,    0
195544,20060228,   25,    0
195544,20060301,   30,    0
195544,20060302,   31,    0
195544,20060303,   72,    0
195544,20060304,  141,    0
195544,20060305,  113,    0
195544,20060306,   40,    0
195544,20060307,   45,    0
195544,20060308,   29,    0
195544,20060309,-9999,    9
195544,20060310,-9999,    9
195544,20060311,-9999,    9
195544,20060312,-9999,    9
195544,20060313,-9999,    9
195544,20060314,-9999,    9
195544,20060315,-9999,    9
195544,20060316,-9999,    9
195544,20060317,-9999,    9
195544,20060318,-9999,    9
195544,20060319,-9999,    9
195544,20060320,-9999,    9
195544,20060321,-9999,    9
195544,20060322,-9999,    9
195544,20060323,-9999,    9
195544,20060324,-9999,    9
195544,20060325,-9999,    9
195544,20060326,-9999,    9
195544,20060327,-9999,    9
195544,20060328,-9999,    9
195544,20060329,-9999,    9
195544,20060330,-9999,    9
195544,20060331,-9999,    9
195544,20060401,-9999,    9
195544,20060402,-9999,    9
195544,20060403,-9999,    9
195544,20060404,-9999,    9
195544,20060405,-9999,    9
195544,20060406,-9999,    9
195544,20060407,-9999,    9
195544,20060408,-9999,    9
195544,20060409,-9999,    9
195544,20060410,-9999,    9
195544,20060411,-9999,    9
195544,20060412,-9999,    9
195544,20060413,-9999,    9
195544,20060414,-9999,    9
195544,20060415,-9999,    9
195544,20060416,-9999,    9
195544,20060417,-9999,    9
195544,20060418,-9999,    9
195544,20060419,-9999,    9
195544,20060420,-9999,    9
195544,20060421,-9999,    9
195544,20060422,-9999,    9
195544,20060423,-9999,    9
195544,20060424,-9999,    9
195544,20060425,-9999,    9
195544,20060426,-9999,    9
195544,20060427,-9999,    9
195544,20060428,-9999,    9
195544,20060429,-9999,    9
195544,20060430,-9999,    9
195544,20060501,-9999,    9
195544,20060502,-9999,    9
195544,20060503,-9999,    9
195544,20060504,-9999,    9
195544,20060505,-9999,    9
195544,20060506,-9999,    9
195544,20060507,-9999,    9
195544,20060508,-9999,    9
195544,20060509,-9999,    9
195544,20060510,-9999,    9
195544,20060511,-9999,    9
195544,20060512,-9999,    9
195544,20060513,-9999,    9
195544,20060514,-9999,    9
195544,20060515,-9999,    9
195544,20060516,-9999,    9
195544,20060517,-9999,    9
195544,20060518,-9999,    9
195544,20060519,-9999,    9
195544,20060520,-9999,    9
195544,20060521,-9999,    9
195544,20060522,-9999,    9
195544,20060523,-9999,    9
195544,20060524,-9999,    9
195544,20060525,-9999,    9
195544,20060526,-9999,    9
195544,20060527,-9999,    9
195544,20060528,-9999,    9
195544,20060529,-9999,    9
195544,20060530,-9999,    9
195544,20060531,-9999,    9
195544,20060601,-9999,    9
195544,20060602,-9999,    9
195544,20060603,-9999,    9
195544,20060604,-9999,    9
195544,20060605,-9999,    9
195544,20060606,-9999,    9
195544,20060607,-9999,    9
195544,20060608,-9999,    9
195544,20060609,-9999,    9
195544,20060610,-9999,    9
195544,20060611,-9999,    9
195544,20060612,-9999,    9
195544,20060613,-9999,    9
195544,20060614,-9999,    9
195544,20060615,-9999,    9
195544,20060616,-9999,    9
195544,20060617,-9999,    9
195544,20060618,-9999,    9
195544,20060619,-9999,    9
195544,20060620,-9999,    9
195544,20060621,-9999,    9
195544,20060622,-9999,    9
195544,20060623,-9999,    9
195544,20060624,-9999,    9
195544,20060625,-9999,    9
195544,20060626,-9999,    9
195544,20060627,-9999,    9
195544,20060628,-9999,    9
195544,20060629,-9999,    9
195544,20060630,-9999,    9
195544,20060701,-9999,    9
195544,20060702,-9999,    9
195544,20060703,-9999,    9
195544,20060704,-9999,    9
195544,20060705,-9999,    9
195544,20060706,-9999,    9
195544,20060707,-9999,    9
195544,20060708,-9999,    9
195544,20060709,-9999,    9
195544,20060710,-9999,    9
195544,20060711,-9999,    9
195544,20060712,-9999,    9
195544,20060713,-9999,    9
195544,20060714,-9999,    9
195544,20060715,  270,    0
195544,20060716,  235,    0
195544,20060717,  235,    0
195544,20060718,  232,    0
195544,20060719,  257,    0
195544,20060720,  278,    0
195544,20060721,  289,    0
195544,20060722,  293,    0
195544,20060723,  296,    0
195544,20060724,  287,    0
195544,20060725,  280,    0
195544,20060726,  284,    0
195544,20060727,  280,    0
195544,20060728,  281,    0
195544,20060729,  245,    0
195544,20060730,  268,    0
195544,20060731,  277,    0
195544,20060801,  255,    0
195544,20060802,  220,    0
195544,20060803,  221,    0
195544,20060804,  200,    0
195544,20060805,  204,    0
195544,20060806,  231,    0
195544,20060807,  250,    0
195544,20060808,  229,    0
195544,20060809,  203,    0
195544,20060810,  214,    0
195544,20060811,  188,    0
195544,20060812,  160,    0
195544,20060813,  180,    0
195544,20060814,  197,    0
195544,20060815,  221,    0
195544,20060816,  221,    0
195544,20060817,  242,    0
195544,20060818,  254,    0
195544,20060819,  226,    0
195544,20060820,  234,    0
195544,20060821,  224,    0
195544,20060822,  221,    0
195544,20060823,  224,    0
195544,20060824,  238,    0
195544,20060825,  231,    0
195544,20060826,  214,    0
195544,20060827,  197,    0
195544,20060828,  217,    0
195544,20060829,  225,    0
195544,20060830,  182,    0
195544,20060831,  196,    0
195544,20060901,  199,    0
195544,20060902,  210,    0
195544,20060903,  236,    0
195544,20060904,  255,    0
195544,20060905,  252,    0
195544,20060906,  244,    0
195544,20060907,  244,    0
195544,20060908,  225,    0
195544,20060909,  198,    0
195544,20060910,  189,    0
195544,20060911,  191,    0
195544,20060912,  193,    0
195544,20060913,  197,    0
195544,20060914,  195,    0
195544,20060915,  221,    0
195544,20060916,  178,    0
195544,20060917,  174,    0
195544,20060918,  193,    0
195544,20060919,  202,    0
195544,20060920,  201,    0
195544,20060921,  197,    0
195544,20060922,  200,    0
