EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, INVASO (STAID: 17643).
Blended and updated with sources: 195552 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195552,20051201,-9999,    9
195552,20051202,-9999,    9
195552,20051203,-9999,    9
195552,20051204,-9999,    9
195552,20051205,-9999,    9
195552,20051206,-9999,    9
195552,20051207,-9999,    9
195552,20051208,-9999,    9
195552,20051209,-9999,    9
195552,20051210,-9999,    9
195552,20051211,-9999,    9
195552,20051212,-9999,    9
195552,20051213,-9999,    9
195552,20051214,-9999,    9
195552,20051215,-9999,    9
195552,20051216,-9999,    9
195552,20051217,-9999,    9
195552,20051218,-9999,    9
195552,20051219,-9999,    9
195552,20051220,-9999,    9
195552,20051221,-9999,    9
195552,20051222,-9999,    9
195552,20051223,-9999,    9
195552,20051224,-9999,    9
195552,20051225,-9999,    9
195552,20051226,-9999,    9
195552,20051227,-9999,    9
195552,20051228,-9999,    9
195552,20051229,-9999,    9
195552,20051230,-9999,    9
195552,20051231,  -10,    0
195552,20060101,  -14,    0
195552,20060102,   13,    0
195552,20060103,   21,    0
195552,20060104,    9,    0
195552,20060105,    1,    0
195552,20060106,    6,    0
195552,20060107,   18,    0
195552,20060108,   11,    0
195552,20060109,  -10,    0
195552,20060110,  -18,    0
195552,20060111,    0,    0
195552,20060112,    1,    0
195552,20060113,  -12,    0
195552,20060114,  -21,    0
195552,20060115,  -28,    0
195552,20060116,  -19,    0
195552,20060117,   -5,    0
195552,20060118,   -5,    0
195552,20060119,   18,    0
195552,20060120,   42,    0
195552,20060121,   53,    0
195552,20060122,    4,    0
195552,20060123,  -16,    0
195552,20060124,  -50,    0
195552,20060125,  -53,    0
195552,20060126,  -28,    0
195552,20060127,  -12,    0
195552,20060128,   12,    0
195552,20060129,   25,    0
195552,20060130,   33,    0
195552,20060131,   49,    0
195552,20060201,   49,    0
195552,20060202,   60,    0
195552,20060203,   51,    0
195552,20060204,   38,    0
195552,20060205,   -7,    0
195552,20060206,  -38,    0
195552,20060207,  -20,    0
195552,20060208,   17,    0
195552,20060209,   28,    0
195552,20060210,    4,    0
195552,20060211,   -1,    0
195552,20060212,   -2,    0
195552,20060213,   -4,    0
195552,20060214,   14,    0
195552,20060215,   59,    0
195552,20060216,   93,    0
195552,20060217,   96,    0
195552,20060218,   87,    0
195552,20060219,   87,    0
195552,20060220,   63,    0
195552,20060221,   34,    0
195552,20060222,   37,    0
195552,20060223,   38,    0
195552,20060224,    4,    0
195552,20060225,   11,    0
195552,20060226,   35,    0
195552,20060227,   13,    0
195552,20060228,    3,    0
195552,20060301,   18,    0
195552,20060302,    7,    0
195552,20060303,   64,    0
195552,20060304,   95,    0
195552,20060305,   79,    0
195552,20060306,    7,    0
195552,20060307,    2,    0
195552,20060308,   28,    0
195552,20060309,   71,    0
195552,20060310,   52,    0
195552,20060311,   15,    0
195552,20060312,   -9,    0
195552,20060313,   -1,    0
195552,20060314,   13,    0
195552,20060315,   26,    0
195552,20060316,   17,    0
195552,20060317,   28,    0
195552,20060318,   22,    0
195552,20060319,   28,    0
195552,20060320,   68,    0
195552,20060321,   73,    0
195552,20060322,   59,    0
195552,20060323,   67,    0
195552,20060324,   67,    0
195552,20060325,   73,    0
195552,20060326,   99,    0
195552,20060327,  127,    0
195552,20060328,  111,    0
195552,20060329,  107,    0
195552,20060330,  111,    0
195552,20060331,  128,    0
195552,20060401,  126,    0
195552,20060402,  113,    0
195552,20060403,  102,    0
195552,20060404,   95,    0
195552,20060405,  112,    0
195552,20060406,   71,    0
195552,20060407,   54,    0
195552,20060408,   82,    0
195552,20060409,  116,    0
195552,20060410,  134,    0
195552,20060411,   65,    0
195552,20060412,   71,    0
195552,20060413,   87,    0
195552,20060414,  128,    0
195552,20060415,  133,    0
195552,20060416,  129,    0
195552,20060417,  119,    0
195552,20060418,  101,    0
195552,20060419,  103,    0
195552,20060420,  119,    0
195552,20060421,  127,    0
195552,20060422,  147,    0
195552,20060423,  154,    0
195552,20060424,  155,    0
195552,20060425,  147,    0
195552,20060426,  143,    0
195552,20060427,  118,    0
195552,20060428,  116,    0
195552,20060429,  126,    0
195552,20060430,   89,    0
195552,20060501,  113,    0
195552,20060502,  125,    0
195552,20060503,  128,    0
195552,20060504,  128,    0
195552,20060505,  118,    0
195552,20060506,  133,    0
195552,20060507,  140,    0
195552,20060508,  139,    0
195552,20060509,  111,    0
195552,20060510,  118,    0
195552,20060511,  126,    0
195552,20060512,  160,    0
195552,20060513,  165,    0
195552,20060514,  131,    0
195552,20060515,  162,    0
195552,20060516,  182,    0
195552,20060517,  181,    0
195552,20060518,  196,    0
195552,20060519,  199,    0
195552,20060520,  174,    0
195552,20060521,  184,    0
195552,20060522,  206,    0
195552,20060523,  175,    0
195552,20060524,  146,    0
195552,20060525,  151,    0
195552,20060526,  174,    0
195552,20060527,  196,    0
195552,20060528,  202,    0
195552,20060529,  185,    0
195552,20060530,   96,    0
195552,20060531,  102,    0
195552,20060601,  113,    0
195552,20060602,   96,    0
195552,20060603,  109,    0
195552,20060604,  158,    0
195552,20060605,  142,    0
195552,20060606,  140,    0
