EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, LAGDEI (STAID: 17644).
Blended and updated with sources: 195576 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195576,20051201,-9999,    9
195576,20051202,-9999,    9
195576,20051203,-9999,    9
195576,20051204,-9999,    9
195576,20051205,-9999,    9
195576,20051206,-9999,    9
195576,20051207,-9999,    9
195576,20051208,-9999,    9
195576,20051209,-9999,    9
195576,20051210,-9999,    9
195576,20051211,-9999,    9
195576,20051212,-9999,    9
195576,20051213,-9999,    9
195576,20051214,-9999,    9
195576,20051215,-9999,    9
195576,20051216,-9999,    9
195576,20051217,-9999,    9
195576,20051218,-9999,    9
195576,20051219,-9999,    9
195576,20051220,-9999,    9
195576,20051221,-9999,    9
195576,20051222,-9999,    9
195576,20051223,-9999,    9
195576,20051224,-9999,    9
195576,20051225,-9999,    9
195576,20051226,-9999,    9
195576,20051227,-9999,    9
195576,20051228,-9999,    9
195576,20051229,-9999,    9
195576,20051230,-9999,    9
195576,20051231,    7,    0
195576,20060101,    3,    0
195576,20060102,  -28,    0
195576,20060103,  -21,    0
195576,20060104,  -37,    0
195576,20060105,  -57,    0
195576,20060106,  -68,    0
195576,20060107,  -40,    0
195576,20060108,  -41,    0
195576,20060109,  -66,    0
195576,20060110,  -71,    0
195576,20060111,  -60,    0
195576,20060112,  -60,    0
195576,20060113,  -75,    0
195576,20060114,  -86,    0
195576,20060115,  -83,    0
195576,20060116,  -59,    0
195576,20060117,   -1,    0
195576,20060118,   16,    0
195576,20060119,  -10,    0
195576,20060120,    2,    0
195576,20060121,    6,    0
195576,20060122,  -35,    0
195576,20060123,  -72,    0
195576,20060124,  -93,    0
195576,20060125,  -89,    0
195576,20060126,  -76,    0
195576,20060127,  -49,    0
195576,20060128,  -11,    0
195576,20060129,    2,    0
195576,20060130,   11,    0
195576,20060131,  -10,    0
195576,20060201,    1,    0
195576,20060202,   35,    0
195576,20060203,   -4,    0
195576,20060204,  -23,    0
195576,20060205,  -48,    0
195576,20060206,  -88,    0
195576,20060207,  -39,    0
195576,20060208,    0,    0
195576,20060209,  -35,    0
195576,20060210,  -64,    0
195576,20060211,  -70,    0
195576,20060212,  -71,    0
195576,20060213,  -65,    0
195576,20060214,  -30,    0
195576,20060215,    9,    0
195576,20060216,   32,    0
195576,20060217,   19,    0
195576,20060218,   18,    0
195576,20060219,   20,    0
195576,20060220,    3,    0
195576,20060221,  -11,    0
195576,20060222,  -11,    0
195576,20060223,  -14,    0
195576,20060224,  -32,    0
195576,20060225,  -27,    0
195576,20060226,  -11,    0
195576,20060227,  -25,    0
195576,20060228,  -41,    0
195576,20060301,  -41,    0
195576,20060302,  -43,    0
195576,20060303,    6,    0
195576,20060304,   29,    0
195576,20060305,   19,    0
195576,20060306,  -46,    0
195576,20060307,  -46,    0
195576,20060308,  -26,    0
195576,20060309,   41,    0
195576,20060310,   22,    0
195576,20060311,  -22,    0
