EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, LAGO_BALLANO (STAID: 17645).
Blended and updated with sources: 195584 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195584,20051201,-9999,    9
195584,20051202,-9999,    9
195584,20051203,-9999,    9
195584,20051204,-9999,    9
195584,20051205,-9999,    9
195584,20051206,-9999,    9
195584,20051207,-9999,    9
195584,20051208,-9999,    9
195584,20051209,-9999,    9
195584,20051210,-9999,    9
195584,20051211,-9999,    9
195584,20051212,-9999,    9
195584,20051213,-9999,    9
195584,20051214,-9999,    9
195584,20051215,-9999,    9
195584,20051216,-9999,    9
195584,20051217,-9999,    9
195584,20051218,-9999,    9
195584,20051219,-9999,    9
195584,20051220,-9999,    9
195584,20051221,-9999,    9
195584,20051222,-9999,    9
195584,20051223,-9999,    9
195584,20051224,-9999,    9
195584,20051225,-9999,    9
195584,20051226,-9999,    9
195584,20051227,-9999,    9
195584,20051228,-9999,    9
195584,20051229,-9999,    9
195584,20051230,-9999,    9
195584,20051231,   12,    0
195584,20060101,    8,    0
195584,20060102,  -18,    0
195584,20060103,  -23,    0
195584,20060104,  -38,    0
195584,20060105,  -44,    0
195584,20060106,  -51,    0
195584,20060107,  -28,    0
195584,20060108,  -33,    0
195584,20060109,  -59,    0
195584,20060110,  -55,    0
195584,20060111,  -43,    0
195584,20060112,  -48,    0
195584,20060113,  -62,    0
195584,20060114,  -65,    0
195584,20060115,  -68,    0
195584,20060116,  -47,    0
195584,20060117,    2,    0
195584,20060118,   26,    0
195584,20060119,    2,    0
195584,20060120,   15,    0
195584,20060121,   14,    0
195584,20060122,  -22,    0
195584,20060123,  -69,    0
195584,20060124,  -95,    0
195584,20060125,  -71,    0
195584,20060126,  -67,    0
195584,20060127,  -20,    0
195584,20060128,    3,    0
195584,20060129,   12,    0
195584,20060130,   16,    0
195584,20060131,   10,    0
195584,20060201,   24,    0
195584,20060202,   57,    0
195584,20060203,   13,    0
195584,20060204,    0,    0
195584,20060205,  -48,    0
195584,20060206,  -73,    0
195584,20060207,  -15,    0
195584,20060208,    4,    0
195584,20060209,  -15,    0
195584,20060210,  -38,    0
195584,20060211,  -51,    0
195584,20060212,  -54,    0
195584,20060213,  -46,    0
195584,20060214,  -16,    0
195584,20060215,   13,    0
195584,20060216,   36,    0
195584,20060217,   20,    0
195584,20060218,   22,    0
195584,20060219,   24,    0
195584,20060220,    7,    0
195584,20060221,   -5,    0
195584,20060222,   -4,    0
195584,20060223,   -6,    0
195584,20060224,  -27,    0
195584,20060225,  -19,    0
195584,20060226,   -5,    0
195584,20060227,  -20,    0
195584,20060228,  -35,    0
195584,20060301,  -30,    0
195584,20060302,  -28,    0
195584,20060303,   10,    0
195584,20060304,   33,    0
195584,20060305,   24,    0
195584,20060306,  -41,    0
195584,20060307,  -38,    0
195584,20060308,  -13,    0
195584,20060309,   42,    0
195584,20060310,   32,    0
195584,20060311,  -12,    0
195584,20060312,  -45,    0
195584,20060313,  -36,    0
195584,20060314,   -5,    0
195584,20060315,    4,    0
195584,20060316,  -10,    0
195584,20060317,   -2,    0
195584,20060318,   -5,    0
195584,20060319,    0,    0
195584,20060320,   31,    0
195584,20060321,   41,    0
195584,20060322,   29,    0
195584,20060323,   35,    0
195584,20060324,   28,    0
195584,20060325,   43,    0
195584,20060326,   74,    0
195584,20060327,   71,    0
195584,20060328,   51,    0
195584,20060329,   52,    0
195584,20060330,   42,    0
195584,20060331,   59,    0
195584,20060401,   71,    0
195584,20060402,   70,    0
195584,20060403,   77,    0
195584,20060404,   62,    0
195584,20060405,   51,    0
195584,20060406,   23,    0
195584,20060407,   20,    0
195584,20060408,   38,    0
195584,20060409,   60,    0
195584,20060410,   60,    0
195584,20060411,    3,    0
