EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, LAGO_PADULI (STAID: 17647).
Blended and updated with sources: 195600 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195600,20051201,-9999,    9
195600,20051202,-9999,    9
195600,20051203,-9999,    9
195600,20051204,-9999,    9
195600,20051205,-9999,    9
195600,20051206,-9999,    9
195600,20051207,-9999,    9
195600,20051208,-9999,    9
195600,20051209,-9999,    9
195600,20051210,-9999,    9
195600,20051211,-9999,    9
195600,20051212,-9999,    9
195600,20051213,-9999,    9
195600,20051214,-9999,    9
195600,20051215,-9999,    9
195600,20051216,-9999,    9
195600,20051217,-9999,    9
195600,20051218,-9999,    9
195600,20051219,-9999,    9
195600,20051220,-9999,    9
195600,20051221,-9999,    9
195600,20051222,-9999,    9
195600,20051223,-9999,    9
195600,20051224,-9999,    9
195600,20051225,-9999,    9
195600,20051226,-9999,    9
195600,20051227,-9999,    9
195600,20051228,-9999,    9
195600,20051229,-9999,    9
195600,20051230,-9999,    9
195600,20051231,   10,    0
195600,20060101,    6,    0
195600,20060102,  -15,    0
195600,20060103,  -17,    0
195600,20060104,  -30,    0
195600,20060105,  -42,    0
195600,20060106,  -35,    0
195600,20060107,  -17,    0
195600,20060108,  -32,    0
195600,20060109,  -54,    0
195600,20060110,  -37,    0
195600,20060111,  -15,    0
195600,20060112,  -12,    0
195600,20060113,  -34,    0
195600,20060114,  -26,    0
195600,20060115,  -56,    0
195600,20060116,  -51,    0
195600,20060117,   -2,    0
195600,20060118,   19,    0
195600,20060119,   18,    0
195600,20060120,   13,    0
195600,20060121,   13,    0
195600,20060122,  -15,    0
195600,20060123,  -60,    0
195600,20060124,  -90,    0
195600,20060125,  -59,    0
195600,20060126,  -75,    0
195600,20060127,  -37,    0
195600,20060128,   -9,    0
195600,20060129,    8,    0
195600,20060130,   13,    0
195600,20060131,   32,    0
195600,20060201,   57,    0
195600,20060202,   48,    0
195600,20060203,   11,    0
195600,20060204,   12,    0
195600,20060205,  -44,    0
195600,20060206,  -55,    0
195600,20060207,  -29,    0
195600,20060208,    3,    0
195600,20060209,   -1,    0
195600,20060210,  -15,    0
195600,20060211,  -29,    0
195600,20060212,  -42,    0
195600,20060213,  -31,    0
195600,20060214,  -18,    0
195600,20060215,   11,    0
195600,20060216,   37,    0
195600,20060217,   22,    0
195600,20060218,   24,    0
195600,20060219,   26,    0
195600,20060220,    8,    0
195600,20060221,   -6,    0
195600,20060222,   -5,    0
195600,20060223,   -6,    0
195600,20060224,  -29,    0
195600,20060225,  -21,    0
195600,20060226,   -8,    0
195600,20060227,  -21,    0
195600,20060228,  -32,    0
195600,20060301,  -30,    0
195600,20060302,  -36,    0
195600,20060303,   11,    0
195600,20060304,   33,    0
195600,20060305,   24,    0
195600,20060306,  -36,    0
195600,20060307,  -30,    0
195600,20060308,  -21,    0
195600,20060309,   35,    0
195600,20060310,   26,    0
195600,20060311,   -9,    0
195600,20060312,  -45,    0
195600,20060313,  -33,    0
195600,20060314,    9,    0
195600,20060315,    2,    0
195600,20060316,  -14,    0
195600,20060317,    0,    0
195600,20060318,    2,    0
195600,20060319,    0,    0
195600,20060320,   25,    0
195600,20060321,   37,    0
195600,20060322,   23,    0
195600,20060323,   40,    0
195600,20060324,   25,    0
195600,20060325,   34,    0
195600,20060326,   53,    0
195600,20060327,   61,    0
195600,20060328,   50,    0
195600,20060329,   46,    0
195600,20060330,   40,    0
195600,20060331,   54,    0
195600,20060401,   67,    0
195600,20060402,   66,    0
195600,20060403,   69,    0
195600,20060404,   63,    0
195600,20060405,   52,    0
195600,20060406,   23,    0
