EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, LAGO_PRATIGNANO (STAID: 17648).
Blended and updated with sources: 195608 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195608,20051201,-9999,    9
195608,20051202,-9999,    9
195608,20051203,-9999,    9
195608,20051204,-9999,    9
195608,20051205,-9999,    9
195608,20051206,-9999,    9
195608,20051207,-9999,    9
195608,20051208,-9999,    9
195608,20051209,-9999,    9
195608,20051210,-9999,    9
195608,20051211,-9999,    9
195608,20051212,-9999,    9
195608,20051213,-9999,    9
195608,20051214,-9999,    9
195608,20051215,-9999,    9
195608,20051216,-9999,    9
195608,20051217,-9999,    9
195608,20051218,-9999,    9
195608,20051219,-9999,    9
195608,20051220,-9999,    9
195608,20051221,-9999,    9
195608,20051222,-9999,    9
195608,20051223,-9999,    9
195608,20051224,-9999,    9
195608,20051225,-9999,    9
195608,20051226,-9999,    9
195608,20051227,-9999,    9
195608,20051228,-9999,    9
195608,20051229,-9999,    9
195608,20051230,-9999,    9
195608,20051231,    5,    0
195608,20060101,   10,    0
195608,20060102,  -21,    0
195608,20060103,  -24,    0
195608,20060104,  -40,    0
195608,20060105,  -50,    0
195608,20060106,  -47,    0
195608,20060107,  -33,    0
195608,20060108,  -41,    0
195608,20060109,  -67,    0
195608,20060110,  -50,    0
195608,20060111,  -37,    0
195608,20060112,  -32,    0
195608,20060113,  -56,    0
195608,20060114,  -55,    0
195608,20060115,  -68,    0
195608,20060116,  -50,    0
195608,20060117,   -7,    0
195608,20060118,   26,    0
195608,20060119,    0,    0
195608,20060120,   13,    0
195608,20060121,    9,    0
195608,20060122,  -26,    0
195608,20060123,  -81,    0
195608,20060124, -110,    0
195608,20060125,  -68,    0
195608,20060126,  -49,    0
195608,20060127,  -20,    0
195608,20060128,    4,    0
195608,20060129,   17,    0
195608,20060130,   12,    0
195608,20060131,   14,    0
195608,20060201,   42,    0
195608,20060202,   55,    0
195608,20060203,   17,    0
195608,20060204,   -1,    0
195608,20060205,  -58,    0
195608,20060206,  -79,    0
195608,20060207,  -34,    0
195608,20060208,   -5,    0
195608,20060209,   -3,    0
195608,20060210,  -28,    0
195608,20060211,  -38,    0
195608,20060212,  -51,    0
195608,20060213,  -44,    0
195608,20060214,  -19,    0
195608,20060215,    6,    0
195608,20060216,   33,    0
195608,20060217,   23,    0
195608,20060218,   22,    0
195608,20060219,   22,    0
195608,20060220,    1,    0
195608,20060221,   -9,    0
195608,20060222,    0,    0
195608,20060223,  -11,    0
195608,20060224,  -35,    0
195608,20060225,  -26,    0
195608,20060226,  -14,    0
195608,20060227,  -30,    0
195608,20060228,  -46,    0
195608,20060301,  -37,    0
195608,20060302,  -38,    0
195608,20060303,    7,    0
195608,20060304,   31,    0
195608,20060305,   20,    0
195608,20060306,  -51,    0
195608,20060307,  -48,    0
195608,20060308,  -23,    0
195608,20060309,   37,    0
195608,20060310,   14,    0
195608,20060311,  -24,    0
195608,20060312,  -49,    0
195608,20060313,  -44,    0
195608,20060314,  -15,    0
195608,20060315,  -10,    0
195608,20060316,  -19,    0
195608,20060317,   -8,    0
195608,20060318,  -10,    0
195608,20060319,  -11,    0
195608,20060320,   30,    0
195608,20060321,   39,    0
195608,20060322,   27,    0
195608,20060323,   32,    0
195608,20060324,   23,    0
195608,20060325,   32,    0
195608,20060326,   74,    0
195608,20060327,   80,    0
195608,20060328,   53,    0
195608,20060329,   59,    0
195608,20060330,   53,    0
195608,20060331,   83,    0
195608,20060401,   74,    0
195608,20060402,   64,    0
195608,20060403,   69,    0
195608,20060404,   58,    0
195608,20060405,   50,    0
195608,20060406,   22,    0
195608,20060407,    1,    0
195608,20060408,   36,    0
195608,20060409,   66,    0
195608,20060410,   66,    0
195608,20060411,    0,    0
195608,20060412,   18,    0
195608,20060413,   46,    0
195608,20060414,   91,    0
195608,20060415,   83,    0
195608,20060416,   76,    0
195608,20060417,   75,    0
195608,20060418,   50,    0
195608,20060419,   48,    0
195608,20060420,   62,    0
195608,20060421,   71,    0
195608,20060422,   96,    0
195608,20060423,  110,    0
195608,20060424,  110,    0
195608,20060425,  103,    0
195608,20060426,   91,    0
195608,20060427,   69,    0
195608,20060428,   62,    0
195608,20060429,   70,    0
195608,20060430,   45,    0
195608,20060501,   69,    0
195608,20060502,   73,    0
195608,20060503,   77,    0
195608,20060504,   78,    0
195608,20060505,   71,    0
195608,20060506,   79,    0
195608,20060507,   82,    0
195608,20060508,   87,    0
195608,20060509,   46,    0
195608,20060510,   61,    0
195608,20060511,   69,    0
195608,20060512,  104,    0
195608,20060513,  108,    0
195608,20060514,   91,    0
195608,20060515,  114,    0
195608,20060516,  135,    0
195608,20060517,  169,    0
195608,20060518,  166,    0
195608,20060519,  149,    0
195608,20060520,  108,    0
195608,20060521,  121,    0
195608,20060522,  145,    0
195608,20060523,  139,    0
195608,20060524,  102,    0
195608,20060525,  109,    0
195608,20060526,  133,    0
195608,20060527,  171,    0
195608,20060528,  180,    0
195608,20060529,  148,    0
195608,20060530,   57,    0
195608,20060531,   50,    0
195608,20060601,   51,    0
195608,20060602,   31,    0
195608,20060603,   69,    0
195608,20060604,  106,    0
195608,20060605,   99,    0
195608,20060606,   89,    0
195608,20060607,   74,    0
195608,20060608,   89,    0
195608,20060609,   87,    0
195608,20060610,  113,    0
195608,20060611,  111,    0
195608,20060612,  105,    0
195608,20060613,  143,    0
195608,20060614,  171,    0
195608,20060615,  179,    0
195608,20060616,  177,    0
195608,20060617,  190,    0
195608,20060618,  191,    0
195608,20060619,  201,    0
195608,20060620,  225,    0
195608,20060621,  224,    0
195608,20060622,  200,    0
195608,20060623,  187,    0
195608,20060624,  190,    0
195608,20060625,  210,    0
195608,20060626,  202,    0
195608,20060627,  214,    0
195608,20060628,  224,    0
195608,20060629,  192,    0
195608,20060630,  185,    0
195608,20060701,  183,    0
195608,20060702,  168,    0
195608,20060703,  165,    0
195608,20060704,  161,    0
195608,20060705,  171,    0
195608,20060706,  169,    0
