EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, LAGO_SCAFFAIOLO (STAID: 17650).
Blended and updated with sources: 195624 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195624,20100801,-9999,    9
195624,20100802,-9999,    9
195624,20100803,-9999,    9
195624,20100804,  112,    0
195624,20100805,   85,    0
195624,20100806,   77,    0
195624,20100807,  114,    0
195624,20100808,  127,    0
195624,20100809,  129,    0
195624,20100810,  130,    0
195624,20100811,  139,    0
195624,20100812,  121,    0
195624,20100813,  105,    0
195624,20100814,  104,    0
195624,20100815,   81,    0
195624,20100816,   73,    0
195624,20100817,   80,    0
195624,20100818,   93,    0
195624,20100819,  126,    0
195624,20100820,  152,    0
195624,20100821,  135,    0
195624,20100822,  148,    0
195624,20100823,  159,    0
195624,20100824,  140,    0
195624,20100825,  153,    0
195624,20100826,  177,    0
195624,20100827,  142,    0
195624,20100828,  120,    0
195624,20100829,   82,    0
195624,20100830,   75,    0
195624,20100831,   76,    0
195624,20100901,   88,    0
195624,20100902,   94,    0
195624,20100903,   92,    0
195624,20100904,  110,    0
195624,20100905,  107,    0
195624,20100906,  106,    0
195624,20100907,  104,    0
195624,20100908,   92,    0
195624,20100909,   66,    0
195624,20100910,   59,    0
195624,20100911,   72,    0
195624,20100912,   95,    0
195624,20100913,   74,    0
195624,20100914,   74,    0
195624,20100915,  104,    0
195624,20100916,   90,    0
195624,20100917,   92,    0
195624,20100918,  100,    0
195624,20100919,   59,    0
195624,20100920,   72,    0
195624,20100921,   83,    0
195624,20100922,   82,    0
195624,20100923,   95,    0
195624,20100924,   78,    0
195624,20100925,   47,    0
195624,20100926,   53,    0
195624,20100927,   30,    0
195624,20100928,   23,    0
195624,20100929,   39,    0
195624,20100930,   54,    0
195624,20101001,   49,    0
195624,20101002,   70,    0
195624,20101003,   73,    0
195624,20101004,   87,    0
195624,20101005,   64,    0
195624,20101006,   74,    0
195624,20101007,   72,    0
195624,20101008,   49,    0
195624,20101009,   29,    0
195624,20101010,   52,    0
195624,20101011,   18,    0
195624,20101012,   24,    0
195624,20101013,   33,    0
195624,20101014,   29,    0
195624,20101015,   32,    0
195624,20101016,   35,    0
195624,20101017,   -6,    0
195624,20101018,   -6,    0
195624,20101019,   21,    0
195624,20101020,   24,    0
195624,20101021,   23,    0
195624,20101022,   25,    0
195624,20101023,   24,    0
195624,20101024,   31,    0
195624,20101025,   11,    0
195624,20101026,  -31,    0
195624,20101027,  -50,    0
195624,20101028,   12,    0
195624,20101029,   57,    0
195624,20101030,   36,    0
195624,20101031,   54,    0
195624,20101101,   48,    0
195624,20101102,   38,    0
195624,20101103,   40,    0
195624,20101104,   70,    0
195624,20101105,   83,    0
195624,20101106,   53,    0
195624,20101107,   30,    0
195624,20101108,  -15,    0
195624,20101109,   -3,    0
195624,20101110,   -1,    0
195624,20101111,   -3,    0
195624,20101112,   42,    0
195624,20101113,   47,    0
195624,20101114,   43,    0
195624,20101115,   50,    0
195624,20101116,   17,    0
195624,20101117,   -8,    0
195624,20101118,   -6,    0
195624,20101119,  -11,    0
195624,20101120,-9999,    9
195624,20101121,-9999,    9
195624,20101122,-9999,    9
195624,20101123,-9999,    9
195624,20101124,-9999,    9
195624,20101125,-9999,    9
195624,20101126,-9999,    9
195624,20101127,-9999,    9
195624,20101128,-9999,    9
195624,20101129,-9999,    9
195624,20101130,-9999,    9
195624,20101201,-9999,    9
195624,20101202,-9999,    9
195624,20101203,-9999,    9
195624,20101204,-9999,    9
195624,20101205,-9999,    9
195624,20101206,-9999,    9
195624,20101207,-9999,    9
195624,20101208,   46,    0
195624,20101209,   20,    0
195624,20101210,-9999,    9
195624,20101211,-9999,    9
195624,20101212,    5,    0
195624,20101213,-9999,    9
195624,20101214,-9999,    9
195624,20101215,-9999,    9
195624,20101216,-9999,    9
195624,20101217,-9999,    9
195624,20101218,-9999,    9
195624,20101219,-9999,    9
195624,20101220,-9999,    9
195624,20101221,-9999,    9
195624,20101222,   37,    0
195624,20101223,   34,    0
195624,20101224,    3,    0
195624,20101225,  -22,    0
195624,20101226,  -70,    0
195624,20101227, -113,    0
195624,20101228,  -85,    0
195624,20101229,  -18,    0
195624,20101230,  -17,    0
195624,20101231,  -29,    0
195624,20110101,  -27,    0
195624,20110102,  -42,    0
195624,20110103,  -90,    0
195624,20110104,  -93,    0
195624,20110105,  -66,    0
195624,20110106,  -13,    0
195624,20110107,   18,    0
195624,20110108,   13,    0
195624,20110109,    5,    0
195624,20110110,    4,    0
195624,20110111,  -19,    0
195624,20110112,  -13,    0
195624,20110113,   68,    0
195624,20110114,   72,    0
195624,20110115,   46,    0
195624,20110116,   71,    0
195624,20110117,   46,    0
195624,20110118,   42,    0
195624,20110119,   -5,    0
195624,20110120,  -79,    0
195624,20110121, -100,    0
195624,20110122, -111,    0
195624,20110123, -113,    0
195624,20110124,  -49,    0
195624,20110125,  -49,    0
195624,20110126,  -57,    0
195624,20110127,  -55,    0
195624,20110128,  -71,    0
195624,20110129,  -54,    0
195624,20110130,  -50,    0
195624,20110131,  -39,    0
195624,20110201,  -46,    0
195624,20110202,  -40,    0
195624,20110203,  -39,    0
195624,20110204,   20,    0
195624,20110205,   74,    0
195624,20110206,   88,    0
195624,20110207,   88,    0
195624,20110208,   57,    0
195624,20110209,   55,    0
195624,20110210,   38,    0
195624,20110211,   19,    0
195624,20110212,   -2,    0
195624,20110213,  -17,    0
195624,20110214,  -21,    0
195624,20110215,  -27,    0
195624,20110216,  -22,    0
195624,20110217,  -22,    0
195624,20110218,  -21,    0
195624,20110219,  -14,    0
195624,20110220,  -30,    0
195624,20110221,  -43,    0
195624,20110222,  -49,    0
195624,20110223,  -97,    0
195624,20110224,  -97,    0
195624,20110225,  -62,    0
195624,20110226,  -67,    0
195624,20110227,  -49,    0
195624,20110228,  -53,    0
