EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, LAMA (STAID: 17651).
Blended and updated with sources: 195632 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195632,20051201,-9999,    9
195632,20051202,-9999,    9
195632,20051203,-9999,    9
195632,20051204,-9999,    9
195632,20051205,-9999,    9
195632,20051206,-9999,    9
195632,20051207,-9999,    9
195632,20051208,-9999,    9
195632,20051209,-9999,    9
195632,20051210,-9999,    9
195632,20051211,-9999,    9
195632,20051212,-9999,    9
195632,20051213,-9999,    9
195632,20051214,-9999,    9
195632,20051215,-9999,    9
195632,20051216,-9999,    9
195632,20051217,-9999,    9
195632,20051218,-9999,    9
195632,20051219,-9999,    9
195632,20051220,-9999,    9
195632,20051221,-9999,    9
195632,20051222,-9999,    9
195632,20051223,-9999,    9
195632,20051224,-9999,    9
195632,20051225,-9999,    9
195632,20051226,-9999,    9
195632,20051227,-9999,    9
195632,20051228,-9999,    9
195632,20051229,-9999,    9
195632,20051230,-9999,    9
195632,20051231,   25,    0
195632,20060101,   25,    0
195632,20060102,    9,    0
195632,20060103,    1,    0
195632,20060104,   -1,    0
195632,20060105,   -7,    0
195632,20060106,   -6,    0
195632,20060107,    1,    0
195632,20060108,   -6,    0
195632,20060109,  -24,    0
195632,20060110,  -42,    0
195632,20060111,  -38,    0
195632,20060112,  -23,    0
195632,20060113,  -14,    0
195632,20060114,  -42,    0
195632,20060115,  -34,    0
195632,20060116,  -32,    0
195632,20060117,   12,    0
195632,20060118,   39,    0
195632,20060119,   -9,    0
195632,20060120,   19,    0
195632,20060121,   35,    0
195632,20060122,    0,    0
195632,20060123,  -45,    0
195632,20060124,  -65,    0
195632,20060125,  -68,    0
195632,20060126,   -7,    0
195632,20060127,   15,    0
195632,20060128,   18,    0
195632,20060129,   17,    0
195632,20060130,   27,    0
195632,20060131,   30,    0
195632,20060201,    9,    0
195632,20060202,   28,    0
195632,20060203,   49,    0
195632,20060204,   31,    0
195632,20060205,  -21,    0
195632,20060206,  -47,    0
195632,20060207,  -25,    0
195632,20060208,   16,    0
195632,20060209,    2,    0
195632,20060210,  -15,    0
195632,20060211,  -20,    0
195632,20060212,  -25,    0
195632,20060213,  -24,    0
195632,20060214,    0,    0
195632,20060215,   37,    0
195632,20060216,   69,    0
195632,20060217,   66,    0
195632,20060218,   62,    0
195632,20060219,   67,    0
195632,20060220,   40,    0
195632,20060221,   27,    0
195632,20060222,   32,    0
195632,20060223,   19,    0
195632,20060224,   -4,    0
195632,20060225,   -1,    0
195632,20060226,   14,    0
195632,20060227,   -3,    0
195632,20060228,   -7,    0
