EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, LA_STELLA (STAID: 17653).
Blended and updated with sources: 195656 196752 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195656,20051201,-9999,    9
195656,20051202,-9999,    9
195656,20051203,-9999,    9
195656,20051204,-9999,    9
195656,20051205,-9999,    9
195656,20051206,-9999,    9
195656,20051207,-9999,    9
195656,20051208,-9999,    9
195656,20051209,-9999,    9
195656,20051210,-9999,    9
195656,20051211,-9999,    9
195656,20051212,-9999,    9
195656,20051213,-9999,    9
195656,20051214,-9999,    9
195656,20051215,-9999,    9
195656,20051216,-9999,    9
195656,20051217,-9999,    9
195656,20051218,-9999,    9
195656,20051219,-9999,    9
195656,20051220,-9999,    9
195656,20051221,-9999,    9
195656,20051222,-9999,    9
195656,20051223,-9999,    9
195656,20051224,-9999,    9
195656,20051225,-9999,    9
195656,20051226,-9999,    9
195656,20051227,-9999,    9
195656,20051228,-9999,    9
195656,20051229,-9999,    9
195656,20051230,-9999,    9
195656,20051231,  -26,    0
195656,20060101,  -28,    0
195656,20060102,   10,    0
195656,20060103,   23,    0
195656,20060104,    6,    0
195656,20060105,   -7,    0
195656,20060106,    8,    0
195656,20060107,   18,    0
195656,20060108,   -2,    0
195656,20060109,  -14,    0
195656,20060110,    1,    0
195656,20060111,   28,    0
195656,20060112,   26,    0
195656,20060113,    5,    0
195656,20060114,    4,    0
195656,20060115,  -31,    0
195656,20060116,  -34,    0
195656,20060117,  -27,    0
195656,20060118,    1,    0
195656,20060119,   48,    0
195656,20060120,   51,    0
195656,20060121,   43,    0
195656,20060122,   20,    0
195656,20060123,  -25,    0
195656,20060124,  -53,    0
195656,20060125,  -33,    0
195656,20060126,  -54,    0
195656,20060127,  -30,    0
195656,20060128,   10,    0
195656,20060129,   34,    0
195656,20060130,   40,    0
195656,20060131,   72,    0
195656,20060201,   91,    0
195656,20060202,   95,    0
195656,20060203,   55,    0
195656,20060204,   45,    0
195656,20060205,  -16,    0
195656,20060206,  -21,    0
195656,20060207,  -15,    0
195656,20060208,   15,    0
195656,20060209,   40,    0
195656,20060210,   20,    0
195656,20060211,   24,    0
195656,20060212,   20,    0
195656,20060213,   16,    0
195656,20060214,   26,    0
195656,20060215,   32,    0
195656,20060216,   36,    0
195656,20060217,   73,    0
195656,20060218,   78,    0
195656,20060219,   75,    0
195656,20060220,   53,    0
195656,20060221,   16,    0
195656,20060222,   23,    0
195656,20060223,   24,    0
195656,20060224,   -3,    0
195656,20060225,    1,    0
195656,20060226,   21,    0
195656,20060227,    4,    0
195656,20060228,  -14,    0
195656,20060301,    9,    0
195656,20060302,   -1,    0
195656,20060303,   54,    0
195656,20060304,   90,    0
195656,20060305,   68,    0
195656,20060306,    1,    0
195656,20060307,   11,    0
195656,20060308,   25,    0
195656,20060309,   42,    0
195656,20060310,   47,    0
195656,20060311,   30,    0
195656,20060312,   -5,    0
195656,20060313,    6,    0
195656,20060314,   28,    0
195656,20060315,   33,    0
195656,20060316,   11,    0
195656,20060317,   31,    0
195656,20060318,   29,    0
195656,20060319,   33,    0
195656,20060320,   60,    0
195656,20060321,   48,    0
195656,20060322,   50,    0
195656,20060323,   79,    0
195656,20060324,   64,    0
195656,20060325,   70,    0
195656,20060326,  103,    0
195656,20060327,  106,    0
195656,20060328,  110,    0
195656,20060329,  109,    0
195656,20060330,  107,    0
195656,20060331,  127,    0
195656,20060401,  106,    0
195656,20060402,  112,    0
195656,20060403,  119,    0
195656,20060404,  103,    0
195656,20060405,   91,    0
195656,20060406,   37,    0
195656,20060407,   46,    0
195656,20060408,   81,    0
195656,20060409,   99,    0
195656,20060410,   97,    0
195656,20060411,   42,    0
195656,20060412,   78,    0
195656,20060413,  100,    0
195656,20060414,  142,    0
195656,20060415,  114,    0
195656,20060416,  128,    0
195656,20060417,  115,    0
195656,20060418,   93,    0
195656,20060419,  112,    0
195656,20060420,  129,    0
195656,20060421,  141,    0
195656,20060422,  155,    0
195656,20060423,  162,    0
195656,20060424,  165,    0
195656,20060425,  143,    0
195656,20060426,  135,    0
195656,20060427,  121,    0
195656,20060428,  105,    0
195656,20060429,  113,    0
195656,20060430,   71,    0
195656,20060501,   96,    0
195656,20060502,  122,    0
195656,20060503,  131,    0
195656,20060504,  136,    0
195656,20060505,  120,    0
195656,20060506,  129,    0
195656,20060507,  142,    0
195656,20060508,  137,    0
195656,20060509,   85,    0
195656,20060510,  108,    0
195656,20060511,  124,    0
195656,20060512,  159,    0
195656,20060513,  155,    0
195656,20060514,  139,    0
195656,20060515,  167,    0
195656,20060516,  181,    0
195656,20060517,  200,    0
195656,20060518,  195,    0
195656,20060519,  189,    0
195656,20060520,  166,    0
195656,20060521,  169,    0
195656,20060522,  193,    0
195656,20060523,  173,    0
195656,20060524,  137,    0
195656,20060525,  148,    0
195656,20060526,  179,    0
195656,20060527,  216,    0
195656,20060528,  223,    0
195656,20060529,  160,    0
195656,20060530,   88,    0
195656,20060531,   92,    0
195656,20060601,  105,    0
195656,20060602,   78,    0
195656,20060603,  122,    0
195656,20060604,  160,    0
195656,20060605,  141,    0
195656,20060606,  133,    0
195656,20060607,  128,    0
195656,20060608,  150,    0
195656,20060609,  149,    0
195656,20060610,  182,    0
195656,20060611,  153,    0
195656,20060612,  164,    0
195656,20060613,  204,    0
195656,20060614,  219,    0
195656,20060615,  228,    0
195656,20060616,  220,    0
195656,20060617,  224,    0
195656,20060618,  222,    0
195656,20060619,  224,    0
195656,20060620,  231,    0
195656,20060621,  243,    0
195656,20060622,  252,    0
195656,20060623,  242,    0
195656,20060624,  241,    0
195656,20060625,  234,    0
195656,20060626,  249,    0
195656,20060627,  260,    0
195656,20060628,  255,    0
195656,20060629,  223,    0
195656,20060630,  240,    0
195656,20060701,  239,    0
195656,20060702,  209,    0
195656,20060703,  215,    0
195656,20060704,  207,    0
195656,20060705,  217,    0
195656,20060706,  200,    0
195656,20060707,  164,    0
195656,20060708,  194,    0
195656,20060709,  226,    0
195656,20060710,  240,    0
195656,20060711,  252,    0
