EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, LA_VALLETTA (STAID: 17655).
Blended and updated with sources: 195128 195672 195952 196640 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195672,20051201,-9999,    9
195672,20051202,-9999,    9
195672,20051203,-9999,    9
195672,20051204,-9999,    9
195672,20051205,-9999,    9
195672,20051206,-9999,    9
195672,20051207,-9999,    9
195672,20051208,-9999,    9
195672,20051209,-9999,    9
195672,20051210,-9999,    9
195672,20051211,-9999,    9
195672,20051212,-9999,    9
195672,20051213,-9999,    9
195672,20051214,-9999,    9
195672,20051215,-9999,    9
195672,20051216,-9999,    9
195672,20051217,-9999,    9
195672,20051218,-9999,    9
195672,20051219,-9999,    9
195672,20051220,-9999,    9
195672,20051221,-9999,    9
195672,20051222,-9999,    9
195672,20051223,-9999,    9
195672,20051224,-9999,    9
195672,20051225,-9999,    9
195672,20051226,-9999,    9
195672,20051227,-9999,    9
195672,20051228,-9999,    9
195672,20051229,-9999,    9
195672,20051230,-9999,    9
195672,20051231,  -15,    0
195672,20060101,   -6,    0
195672,20060102,    1,    0
195672,20060103,   15,    0
195672,20060104,   25,    0
195672,20060105,   27,    0
195672,20060106,   18,    0
195672,20060107,   29,    0
195672,20060108,   27,    0
195672,20060109,    4,    0
195672,20060110,   -2,    0
195672,20060111,    1,    0
195672,20060112,    7,    0
195672,20060113,    0,    0
195672,20060114,  -34,    0
195672,20060115,   -5,    0
195672,20060116,    0,    0
195672,20060117,   -4,    0
195672,20060118,   -5,    0
195672,20060119,  -17,    0
195672,20060120,  -30,    0
195672,20060121,  -11,    0
195672,20060122,   10,    0
195672,20060123,   -1,    0
195672,20060124,  -16,    0
195672,20060125,  -27,    0
195672,20060126,  -20,    0
195672,20060127,   14,    0
195672,20060128,   52,    0
195672,20060129,   45,    0
195672,20060130,   50,    0
195672,20060131,   56,    0
195672,20060201,   26,    0
195672,20060202,   40,    0
195672,20060203,   32,    0
195672,20060204,   25,    0
195672,20060205,   13,    0
195672,20060206,   -7,    0
195672,20060207,  -13,    0
195672,20060208,    3,    0
195672,20060209,    8,    0
195672,20060210,    8,    0
195672,20060211,   12,    0
195672,20060212,    5,    0
195672,20060213,    4,    0
195672,20060214,    6,    0
195672,20060215,   25,    0
195672,20060216,   25,    0
195672,20060217,   55,    0
195672,20060218,   64,    0
195672,20060219,   43,    0
195672,20060220,   68,    0
195672,20060221,   62,    0
195672,20060222,   70,    0
195672,20060223,   70,    0
195672,20060224,   54,    0
195672,20060225,   48,    0
195672,20060226,   56,    0
195672,20060227,   39,    0
195672,20060228,   20,    0
195672,20060301,   31,    0
195672,20060302,   31,    0
195672,20060303,   33,    0
195672,20060304,   78,    0
195672,20060305,   89,    0
195672,20060306,   46,    0
195672,20060307,   45,    0
195672,20060308,   40,    0
195672,20060309,   59,    0
195672,20060310,   70,    0
195672,20060311,   65,    0
195672,20060312,   19,    0
195672,20060313,   42,    0
195672,20060314,   38,    0
195672,20060315,   42,    0
195672,20060316,   53,    0
195672,20060317,   49,    0
195672,20060318,   47,    0
195672,20060319,   50,    0
195672,20060320,   63,    0
195672,20060321,   72,    0
195672,20060322,   86,    0
195672,20060323,   98,    0
195672,20060324,   79,    0
195672,20060325,   94,    0
195672,20060326,  117,    0
195672,20060327,  130,    0
195672,20060328,  127,    0
195672,20060329,  125,    0
195672,20060330,  112,    0
195672,20060331,  127,    0
195672,20060401,  137,    0
195672,20060402,  136,    0
195672,20060403,  113,    0
195672,20060404,  107,    0
195672,20060405,  114,    0
195672,20060406,   76,    0
195672,20060407,   74,    0
195672,20060408,   93,    0
195672,20060409,  110,    0
195672,20060410,  121,    0
195672,20060411,   82,    0
195672,20060412,   92,    0
195672,20060413,  108,    0
195672,20060414,  123,    0
195672,20060415,  130,    0
195672,20060416,  152,    0
195672,20060417,  143,    0
195672,20060418,  146,    0
195672,20060419,  148,    0
195672,20060420,  151,    0
195672,20060421,  160,    0
195672,20060422,  172,    0
195672,20060423,  176,    0
195672,20060424,  174,    0
195672,20060425,  179,    0
195672,20060426,  177,    0
195672,20060427,  147,    0
195672,20060428,  153,    0
195672,20060429,  149,    0
195672,20060430,  106,    0
195672,20060501,  124,    0
195672,20060502,  145,    0
195672,20060503,  151,    0
195672,20060504,  157,    0
195672,20060505,  163,    0
195672,20060506,  167,    0
195672,20060507,  162,    0
195672,20060508,  168,    0
195672,20060509,  131,    0
195672,20060510,  159,    0
195672,20060511,  171,    0
195672,20060512,  179,    0
195672,20060513,  189,    0
195672,20060514,  166,    0
195672,20060515,  176,    0
195672,20060516,  198,    0
195672,20060517,  209,    0
195672,20060518,  212,    0
195672,20060519,  214,    0
195672,20060520,  203,    0
195672,20060521,  206,    0
195672,20060522,  210,    0
195672,20060523,  203,    0
195672,20060524,  163,    0
195672,20060525,  163,    0
195672,20060526,  193,    0
195672,20060527,  200,    0
195672,20060528,  214,    0
195672,20060529,  180,    0
195672,20060530,  119,    0
195672,20060531,  124,    0
195672,20060601,  155,    0
195672,20060602,  144,    0
195672,20060603,  149,    0
195672,20060604,  180,    0
195672,20060605,  166,    0
195672,20060606,  162,    0
195672,20060607,  163,    0
195672,20060608,  170,    0
195672,20060609,  177,    0
195672,20060610,  197,    0
195672,20060611,  187,    0
195672,20060612,  190,    0
195672,20060613,  211,    0
195672,20060614,  226,    0
195672,20060615,  231,    0
195672,20060616,  228,    0
195672,20060617,  242,    0
195672,20060618,  242,    0
195672,20060619,  239,    0
195672,20060620,  255,    0
195672,20060621,  248,    0
195672,20060622,  259,    0
195672,20060623,  258,    0
195672,20060624,  261,    0
195672,20060625,  257,    0
195672,20060626,  267,    0
195672,20060627,  273,    0
195672,20060628,  266,    0
195672,20060629,  259,    0
