EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, LAVEZZOLA (STAID: 17657).
Blended and updated with sources: 195688 197272 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195688,20051201,-9999,    9
195688,20051202,-9999,    9
195688,20051203,-9999,    9
195688,20051204,-9999,    9
195688,20051205,-9999,    9
195688,20051206,-9999,    9
195688,20051207,-9999,    9
195688,20051208,-9999,    9
195688,20051209,-9999,    9
195688,20051210,-9999,    9
195688,20051211,-9999,    9
195688,20051212,-9999,    9
195688,20051213,-9999,    9
195688,20051214,-9999,    9
195688,20051215,-9999,    9
195688,20051216,-9999,    9
195688,20051217,-9999,    9
195688,20051218,-9999,    9
195688,20051219,-9999,    9
195688,20051220,-9999,    9
195688,20051221,-9999,    9
195688,20051222,-9999,    9
195688,20051223,-9999,    9
195688,20051224,-9999,    9
195688,20051225,-9999,    9
195688,20051226,-9999,    9
195688,20051227,-9999,    9
195688,20051228,-9999,    9
195688,20051229,-9999,    9
195688,20051230,-9999,    9
195688,20051231,  -15,    0
195688,20060101,   -3,    0
195688,20060102,   11,    0
195688,20060103,   34,    0
195688,20060104,   25,    0
195688,20060105,   23,    0
195688,20060106,   26,    0
195688,20060107,   29,    0
195688,20060108,   31,    0
195688,20060109,   11,    0
195688,20060110,    2,    0
195688,20060111,    5,    0
195688,20060112,    4,    0
195688,20060113,   -1,    0
195688,20060114,  -20,    0
195688,20060115,   -6,    0
195688,20060116,    0,    0
195688,20060117,   -5,    0
195688,20060118,    0,    0
195688,20060119,  -13,    0
195688,20060120,  -23,    0
195688,20060121,   -8,    0
195688,20060122,   18,    0
195688,20060123,    2,    0
195688,20060124,   -8,    0
195688,20060125,  -27,    0
195688,20060126,  -19,    0
195688,20060127,    2,    0
195688,20060128,   26,    0
195688,20060129,   26,    0
195688,20060130,   38,    0
195688,20060131,   53,    0
195688,20060201,   43,    0
195688,20060202,   41,    0
195688,20060203,   37,    0
195688,20060204,   26,    0
195688,20060205,   20,    0
195688,20060206,   -5,    0
195688,20060207,  -18,    0
195688,20060208,   13,    0
195688,20060209,   16,    0
195688,20060210,   18,    0
195688,20060211,   15,    0
195688,20060212,    0,    0
195688,20060213,   -2,    0
195688,20060214,    5,    0
195688,20060215,   31,    0
195688,20060216,   25,    0
195688,20060217,   57,    0
195688,20060218,   82,    0
195688,20060219,   60,    0
195688,20060220,   84,    0
195688,20060221,   55,    0
195688,20060222,   69,    0
195688,20060223,   72,    0
195688,20060224,   53,    0
195688,20060225,   49,    0
195688,20060226,   55,    0
195688,20060227,   43,    0
195688,20060228,   21,    0
195688,20060301,   32,    0
195688,20060302,   25,    0
195688,20060303,   30,    0
195688,20060304,  136,    0
195688,20060305,  112,    0
195688,20060306,   48,    0
195688,20060307,   35,    0
195688,20060308,   36,    0
195688,20060309,   68,    0
195688,20060310,   66,    0
195688,20060311,   57,    0
195688,20060312,   19,    0
195688,20060313,   37,    0
195688,20060314,   27,    0
195688,20060315,   40,    0
195688,20060316,   46,    0
195688,20060317,   54,    0
195688,20060318,   38,    0
195688,20060319,   43,    0
195688,20060320,   67,    0
195688,20060321,   75,    0
195688,20060322,   79,    0
195688,20060323,   98,    0
195688,20060324,   77,    0
195688,20060325,   91,    0
195688,20060326,  113,    0
195688,20060327,  127,    0
195688,20060328,  139,    0
195688,20060329,  133,    0
195688,20060330,  124,    0
195688,20060331,  128,    0
195688,20060401,  135,    0
195688,20060402,  136,    0
