EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, LOIANO (STAID: 17662).
Blended and updated with sources: 195736 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195736,20051201,-9999,    9
195736,20051202,-9999,    9
195736,20051203,-9999,    9
195736,20051204,-9999,    9
195736,20051205,-9999,    9
195736,20051206,-9999,    9
195736,20051207,-9999,    9
195736,20051208,-9999,    9
195736,20051209,-9999,    9
195736,20051210,-9999,    9
195736,20051211,-9999,    9
195736,20051212,-9999,    9
195736,20051213,-9999,    9
195736,20051214,-9999,    9
195736,20051215,-9999,    9
195736,20051216,-9999,    9
195736,20051217,-9999,    9
195736,20051218,-9999,    9
195736,20051219,-9999,    9
195736,20051220,-9999,    9
195736,20051221,-9999,    9
195736,20051222,-9999,    9
195736,20051223,-9999,    9
195736,20051224,-9999,    9
195736,20051225,-9999,    9
195736,20051226,-9999,    9
195736,20051227,-9999,    9
195736,20051228,-9999,    9
195736,20051229,-9999,    9
195736,20051230,-9999,    9
195736,20051231,  -21,    0
195736,20060101,  -22,    0
195736,20060102,    1,    0
195736,20060103,    5,    0
195736,20060104,  -10,    0
195736,20060105,  -17,    0
195736,20060106,   -2,    0
195736,20060107,    3,    0
195736,20060108,   -8,    0
195736,20060109,  -26,    0
195736,20060110,  -16,    0
195736,20060111,   12,    0
195736,20060112,    5,    0
195736,20060113,  -13,    0
