EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MADONNA_DEI_FORNELLI (STAID: 17664).
Blended and updated with sources: 195760 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195760,20051201,-9999,    9
195760,20051202,-9999,    9
195760,20051203,-9999,    9
195760,20051204,-9999,    9
195760,20051205,-9999,    9
195760,20051206,-9999,    9
195760,20051207,-9999,    9
195760,20051208,-9999,    9
195760,20051209,-9999,    9
195760,20051210,-9999,    9
195760,20051211,-9999,    9
195760,20051212,-9999,    9
195760,20051213,-9999,    9
195760,20051214,-9999,    9
195760,20051215,-9999,    9
195760,20051216,-9999,    9
195760,20051217,-9999,    9
195760,20051218,-9999,    9
195760,20051219,-9999,    9
195760,20051220,-9999,    9
195760,20051221,-9999,    9
195760,20051222,-9999,    9
195760,20051223,-9999,    9
195760,20051224,-9999,    9
195760,20051225,-9999,    9
195760,20051226,-9999,    9
195760,20051227,-9999,    9
195760,20051228,-9999,    9
195760,20051229,-9999,    9
195760,20051230,-9999,    9
195760,20051231,    6,    0
195760,20060101,   14,    0
195760,20060102,   -4,    0
195760,20060103,   -4,    0
195760,20060104,  -18,    0
195760,20060105,  -28,    0
195760,20060106,  -21,    0
195760,20060107,   -8,    0
195760,20060108,  -17,    0
195760,20060109,  -42,    0
195760,20060110,  -30,    0
195760,20060111,    2,    0
195760,20060112,   -2,    0
195760,20060113,  -23,    0
195760,20060114,  -22,    0
195760,20060115,  -42,    0
195760,20060116,  -45,    0
195760,20060117,   -1,    0
195760,20060118,   34,    0
195760,20060119,   38,    0
195760,20060120,   44,    0
195760,20060121,   28,    0
195760,20060122,  -10,    0
195760,20060123,  -56,    0
195760,20060124,  -87,    0
195760,20060125,  -61,    0
195760,20060126,  -36,    0
195760,20060127,    1,    0
195760,20060128,   24,    0
195760,20060129,   27,    0
195760,20060130,   24,    0
195760,20060131,   43,    0
195760,20060201,   72,    0
195760,20060202,   94,    0
195760,20060203,   48,    0
195760,20060204,   24,    0
195760,20060205,  -38,    0
195760,20060206,  -53,    0
195760,20060207,  -20,    0
195760,20060208,    7,    0
195760,20060209,   25,    0
195760,20060210,    2,    0
195760,20060211,   -3,    0
195760,20060212,   -2,    0
195760,20060213,   -2,    0
195760,20060214,   13,    0
195760,20060215,   24,    0
195760,20060216,   55,    0
195760,20060217,   57,    0
195760,20060218,   50,    0
195760,20060219,   51,    0
195760,20060220,   30,    0
195760,20060221,   12,    0
195760,20060222,   18,    0
195760,20060223,   11,    0
195760,20060224,  -13,    0
195760,20060225,   -7,    0
195760,20060226,    5,    0
195760,20060227,   -6,    0
195760,20060228,  -33,    0
195760,20060301,  -10,    0
195760,20060302,  -15,    0
195760,20060303,   29,    0
195760,20060304,   55,    0
195760,20060305,   44,    0
195760,20060306,  -27,    0
195760,20060307,  -10,    0
195760,20060308,    8,    0
195760,20060309,   37,    0
195760,20060310,   36,    0
195760,20060311,    8,    0
195760,20060312,  -20,    0
195760,20060313,  -15,    0
195760,20060314,    0,    0
195760,20060315,   14,    0
195760,20060316,    0,    0
195760,20060317,    0,    0
195760,20060318,    3,    0
195760,20060319,    7,    0
195760,20060320,   44,    0
195760,20060321,   60,    0
195760,20060322,   39,    0
195760,20060323,   48,    0
195760,20060324,   50,    0
195760,20060325,   59,    0
195760,20060326,   83,    0
195760,20060327,   91,    0
195760,20060328,   72,    0
195760,20060329,   76,    0
195760,20060330,   80,    0
195760,20060331,   95,    0
195760,20060401,   99,    0
195760,20060402,   96,    0
195760,20060403,   97,    0
195760,20060404,   86,    0
195760,20060405,   75,    0
195760,20060406,   41,    0
195760,20060407,   21,    0
195760,20060408,   66,    0
195760,20060409,   87,    0
195760,20060410,   96,    0
195760,20060411,   26,    0
195760,20060412,   54,    0
195760,20060413,   78,    0
195760,20060414,  110,    0
195760,20060415,   95,    0
195760,20060416,  100,    0
195760,20060417,  105,    0
