EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MALBORGHETTO (STAID: 17667).
Blended and updated with sources: 195264 195792 196640 197960 916133 916138 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
916133,20051201,   55,    0
916133,20051202,   23,    0
916133,20051203,   76,    0
916133,20051204,   32,    0
916133,20051205,   68,    0
916133,20051206,   75,    0
916133,20051207,   68,    0
916133,20051208,   27,    0
916133,20051209,   71,    0
916133,20051210,   51,    0
916133,20051211,   46,    0
916133,20051212,   47,    0
916133,20051213,   49,    0
916133,20051214,   42,    0
916133,20051215,   41,    0
916133,20051216,   -2,    0
916133,20051217,   12,    0
916133,20051218,   40,    0
916133,20051219,   16,    0
916133,20051220,   34,    0
916133,20051221,   35,    0
916133,20051222,    3,    0
916133,20051223,   15,    0
916133,20051224,   17,    0
916133,20051225,   11,    0
916133,20051226,   47,    0
916133,20051227,   37,    0
916133,20051228,   54,    0
916133,20051229,   11,    0
916133,20051230,   -7,    0
195264,20051231,   -8,    0
197960,20060101,   -3,    0
197960,20060102,   10,    0
195264,20060103,   34,    0
195264,20060104,   45,    0
197960,20060105,   39,    0
195264,20060106,   34,    0
195264,20060107,   39,    0
195264,20060108,   40,    0
195264,20060109,   25,    0
195264,20060110,   10,    0
195264,20060111,   16,    0
195264,20060112,   30,    0
195264,20060113,   19,    0
195264,20060114,   -5,    0
195264,20060115,    5,    0
195264,20060116,    8,    0
197960,20060117,    0,    0
197960,20060118,    5,    0
197960,20060119,   -9,    0
197960,20060120,  -23,    0
195264,20060121,   -4,    0
195264,20060122,   31,    0
197960,20060123,   16,    0
195264,20060124,   -7,    0
195264,20060125,  -12,    0
195264,20060126,   -6,    0
195264,20060127,   18,    0
195264,20060128,   55,    0
197960,20060129,   38,    0
195264,20060130,   55,    0
195264,20060131,   64,    0
195264,20060201,   44,    0
195264,20060202,   65,    0
195264,20060203,   54,    0
195264,20060204,   45,    0
195264,20060205,   28,    0
195264,20060206,   11,    0
195264,20060207,   11,    0
195264,20060208,   13,    0
195264,20060209,   25,    0
195264,20060210,   31,    0
195264,20060211,   41,    0
195264,20060212,   40,    0
195264,20060213,   34,    0
195264,20060214,   42,    0
195264,20060215,   37,    0
197960,20060216,   32,    0
195264,20060217,   60,    0
195264,20060218,   79,    0
195264,20060219,   50,    0
195264,20060220,   85,    0
197960,20060221,   64,    0
197960,20060222,   76,    0
197960,20060223,   75,    0
197960,20060224,   58,    0
197960,20060225,   53,    0
197960,20060226,   62,    0
197960,20060227,   45,    0
195264,20060228,   26,    0
195264,20060301,   42,    0
195264,20060302,   41,    0
195264,20060303,   41,    0
195264,20060304,   97,    0
195264,20060305,  105,    0
195264,20060306,   56,    0
195264,20060307,   60,    0
195264,20060308,   51,    0
195264,20060309,   69,    0
197960,20060310,   72,    0
195264,20060311,   73,    0
197960,20060312,   37,    0
195264,20060313,   52,    0
195264,20060314,   51,    0
195264,20060315,   59,    0
197960,20060316,   57,    0
195264,20060317,   66,    0
195264,20060318,   63,    0
195264,20060319,   66,    0
195264,20060320,   75,    0
197960,20060321,   74,    0
197960,20060322,   86,    0
195264,20060323,  107,    0
195264,20060324,   88,    0
195264,20060325,  106,    0
195264,20060326,  128,    0
195264,20060327,  140,    0
195264,20060328,  145,    0
195264,20060329,  143,    0
195264,20060330,  136,    0
195264,20060331,  141,    0
195264,20060401,  144,    0
195264,20060402,  142,    0
195264,20060403,  119,    0
195264,20060404,  116,    0
195264,20060405,  118,    0
197960,20060406,   82,    0
195264,20060407,   86,    0
195264,20060408,  112,    0
195264,20060409,  126,    0
195264,20060410,  128,    0
197960,20060411,   92,    0
195264,20060412,  106,    0
195264,20060413,  127,    0
195264,20060414,  146,    0
195264,20060415,  142,    0
195264,20060416,  155,    0
195264,20060417,  146,    0
195264,20060418,  150,    0
195264,20060419,  157,    0
195264,20060420,  163,    0
195264,20060421,  177,    0
195264,20060422,  186,    0
195264,20060423,  192,    0
195264,20060424,  185,    0
195264,20060425,  184,    0
195264,20060426,  187,    0
197960,20060427,  154,    0
197960,20060428,  155,    0
197960,20060429,  154,    0
197960,20060430,  108,    0
195264,20060501,  130,    0
195264,20060502,  153,    0
195264,20060503,  164,    0
195264,20060504,  173,    0
195264,20060505,  171,    0
195264,20060506,  178,    0
195264,20060507,  168,    0
195264,20060508,  172,    0
197960,20060509,  135,    0
195264,20060510,  162,    0
195264,20060511,  178,    0
195264,20060512,  192,    0
195264,20060513,  198,    0
195264,20060514,  167,    0
195264,20060515,  184,    0
195264,20060516,  207,    0
195264,20060517,  214,    0
195264,20060518,  217,    0
195264,20060519,  223,    0
195264,20060520,  213,    0
195264,20060521,  223,    0
195264,20060522,  221,    0
195264,20060523,  202,    0
197960,20060524,  168,    0
195264,20060525,  174,    0
195264,20060526,  203,    0
195264,20060527,  211,    0
195264,20060528,  218,    0
197960,20060529,  183,    0
197960,20060530,  123,    0
195264,20060531,  133,    0
195264,20060601,  158,    0
195264,20060602,  152,    0
195264,20060603,  155,    0
195264,20060604,  190,    0
195264,20060605,  176,    0
195264,20060606,  165,    0
195264,20060607,  171,    0
195264,20060608,  185,    0
195264,20060609,  192,    0
195264,20060610,  204,    0
195264,20060611,  194,    0
195264,20060612,  209,    0
195264,20060613,  227,    0
195264,20060614,  237,    0
195264,20060615,  248,    0
195264,20060616,  250,    0
195264,20060617,  256,    0
195264,20060618,  259,    0
195264,20060619,  257,    0
195264,20060620,  271,    0
195264,20060621,  262,    0
195264,20060622,  281,    0
195264,20060623,  270,    0
195264,20060624,  273,    0
195264,20060625,  271,    0
195264,20060626,  283,    0
195264,20060627,  287,    0
195264,20060628,  282,    0
195264,20060629,  269,    0
195264,20060630,  272,    0
195264,20060701,  264,    0
195264,20060702,  251,    0
195264,20060703,  255,    0
195264,20060704,  245,    0
195264,20060705,  250,    0
197960,20060706,  218,    0
195264,20060707,  208,    0
195264,20060708,  238,    0
195264,20060709,  264,    0
195264,20060710,  276,    0
195264,20060711,  283,    0
195264,20060712,  276,    0
195264,20060713,  277,    0
195264,20060714,  281,    0
195264,20060715,  273,    0
195264,20060716,  249,    0
195264,20060717,  244,    0
195264,20060718,  249,    0
195264,20060719,  270,    0
195264,20060720,  286,    0
195264,20060721,  296,    0
195264,20060722,  300,    0
195264,20060723,  301,    0
195264,20060724,  292,    0
195264,20060725,  291,    0
195264,20060726,  295,    0
195264,20060727,  288,    0
195264,20060728,  282,    0
195264,20060729,  262,    0
195264,20060730,  276,    0
195264,20060731,  286,    0
197960,20060801,  255,    0
195264,20060802,  237,    0
197960,20060803,  204,    0
195264,20060804,  192,    0
195264,20060805,  217,    0
195264,20060806,  233,    0
195264,20060807,  241,    0
195264,20060808,  243,    0
195264,20060809,  221,    0
195264,20060810,  219,    0
197960,20060811,  197,    0
197960,20060812,  174,    0
195264,20060813,  189,    0
195264,20060814,  198,    0
195264,20060815,  213,    0
197960,20060816,  207,    0
195264,20060817,  228,    0
195264,20060818,  270,    0
195264,20060819,  227,    0
195264,20060820,  245,    0
195264,20060821,  219,    0
195264,20060822,  229,    0
195264,20060823,  233,    0
195264,20060824,  235,    0
195264,20060825,  217,    0
195264,20060826,  218,    0
195264,20060827,  204,    0
195264,20060828,  214,    0
195264,20060829,  210,    0
195264,20060830,  186,    0
195264,20060831,  201,    0
195264,20060901,  209,    0
195264,20060902,  218,    0
195264,20060903,  226,    0
195264,20060904,  243,    0
195264,20060905,  247,    0
195264,20060906,  253,    0
195264,20060907,  248,    0
195264,20060908,  245,    0
195264,20060909,  213,    0
195264,20060910,  207,    0
195264,20060911,  208,    0
195264,20060912,  212,    0
195264,20060913,  213,    0
195264,20060914,  212,    0
195264,20060915,  233,    0
197960,20060916,  192,    0
197960,20060917,  172,    0
195264,20060918,  200,    0
195264,20060919,  211,    0
195264,20060920,  213,    0
195264,20060921,  212,    0
195264,20060922,  215,    0
195264,20060923,  202,    0
195264,20060924,  193,    0
197960,20060925,  185,    0
195264,20060926,  205,    0
195264,20060927,  212,    0
195264,20060928,  204,    0
195264,20060929,  203,    0
195264,20060930,  204,    0
195264,20061001,  222,    0
195264,20061002,  223,    0
195792,20061003,  237,    0
195792,20061004,  196,    0
195792,20061005,  157,    0
195792,20061006,  155,    0
195792,20061007,  139,    0
195792,20061008,  145,    0
195792,20061009,  150,    0
195792,20061010,  149,    0
195792,20061011,  145,    0
195792,20061012,  140,    0
195792,20061013,  147,    0
195792,20061014,  144,    0
195792,20061015,  139,    0
195792,20061016,  127,    0
195792,20061017,  105,    0
195792,20061018,   97,    0
195792,20061019,  135,    0
195792,20061020,  135,    0
195792,20061021,  138,    0
195792,20061022,  155,    0
195792,20061023,  160,    0
195792,20061024,  202,    0
195792,20061025,  156,    0
195792,20061026,  155,    0
195792,20061027,  150,    0
195792,20061028,  148,    0
195792,20061029,  152,    0
195792,20061030,  131,    0
195792,20061031,  124,    0
195792,20061101,  139,    0
195792,20061102,   84,    0
195792,20061103,   46,    0
195792,20061104,   41,    0
195792,20061105,   51,    0
195792,20061106,   64,    0
195792,20061107,   61,    0
195792,20061108,   93,    0
195792,20061109,  110,    0
195792,20061110,   70,    0
195792,20061111,   55,    0
195792,20061112,   76,    0
195792,20061113,   65,    0
195792,20061114,   61,    0
195792,20061115,   87,    0
195792,20061116,  103,    0
195792,20061117,   96,    0
195792,20061118,  122,    0
195792,20061119,  110,    0
195792,20061120,  114,    0
195792,20061121,  106,    0
195792,20061122,   93,    0
195792,20061123,   60,    0
195792,20061124,   93,    0
195792,20061125,  101,    0
195792,20061126,   89,    0
195792,20061127,  106,    0
195792,20061128,  110,    0
195792,20061129,  104,    0
195792,20061130,   80,    0
195792,20061201,   64,    0
195792,20061202,   42,    0
195792,20061203,   71,    0
195792,20061204,   77,    0
195792,20061205,   87,    0
195792,20061206,  109,    0
195792,20061207,  110,    0
195792,20061208,  125,    0
195792,20061209,  125,    0
195792,20061210,   78,    0
195792,20061211,   52,    0
195792,20061212,   42,    0
195792,20061213,   45,    0
195792,20061214,   34,    0
195792,20061215,   27,    0
195792,20061216,   40,    0
195792,20061217,   61,    0
195792,20061218,   71,    0
195792,20061219,   54,    0
195792,20061220,   31,    0
195792,20061221,   39,    0
195792,20061222,   46,    0
195792,20061223,   25,    0
195792,20061224,   31,    0
195792,20061225,   37,    0
195792,20061226,   26,    0
195792,20061227,  -12,    0
195792,20061228,    0,    0
195792,20061229,   15,    0
195792,20061230,   22,    0
195792,20061231,   36,    0
195792,20070101,   46,    0
195792,20070102,   55,    0
195792,20070103,   53,    0
195792,20070104,   31,    0
195792,20070105,   43,    0
195792,20070106,   37,    0
195792,20070107,   60,    0
195792,20070108,   68,    0
195792,20070109,   67,    0
195792,20070110,   54,    0
195792,20070111,   68,    0
195792,20070112,   46,    0
195792,20070113,   65,    0
195792,20070114,   63,    0
195792,20070115,   57,    0
195792,20070116,   49,    0
195792,20070117,   63,    0
195792,20070118,   58,    0
195792,20070119,   61,    0
195792,20070120,   72,    0
195792,20070121,   72,    0
195792,20070122,   86,    0
195792,20070123,  112,    0
195792,20070124,   61,    0
195792,20070125,   35,    0
195792,20070126,   29,    0
195792,20070127,   20,    0
195792,20070128,   17,    0
195792,20070129,   54,    0
195792,20070130,   29,    0
195792,20070131,   10,    0
195792,20070201,   25,    0
195792,20070202,   55,    0
195792,20070203,   27,    0
195792,20070204,   37,    0
195792,20070205,   17,    0
195792,20070206,   27,    0
195792,20070207,   64,    0
195792,20070208,   67,    0
195792,20070209,   82,    0
195792,20070210,   89,    0
195792,20070211,   73,    0
195792,20070212,   58,    0
