EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MEDESANO (STAID: 17675).
Blended and updated with sources: 195896 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195896,20051201,-9999,    9
195896,20051202,-9999,    9
195896,20051203,-9999,    9
195896,20051204,-9999,    9
195896,20051205,-9999,    9
195896,20051206,-9999,    9
195896,20051207,-9999,    9
195896,20051208,-9999,    9
195896,20051209,-9999,    9
195896,20051210,-9999,    9
195896,20051211,-9999,    9
195896,20051212,-9999,    9
195896,20051213,-9999,    9
195896,20051214,-9999,    9
195896,20051215,-9999,    9
195896,20051216,-9999,    9
195896,20051217,-9999,    9
195896,20051218,-9999,    9
195896,20051219,-9999,    9
195896,20051220,-9999,    9
195896,20051221,-9999,    9
195896,20051222,-9999,    9
195896,20051223,-9999,    9
195896,20051224,-9999,    9
195896,20051225,-9999,    9
195896,20051226,-9999,    9
195896,20051227,-9999,    9
195896,20051228,-9999,    9
195896,20051229,-9999,    9
195896,20051230,-9999,    9
195896,20051231,  -14,    0
195896,20060101,   -6,    0
195896,20060102,    2,    0
195896,20060103,   15,    0
195896,20060104,   -7,    0
195896,20060105,   14,    0
195896,20060106,   12,    0
195896,20060107,    9,    0
195896,20060108,    0,    0
195896,20060109,    1,    0
195896,20060110,   -9,    0
195896,20060111,    0,    0
195896,20060112,   -6,    0
195896,20060113,  -10,    0
195896,20060114,  -14,    0
195896,20060115,  -23,    0
195896,20060116,   -4,    0
195896,20060117,   -4,    0
195896,20060118,    2,    0
195896,20060119,   -8,    0
195896,20060120,  -13,    0
195896,20060121,   -4,    0
195896,20060122,   15,    0
195896,20060123,   -4,    0
195896,20060124,  -26,    0
195896,20060125,  -35,    0
195896,20060126,  -29,    0
195896,20060127,  -15,    0
195896,20060128,    9,    0
195896,20060129,   17,    0
195896,20060130,   21,    0
195896,20060131,   37,    0
195896,20060201,   39,    0
195896,20060202,   38,    0
195896,20060203,   38,    0
195896,20060204,   29,    0
195896,20060205,    7,    0
195896,20060206,  -16,    0
195896,20060207,  -10,    0
195896,20060208,    2,    0
195896,20060209,   20,    0
195896,20060210,   22,    0
195896,20060211,   18,    0
195896,20060212,    5,    0
195896,20060213,    8,    0
195896,20060214,   18,    0
195896,20060215,   26,    0
195896,20060216,   25,    0
195896,20060217,   38,    0
195896,20060218,   67,    0
195896,20060219,   41,    0
195896,20060220,   45,    0
195896,20060221,   50,    0
195896,20060222,   65,    0
195896,20060223,   64,    0
195896,20060224,   26,    0
195896,20060225,   35,    0
195896,20060226,   37,    0
195896,20060227,   33,    0
195896,20060228,   20,    0
195896,20060301,   22,    0
195896,20060302,   25,    0
195896,20060303,   32,    0
195896,20060304,  100,    0
195896,20060305,  100,    0
195896,20060306,   47,    0
195896,20060307,   42,    0
195896,20060308,   39,    0
195896,20060309,   70,    0
195896,20060310,   78,    0
195896,20060311,   51,    0
195896,20060312,   24,    0
195896,20060313,   41,    0
195896,20060314,   40,    0
195896,20060315,   41,    0
195896,20060316,   39,    0
195896,20060317,   55,    0
195896,20060318,   51,    0
195896,20060319,   55,    0
195896,20060320,   79,    0
195896,20060321,   74,    0
195896,20060322,   83,    0
195896,20060323,   92,    0
195896,20060324,   74,    0
195896,20060325,   97,    0
195896,20060326,  118,    0
195896,20060327,  129,    0
195896,20060328,  129,    0
195896,20060329,  136,    0
195896,20060330,  137,    0
195896,20060331,  146,    0
195896,20060401,  121,    0
195896,20060402,  129,    0
195896,20060403,  136,    0
195896,20060404,  102,    0
195896,20060405,  100,    0
195896,20060406,   75,    0
195896,20060407,   70,    0
195896,20060408,   91,    0
195896,20060409,  106,    0
195896,20060410,  107,    0
195896,20060411,   73,    0
