EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MESOLA (STAID: 17676).
Blended and updated with sources: 194984 195912 196648 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195912,20121201,-9999,    9
195912,20121202,-9999,    9
195912,20121203,-9999,    9
195912,20121204,-9999,    9
195912,20121205,-9999,    9
195912,20121206,-9999,    9
195912,20121207,-9999,    9
195912,20121208,-9999,    9
195912,20121209,-9999,    9
195912,20121210,-9999,    9
195912,20121211,-9999,    9
195912,20121212,-9999,    9
195912,20121213,-9999,    9
195912,20121214,-9999,    9
195912,20121215,-9999,    9
195912,20121216,-9999,    9
195912,20121217,-9999,    9
195912,20121218,-9999,    9
195912,20121219,-9999,    9
195912,20121220,-9999,    9
195912,20121221,-9999,    9
195912,20121222,-9999,    9
195912,20121223,-9999,    9
195912,20121224,-9999,    9
195912,20121225,-9999,    9
195912,20121226,-9999,    9
195912,20121227,-9999,    9
195912,20121228,-9999,    9
195912,20121229,-9999,    9
195912,20121230,-9999,    9
195912,20121231,  -10,    0
195912,20130101,   16,    0
195912,20130102,   54,    0
195912,20130103,   57,    0
195912,20130104,   34,    0
195912,20130105,   13,    0
195912,20130106,   21,    0
195912,20130107,   32,    0
195912,20130108,   62,    0
195912,20130109,   55,    0
195912,20130110,   52,    0
195912,20130111,   30,    0
195912,20130112,   41,    0
195912,20130113,   52,    0
195912,20130114,   38,    0
195912,20130115,   36,    0
195912,20130116,   31,    0
195912,20130117,   28,    0
195912,20130118,   28,    0
195912,20130119,   15,    0
195912,20130120,   48,    0
195912,20130121,   39,    0
195912,20130122,   44,    0
195912,20130123,   40,    0
195912,20130124,   67,    0
195912,20130125,   60,    0
195912,20130126,   22,    0
195912,20130127,   -5,    0
195912,20130128,   18,    0
195912,20130129,   17,    0
195912,20130130,   33,    0
195912,20130131,   31,    0
195912,20130201,   35,    0
195912,20130202,   52,    0
195912,20130203,   54,    0
195912,20130204,   46,    0
195912,20130205,   41,    0
195912,20130206,   38,    0
195912,20130207,   51,    0
195912,20130208,   34,    0
195912,20130209,   16,    0
195912,20130210,    0,    0
195912,20130211,   19,    0
195912,20130212,   17,    0
195912,20130213,   27,    0
195912,20130214,   48,    0
195912,20130215,   37,    0
195912,20130216,   48,    0
195912,20130217,   45,    0
195912,20130218,   40,    0
195912,20130219,   35,    0
195912,20130220,   40,    0
195912,20130221,   27,    0
195912,20130222,   24,    0
195912,20130223,   25,    0
195912,20130224,   52,    0
195912,20130225,   48,    0
195912,20130226,   49,    0
195912,20130227,   55,    0
195912,20130228,   57,    0
195912,20130301,   57,    0
195912,20130302,   53,    0
195912,20130303,   59,    0
195912,20130304,   63,    0
195912,20130305,   74,    0
195912,20130306,   92,    0
195912,20130307,  100,    0
195912,20130308,   99,    0
195912,20130309,  109,    0
195912,20130310,  113,    0
195912,20130311,  100,    0
195912,20130312,  102,    0
195912,20130313,   93,    0
195912,20130314,   75,    0
195912,20130315,   50,    0
195912,20130316,   43,    0
195912,20130317,   73,    0
195912,20130318,   67,    0
195912,20130319,   86,    0
195912,20130320,   81,    0
195912,20130321,  100,    0
195912,20130322,   86,    0
195912,20130323,  110,    0
195912,20130324,   75,    0
195912,20130325,   37,    0
195912,20130326,   45,    0
195912,20130327,   59,    0
195912,20130328,   78,    0
195912,20130329,   79,    0
195912,20130330,   86,    0
195912,20130331,   92,    0
195912,20130401,   92,    0
195912,20130402,   88,    0
195912,20130403,   95,    0
195912,20130404,   90,    0
195912,20130405,   88,    0
195912,20130406,  109,    0
195912,20130407,  102,    0
195912,20130408,   92,    0
195912,20130409,   98,    0
195912,20130410,  110,    0
195912,20130411,  133,    0
195912,20130412,  161,    0
