EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MONTEACUTO_DELLALPI (STAID: 17684).
Blended and updated with sources: 196024 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196024,20051201,-9999,    9
196024,20051202,-9999,    9
196024,20051203,-9999,    9
196024,20051204,-9999,    9
196024,20051205,-9999,    9
196024,20051206,-9999,    9
196024,20051207,-9999,    9
196024,20051208,-9999,    9
196024,20051209,-9999,    9
196024,20051210,-9999,    9
196024,20051211,-9999,    9
196024,20051212,-9999,    9
196024,20051213,-9999,    9
196024,20051214,-9999,    9
196024,20051215,-9999,    9
196024,20051216,-9999,    9
196024,20051217,-9999,    9
196024,20051218,-9999,    9
196024,20051219,-9999,    9
196024,20051220,-9999,    9
196024,20051221,-9999,    9
196024,20051222,-9999,    9
196024,20051223,-9999,    9
196024,20051224,-9999,    9
196024,20051225,-9999,    9
196024,20051226,-9999,    9
196024,20051227,-9999,    9
196024,20051228,-9999,    9
196024,20051229,-9999,    9
196024,20051230,-9999,    9
196024,20051231,   -2,    0
196024,20060101,    9,    0
196024,20060102,   14,    0
196024,20060103,   19,    0
196024,20060104,    7,    0
196024,20060105,   -6,    0
196024,20060106,   -4,    0
196024,20060107,   12,    0
196024,20060108,    2,    0
196024,20060109,  -16,    0
196024,20060110,  -11,    0
196024,20060111,   18,    0
196024,20060112,   16,    0
196024,20060113,   -5,    0
196024,20060114,   -9,    0
196024,20060115,  -24,    0
196024,20060116,  -26,    0
196024,20060117,    5,    0
196024,20060118,   50,    0
196024,20060119,   44,    0
196024,20060120,   46,    0
196024,20060121,   43,    0
196024,20060122,   15,    0
196024,20060123,  -31,    0
196024,20060124,  -54,    0
196024,20060125,  -42,    0
196024,20060126,  -26,    0
196024,20060127,    4,    0
196024,20060128,   28,    0
196024,20060129,   38,    0
196024,20060130,   42,    0
196024,20060131,   56,    0
196024,20060201,   83,    0
196024,20060202,   85,    0
196024,20060203,   56,    0
196024,20060204,   42,    0
196024,20060205,   -8,    0
196024,20060206,  -32,    0
196024,20060207,   -8,    0
196024,20060208,   24,    0
196024,20060209,   38,    0
196024,20060210,   23,    0
196024,20060211,   11,    0
196024,20060212,    6,    0
196024,20060213,   10,    0
196024,20060214,   22,    0
196024,20060215,   41,    0
196024,20060216,   76,    0
196024,20060217,   73,    0
196024,20060218,   69,    0
196024,20060219,   68,    0
196024,20060220,   48,    0
196024,20060221,   19,    0
196024,20060222,   28,    0
196024,20060223,   26,    0
196024,20060224,    4,    0
196024,20060225,    7,    0
196024,20060226,   26,    0
196024,20060227,   10,    0
196024,20060228,   -7,    0
196024,20060301,   11,    0
196024,20060302,    4,    0
196024,20060303,   51,    0
196024,20060304,   75,    0
196024,20060305,   64,    0
196024,20060306,   -7,    0
196024,20060307,    6,    0
196024,20060308,   25,    0
196024,20060309,   64,    0
196024,20060310,   53,    0
196024,20060311,   24,    0
196024,20060312,    4,    0
196024,20060313,   11,    0
196024,20060314,   20,    0
196024,20060315,   34,    0
196024,20060316,   17,    0
196024,20060317,   29,    0
196024,20060318,   29,    0
196024,20060319,   32,    0
196024,20060320,   62,    0
196024,20060321,   72,    0
196024,20060322,   58,    0
196024,20060323,   75,    0
196024,20060324,   63,    0
196024,20060325,   75,    0
196024,20060326,  101,    0
196024,20060327,  113,    0
196024,20060328,   98,    0
196024,20060329,   98,    0
196024,20060330,  105,    0
196024,20060331,  123,    0
196024,20060401,  117,    0
196024,20060402,  115,    0
196024,20060403,  116,    0
196024,20060404,  109,    0
196024,20060405,   94,    0
196024,20060406,   63,    0
196024,20060407,   46,    0
196024,20060408,   78,    0
196024,20060409,  108,    0
196024,20060410,  111,    0
196024,20060411,   50,    0
196024,20060412,   69,    0
196024,20060413,   94,    0
196024,20060414,  128,    0
196024,20060415,  116,    0
196024,20060416,  119,    0
196024,20060417,  121,    0
196024,20060418,   91,    0
196024,20060419,  100,    0
196024,20060420,  120,    0
196024,20060421,  128,    0
196024,20060422,  152,    0
196024,20060423,  160,    0
196024,20060424,  169,    0
196024,20060425,  159,    0
196024,20060426,  139,    0
196024,20060427,  118,    0
196024,20060428,  107,    0
196024,20060429,  114,    0
196024,20060430,   83,    0
196024,20060501,  107,    0
196024,20060502,  121,    0
196024,20060503,  135,    0
196024,20060504,  135,    0
196024,20060505,  124,    0
196024,20060506,  133,    0
196024,20060507,  133,    0
196024,20060508,  134,    0
196024,20060509,   92,    0
196024,20060510,  110,    0
196024,20060511,  124,    0
196024,20060512,  160,    0
196024,20060513,  155,    0
196024,20060514,  136,    0
196024,20060515,  161,    0
196024,20060516,  183,    0
196024,20060517,  190,    0
196024,20060518,  202,    0
196024,20060519,  193,    0
196024,20060520,  155,    0
196024,20060521,  170,    0
196024,20060522,  193,    0
196024,20060523,  179,    0
196024,20060524,  146,    0
196024,20060525,  150,    0
196024,20060526,  180,    0
196024,20060527,  209,    0
196024,20060528,  220,    0
196024,20060529,  181,    0
196024,20060530,  102,    0
196024,20060531,  100,    0
196024,20060601,  101,    0
196024,20060602,   82,    0
196024,20060603,  117,    0
196024,20060604,  156,    0
196024,20060605,  137,    0
196024,20060606,  128,    0
196024,20060607,  126,    0
196024,20060608,  140,    0
196024,20060609,  140,    0
196024,20060610,  168,    0
196024,20060611,  155,    0
196024,20060612,  155,    0
196024,20060613,  194,    0
196024,20060614,  208,    0
196024,20060615,  214,    0
196024,20060616,  206,    0
