EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MONTEFIORINO (STAID: 17689).
Blended and updated with sources: 196096 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196096,20051201,-9999,    9
196096,20051202,-9999,    9
196096,20051203,-9999,    9
196096,20051204,-9999,    9
196096,20051205,-9999,    9
196096,20051206,-9999,    9
196096,20051207,-9999,    9
196096,20051208,-9999,    9
196096,20051209,-9999,    9
196096,20051210,-9999,    9
196096,20051211,-9999,    9
196096,20051212,-9999,    9
196096,20051213,-9999,    9
196096,20051214,-9999,    9
196096,20051215,-9999,    9
196096,20051216,-9999,    9
196096,20051217,-9999,    9
196096,20051218,-9999,    9
196096,20051219,-9999,    9
196096,20051220,-9999,    9
196096,20051221,-9999,    9
196096,20051222,-9999,    9
196096,20051223,-9999,    9
196096,20051224,-9999,    9
196096,20051225,-9999,    9
196096,20051226,-9999,    9
196096,20051227,-9999,    9
196096,20051228,-9999,    9
196096,20051229,-9999,    9
196096,20051230,-9999,    9
196096,20051231,  -26,    0
196096,20060101,  -23,    0
196096,20060102,    6,    0
196096,20060103,   23,    0
196096,20060104,    6,    0
196096,20060105,   -6,    0
196096,20060106,    7,    0
196096,20060107,    8,    0
196096,20060108,    0,    0
196096,20060109,  -17,    0
196096,20060110,  -13,    0
196096,20060111,    8,    0
196096,20060112,   10,    0
196096,20060113,  -10,    0
196096,20060114,  -10,    0
196096,20060115,  -37,    0
196096,20060116,  -30,    0
196096,20060117,  -20,    0
196096,20060118,  -13,    0
196096,20060119,   30,    0
196096,20060120,   36,    0
196096,20060121,   34,    0
196096,20060122,   12,    0
196096,20060123,  -23,    0
196096,20060124,  -54,    0
196096,20060125,  -43,    0
196096,20060126,  -53,    0
196096,20060127,  -31,    0
196096,20060128,    3,    0
196096,20060129,   26,    0
196096,20060130,   27,    0
196096,20060131,   53,    0
196096,20060201,   70,    0
196096,20060202,   78,    0
196096,20060203,   53,    0
196096,20060204,   41,    0
196096,20060205,   -9,    0
196096,20060206,  -25,    0
196096,20060207,  -17,    0
196096,20060208,    9,    0
196096,20060209,   32,    0
196096,20060210,   15,    0
196096,20060211,   10,    0
196096,20060212,    3,    0
196096,20060213,    5,    0
196096,20060214,   20,    0
196096,20060215,   34,    0
