EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MONTE_GROSSO (STAID: 17690).
Blended and updated with sources: 196112 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196112,20051201,-9999,    9
196112,20051202,-9999,    9
196112,20051203,-9999,    9
196112,20051204,-9999,    9
196112,20051205,-9999,    9
196112,20051206,-9999,    9
196112,20051207,-9999,    9
196112,20051208,-9999,    9
196112,20051209,-9999,    9
196112,20051210,-9999,    9
196112,20051211,-9999,    9
196112,20051212,-9999,    9
196112,20051213,-9999,    9
196112,20051214,-9999,    9
196112,20051215,-9999,    9
196112,20051216,-9999,    9
196112,20051217,-9999,    9
196112,20051218,-9999,    9
196112,20051219,-9999,    9
196112,20051220,-9999,    9
196112,20051221,-9999,    9
196112,20051222,-9999,    9
196112,20051223,-9999,    9
196112,20051224,-9999,    9
196112,20051225,-9999,    9
196112,20051226,-9999,    9
196112,20051227,-9999,    9
196112,20051228,-9999,    9
196112,20051229,-9999,    9
196112,20051230,-9999,    9
196112,20051231,   -4,    0
196112,20060101,    0,    0
196112,20060102,    5,    0
196112,20060103,    8,    0
196112,20060104,    0,    0
196112,20060105,   -7,    0
196112,20060106,    2,    0
196112,20060107,   10,    0
196112,20060108,   -2,    0
196112,20060109,  -25,    0
196112,20060110,  -13,    0
196112,20060111,   13,    0
196112,20060112,    8,    0
196112,20060113,   -8,    0
196112,20060114,  -15,    0
196112,20060115,  -27,    0
196112,20060116,  -33,    0
196112,20060117,   -4,    0
196112,20060118,   31,    0
196112,20060119,   44,    0
196112,20060120,   57,    0
196112,20060121,   43,    0
196112,20060122,   -1,    0
196112,20060123,  -42,    0
196112,20060124,  -62,    0
196112,20060125,  -57,    0
196112,20060126,  -19,    0
196112,20060127,   20,    0
196112,20060128,   36,    0
196112,20060129,   35,    0
196112,20060130,   39,    0
196112,20060131,   52,    0
196112,20060201,   73,    0
196112,20060202,   93,    0
196112,20060203,   63,    0
196112,20060204,   39,    0
196112,20060205,  -21,    0
196112,20060206,  -40,    0
196112,20060207,  -12,    0
196112,20060208,   24,    0
196112,20060209,   31,    0
196112,20060210,   20,    0
196112,20060211,   15,    0
196112,20060212,   10,    0
196112,20060213,    8,    0
196112,20060214,   25,    0
196112,20060215,   53,    0
196112,20060216,   80,    0
196112,20060217,   77,    0
196112,20060218,   83,    0
196112,20060219,   84,    0
196112,20060220,   56,    0
196112,20060221,   35,    0
196112,20060222,   31,    0
196112,20060223,   27,    0
196112,20060224,    0,    0
196112,20060225,    1,    0
196112,20060226,   24,    0
196112,20060227,   10,    0
196112,20060228,  -18,    0
196112,20060301,    5,    0
196112,20060302,   -1,    0
196112,20060303,   49,    0
196112,20060304,   91,    0
196112,20060305,   69,    0
196112,20060306,  -10,    0
196112,20060307,    5,    0
196112,20060308,   19,    0
196112,20060309,   58,    0
196112,20060310,   56,    0
196112,20060311,   17,    0
196112,20060312,   -2,    0
196112,20060313,   -6,    0
196112,20060314,    7,    0
196112,20060315,   24,    0
196112,20060316,   12,    0
196112,20060317,   19,    0
196112,20060318,   17,    0
196112,20060319,   26,    0
196112,20060320,   51,    0
196112,20060321,   83,    0
196112,20060322,   46,    0
196112,20060323,   62,    0
196112,20060324,   67,    0
196112,20060325,   73,    0
196112,20060326,  102,    0
196112,20060327,  117,    0
196112,20060328,  110,    0
196112,20060329,   91,    0
196112,20060330,   98,    0
196112,20060331,  116,    0
196112,20060401,  119,    0
196112,20060402,  110,    0
196112,20060403,  105,    0
196112,20060404,  101,    0
196112,20060405,  116,    0
196112,20060406,   68,    0
196112,20060407,   36,    0
196112,20060408,   81,    0
196112,20060409,  110,    0
196112,20060410,  122,    0
196112,20060411,   55,    0
196112,20060412,   64,    0
196112,20060413,   89,    0
196112,20060414,  121,    0
196112,20060415,  124,    0
196112,20060416,  111,    0
196112,20060417,  125,    0
196112,20060418,   85,    0
196112,20060419,   93,    0
196112,20060420,  125,    0
196112,20060421,  141,    0
196112,20060422,  156,    0
196112,20060423,  159,    0
196112,20060424,  166,    0
196112,20060425,  156,    0
196112,20060426,  140,    0
196112,20060427,  104,    0
196112,20060428,  101,    0
196112,20060429,  108,    0
196112,20060430,   76,    0
196112,20060501,   96,    0
196112,20060502,  122,    0
196112,20060503,-9999,    9
196112,20060504,-9999,    9
196112,20060505,-9999,    9
