EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MONTICELLI_ARPA (STAID: 17695).
Blended and updated with sources: 194776 196184 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196184,20051201,-9999,    9
196184,20051202,-9999,    9
196184,20051203,-9999,    9
196184,20051204,-9999,    9
196184,20051205,-9999,    9
196184,20051206,-9999,    9
196184,20051207,-9999,    9
196184,20051208,-9999,    9
196184,20051209,-9999,    9
196184,20051210,-9999,    9
196184,20051211,-9999,    9
196184,20051212,-9999,    9
196184,20051213,-9999,    9
196184,20051214,-9999,    9
196184,20051215,-9999,    9
196184,20051216,-9999,    9
196184,20051217,-9999,    9
196184,20051218,-9999,    9
196184,20051219,-9999,    9
196184,20051220,-9999,    9
196184,20051221,-9999,    9
196184,20051222,-9999,    9
196184,20051223,-9999,    9
196184,20051224,-9999,    9
196184,20051225,-9999,    9
196184,20051226,-9999,    9
196184,20051227,-9999,    9
196184,20051228,-9999,    9
196184,20051229,-9999,    9
196184,20051230,-9999,    9
196184,20051231,  -16,    0
196184,20060101,  -10,    0
196184,20060102,  -10,    0
196184,20060103,    7,    0
196184,20060104,  -37,    0
196184,20060105,   -3,    0
196184,20060106,  -28,    0
196184,20060107,    8,    0
196184,20060108,  -12,    0
196184,20060109,  -16,    0
196184,20060110,  -23,    0
196184,20060111,  -12,    0
196184,20060112,  -18,    0
196184,20060113,  -18,    0
196184,20060114,  -44,    0
196184,20060115,  -19,    0
196184,20060116,  -10,    0
196184,20060117,   -4,    0
196184,20060118,    3,    0
196184,20060119,  -32,    0
196184,20060120,  -32,    0
196184,20060121,   -7,    0
196184,20060122,   10,    0
196184,20060123,   -7,    0
196184,20060124,  -22,    0
196184,20060125,  -30,    0
196184,20060126,  -27,    0
196184,20060127,  -13,    0
196184,20060128,    0,    0
196184,20060129,  -11,    0
196184,20060130,   -7,    0
196184,20060131,    2,    0
196184,20060201,   -1,    0
196184,20060202,    7,    0
196184,20060203,    5,    0
196184,20060204,   -3,    0
196184,20060205,    4,    0
196184,20060206,  -15,    0
196184,20060207,  -11,    0
196184,20060208,    4,    0
196184,20060209,   -5,    0
196184,20060210,   15,    0
196184,20060211,   23,    0
196184,20060212,    5,    0
196184,20060213,    9,    0
196184,20060214,    5,    0
196184,20060215,   19,    0
196184,20060216,   24,    0
196184,20060217,   28,    0
196184,20060218,   38,    0
196184,20060219,   29,    0
196184,20060220,   44,    0
196184,20060221,   53,    0
196184,20060222,   65,    0
196184,20060223,   77,    0
196184,20060224,   38,    0
196184,20060225,   44,    0
196184,20060226,   53,    0
196184,20060227,   38,    0
196184,20060228,    0,    0
196184,20060301,   31,    0
196184,20060302,   45,    0
196184,20060303,   57,    0
196184,20060304,  106,    0
196184,20060305,  106,    0
196184,20060306,   76,    0
196184,20060307,   65,    0
196184,20060308,   65,    0
196184,20060309,   96,    0
196184,20060310,  107,    0
196184,20060311,   86,    0
196184,20060312,   57,    0
196184,20060313,   57,    0
196184,20060314,   65,    0
196184,20060315,   59,    0
196184,20060316,   57,    0
196184,20060317,   22,    0
196184,20060318,   60,    0
196184,20060319,   70,    0
196184,20060320,   92,    0
196184,20060321,   74,    0
196184,20060322,   91,    0
196184,20060323,   94,    0
196184,20060324,   82,    0
196184,20060325,   97,    0
196184,20060326,  118,    0
196184,20060327,  136,    0
196184,20060328,  124,    0
196184,20060329,  132,    0
196184,20060330,  107,    0
196184,20060331,  141,    0
196184,20060401,  131,    0
196184,20060402,  142,    0
196184,20060403,  146,    0
196184,20060404,  126,    0
196184,20060405,  107,    0
196184,20060406,   84,    0
196184,20060407,   79,    0
196184,20060408,  102,    0
196184,20060409,  109,    0
196184,20060410,  122,    0
196184,20060411,   92,    0
196184,20060412,   87,    0
196184,20060413,  110,    0
196184,20060414,  144,    0
196184,20060415,  136,    0
196184,20060416,  160,    0
196184,20060417,  142,    0
196184,20060418,  128,    0
196184,20060419,  149,    0
196184,20060420,  145,    0
196184,20060421,  156,    0
196184,20060422,  145,    0
196184,20060423,  179,    0
196184,20060424,  182,    0
196184,20060425,  173,    0
196184,20060426,  182,    0
196184,20060427,  170,    0
196184,20060428,  163,    0
196184,20060429,  157,    0
196184,20060430,  124,    0
196184,20060501,  156,    0
196184,20060502,  161,    0
196184,20060503,  163,    0
196184,20060504,  179,    0
196184,20060505,  167,    0
196184,20060506,  168,    0
196184,20060507,  175,    0
196184,20060508,  174,    0
196184,20060509,  140,    0
196184,20060510,  162,    0
196184,20060511,  168,    0
196184,20060512,  188,    0
196184,20060513,  223,    0
196184,20060514,  191,    0
196184,20060515,  210,    0
196184,20060516,  215,    0
196184,20060517,  240,    0
196184,20060518,  213,    0
196184,20060519,  228,    0
196184,20060520,  206,    0
196184,20060521,  223,    0
196184,20060522,  243,    0
196184,20060523,  201,    0
196184,20060524,  185,    0
196184,20060525,  179,    0
196184,20060526,  201,    0
196184,20060527,  191,    0
196184,20060528,  199,    0
196184,20060529,  195,    0
196184,20060530,  137,    0
196184,20060531,  130,    0
196184,20060601,  162,    0
196184,20060602,  155,    0
196184,20060603,  187,    0
196184,20060604,  191,    0
196184,20060605,  186,    0
196184,20060606,  178,    0
196184,20060607,  178,    0
196184,20060608,  193,    0
196184,20060609,  197,    0
196184,20060610,  208,    0
196184,20060611,  201,    0
