EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MORCIANO (STAID: 17697).
Blended and updated with sources: 196208 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196208,20051201,-9999,    9
196208,20051202,-9999,    9
196208,20051203,-9999,    9
196208,20051204,-9999,    9
196208,20051205,-9999,    9
196208,20051206,-9999,    9
196208,20051207,-9999,    9
196208,20051208,-9999,    9
196208,20051209,-9999,    9
196208,20051210,-9999,    9
196208,20051211,-9999,    9
196208,20051212,-9999,    9
196208,20051213,-9999,    9
196208,20051214,-9999,    9
196208,20051215,-9999,    9
196208,20051216,-9999,    9
196208,20051217,-9999,    9
196208,20051218,-9999,    9
196208,20051219,-9999,    9
196208,20051220,-9999,    9
196208,20051221,-9999,    9
196208,20051222,-9999,    9
196208,20051223,-9999,    9
196208,20051224,-9999,    9
196208,20051225,-9999,    9
196208,20051226,-9999,    9
196208,20051227,-9999,    9
196208,20051228,-9999,    9
196208,20051229,-9999,    9
196208,20051230,-9999,    9
196208,20051231,   15,    0
196208,20060101,    4,    0
196208,20060102,   37,    0
196208,20060103,   49,    0
196208,20060104,   53,    0
196208,20060105,   40,    0
196208,20060106,   47,    0
196208,20060107,   51,    0
196208,20060108,   52,    0
196208,20060109,   30,    0
196208,20060110,   27,    0
196208,20060111,   38,    0
196208,20060112,   36,    0
196208,20060113,   36,    0
196208,20060114,   25,    0
196208,20060115,   16,    0
196208,20060116,   15,    0
196208,20060117,    6,    0
196208,20060118,   12,    0
196208,20060119,   -5,    0
196208,20060120,   -9,    0
196208,20060121,    6,    0
196208,20060122,   40,    0
196208,20060123,   10,    0
196208,20060124,    2,    0
196208,20060125,  -15,    0
196208,20060126,   10,    0
196208,20060127,   44,    0
196208,20060128,   41,    0
196208,20060129,   63,    0
196208,20060130,   69,    0
196208,20060131,   69,    0
196208,20060201,   79,    0
196208,20060202,   74,    0
196208,20060203,   65,    0
196208,20060204,   52,    0
196208,20060205,   36,    0
196208,20060206,   14,    0
196208,20060207,   11,    0
196208,20060208,   47,    0
196208,20060209,   36,    0
196208,20060210,   36,    0
196208,20060211,   43,    0
196208,20060212,   30,    0
196208,20060213,   22,    0
196208,20060214,   30,    0
196208,20060215,   86,    0
196208,20060216,   93,    0
196208,20060217,  125,    0
196208,20060218,  124,    0
196208,20060219,  132,    0
196208,20060220,  105,    0
196208,20060221,   69,    0
196208,20060222,   71,    0
196208,20060223,   76,    0
196208,20060224,   60,    0
196208,20060225,   50,    0
196208,20060226,   62,    0
196208,20060227,   56,    0
196208,20060228,   30,    0
196208,20060301,   38,    0
196208,20060302,   40,    0
196208,20060303,   98,    0
196208,20060304,  137,    0
196208,20060305,  125,    0
196208,20060306,   54,    0
196208,20060307,   39,    0
196208,20060308,   46,    0
196208,20060309,   82,    0
196208,20060310,   90,    0
196208,20060311,   65,    0
196208,20060312,   61,    0
196208,20060313,   53,    0
196208,20060314,   46,    0
196208,20060315,   57,    0
196208,20060316,   42,    0
196208,20060317,   58,    0
196208,20060318,   55,    0
196208,20060319,   62,    0
196208,20060320,   84,    0
196208,20060321,  112,    0
196208,20060322,   78,    0
196208,20060323,   90,    0
196208,20060324,   84,    0
196208,20060325,   97,    0
196208,20060326,  123,    0
196208,20060327,  156,    0
196208,20060328,  169,    0
196208,20060329,  152,    0
196208,20060330,  152,    0
196208,20060331,  168,    0
196208,20060401,  143,    0
196208,20060402,  135,    0
196208,20060403,  118,    0
196208,20060404,  108,    0
196208,20060405,  150,    0
196208,20060406,  104,    0
196208,20060407,   78,    0
196208,20060408,   91,    0
196208,20060409,  137,    0
196208,20060410,  155,    0
196208,20060411,  114,    0
196208,20060412,  100,    0
196208,20060413,  114,    0
196208,20060414,  165,    0
196208,20060415,  178,    0
196208,20060416,  158,    0
196208,20060417,  146,    0
196208,20060418,  123,    0
196208,20060419,  141,    0
196208,20060420,  149,    0
196208,20060421,  149,    0
196208,20060422,  168,    0
196208,20060423,  184,    0
196208,20060424,  177,    0
196208,20060425,  173,    0
196208,20060426,  173,    0
196208,20060427,  141,    0
196208,20060428,  143,    0
196208,20060429,  145,    0
196208,20060430,  118,    0
196208,20060501,  128,    0
196208,20060502,  152,    0
196208,20060503,  151,    0
196208,20060504,  155,    0
196208,20060505,  147,    0
196208,20060506,  150,    0
196208,20060507,  157,    0
196208,20060508,  157,    0
196208,20060509,  138,    0
196208,20060510,  143,    0
196208,20060511,  149,    0
196208,20060512,  176,    0
196208,20060513,  200,    0
196208,20060514,  151,    0
196208,20060515,  168,    0
196208,20060516,  203,    0
196208,20060517,  217,    0
196208,20060518,  230,    0
196208,20060519,  242,    0
196208,20060520,  216,    0
196208,20060521,  221,    0
196208,20060522,  241,    0
196208,20060523,  228,    0
196208,20060524,  168,    0
196208,20060525,  167,    0
196208,20060526,  189,    0
196208,20060527,  226,    0
196208,20060528,  251,    0
196208,20060529,  233,    0
196208,20060530,  136,    0
196208,20060531,  135,    0
196208,20060601,  141,    0
196208,20060602,  150,    0
196208,20060603,  139,    0
196208,20060604,  186,    0
196208,20060605,  181,    0
196208,20060606,  158,    0
196208,20060607,  152,    0
196208,20060608,  159,    0
196208,20060609,  165,    0
196208,20060610,  195,    0
196208,20060611,  172,    0
196208,20060612,  185,    0
196208,20060613,  212,    0
196208,20060614,  231,    0
196208,20060615,  247,    0
196208,20060616,  255,    0
196208,20060617,  260,    0
196208,20060618,  256,    0
196208,20060619,  267,    0
196208,20060620,  272,    0
196208,20060621,  271,    0
196208,20060622,  279,    0
196208,20060623,  274,    0
196208,20060624,  252,    0
196208,20060625,  269,    0
