EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MORMOROLA (STAID: 17699).
Blended and updated with sources: 196224 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196224,20051201,-9999,    9
196224,20051202,-9999,    9
196224,20051203,-9999,    9
196224,20051204,-9999,    9
196224,20051205,-9999,    9
196224,20051206,-9999,    9
196224,20051207,-9999,    9
196224,20051208,-9999,    9
196224,20051209,-9999,    9
196224,20051210,-9999,    9
196224,20051211,-9999,    9
196224,20051212,-9999,    9
196224,20051213,-9999,    9
196224,20051214,-9999,    9
196224,20051215,-9999,    9
196224,20051216,-9999,    9
196224,20051217,-9999,    9
196224,20051218,-9999,    9
196224,20051219,-9999,    9
196224,20051220,-9999,    9
196224,20051221,-9999,    9
196224,20051222,-9999,    9
196224,20051223,-9999,    9
196224,20051224,-9999,    9
196224,20051225,-9999,    9
196224,20051226,-9999,    9
196224,20051227,-9999,    9
196224,20051228,-9999,    9
196224,20051229,-9999,    9
196224,20051230,-9999,    9
196224,20051231,  -24,    0
196224,20060101,  -24,    0
196224,20060102,   -2,    0
196224,20060103,   15,    0
196224,20060104,    0,    0
196224,20060105,    2,    0
196224,20060106,    0,    0
196224,20060107,    4,    0
196224,20060108,   -4,    0
196224,20060109,  -18,    0
196224,20060110,  -28,    0
196224,20060111,  -12,    0
196224,20060112,  -13,    0
196224,20060113,  -22,    0
196224,20060114,  -30,    0
196224,20060115,  -39,    0
196224,20060116,  -26,    0
196224,20060117,  -19,    0
196224,20060118,   20,    0
196224,20060119,   12,    0
196224,20060120,   32,    0
196224,20060121,   43,    0
196224,20060122,   15,    0
196224,20060123,  -20,    0
196224,20060124,  -43,    0
196224,20060125,  -48,    0
196224,20060126,  -51,    0
196224,20060127,  -35,    0
196224,20060128,    2,    0
196224,20060129,   21,    0
196224,20060130,   32,    0
196224,20060131,   38,    0
196224,20060201,   43,    0
196224,20060202,   48,    0
196224,20060203,   50,    0
196224,20060204,   30,    0
196224,20060205,  -11,    0
196224,20060206,  -32,    0
196224,20060207,  -22,    0
196224,20060208,   21,    0
196224,20060209,   29,    0
196224,20060210,    9,    0
196224,20060211,    1,    0
196224,20060212,   -4,    0
196224,20060213,   -3,    0
196224,20060214,   19,    0
196224,20060215,   21,    0
196224,20060216,   22,    0
196224,20060217,   81,    0
196224,20060218,   77,    0
196224,20060219,   61,    0
196224,20060220,   55,    0
196224,20060221,   23,    0
196224,20060222,   32,    0
196224,20060223,   33,    0
196224,20060224,    4,    0
196224,20060225,    8,    0
196224,20060226,   24,    0
196224,20060227,   11,    0
196224,20060228,   -5,    0
196224,20060301,    1,    0
196224,20060302,    3,    0
196224,20060303,   64,    0
196224,20060304,   96,    0
196224,20060305,   80,    0
