EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, NEVIANO_ARDUINI (STAID: 17702).
Blended and updated with sources: 194592 196248 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196248,20051201,-9999,    9
196248,20051202,-9999,    9
196248,20051203,-9999,    9
196248,20051204,-9999,    9
196248,20051205,-9999,    9
196248,20051206,-9999,    9
196248,20051207,-9999,    9
196248,20051208,-9999,    9
196248,20051209,-9999,    9
196248,20051210,-9999,    9
196248,20051211,-9999,    9
196248,20051212,-9999,    9
196248,20051213,-9999,    9
196248,20051214,-9999,    9
196248,20051215,-9999,    9
196248,20051216,-9999,    9
196248,20051217,-9999,    9
196248,20051218,-9999,    9
196248,20051219,-9999,    9
196248,20051220,-9999,    9
196248,20051221,-9999,    9
196248,20051222,-9999,    9
196248,20051223,-9999,    9
196248,20051224,-9999,    9
196248,20051225,-9999,    9
196248,20051226,-9999,    9
196248,20051227,-9999,    9
196248,20051228,-9999,    9
196248,20051229,-9999,    9
196248,20051230,-9999,    9
196248,20051231,  -10,    0
196248,20060101,  -13,    0
196248,20060102,   26,    0
196248,20060103,   43,    0
196248,20060104,   26,    0
196248,20060105,   16,    0
196248,20060106,   30,    0
196248,20060107,   34,    0
196248,20060108,   14,    0
196248,20060109,    4,    0
196248,20060110,   23,    0
196248,20060111,   45,    0
196248,20060112,   33,    0
196248,20060113,   16,    0
196248,20060114,   18,    0
196248,20060115,  -15,    0
196248,20060116,  -17,    0
196248,20060117,  -10,    0
196248,20060118,    1,    0
196248,20060119,   43,    0
196248,20060120,   54,    0
196248,20060121,   50,    0
196248,20060122,   37,    0
196248,20060123,   -4,    0
196248,20060124,  -30,    0
196248,20060125,  -21,    0
196248,20060126,  -35,    0
196248,20060127,  -16,    0
196248,20060128,   24,    0
196248,20060129,   40,    0
196248,20060130,   47,    0
196248,20060131,   84,    0
196248,20060201,   96,    0
196248,20060202,   91,    0
