EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, PANOCCHIA (STAID: 17713).
Blended and updated with sources: 196376 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196376,20051201,-9999,    9
196376,20051202,-9999,    9
196376,20051203,-9999,    9
196376,20051204,-9999,    9
196376,20051205,-9999,    9
196376,20051206,-9999,    9
196376,20051207,-9999,    9
196376,20051208,-9999,    9
196376,20051209,-9999,    9
196376,20051210,-9999,    9
196376,20051211,-9999,    9
196376,20051212,-9999,    9
196376,20051213,-9999,    9
196376,20051214,-9999,    9
196376,20051215,-9999,    9
196376,20051216,-9999,    9
196376,20051217,-9999,    9
196376,20051218,-9999,    9
196376,20051219,-9999,    9
196376,20051220,-9999,    9
196376,20051221,-9999,    9
196376,20051222,-9999,    9
196376,20051223,-9999,    9
196376,20051224,-9999,    9
196376,20051225,-9999,    9
196376,20051226,-9999,    9
196376,20051227,-9999,    9
196376,20051228,-9999,    9
196376,20051229,-9999,    9
196376,20051230,-9999,    9
196376,20051231,  -11,    0
196376,20060101,   -4,    0
196376,20060102,    8,    0
196376,20060103,   29,    0
196376,20060104,   18,    0
196376,20060105,   29,    0
196376,20060106,   26,    0
196376,20060107,   29,    0
196376,20060108,    9,    0
196376,20060109,    9,    0
196376,20060110,    4,    0
196376,20060111,   16,    0
196376,20060112,    7,    0
196376,20060113,    1,    0
196376,20060114,   -1,    0
196376,20060115,  -15,    0
196376,20060116,    0,    0
196376,20060117,    1,    0
196376,20060118,   10,    0
196376,20060119,    4,    0
196376,20060120,    2,    0
196376,20060121,    0,    0
196376,20060122,   20,    0
196376,20060123,   -2,    0
196376,20060124,  -27,    0
196376,20060125,  -25,    0
196376,20060126,  -29,    0
196376,20060127,   -7,    0
196376,20060128,   17,    0
196376,20060129,   26,    0
196376,20060130,   29,    0
196376,20060131,   52,    0
196376,20060201,   52,    0
196376,20060202,   53,    0
196376,20060203,   52,    0
196376,20060204,   38,    0
196376,20060205,    8,    0
196376,20060206,   -6,    0
196376,20060207,   -6,    0
196376,20060208,   11,    0
196376,20060209,   30,    0
196376,20060210,   33,    0
196376,20060211,   29,    0
196376,20060212,   18,    0
196376,20060213,   14,    0
196376,20060214,   25,    0
196376,20060215,   26,    0
196376,20060216,   27,    0
196376,20060217,   53,    0
196376,20060218,   72,    0
196376,20060219,   45,    0
196376,20060220,   51,    0
196376,20060221,   51,    0
196376,20060222,   65,    0
196376,20060223,   64,    0
196376,20060224,   26,    0
196376,20060225,   37,    0
196376,20060226,   42,    0
196376,20060227,   30,    0
196376,20060228,   24,    0
196376,20060301,   27,    0
196376,20060302,   27,    0
196376,20060303,   34,    0
196376,20060304,  101,    0
196376,20060305,  101,    0
196376,20060306,   48,    0
196376,20060307,   44,    0
196376,20060308,   41,    0
196376,20060309,   68,    0
196376,20060310,   76,    0
196376,20060311,   59,    0
196376,20060312,   24,    0
196376,20060313,   44,    0
196376,20060314,   42,    0
196376,20060315,   46,    0
196376,20060316,   38,    0
196376,20060317,   62,    0
196376,20060318,   52,    0
196376,20060319,   58,    0
196376,20060320,   84,    0
196376,20060321,   76,    0
196376,20060322,   84,    0
196376,20060323,   94,    0
196376,20060324,   76,    0
196376,20060325,   99,    0
196376,20060326,  120,    0
196376,20060327,  128,    0
196376,20060328,  136,    0
196376,20060329,  148,    0
196376,20060330,  124,    0
196376,20060331,  139,    0
196376,20060401,  127,    0
196376,20060402,  133,    0
196376,20060403,  132,    0
196376,20060404,  106,    0
196376,20060405,  103,    0
196376,20060406,   70,    0
196376,20060407,   70,    0
196376,20060408,   96,    0
196376,20060409,  114,    0
196376,20060410,  107,    0
196376,20060411,   74,    0
196376,20060412,   91,    0
196376,20060413,  117,    0
196376,20060414,  141,    0
196376,20060415,  136,    0
196376,20060416,  153,    0
196376,20060417,  131,    0
196376,20060418,  126,    0
196376,20060419,  136,    0
196376,20060420,  144,    0
196376,20060421,  154,    0
196376,20060422,  171,    0
196376,20060423,  168,    0
196376,20060424,  175,    0
196376,20060425,  164,    0
196376,20060426,  161,    0
196376,20060427,  154,    0
196376,20060428,  150,    0
196376,20060429,  155,    0
196376,20060430,  110,    0
196376,20060501,  131,    0
196376,20060502,  144,    0
196376,20060503,  155,    0
196376,20060504,  159,    0
196376,20060505,  151,    0
196376,20060506,  156,    0
196376,20060507,  168,    0
196376,20060508,  158,    0
196376,20060509,  127,    0
196376,20060510,  154,    0
196376,20060511,  158,    0
196376,20060512,  179,    0
196376,20060513,  180,    0
196376,20060514,  173,    0
