EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, PASSO_DELLE_RADICI (STAID: 17717).
Blended and updated with sources: 196416 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196416,20051201,-9999,    9
196416,20051202,-9999,    9
196416,20051203,-9999,    9
196416,20051204,-9999,    9
196416,20051205,-9999,    9
196416,20051206,-9999,    9
196416,20051207,-9999,    9
196416,20051208,-9999,    9
196416,20051209,-9999,    9
196416,20051210,-9999,    9
196416,20051211,-9999,    9
196416,20051212,-9999,    9
196416,20051213,-9999,    9
196416,20051214,-9999,    9
196416,20051215,-9999,    9
196416,20051216,-9999,    9
196416,20051217,-9999,    9
196416,20051218,-9999,    9
196416,20051219,-9999,    9
196416,20051220,-9999,    9
196416,20051221,-9999,    9
196416,20051222,-9999,    9
196416,20051223,-9999,    9
196416,20051224,-9999,    9
196416,20051225,-9999,    9
196416,20051226,-9999,    9
196416,20051227,-9999,    9
196416,20051228,-9999,    9
196416,20051229,-9999,    9
196416,20051230,-9999,    9
196416,20051231,  -10,    0
196416,20060101,   -6,    0
196416,20060102,  -35,    0
196416,20060103,  -36,    0
196416,20060104,  -55,    0
196416,20060105,  -63,    0
196416,20060106,  -55,    0
196416,20060107,  -45,    0
196416,20060108,  -51,    0
196416,20060109,  -80,    0
196416,20060110,  -59,    0
196416,20060111,  -44,    0
196416,20060112,  -36,    0
196416,20060113,  -58,    0
196416,20060114,  -55,    0
196416,20060115,  -79,    0
196416,20060116,  -60,    0
196416,20060117,  -22,    0
196416,20060118,    0,    0
196416,20060119,   -5,    0
196416,20060120,   -5,    0
196416,20060121,   -9,    0
196416,20060122,  -38,    0
196416,20060123,  -90,    0
196416,20060124, -119,    0
196416,20060125,  -73,    0
196416,20060126,  -63,    0
196416,20060127,  -26,    0
196416,20060128,   -5,    0
196416,20060129,    4,    0
196416,20060130,    4,    0
196416,20060131,   10,    0
196416,20060201,   35,    0
196416,20060202,   43,    0
196416,20060203,   -3,    0
196416,20060204,  -15,    0
196416,20060205,  -65,    0
196416,20060206,  -86,    0
196416,20060207,  -43,    0
196416,20060208,  -17,    0
196416,20060209,  -27,    0
196416,20060210,  -44,    0
196416,20060211,  -50,    0
196416,20060212,  -54,    0
196416,20060213,  -43,    0
196416,20060214,  -29,    0
196416,20060215,  -11,    0
196416,20060216,   15,    0
196416,20060217,    0,    0
196416,20060218,   -1,    0
196416,20060219,    0,    0
196416,20060220,  -14,    0
196416,20060221,  -19,    0
196416,20060222,  -13,    0
196416,20060223,  -21,    0
196416,20060224,  -46,    0
196416,20060225,  -30,    0
196416,20060226,  -27,    0
196416,20060227,  -36,    0
196416,20060228,  -55,    0
196416,20060301,  -48,    0
196416,20060302,  -52,    0
196416,20060303,  -15,    0
196416,20060304,   12,    0
196416,20060305,    5,    0
196416,20060306,  -58,    0
196416,20060307,  -60,    0
196416,20060308,  -39,    0
196416,20060309,   13,    0
196416,20060310,    4,    0
196416,20060311,  -32,    0
196416,20060312,  -60,    0
196416,20060313,  -55,    0
196416,20060314,  -19,    0
196416,20060315,  -10,    0
196416,20060316,  -21,    0
196416,20060317,   -6,    0
196416,20060318,  -12,    0
196416,20060319,  -11,    0
196416,20060320,    8,    0
196416,20060321,   25,    0
196416,20060322,   21,    0
196416,20060323,   21,    0
196416,20060324,    5,    0
196416,20060325,   26,    0
196416,20060326,   51,    0
196416,20060327,   45,    0
196416,20060328,   32,    0
196416,20060329,   26,    0
196416,20060330,   21,    0
196416,20060331,   35,    0
196416,20060401,   50,    0
196416,20060402,   57,    0
196416,20060403,   57,    0
196416,20060404,   40,    0
196416,20060405,   23,    0
196416,20060406,   11,    0
196416,20060407,    5,    0
196416,20060408,   21,    0
196416,20060409,   34,    0
196416,20060410,   35,    0
196416,20060411,  -18,    0
196416,20060412,    6,    0
196416,20060413,   31,    0
196416,20060414,   55,    0
196416,20060415,   41,    0
196416,20060416,   49,    0
196416,20060417,   58,    0
196416,20060418,   36,    0
196416,20060419,   52,    0
196416,20060420,   54,    0
196416,20060421,   54,    0
196416,20060422,   79,    0
196416,20060423,   83,    0
196416,20060424,  101,    0
196416,20060425,   90,    0
196416,20060426,   75,    0
196416,20060427,   59,    0
196416,20060428,   52,    0
196416,20060429,   59,    0
196416,20060430,   44,    0
196416,20060501,   53,    0
