EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, PIACENZA_URBANA (STAID: 17723).
Blended and updated with sources: 196488 197184 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196488,20051201,-9999,    9
196488,20051202,-9999,    9
196488,20051203,-9999,    9
196488,20051204,-9999,    9
196488,20051205,-9999,    9
196488,20051206,-9999,    9
196488,20051207,-9999,    9
196488,20051208,-9999,    9
196488,20051209,-9999,    9
196488,20051210,-9999,    9
196488,20051211,-9999,    9
196488,20051212,-9999,    9
196488,20051213,-9999,    9
196488,20051214,-9999,    9
196488,20051215,-9999,    9
196488,20051216,-9999,    9
196488,20051217,-9999,    9
196488,20051218,-9999,    9
196488,20051219,-9999,    9
196488,20051220,-9999,    9
196488,20051221,-9999,    9
196488,20051222,-9999,    9
196488,20051223,-9999,    9
196488,20051224,-9999,    9
196488,20051225,-9999,    9
196488,20051226,-9999,    9
196488,20051227,-9999,    9
196488,20051228,-9999,    9
196488,20051229,-9999,    9
196488,20051230,-9999,    9
196488,20051231,  -10,    0
196488,20060101,   -8,    0
196488,20060102,  -17,    0
196488,20060103,   15,    0
196488,20060104,  -25,    0
196488,20060105,    6,    0
196488,20060106,   30,    0
196488,20060107,   12,    0
196488,20060108,    6,    0
196488,20060109,   16,    0
196488,20060110,    0,    0
196488,20060111,    8,    0
196488,20060112,    2,    0
196488,20060113,    0,    0
196488,20060114,   -3,    0
196488,20060115,   -8,    0
196488,20060116,   -5,    0
196488,20060117,    4,    0
196488,20060118,   14,    0
196488,20060119,    0,    0
196488,20060120,  -16,    0
196488,20060121,    2,    0
196488,20060122,   33,    0
196488,20060123,   11,    0
196488,20060124,    0,    0
196488,20060125,  -16,    0
196488,20060126,  -24,    0
196488,20060127,  -14,    0
196488,20060128,    7,    0
196488,20060129,   15,    0
196488,20060130,   33,    0
196488,20060131,   37,    0
196488,20060201,   32,    0
196488,20060202,   35,    0
196488,20060203,   37,    0
196488,20060204,   16,    0
196488,20060205,   19,    0
196488,20060206,    0,    0
196488,20060207,   -4,    0
196488,20060208,   15,    0
196488,20060209,   19,    0
196488,20060210,   34,    0
196488,20060211,   35,    0
196488,20060212,   18,    0
196488,20060213,   21,    0
196488,20060214,   20,    0
196488,20060215,   26,    0
196488,20060216,   27,    0
196488,20060217,   22,    0
196488,20060218,   31,    0
196488,20060219,   42,    0
196488,20060220,   43,    0
196488,20060221,   56,    0
