EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, PIANELLO_VAL_TIDONE (STAID: 17725).
Blended and updated with sources: 196512 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196512,20051201,-9999,    9
196512,20051202,-9999,    9
196512,20051203,-9999,    9
196512,20051204,-9999,    9
196512,20051205,-9999,    9
196512,20051206,-9999,    9
196512,20051207,-9999,    9
196512,20051208,-9999,    9
196512,20051209,-9999,    9
196512,20051210,-9999,    9
196512,20051211,-9999,    9
196512,20051212,-9999,    9
196512,20051213,-9999,    9
196512,20051214,-9999,    9
196512,20051215,-9999,    9
196512,20051216,-9999,    9
196512,20051217,-9999,    9
196512,20051218,-9999,    9
196512,20051219,-9999,    9
196512,20051220,-9999,    9
196512,20051221,-9999,    9
196512,20051222,-9999,    9
196512,20051223,-9999,    9
196512,20051224,-9999,    9
196512,20051225,-9999,    9
196512,20051226,-9999,    9
196512,20051227,-9999,    9
196512,20051228,-9999,    9
196512,20051229,-9999,    9
196512,20051230,-9999,    9
196512,20051231,   -1,    0
196512,20060101,    3,    0
196512,20060102,   33,    0
196512,20060103,   53,    0
196512,20060104,   32,    0
196512,20060105,   38,    0
196512,20060106,   41,    0
196512,20060107,   39,    0
196512,20060108,   22,    0
196512,20060109,   25,    0
196512,20060110,   33,    0
196512,20060111,   50,    0
196512,20060112,   31,    0
196512,20060113,   25,    0
196512,20060114,   25,    0
196512,20060115,   -5,    0
196512,20060116,    0,    0
196512,20060117,    3,    0
196512,20060118,   26,    0
196512,20060119,   38,    0
196512,20060120,   51,    0
196512,20060121,   46,    0
196512,20060122,   60,    0
196512,20060123,   14,    0
196512,20060124,   -6,    0
196512,20060125,  -15,    0
196512,20060126,  -24,    0
196512,20060127,   -8,    0
196512,20060128,   19,    0
196512,20060129,   42,    0
196512,20060130,   58,    0
196512,20060131,   82,    0
196512,20060201,   92,    0
196512,20060202,   94,    0
196512,20060203,   82,    0
196512,20060204,   56,    0
196512,20060205,   19,    0
196512,20060206,   -4,    0
196512,20060207,    8,    0
196512,20060208,   29,    0
196512,20060209,   68,    0
196512,20060210,   63,    0
196512,20060211,   51,    0
196512,20060212,   35,    0
196512,20060213,   32,    0
196512,20060214,   41,    0
196512,20060215,   31,    0
196512,20060216,   33,    0
196512,20060217,   68,    0
196512,20060218,   44,    0
196512,20060219,   42,    0
196512,20060220,   49,    0
196512,20060221,   55,    0
196512,20060222,   61,    0
196512,20060223,   68,    0
196512,20060224,   31,    0
196512,20060225,   33,    0
196512,20060226,   49,    0
196512,20060227,   38,    0
196512,20060228,   23,    0
196512,20060301,   31,    0
196512,20060302,   41,    0
196512,20060303,   43,    0
196512,20060304,   77,    0
196512,20060305,   97,    0
196512,20060306,   58,    0
196512,20060307,   59,    0
196512,20060308,   50,    0
196512,20060309,   77,    0
196512,20060310,   96,    0
196512,20060311,   67,    0
196512,20060312,   41,    0
196512,20060313,   63,    0
196512,20060314,   64,    0
196512,20060315,   56,    0
196512,20060316,   54,    0
196512,20060317,   70,    0
196512,20060318,   69,    0
196512,20060319,   80,    0
196512,20060320,   94,    0
196512,20060321,   78,    0
196512,20060322,   92,    0
196512,20060323,  115,    0
196512,20060324,   81,    0
196512,20060325,  104,    0
196512,20060326,  136,    0
196512,20060327,  130,    0
196512,20060328,  131,    0
196512,20060329,  149,    0
196512,20060330,  129,    0
196512,20060331,  150,    0
196512,20060401,  129,    0
196512,20060402,  149,    0
196512,20060403,  155,    0
196512,20060404,  119,    0
196512,20060405,   94,    0
196512,20060406,   76,    0
196512,20060407,   84,    0
196512,20060408,  111,    0
196512,20060409,  116,    0
196512,20060410,  113,    0
196512,20060411,   83,    0
196512,20060412,  117,    0
196512,20060413,  147,    0
196512,20060414,  158,    0
196512,20060415,  135,    0
196512,20060416,  156,    0
196512,20060417,  136,    0
196512,20060418,  130,    0
196512,20060419,  160,    0
196512,20060420,  158,    0
196512,20060421,  174,    0
196512,20060422,  194,    0
196512,20060423,  186,    0
196512,20060424,  192,    0
196512,20060425,  170,    0
196512,20060426,  177,    0
196512,20060427,  174,    0
196512,20060428,  152,    0
196512,20060429,  160,    0
196512,20060430,  119,    0
196512,20060501,  134,    0
196512,20060502,  155,    0
196512,20060503,  168,    0
196512,20060504,  182,    0
196512,20060505,  158,    0
196512,20060506,  157,    0
196512,20060507,  181,    0
196512,20060508,  160,    0
196512,20060509,  127,    0
196512,20060510,  145,    0
196512,20060511,  166,    0
196512,20060512,  194,    0
196512,20060513,  188,    0
196512,20060514,  192,    0
196512,20060515,  193,    0
196512,20060516,  212,    0
196512,20060517,  226,    0
196512,20060518,  211,    0
196512,20060519,  225,    0
196512,20060520,  199,    0
196512,20060521,  206,    0
196512,20060522,  217,    0
196512,20060523,  200,    0
196512,20060524,  188,    0
196512,20060525,  169,    0
196512,20060526,  214,    0
196512,20060527,  260,    0
196512,20060528,  251,    0
196512,20060529,  207,    0
196512,20060530,  162,    0
196512,20060531,  141,    0
196512,20060601,  160,    0
196512,20060602,  145,    0
196512,20060603,  186,    0
196512,20060604,  205,    0
196512,20060605,  201,    0
196512,20060606,  177,    0
196512,20060607,  178,    0
196512,20060608,  195,    0
196512,20060609,  193,    0
196512,20060610,  221,    0
196512,20060611,  204,    0
196512,20060612,  220,    0
196512,20060613,  244,    0
196512,20060614,  250,    0
196512,20060615,  248,    0
196512,20060616,  236,    0
196512,20060617,  244,    0
196512,20060618,  258,    0
196512,20060619,  262,    0
196512,20060620,  258,    0
196512,20060621,  280,    0
196512,20060622,  281,    0
196512,20060623,  276,    0
196512,20060624,  272,    0
196512,20060625,  250,    0
196512,20060626,  273,    0
196512,20060627,  288,    0
196512,20060628,  276,    0
196512,20060629,  261,    0
196512,20060630,  278,    0
196512,20060701,  278,    0
196512,20060702,  257,    0
196512,20060703,  261,    0
196512,20060704,  256,    0
196512,20060705,  256,    0
196512,20060706,  227,    0
196512,20060707,  212,    0
196512,20060708,  245,    0
196512,20060709,  257,    0
196512,20060710,  280,    0
196512,20060711,  289,    0
196512,20060712,  285,    0
196512,20060713,  273,    0
196512,20060714,  275,    0
196512,20060715,  280,    0
196512,20060716,  262,    0
196512,20060717,  254,    0
196512,20060718,  256,    0
196512,20060719,  278,    0
196512,20060720,  296,    0
196512,20060721,  309,    0
196512,20060722,  309,    0
196512,20060723,  301,    0
196512,20060724,  296,    0
196512,20060725,  292,    0
196512,20060726,  277,    0
196512,20060727,  292,    0
196512,20060728,  253,    0
196512,20060729,  273,    0
196512,20060730,  285,    0
196512,20060731,  293,    0
196512,20060801,  261,    0
196512,20060802,  245,    0
196512,20060803,  210,    0
196512,20060804,  229,    0
196512,20060805,  223,    0
196512,20060806,  245,    0
196512,20060807,  259,    0
196512,20060808,  259,    0
196512,20060809,  241,    0
196512,20060810,  227,    0
196512,20060811,  205,    0
196512,20060812,  179,    0
196512,20060813,  180,    0
196512,20060814,  188,    0
196512,20060815,  208,    0
196512,20060816,  186,    0
196512,20060817,  208,    0
196512,20060818,  235,    0
196512,20060819,  221,    0
196512,20060820,  243,    0
196512,20060821,  233,    0
196512,20060822,  236,    0
196512,20060823,  236,    0
196512,20060824,  227,    0
196512,20060825,  213,    0
196512,20060826,  212,    0
196512,20060827,  214,    0
196512,20060828,  212,    0
196512,20060829,  216,    0
196512,20060830,  199,    0
196512,20060831,  210,    0
196512,20060901,  215,    0
196512,20060902,  220,    0
196512,20060903,  237,    0
196512,20060904,  254,    0
196512,20060905,  259,    0
196512,20060906,  261,    0
196512,20060907,  262,    0
196512,20060908,  246,    0
196512,20060909,  211,    0
196512,20060910,  210,    0
196512,20060911,  213,    0
196512,20060912,  208,    0
196512,20060913,  210,    0
196512,20060914,  187,    0
196512,20060915,  194,    0
196512,20060916,  190,    0
196512,20060917,  185,    0
196512,20060918,  200,    0
196512,20060919,  216,    0
196512,20060920,  212,    0
196512,20060921,  209,    0
196512,20060922,  218,    0
196512,20060923,  206,    0
196512,20060924,  185,    0
196512,20060925,  165,    0
196512,20060926,  182,    0
196512,20060927,  206,    0
196512,20060928,  201,    0
196512,20060929,  203,    0
196512,20060930,  197,    0
196512,20061001,  197,    0
196512,20061002,  206,    0
196512,20061003,  218,    0
196512,20061004,  180,    0
196512,20061005,  162,    0
196512,20061006,  161,    0
196512,20061007,  154,    0
196512,20061008,  161,    0
196512,20061009,  160,    0
196512,20061010,  167,    0
196512,20061011,  163,    0
196512,20061012,  165,    0
196512,20061013,  167,    0
196512,20061014,  158,    0
196512,20061015,  153,    0
196512,20061016,  153,    0
196512,20061017,  130,    0
196512,20061018,  134,    0
196512,20061019,  124,    0
196512,20061020,  121,    0
196512,20061021,  132,    0
196512,20061022,  149,    0
196512,20061023,  149,    0
196512,20061024,  165,    0
196512,20061025,  173,    0
196512,20061026,  171,    0
196512,20061027,  182,    0
196512,20061028,  173,    0
196512,20061029,  201,    0
196512,20061030,  162,    0
196512,20061031,  137,    0
196512,20061101,  146,    0
196512,20061102,   97,    0
196512,20061103,   90,    0
196512,20061104,   77,    0
196512,20061105,  101,    0
196512,20061106,  141,    0
196512,20061107,  130,    0
196512,20061108,  135,    0
196512,20061109,  141,    0
196512,20061110,  131,    0
196512,20061111,  100,    0
196512,20061112,  130,    0
196512,20061113,  117,    0
196512,20061114,  126,    0
196512,20061115,  122,    0
196512,20061116,  112,    0
196512,20061117,  113,    0
196512,20061118,  118,    0
196512,20061119,  119,    0
196512,20061120,  110,    0
196512,20061121,   97,    0
196512,20061122,  105,    0
196512,20061123,  103,    0
196512,20061124,   82,    0
196512,20061125,   90,    0
196512,20061126,  124,    0
196512,20061127,  100,    0
