EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, PIEVE_DI_CUSIGNANO (STAID: 17726).
Blended and updated with sources: 196544 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196544,20051201,-9999,    9
196544,20051202,-9999,    9
196544,20051203,-9999,    9
196544,20051204,-9999,    9
196544,20051205,-9999,    9
196544,20051206,-9999,    9
196544,20051207,-9999,    9
196544,20051208,-9999,    9
196544,20051209,-9999,    9
196544,20051210,-9999,    9
196544,20051211,-9999,    9
196544,20051212,-9999,    9
196544,20051213,-9999,    9
196544,20051214,-9999,    9
196544,20051215,-9999,    9
196544,20051216,-9999,    9
196544,20051217,-9999,    9
196544,20051218,-9999,    9
196544,20051219,-9999,    9
196544,20051220,-9999,    9
196544,20051221,-9999,    9
196544,20051222,-9999,    9
196544,20051223,-9999,    9
196544,20051224,-9999,    9
196544,20051225,-9999,    9
196544,20051226,-9999,    9
196544,20051227,-9999,    9
196544,20051228,-9999,    9
196544,20051229,-9999,    9
196544,20051230,-9999,    9
196544,20051231,  -17,    0
196544,20060101,  -10,    0
196544,20060102,   22,    0
196544,20060103,   40,    0
196544,20060104,   33,    0
196544,20060105,   27,    0
196544,20060106,   35,    0
196544,20060107,   30,    0
196544,20060108,   16,    0
196544,20060109,   13,    0
196544,20060110,   21,    0
196544,20060111,   34,    0
196544,20060112,   24,    0
196544,20060113,   18,    0
196544,20060114,   17,    0
196544,20060115,  -16,    0
196544,20060116,  -10,    0
196544,20060117,  -11,    0
196544,20060118,    6,    0
196544,20060119,   24,    0
196544,20060120,   32,    0
196544,20060121,   18,    0
196544,20060122,   41,    0
196544,20060123,    6,    0
196544,20060124,  -19,    0
196544,20060125,  -20,    0
196544,20060126,  -40,    0
196544,20060127,  -16,    0
196544,20060128,   16,    0
196544,20060129,   28,    0
196544,20060130,   44,    0
196544,20060131,   69,    0
196544,20060201,   74,    0
196544,20060202,   79,    0
196544,20060203,   74,    0
196544,20060204,   50,    0
196544,20060205,   10,    0
196544,20060206,   -1,    0
196544,20060207,    1,    0
196544,20060208,   10,    0
196544,20060209,   41,    0
196544,20060210,   54,    0
196544,20060211,   51,    0
196544,20060212,   29,    0
196544,20060213,   25,    0
196544,20060214,   35,    0
196544,20060215,   19,    0
196544,20060216,   15,    0
196544,20060217,   62,    0
196544,20060218,   78,    0
196544,20060219,   32,    0
196544,20060220,   44,    0
196544,20060221,   40,    0
196544,20060222,   55,    0
196544,20060223,   53,    0
196544,20060224,   13,    0
196544,20060225,   23,    0
196544,20060226,   38,    0
196544,20060227,   21,    0
196544,20060228,   11,    0
