EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, PONTE_CHIAVICA (STAID: 17734).
Blended and updated with sources: 195816 196632 196840 220992 916145 916146 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
916145,20051201,   41,    0
916145,20051202,   41,    0
916145,20051203,  102,    0
916145,20051204,   54,    0
916145,20051205,   91,    0
916145,20051206,   67,    0
916145,20051207,   67,    0
916145,20051208,   41,    0
916145,20051209,   78,    0
916145,20051210,   73,    0
916145,20051211,   65,    0
916145,20051212,   38,    0
916145,20051213,   40,    0
916145,20051214,   42,    0
916145,20051215,   41,    0
916145,20051216,   20,    0
916145,20051217,   18,    0
916145,20051218,   28,    0
916145,20051219,   21,    0
916145,20051220,   25,    0
916145,20051221,   26,    0
916145,20051222,   15,    0
916145,20051223,   18,    0
916145,20051224,   13,    0
916145,20051225,   22,    0
916145,20051226,   38,    0
916145,20051227,   38,    0
916145,20051228,   38,    0
916145,20051229,    5,    0
916145,20051230,   -1,    0
196632,20051231,   -4,    0
196632,20060101,    0,    0
196632,20060102,   14,    0
196632,20060103,   34,    0
196632,20060104,   32,    0
196632,20060105,   26,    0
196632,20060106,   27,    0
196632,20060107,   37,    0
196632,20060108,   35,    0
196632,20060109,   17,    0
196632,20060110,    9,    0
196632,20060111,   11,    0
196632,20060112,   11,    0
196632,20060113,    4,    0
196632,20060114,   -1,    0
196632,20060115,    6,    0
196632,20060116,    5,    0
196632,20060117,    0,    0
196632,20060118,    1,    0
196632,20060119,   -9,    0
196632,20060120,  -21,    0
196632,20060121,   -5,    0
196632,20060122,   25,    0
196632,20060123,   23,    0
196632,20060124,   10,    0
196632,20060125,  -15,    0
196632,20060126,    2,    0
196632,20060127,   21,    0
196632,20060128,   33,    0
196632,20060129,   40,    0
196632,20060130,   59,    0
196632,20060131,   56,    0
196632,20060201,   48,    0
196632,20060202,   54,    0
196632,20060203,   46,    0
196632,20060204,   38,    0
196632,20060205,   38,    0
196632,20060206,   21,    0
196632,20060207,    1,    0
196632,20060208,   19,    0
196632,20060209,   26,    0
196632,20060210,   28,    0
196632,20060211,   26,    0
196632,20060212,   22,    0
196632,20060213,   15,    0
196632,20060214,   23,    0
196632,20060215,   43,    0
196632,20060216,   36,    0
196632,20060217,   66,    0
196632,20060218,   96,    0
196632,20060219,   63,    0
196632,20060220,   91,    0
196632,20060221,   64,    0
196632,20060222,   67,    0
196632,20060223,   76,    0
196632,20060224,   61,    0
196632,20060225,   56,    0
196632,20060226,   60,    0
196632,20060227,   56,    0
196632,20060228,   34,    0
196632,20060301,   40,    0
196632,20060302,   37,    0
196632,20060303,   58,    0
196632,20060304,  129,    0
196632,20060305,  108,    0
196632,20060306,   62,    0
196840,20060307,   42,    0
196840,20060308,   43,    0
196632,20060309,   70,    0
196632,20060310,   74,    0
196632,20060311,   75,    0
196632,20060312,   46,    0
196632,20060313,   52,    0
196632,20060314,   31,    0
196632,20060315,   52,    0
196632,20060316,   55,    0
196632,20060317,   58,    0
196632,20060318,   45,    0
196632,20060319,   58,    0
196632,20060320,   79,    0
196632,20060321,   82,    0
196632,20060322,   89,    0
196632,20060323,   98,    0
196632,20060324,   85,    0
196632,20060325,   91,    0
196632,20060326,  108,    0
196632,20060327,  124,    0
196632,20060328,  135,    0
196632,20060329,  139,    0
196632,20060330,  132,    0
196632,20060331,  129,    0
196632,20060401,  125,    0
196632,20060402,  128,    0
196632,20060403,  109,    0
196632,20060404,  113,    0
196632,20060405,  124,    0
196632,20060406,   98,    0
196632,20060407,   81,    0
196632,20060408,   94,    0
196632,20060409,  120,    0
196632,20060410,  127,    0
196632,20060411,  102,    0
196632,20060412,  101,    0
196632,20060413,  112,    0
196632,20060414,  127,    0
196632,20060415,  137,    0
196632,20060416,  148,    0
196632,20060417,  134,    0
196632,20060418,  137,    0
196632,20060419,  149,    0
196632,20060420,  152,    0
196632,20060421,  156,    0
196632,20060422,  165,    0
196632,20060423,  172,    0
196632,20060424,  167,    0
196632,20060425,  166,    0
196632,20060426,  171,    0
196632,20060427,  155,    0
196632,20060428,  157,    0
196632,20060429,  157,    0
196632,20060430,  120,    0
196632,20060501,  132,    0
196632,20060502,  155,    0
196632,20060503,  158,    0
196632,20060504,  162,    0
196632,20060505,  161,    0
196632,20060506,  160,    0
196632,20060507,  159,    0
196632,20060508,  165,    0
196632,20060509,  139,    0
196632,20060510,  158,    0
196632,20060511,  172,    0
196632,20060512,  172,    0
196632,20060513,  185,    0
196632,20060514,  157,    0
196632,20060515,  169,    0
196632,20060516,  186,    0
196632,20060517,  204,    0
196632,20060518,  202,    0
196632,20060519,  221,    0
196632,20060520,  203,    0
196632,20060521,  216,    0
196632,20060522,  207,    0
196632,20060523,  209,    0
196632,20060524,  168,    0
196632,20060525,  164,    0
196632,20060526,  186,    0
196632,20060527,  204,    0
196632,20060528,  205,    0
196632,20060529,  200,    0
196632,20060530,  128,    0
196632,20060531,  140,    0
196632,20060601,  165,    0
196632,20060602,  148,    0
196632,20060603,  149,    0
196632,20060604,  179,    0
196632,20060605,  175,    0
196632,20060606,  162,    0
196632,20060607,  164,    0
196632,20060608,  163,    0
196632,20060609,  175,    0
196632,20060610,  193,    0
196632,20060611,  183,    0
196632,20060612,  191,    0
196632,20060613,  208,    0
196632,20060614,  223,    0
196632,20060615,  237,    0
196632,20060616,  244,    0
196632,20060617,  240,    0
196632,20060618,  242,    0
196632,20060619,  248,    0
196632,20060620,  259,    0
196632,20060621,  250,    0
196632,20060622,  262,    0
196632,20060623,  254,    0
196632,20060624,  261,    0
196632,20060625,  262,    0
196632,20060626,  270,    0
196632,20060627,  272,    0
196632,20060628,  271,    0
196632,20060629,  276,    0
196632,20060630,  258,    0
196632,20060701,  256,    0
196632,20060702,  245,    0
196632,20060703,  241,    0
196632,20060704,  238,    0
196632,20060705,  237,    0
196632,20060706,  239,    0
196632,20060707,  218,    0
196632,20060708,  231,    0
196632,20060709,  250,    0
196632,20060710,  258,    0
196632,20060711,  262,    0
196632,20060712,  270,    0
196632,20060713,  264,    0
196632,20060714,  268,    0
196632,20060715,  265,    0
196632,20060716,  249,    0
196632,20060717,  238,    0
196632,20060718,  234,    0
196632,20060719,  244,    0
196632,20060720,  261,    0
196632,20060721,  274,    0
196632,20060722,  279,    0
196632,20060723,  285,    0
196632,20060724,  284,    0
196632,20060725,  283,    0
196632,20060726,  287,    0
196632,20060727,  282,    0
196632,20060728,  277,    0
196632,20060729,  256,    0
196632,20060730,  260,    0
196632,20060731,  274,    0
196632,20060801,  262,    0
196632,20060802,  240,    0
196632,20060803,  235,    0
196632,20060804,  195,    0
196632,20060805,  209,    0
196632,20060806,  224,    0
196632,20060807,  238,    0
196632,20060808,  230,    0
196632,20060809,  218,    0
196632,20060810,  217,    0
916145,20060811,  201,    0
916145,20060812,  168,    0
916145,20060813,  181,    0
916145,20060814,  199,    0
916145,20060815,  194,    0
196840,20060816,  260,    0
196840,20060817,  255,    0
196840,20060818,  276,    1
196840,20060819,  240,    0
196840,20060820,  245,    0
196840,20060821,  229,    0
196632,20060822,  223,    0
196632,20060823,  236,    0
196632,20060824,  237,    0
196632,20060825,  224,    0
196632,20060826,  212,    0
196632,20060827,  201,    0
196632,20060828,  209,    0
196632,20060829,  214,    0
196632,20060830,  185,    0
196632,20060831,  192,    0
196632,20060901,  198,    0
196632,20060902,  207,    0
196632,20060903,  219,    0
196632,20060904,  234,    0
196632,20060905,  233,    0
196632,20060906,  239,    0
196632,20060907,  240,    0
196632,20060908,  240,    0
196632,20060909,  209,    0
196632,20060910,  188,    0
196632,20060911,  190,    0
196632,20060912,  196,    0
196632,20060913,  208,    0
196632,20060914,  226,    0
196632,20060915,  234,    0
196632,20060916,  194,    0
196632,20060917,  177,    0
196632,20060918,  199,    0
196632,20060919,  205,    0
196632,20060920,  207,    0
196632,20060921,  200,    0
196632,20060922,  200,    0
196632,20060923,  201,    0
196632,20060924,  191,    0
196632,20060925,  200,    0
196632,20060926,  216,    0
196632,20060927,  212,    0
196632,20060928,  188,    0
196632,20060929,  191,    0
196632,20060930,  200,    0
196632,20061001,  211,    0
196632,20061002,  213,    0
196632,20061003,  221,    0
196632,20061004,  205,    0
196632,20061005,  171,    0
196632,20061006,  164,    0
196632,20061007,  151,    0
196632,20061008,  162,    0
196632,20061009,  157,    0
196632,20061010,  155,    0
196632,20061011,  153,    0
196632,20061012,  150,    0
196632,20061013,  159,    0
196632,20061014,  173,    0
196632,20061015,  161,    0
196632,20061016,  150,    0
196632,20061017,  133,    0
196632,20061018,  115,    0
196632,20061019,  136,    0
196632,20061020,  150,    0
196632,20061021,  149,    0
196632,20061022,  157,    0
196632,20061023,  182,    0
196632,20061024,  208,    0
196632,20061025,  178,    0
196632,20061026,  161,    0
196632,20061027,  161,    0
196632,20061028,  159,    0
196632,20061029,  164,    0
196632,20061030,  155,    0
196632,20061031,  139,    0
196632,20061101,  142,    0
196632,20061102,  116,    0
196632,20061103,   66,    0
196632,20061104,   68,    0
196632,20061105,   66,    0
196632,20061106,   86,    0
196632,20061107,   86,    0
196632,20061108,  105,    0
196632,20061109,  118,    0
196632,20061110,  108,    0
196632,20061111,   75,    0
196632,20061112,   90,    0
196632,20061113,   80,    0
196632,20061114,   83,    0
196632,20061115,   94,    0
196632,20061116,  112,    0
196632,20061117,   89,    0
196632,20061118,  115,    0
196632,20061119,  112,    0
196632,20061120,  122,    0
196632,20061121,  103,    0
196632,20061122,   99,    0
196632,20061123,   78,    0
196632,20061124,   97,    0
196632,20061125,  100,    0
196632,20061126,   84,    0
196632,20061127,  104,    0
196632,20061128,  110,    0
196632,20061129,  107,    0
196632,20061130,   88,    0
196632,20061201,   76,    0
196632,20061202,   56,    0
196632,20061203,   73,    0
196632,20061204,   75,    0
196632,20061205,   88,    0
196632,20061206,  119,    0
196632,20061207,  107,    0
196632,20061208,  130,    0
196632,20061209,  126,    0
196632,20061210,   88,    0
196632,20061211,   59,    0
196632,20061212,   41,    0
196632,20061213,   44,    0
196632,20061214,   34,    0
196632,20061215,   37,    0
196632,20061216,   49,    0
196632,20061217,   62,    0
196632,20061218,   78,    0
196632,20061219,   80,    0
196632,20061220,   49,    0
196632,20061221,   65,    0
196632,20061222,   68,    0
196632,20061223,   26,    0
196632,20061224,   28,    0
196632,20061225,   34,    0
196632,20061226,   31,    0
196632,20061227,    2,    0
196632,20061228,   -5,    0
196632,20061229,    9,    0
196632,20061230,   13,    0
196632,20061231,   36,    0
196632,20070101,   39,    0
196632,20070102,   46,    0
196632,20070103,   43,    0
196632,20070104,   44,    0
196632,20070105,   42,    0
196632,20070106,   18,    0
196632,20070107,   48,    0
196632,20070108,   62,    0
196632,20070109,   68,    0
196632,20070110,   67,    0
196632,20070111,   54,    0
196632,20070112,   48,    0
196632,20070113,   59,    0
196632,20070114,   58,    0
196632,20070115,   56,    0
196632,20070116,   50,    0
196632,20070117,   62,    0
196632,20070118,   58,    0
196632,20070119,   64,    0
196632,20070120,   62,    0
196632,20070121,   67,    0
196632,20070122,   79,    0
196632,20070123,  120,    0
196632,20070124,   66,    0
196632,20070125,   60,    0
196632,20070126,   34,    0
196632,20070127,   31,    0
196632,20070128,   36,    0
196632,20070129,   62,    0
196632,20070130,   39,    0
196632,20070131,   18,    0
196632,20070201,   26,    0
196632,20070202,   41,    0
196632,20070203,   36,    0
196632,20070204,   43,    0
196632,20070205,   30,    0
196632,20070206,   75,    0
196632,20070207,   70,    0
196632,20070208,   72,    0
196632,20070209,   82,    0
196632,20070210,   85,    0
196632,20070211,   88,    0
196632,20070212,   82,    0
196632,20070213,   93,    0
196632,20070214,   70,    0
196632,20070215,   79,    0
196632,20070216,   57,    0
196632,20070217,   62,    0
196632,20070218,   77,    0
196632,20070219,   63,    0
196632,20070220,   74,    0
196632,20070221,  101,    0
196632,20070222,   97,    0
196632,20070223,   86,    0
196632,20070224,   85,    0
196632,20070225,  116,    0
196632,20070226,   90,    0
196632,20070227,   86,    0
196632,20070228,   90,    0
196632,20070301,  106,    0
196632,20070302,  135,    0
196632,20070303,  131,    0
196632,20070304,  118,    0
196632,20070305,  120,    0
196632,20070306,  120,    0
196632,20070307,  119,    0
196632,20070308,  112,    0
196632,20070309,  117,    0
196632,20070310,  113,    0
196632,20070311,  107,    0
196632,20070312,   88,    0
196632,20070313,  106,    0
196632,20070314,  117,    0
196632,20070315,  110,    0
196632,20070316,  115,    0
196632,20070317,  127,    0
196632,20070318,  130,    0
196632,20070319,  117,    0
196632,20070320,   63,    0
196632,20070321,   86,    0
196632,20070322,   81,    0
196632,20070323,   72,    0
196632,20070324,   83,    0
196632,20070325,   90,    0
196632,20070326,   91,    0
196632,20070327,  105,    0
196632,20070328,   89,    0
196632,20070329,   92,    0
196632,20070330,   95,    0
196632,20070331,  101,    0
196632,20070401,  118,    0
196632,20070402,  124,    0
196632,20070403,  121,    0
196632,20070404,  129,    0
196632,20070405,  122,    0
196632,20070406,  124,    0
196632,20070407,  130,    0
196632,20070408,  130,    0
196632,20070409,  141,    0
196632,20070410,  153,    0
196632,20070411,  152,    0
196632,20070412,  158,    0
196632,20070413,  157,    0
196632,20070414,  156,    0
196632,20070415,  160,    0
196632,20070416,  170,    0
196632,20070417,  157,    0
196632,20070418,  156,    0
196632,20070419,  158,    0
196632,20070420,  162,    0
196632,20070421,  158,    0
196632,20070422,  178,    0
196632,20070423,  177,    0
196632,20070424,  194,    0
196632,20070425,  192,    0
196632,20070426,  179,    0
196632,20070427,  167,    0
196632,20070428,  173,    0
196632,20070429,  184,    0
196632,20070430,  179,    0
196632,20070501,  181,    0
196632,20070502,  169,    0
196632,20070503,  155,    0
196632,20070504,  161,    0
196632,20070505,  156,    0
196632,20070506,  159,    0
196632,20070507,  191,    0
196632,20070508,  205,    0
196632,20070509,  219,    0
196632,20070510,  205,    0
196632,20070511,  213,    0
196632,20070512,  211,    0
196632,20070513,  214,    0
196632,20070514,  223,    0
196632,20070515,  196,    0
196632,20070516,  160,    0
196632,20070517,  174,    0
196632,20070518,  182,    0
196632,20070519,  168,    0
196632,20070520,  194,    0
196632,20070521,  207,    0
196632,20070522,  241,    0
196632,20070523,  248,    0
196632,20070524,  239,    0
196632,20070525,  241,    0
196632,20070526,  239,    0
196632,20070527,  206,    0
196632,20070528,  163,    0
196632,20070529,  153,    0
196632,20070530,  175,    0
196632,20070531,  185,    0
196632,20070601,  179,    0
196632,20070602,  176,    0
196632,20070603,  194,    0
196632,20070604,  207,    0
196632,20070605,  216,    0
196632,20070606,  198,    0
196632,20070607,  201,    0
196632,20070608,  210,    0
196632,20070609,  224,    0
196632,20070610,  236,    0
196632,20070611,  240,    0
196632,20070612,  215,    0
196632,20070613,  230,    0
196632,20070614,  239,    0
196632,20070615,  251,    0
196632,20070616,  239,    0
196632,20070617,  230,    0
196632,20070618,  247,    0
196632,20070619,  245,    0
196632,20070620,  256,    0
196632,20070621,  276,    0
196632,20070622,  251,    0
196632,20070623,  246,    0
196632,20070624,  240,    0
196632,20070625,  263,    0
196632,20070626,  235,    0
196632,20070627,  217,    0
196632,20070628,  211,    0
196632,20070629,  222,    0
196632,20070630,  226,    0
196632,20070701,  242,    0
196632,20070702,  254,    0
196632,20070703,  248,    0
196632,20070704,  223,    0
196632,20070705,  202,    0
196632,20070706,  226,    0
196632,20070707,  242,    0
196632,20070708,  245,    0
196632,20070709,  267,    0
196632,20070710,  225,    0
196632,20070711,  191,    0
196632,20070712,  213,    0
196632,20070713,  226,    0
196632,20070714,  243,    0
196632,20070715,  253,    0
196632,20070716,  257,    0
196632,20070717,  266,    0
196632,20070718,  271,    0
