EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, PONTELAGOSCURO (STAID: 17735).
Blended and updated with sources: 195792 196640 197960 916133 916138 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
916133,20051201,   55,    0
916133,20051202,   23,    0
916133,20051203,   76,    0
916133,20051204,   32,    0
916133,20051205,   68,    0
916133,20051206,   75,    0
916133,20051207,   68,    0
916133,20051208,   27,    0
916133,20051209,   71,    0
916133,20051210,   51,    0
916133,20051211,   46,    0
916133,20051212,   47,    0
916133,20051213,   49,    0
916133,20051214,   42,    0
916133,20051215,   41,    0
916133,20051216,   -2,    0
916133,20051217,   12,    0
916133,20051218,   40,    0
916133,20051219,   16,    0
916133,20051220,   34,    0
916133,20051221,   35,    0
916133,20051222,    3,    0
916133,20051223,   15,    0
916133,20051224,   17,    0
916133,20051225,   11,    0
916133,20051226,   47,    0
916133,20051227,   37,    0
916133,20051228,   54,    0
916133,20051229,   11,    0
916133,20051230,   -7,    0
196640,20051231,   -6,    0
196640,20060101,    0,    0
196640,20060102,   10,    0
196640,20060103,   31,    0
196640,20060104,   43,    0
196640,20060105,   38,    0
196640,20060106,   30,    0
196640,20060107,   41,    0
196640,20060108,   39,    0
196640,20060109,   16,    0
196640,20060110,    7,    0
196640,20060111,   14,    0
196640,20060112,   25,    0
196640,20060113,   14,    0
196640,20060114,  -19,    0
196640,20060115,    6,    0
196640,20060116,    8,    0
196640,20060117,    1,    0
196640,20060118,    6,    0
196640,20060119,   -9,    0
196640,20060120,  -22,    0
196640,20060121,   -3,    0
196640,20060122,   25,    0
196640,20060123,   12,    0
196640,20060124,   -5,    0
196640,20060125,  -14,    0
196640,20060126,   -6,    0
196640,20060127,   25,    0
196640,20060128,   58,    0
196640,20060129,   50,    0
196640,20060130,   57,    0
196640,20060131,   64,    0
196640,20060201,   38,    0
196640,20060202,   58,    0
196640,20060203,   51,    0
196640,20060204,   40,    0
196640,20060205,   27,    0
196640,20060206,   11,    0
196640,20060207,   10,    0
196640,20060208,   14,    0
196640,20060209,   24,    0
196640,20060210,   26,    0
196640,20060211,   37,    0
196640,20060212,   36,    0
196640,20060213,   30,    0
196640,20060214,   37,    0
196640,20060215,   36,    0
196640,20060216,   33,    0
196640,20060217,   63,    0
196640,20060218,   75,    0
196640,20060219,   51,    0
196640,20060220,   84,    0
196640,20060221,   70,    0
196640,20060222,   78,    0
196640,20060223,   76,    0
196640,20060224,   61,    0
196640,20060225,   55,    0
196640,20060226,   65,    0
196640,20060227,   47,    0
196640,20060228,   29,    0
196640,20060301,   45,    0
196640,20060302,   42,    0
196640,20060303,   44,    0
196640,20060304,   92,    0
196640,20060305,  102,    0
196640,20060306,   57,    0
196640,20060307,   59,    0
196640,20060308,   55,    0
196640,20060309,   68,    0
196640,20060310,   75,    0
196640,20060311,   74,    0
196640,20060312,   33,    0
196640,20060313,   56,    0
196640,20060314,   52,    0
196640,20060315,   60,    0
196640,20060316,   60,    0
196640,20060317,   66,    0
196640,20060318,   64,    0
196640,20060319,   70,    0
196640,20060320,   80,    0
196640,20060321,   78,    0
196640,20060322,   91,    0
196640,20060323,  110,    0
196640,20060324,   93,    0
196640,20060325,  108,    0
196640,20060326,  129,    0
196640,20060327,  139,    0
196640,20060328,  144,    0
196640,20060329,  141,    0
196640,20060330,  133,    0
196640,20060331,  143,    0
196640,20060401,  147,    0
196640,20060402,  143,    0
196640,20060403,  121,    0
196640,20060404,  122,    0
196640,20060405,  121,    0
196640,20060406,   83,    0
196640,20060407,   88,    0
196640,20060408,  113,    0
196640,20060409,  127,    0
196640,20060410,  130,    0
196640,20060411,   92,    0
196640,20060412,  107,    0
196640,20060413,  132,    0
196640,20060414,  142,    0
196640,20060415,  144,    0
196640,20060416,  160,    0
196640,20060417,  153,    0
196640,20060418,  153,    0
196640,20060419,  156,    0
196640,20060420,  167,    0
196640,20060421,  179,    0
196640,20060422,  189,    0
196640,20060423,  195,    0
196640,20060424,  191,    0
196640,20060425,  191,    0
196640,20060426,  192,    0
196640,20060427,  159,    0
196640,20060428,  162,    0
196640,20060429,  162,    0
196640,20060430,  112,    0
196640,20060501,  139,    0
196640,20060502,  160,    0
196640,20060503,  169,    0
196640,20060504,  175,    0
196640,20060505,  173,    0
196640,20060506,  181,    0
196640,20060507,  171,    0
196640,20060508,  180,    0
196640,20060509,  138,    0
196640,20060510,  169,    0
196640,20060511,  180,    0
196640,20060512,  197,    0
196640,20060513,  201,    0
196640,20060514,  174,    0
196640,20060515,  191,    0
196640,20060516,  211,    0
196640,20060517,  218,    0
196640,20060518,  222,    0
196640,20060519,  226,    0
196640,20060520,  217,    0
196640,20060521,  227,    0
196640,20060522,  226,    0
196640,20060523,  210,    0
196640,20060524,  173,    0
196640,20060525,  181,    0
196640,20060526,  209,    0
196640,20060527,  211,    0
196640,20060528,  224,    0
196640,20060529,  185,    0
196640,20060530,  124,    0
196640,20060531,  138,    0
196640,20060601,  163,    0
196640,20060602,  156,    0
196640,20060603,  159,    0
196640,20060604,  192,    0
196640,20060605,  178,    0
196640,20060606,  171,    0
196640,20060607,  179,    0
196640,20060608,  190,    0
196640,20060609,  196,    0
196640,20060610,  208,    0
196640,20060611,  200,    0
196640,20060612,  210,    0
196640,20060613,  230,    0
196640,20060614,  242,    0
196640,20060615,  251,    0
196640,20060616,  246,    0
196640,20060617,  257,    0
196640,20060618,  260,    0
196640,20060619,  259,    0
196640,20060620,  274,    0
196640,20060621,  266,    0
196640,20060622,  283,    0
196640,20060623,  273,    0
196640,20060624,  278,    0
196640,20060625,  274,    0
196640,20060626,  287,    0
196640,20060627,  292,    0
196640,20060628,  286,    0
196640,20060629,  270,    0
196640,20060630,  274,    0
196640,20060701,  270,    0
196640,20060702,  256,    0
196640,20060703,  259,    0
196640,20060704,  248,    0
196640,20060705,  252,    0
196640,20060706,  239,    0
196640,20060707,  205,    0
196640,20060708,  241,    0
196640,20060709,  266,    0
196640,20060710,  275,    0
196640,20060711,  286,    0
196640,20060712,  275,    0
196640,20060713,  279,    0
196640,20060714,  283,    0
196640,20060715,  277,    0
196640,20060716,  255,    0
196640,20060717,  251,    0
196640,20060718,  252,    0
196640,20060719,  271,    0
196640,20060720,  287,    0
196640,20060721,  293,    0
196640,20060722,  298,    0
196640,20060723,  298,    0
196640,20060724,  294,    0
196640,20060725,  293,    0
196640,20060726,  299,    0
196640,20060727,  292,    0
196640,20060728,  282,    0
196640,20060729,  281,    0
196640,20060730,  279,    0
196640,20060731,  292,    0
196640,20060801,  259,    0
196640,20060802,  240,    0
196640,20060803,  204,    0
196640,20060804,  196,    0
196640,20060805,  225,    0
196640,20060806,  233,    0
196640,20060807,  242,    0
196640,20060808,  247,    0
196640,20060809,  225,    0
196640,20060810,  222,    0
196640,20060811,  203,    0
196640,20060812,  176,    0
196640,20060813,  195,    0
196640,20060814,  200,    0
196640,20060815,  218,    0
196640,20060816,  207,    0
196640,20060817,  236,    0
196640,20060818,  268,    0
196640,20060819,  227,    0
196640,20060820,  245,    0
196640,20060821,  222,    0
196640,20060822,  234,    0
196640,20060823,  239,    0
196640,20060824,  237,    0
196640,20060825,  218,    0
196640,20060826,  221,    0
196640,20060827,  204,    0
196640,20060828,  219,    0
196640,20060829,  214,    0
196640,20060830,  191,    0
196640,20060831,  202,    0
196640,20060901,  211,    0
196640,20060902,  220,    0
196640,20060903,  229,    0
196640,20060904,  244,    0
196640,20060905,  250,    0
196640,20060906,  256,    0
196640,20060907,  254,    0
196640,20060908,  248,    0
196640,20060909,  211,    0
196640,20060910,  206,    0
196640,20060911,  207,    0
196640,20060912,  212,    0
196640,20060913,  216,    0
196640,20060914,  214,    0
196640,20060915,  237,    0
196640,20060916,  193,    0
196640,20060917,  175,    0
196640,20060918,  203,    0
196640,20060919,  210,    0
196640,20060920,  215,    0
196640,20060921,  210,    0
196640,20060922,  214,    0
196640,20060923,  203,    0
196640,20060924,  195,    0
196640,20060925,  188,    0
196640,20060926,  205,    0
196640,20060927,  207,    0
196640,20060928,  205,    0
196640,20060929,  203,    0
196640,20060930,  200,    0
196640,20061001,  215,    0
196640,20061002,  222,    0
196640,20061003,  227,    0
196640,20061004,  207,    0
196640,20061005,  163,    0
196640,20061006,  168,    0
196640,20061007,  147,    0
196640,20061008,  158,    0
196640,20061009,  164,    0
196640,20061010,  162,    0
196640,20061011,  159,    0
196640,20061012,  158,    0
196640,20061013,  161,    0
196640,20061014,  162,    0
196640,20061015,  152,    0
196640,20061016,  141,    0
196640,20061017,  133,    0
196640,20061018,  123,    0
196640,20061019,  143,    0
196640,20061020,  139,    0
196640,20061021,  143,    0
196640,20061022,  160,    0
196640,20061023,  166,    0
196640,20061024,  212,    0
196640,20061025,  174,    0
196640,20061026,  164,    0
196640,20061027,  158,    0
196640,20061028,  148,    0
196640,20061029,  156,    0
196640,20061030,  147,    0
196640,20061031,  142,    0
196640,20061101,  142,    0
196640,20061102,  104,    0
196640,20061103,   68,    0
196640,20061104,   65,    0
196640,20061105,   68,    0
196640,20061106,   89,    0
196640,20061107,   91,    0
196640,20061108,  107,    0
196640,20061109,  124,    0
196640,20061110,   91,    0
196640,20061111,   71,    0
196640,20061112,   92,    0
196640,20061113,   82,    0
196640,20061114,   82,    0
196640,20061115,  105,    0
196640,20061116,  110,    0
196640,20061117,  100,    0
196640,20061118,  125,    0
196640,20061119,  119,    0
196640,20061120,  117,    0
196640,20061121,  114,    0
196640,20061122,   96,    0
196640,20061123,   70,    0
196640,20061124,   99,    0
196640,20061125,  102,    0
196640,20061126,   93,    0
196640,20061127,  107,    0
196640,20061128,  111,    0
196640,20061129,  105,    0
196640,20061130,   85,    0
196640,20061201,   81,    0
196640,20061202,   49,    0
196640,20061203,   82,    0
196640,20061204,   83,    0
196640,20061205,   93,    0
196640,20061206,  113,    0
196640,20061207,  111,    0
196640,20061208,  130,    0
196640,20061209,  127,    0
196640,20061210,   87,    0
196640,20061211,   58,    0
196640,20061212,   48,    0
196640,20061213,   47,    0
196640,20061214,   43,    0
196640,20061215,   42,    0
196640,20061216,   51,    0
196640,20061217,   62,    0
196640,20061218,   73,    0
196640,20061219,   64,    0
196640,20061220,   43,    0
196640,20061221,   48,    0
196640,20061222,   55,    0
196640,20061223,   28,    0
196640,20061224,   31,    0
196640,20061225,   43,    0
196640,20061226,   40,    0
196640,20061227,   -7,    0
196640,20061228,    4,    0
196640,20061229,   18,    0
196640,20061230,   27,    0
196640,20061231,   47,    0
196640,20070101,   55,    0
196640,20070102,   59,    0
196640,20070103,   56,    0
196640,20070104,   53,    0
196640,20070105,   54,    0
196640,20070106,   53,    0
196640,20070107,   70,    0
196640,20070108,   71,    0
196640,20070109,   75,    0
196640,20070110,   62,    0
196640,20070111,   71,    0
196640,20070112,   55,    0
196640,20070113,   66,    0
196640,20070114,   65,    0
196640,20070115,   58,    0
196640,20070116,   52,    0
196640,20070117,   65,    0
196640,20070118,   59,    0
196640,20070119,   65,    0
196640,20070120,   78,    0
196640,20070121,   74,    0
196640,20070122,   90,    0
196640,20070123,  117,    0
196640,20070124,   66,    0
196640,20070125,   37,    0
196640,20070126,   31,    0
196640,20070127,   29,    0
196640,20070128,   38,    0
196640,20070129,   61,    0
196640,20070130,   45,    0
196640,20070131,    9,    0
196640,20070201,   29,    0
196640,20070202,   56,    0
196640,20070203,   29,    0
196640,20070204,   45,    0
196640,20070205,   29,    0
196640,20070206,   32,    0
196640,20070207,   68,    0
196640,20070208,   70,    0
196640,20070209,   85,    0
196640,20070210,   92,    0
196640,20070211,   84,    0
196640,20070212,   66,    0
