EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, PORTO_GARIBALDI (STAID: 17743).
Blended and updated with sources: 195480 196712 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195480,20100701,-9999,    9
195480,20100702,-9999,    9
195480,20100703,-9999,    9
195480,20100704,-9999,    9
195480,20100705,-9999,    9
195480,20100706,-9999,    9
195480,20100707,-9999,    9
195480,20100708,  233,    0
195480,20100709,  259,    0
195480,20100710,-9999,    9
195480,20100711,  231,    0
195480,20100712,  274,    0
195480,20100713,  287,    0
195480,20100714,  285,    0
195480,20100715,  295,    0
195480,20100716,  300,    0
195480,20100717,  301,    0
195480,20100718,  255,    0
195480,20100719,  260,    0
195480,20100720,  258,    0
195480,20100721,  267,    0
195480,20100722,  283,    0
195480,20100723,  290,    0
195480,20100724,  253,    0
195480,20100725,  235,    0
195480,20100726,  222,    0
195480,20100727,  219,    0
195480,20100728,  238,    0
195480,20100729,  221,    0
195480,20100730,  208,    0
195480,20100731,  220,    0
195480,20100801,  242,    0
195480,20100802,  253,    0
195480,20100803,  251,    0
195480,20100804,  235,    0
195480,20100805,  189,    0
195480,20100806,  188,    0
195480,20100807,  219,    0
195480,20100808,  240,    0
195480,20100809,  244,    0
195480,20100810,  249,    0
195480,20100811,  250,    0
195480,20100812,  257,    0
195480,20100813,  204,    0
195480,20100814,  214,    0
195480,20100815,  239,    0
195480,20100816,  225,    0
195480,20100817,  223,    0
195480,20100818,  230,    0
195480,20100819,  246,    0
195480,20100820,  250,    0
195480,20100821,  256,    0
195480,20100822,  257,    0
195480,20100823,  262,    0
195480,20100824,  265,    0
195480,20100825,  263,    0
195480,20100826,  266,    0
195480,20100827,  271,    0
195480,20100828,  249,    0
195480,20100829,  220,    0
195480,20100830,  197,    0
195480,20100831,  189,    0
195480,20100901,  202,    0
195480,20100902,  216,    0
195480,20100903,  218,    0
195480,20100904,  223,    0
195480,20100905,  223,    0
195480,20100906,  207,    0
195480,20100907,  219,    0
195480,20100908,  206,    0
195480,20100909,  202,    0
195480,20100910,  185,    0
195480,20100911,  195,    0
195480,20100912,  199,    0
195480,20100913,  187,    0
195480,20100914,  203,    0
195480,20100915,  208,    0
195480,20100916,  223,    0
195480,20100917,  221,    0
195480,20100918,  200,    0
195480,20100919,  174,    0
195480,20100920,  178,    0
195480,20100921,  183,    0
195480,20100922,  180,    0
195480,20100923,  182,    0
195480,20100924,  193,    0
195480,20100925,  170,    0
195480,20100926,  175,    0
195480,20100927,  171,    0
195480,20100928,  158,    0
195480,20100929,  158,    0
195480,20100930,  169,    0
195480,20101001,  171,    0
195480,20101002,  163,    0
195480,20101003,  179,    0
195480,20101004,  196,    0
195480,20101005,  203,    0
195480,20101006,  194,    0
195480,20101007,  183,    0
195480,20101008,  167,    0
195480,20101009,  142,    0
195480,20101010,  134,    0
195480,20101011,  156,    0
195480,20101012,  139,    0
195480,20101013,  139,    0
195480,20101014,  142,    0
195480,20101015,  123,    0
195480,20101016,  128,    0
195480,20101017,  120,    0
195480,20101018,  126,    0
195480,20101019,  123,    0
195480,20101020,  123,    0
195480,20101021,  115,    0
195480,20101022,  114,    0
195480,20101023,  118,    0
195480,20101024,  137,    0
195480,20101025,  146,    0
195480,20101026,  108,    0
195480,20101027,   96,    0
195480,20101028,   79,    0
195480,20101029,   94,    0
195480,20101030,  111,    0
195480,20101031,  154,    0
195480,20101101,  161,    1
195480,20101102,  155,    0
195480,20101103,  147,    0
195480,20101104,  135,    0
195480,20101105,  127,    0
195480,20101106,  135,    0
195480,20101107,  142,    0
195480,20101108,  127,    0
195480,20101109,  119,    0
195480,20101110,  101,    0
195480,20101111,   86,    0
195480,20101112,  102,    0
195480,20101113,  111,    0
195480,20101114,  122,    1
195480,20101115,  134,    1
195480,20101116,  140,    0
195480,20101117,  102,    0
195480,20101118,  104,    0
195480,20101119,   84,    0
195480,20101120,  101,    0
195480,20101121,  120,    0
195480,20101122,   92,    0
195480,20101123,   83,    0
195480,20101124,   71,    0
195480,20101125,   36,    0
195480,20101126,   61,    0
195480,20101127,   59,    0
195480,20101128,   59,    0
195480,20101129,   58,    0
195480,20101130,   77,    0
195480,20101201,   45,    0
195480,20101202,   29,    0
195480,20101203,   37,    0
195480,20101204,   39,    0
195480,20101205,   30,    0
195480,20101206,   42,    0
195480,20101207,   44,    0
195480,20101208,   55,    0
195480,20101209,   73,    0
195480,20101210,   38,    0
195480,20101211,   30,    0
195480,20101212,   24,    0
195480,20101213,   38,    0
195480,20101214,    9,    0
195480,20101215,  -36,    0
195480,20101216,  -42,    0
195480,20101217,  -26,    0
195480,20101218,  -37,    0
195480,20101219,  -23,    0
195480,20101220,    9,    0
195480,20101221,   26,    0
195480,20101222,   30,    0
195480,20101223,   64,    0
195480,20101224,   67,    0
195480,20101225,   79,    0
195480,20101226,   57,    0
195480,20101227,   25,    0
195480,20101228,  -10,    0
195480,20101229,  -15,    0
195480,20101230,   20,    0
195480,20101231,   34,    0
195480,20110101,   30,    0
195480,20110102,   32,    0
195480,20110103,   32,    0
195480,20110104,   10,    0
195480,20110105,   12,    0
195480,20110106,   13,    0
195480,20110107,   28,    0
195480,20110108,   33,    0
195480,20110109,   31,    0
195480,20110110,   50,    0
