EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, PREDOLO (STAID: 17745).
Blended and updated with sources: 196752 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196752,20051201,-9999,    9
196752,20051202,-9999,    9
196752,20051203,-9999,    9
196752,20051204,-9999,    9
196752,20051205,-9999,    9
196752,20051206,-9999,    9
196752,20051207,-9999,    9
196752,20051208,-9999,    9
196752,20051209,-9999,    9
196752,20051210,-9999,    9
196752,20051211,-9999,    9
196752,20051212,-9999,    9
196752,20051213,-9999,    9
196752,20051214,-9999,    9
196752,20051215,-9999,    9
196752,20051216,-9999,    9
196752,20051217,-9999,    9
196752,20051218,-9999,    9
196752,20051219,-9999,    9
196752,20051220,-9999,    9
196752,20051221,-9999,    9
196752,20051222,-9999,    9
196752,20051223,-9999,    9
196752,20051224,-9999,    9
196752,20051225,-9999,    9
196752,20051226,-9999,    9
196752,20051227,-9999,    9
196752,20051228,-9999,    9
196752,20051229,-9999,    9
196752,20051230,-9999,    9
196752,20051231,  -30,    0
196752,20060101,  -34,    0
196752,20060102,    1,    0
196752,20060103,   14,    0
196752,20060104,    0,    0
196752,20060105,  -17,    0
196752,20060106,   -1,    0
196752,20060107,    8,    0
196752,20060108,   -7,    0
196752,20060109,  -23,    0
196752,20060110,  -10,    0
196752,20060111,   12,    0
196752,20060112,   18,    0
196752,20060113,   -5,    0
196752,20060114,   -5,    0
196752,20060115,  -33,    0
196752,20060116,  -40,    0
196752,20060117,  -32,    0
196752,20060118,    2,    0
196752,20060119,   41,    0
196752,20060120,   45,    0
196752,20060121,   37,    0
196752,20060122,   12,    0
196752,20060123,  -33,    0
196752,20060124,  -63,    0
196752,20060125,  -42,    0
196752,20060126,  -60,    0
196752,20060127,  -40,    0
196752,20060128,    3,    0
196752,20060129,   28,    0
196752,20060130,   30,    0
196752,20060131,   60,    0
196752,20060201,   79,    0
196752,20060202,   86,    0
196752,20060203,   47,    0
196752,20060204,   33,    0
196752,20060205,  -23,    0
196752,20060206,  -29,    0
196752,20060207,  -25,    0
196752,20060208,   12,    0
196752,20060209,   34,    0
196752,20060210,   12,    0
196752,20060211,   17,    0
196752,20060212,    5,    0
196752,20060213,    4,    0
196752,20060214,   17,    0
196752,20060215,   31,    0
196752,20060216,   40,    0
196752,20060217,   71,    0
196752,20060218,   70,    0
196752,20060219,   70,    0
196752,20060220,   46,    0
196752,20060221,    6,    0
196752,20060222,   15,    0
196752,20060223,   17,    0
196752,20060224,  -10,    0
196752,20060225,   -5,    0
196752,20060226,   14,    0
196752,20060227,    0,    0
196752,20060228,  -18,    0
196752,20060301,    0,    0
196752,20060302,   -9,    0
196752,20060303,   53,    0
196752,20060304,   81,    0
196752,20060305,   61,    0
196752,20060306,   -6,    0
196752,20060307,    1,    0
196752,20060308,   17,    0
196752,20060309,   41,    0
196752,20060310,   44,    0
196752,20060311,   22,    0
196752,20060312,  -14,    0
196752,20060313,   -1,    0
196752,20060314,   27,    0
196752,20060315,   29,    0
196752,20060316,    5,    0
196752,20060317,   26,    0
196752,20060318,   24,    0
196752,20060319,   30,    0
196752,20060320,   54,    0
196752,20060321,   44,    0
196752,20060322,   44,    0
196752,20060323,   73,    0
196752,20060324,   58,    0
