EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, RIFUGIO_BARGETANA (STAID: 17753).
Blended and updated with sources: 196864 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196864,20051201,-9999,    9
196864,20051202,-9999,    9
196864,20051203,-9999,    9
196864,20051204,-9999,    9
196864,20051205,-9999,    9
196864,20051206,-9999,    9
196864,20051207,-9999,    9
196864,20051208,-9999,    9
196864,20051209,-9999,    9
196864,20051210,-9999,    9
196864,20051211,-9999,    9
196864,20051212,-9999,    9
196864,20051213,-9999,    9
196864,20051214,-9999,    9
196864,20051215,-9999,    9
196864,20051216,-9999,    9
196864,20051217,-9999,    9
196864,20051218,-9999,    9
196864,20051219,-9999,    9
196864,20051220,-9999,    9
196864,20051221,-9999,    9
196864,20051222,-9999,    9
196864,20051223,-9999,    9
196864,20051224,-9999,    9
196864,20051225,-9999,    9
196864,20051226,-9999,    9
196864,20051227,-9999,    9
196864,20051228,-9999,    9
196864,20051229,-9999,    9
196864,20051230,-9999,    9
196864,20051231,  -16,    0
196864,20060101,  -16,    0
196864,20060102,  -52,    0
196864,20060103,-9999,    9
196864,20060104,  -75,    0
196864,20060105,  -76,    0
196864,20060106,  -71,    0
196864,20060107,  -56,    0
196864,20060108,  -65,    0
196864,20060109,  -76,    0
196864,20060110,  -66,    0
196864,20060111,  -60,    0
196864,20060112,  -66,    0
196864,20060113,  -74,    0
196864,20060114,  -69,    0
196864,20060115,  -96,    0
196864,20060116,  -71,    0
196864,20060117,  -30,    0
196864,20060118,  -16,    0
196864,20060119,  -29,    0
196864,20060120,  -15,    0
196864,20060121,  -26,    0
196864,20060122,  -53,    0
196864,20060123, -105,    0
196864,20060124, -128,    0
196864,20060125,  -72,    0
196864,20060126,  -73,    0
196864,20060127,  -40,    0
196864,20060128,  -13,    0
196864,20060129,   -2,    0
196864,20060130,   -5,    0
196864,20060131,   10,    0
196864,20060201,   33,    0
196864,20060202,   24,    0
196864,20060203,   -7,    0
196864,20060204,  -29,    0
196864,20060205,  -87,    0
196864,20060206,  -77,    0
196864,20060207,  -25,    0
196864,20060208,  -31,    0
196864,20060209,  -36,    0
196864,20060210,  -63,    0
196864,20060211,  -81,    0
