EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, RIOLA_DI_LABANTE (STAID: 17757).
Blended and updated with sources: 196904 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196904,20180401,-9999,    9
196904,20180402,-9999,    9
196904,20180403,-9999,    9
196904,20180404,-9999,    9
196904,20180405,-9999,    9
196904,20180406,-9999,    9
196904,20180407,  128,    0
196904,20180408,  135,    0
196904,20180409,  115,    0
196904,20180410,  118,    0
196904,20180411,  116,    0
196904,20180412,  134,    0
196904,20180413,  132,    0
196904,20180414,  130,    0
196904,20180415,  125,    0
196904,20180416,  157,    0
196904,20180417,  161,    0
196904,20180418,  155,    0
196904,20180419,  156,    0
196904,20180420,-9999,    9
196904,20180421,  184,    0
196904,20180422,  186,    0
196904,20180423,  189,    0
196904,20180424,  184,    0
196904,20180425,  190,    0
196904,20180426,  198,    0
196904,20180427,  169,    0
196904,20180428,  191,    0
196904,20180429,  194,    0
196904,20180430,  177,    0
196904,20180501,  141,    0
196904,20180502,  133,    0
196904,20180503,  146,    0
196904,20180504,  162,    0
196904,20180505,  166,    0
196904,20180506,  187,    0
196904,20180507,  187,    0
196904,20180508,  190,    0
196904,20180509,  167,    0
196904,20180510,  168,    0
196904,20180511,  174,    0
196904,20180512,  183,    0
196904,20180513,  172,    0
196904,20180514,  143,    0
196904,20180515,  121,    0
196904,20180516,  147,    0
196904,20180517,  140,    0
196904,20180518,  169,    0
196904,20180519,  176,    0
196904,20180520,  185,    0
196904,20180521,  181,    0
196904,20180522,  176,    0
196904,20180523,  175,    0
196904,20180524,  201,    0
196904,20180525,  218,    0
196904,20180526,  225,    0
196904,20180527,  227,    0
196904,20180528,  226,    0
196904,20180529,  223,    0
196904,20180530,  212,    0
196904,20180531,  219,    0
196904,20180601,  205,    0
196904,20180602,  214,    0
196904,20180603,  227,    0
196904,20180604,  217,    0
196904,20180605,  220,    0
196904,20180606,  218,    0
196904,20180607,  226,    0
196904,20180608,  208,    0
196904,20180609,  222,    0
196904,20180610,  229,    0
196904,20180611,  237,    0
196904,20180612,  231,    0
196904,20180613,  197,    0
196904,20180614,  191,    0
196904,20180615,  202,    0
196904,20180616,  210,    0
196904,20180617,  223,    0
196904,20180618,  212,    0
196904,20180619,  226,    0
196904,20180620,  230,    0
196904,20180621,  247,    0
196904,20180622,  207,    0
196904,20180623,  199,    0
196904,20180624,  198,    0
196904,20180625,  177,    0
196904,20180626,  187,    0
196904,20180627,  209,    0
196904,20180628,  209,    0
196904,20180629,  233,    0
196904,20180630,  246,    0
196904,20180701,  250,    0
196904,20180702,  243,    0
196904,20180703,  247,    0
196904,20180704,  244,    0
196904,20180705,  245,    0
196904,20180706,  211,    0
196904,20180707,  221,    0
196904,20180708,  236,    0
196904,20180709,  239,    0
196904,20180710,  228,    0
196904,20180711,  226,    0
196904,20180712,  214,    0
196904,20180713,  235,    0
196904,20180714,  250,    0
196904,20180715,  225,    0
196904,20180716,  214,    0
196904,20180717,  232,    0
196904,20180718,  245,    0
196904,20180719,  247,    0
196904,20180720,  250,    0
196904,20180721,  218,    0
196904,20180722,  222,    0
196904,20180723,  235,    0
196904,20180724,  242,    0
196904,20180725,  245,    0
196904,20180726,  230,    0
196904,20180727,  243,    0
196904,20180728,  252,    0
196904,20180729,  261,    0
196904,20180730,  274,    0
196904,20180731,  279,    0
196904,20180801,  269,    0
196904,20180802,  253,    0
196904,20180803,  252,    0
196904,20180804,  262,    0
196904,20180805,  268,    0
196904,20180806,  270,    0
196904,20180807,  235,    0
196904,20180808,  241,    0
196904,20180809,  256,    0
196904,20180810,  256,    0
196904,20180811,  246,    0
196904,20180812,  234,    0
196904,20180813,  236,    0
196904,20180814,  214,    0
196904,20180815,  219,    0
196904,20180816,  221,    0
196904,20180817,  226,    0
196904,20180818,  235,    0
196904,20180819,  241,    0
196904,20180820,  243,    0
196904,20180821,  235,    0
196904,20180822,  237,    0
196904,20180823,  228,    0
196904,20180824,  236,    0
196904,20180825,  234,    0
196904,20180826,  178,    0
196904,20180827,  179,    0
196904,20180828,  202,    0
196904,20180829,  222,    0
196904,20180830,  222,    0
196904,20180831,  216,    0
196904,20180901,  187,    0
196904,20180902,  182,    0
196904,20180903,  185,    0
196904,20180904,  199,    0
196904,20180905,  209,    0
196904,20180906,  211,    0
196904,20180907,  194,    0
196904,20180908,  211,    0
196904,20180909,  218,    0
196904,20180910,  226,    0
196904,20180911,  232,    0
196904,20180912,  238,    0
196904,20180913,  212,    0
196904,20180914,  226,    0
196904,20180915,  225,    0
196904,20180916,  230,    0
196904,20180917,  221,    0
196904,20180918,  212,    0
196904,20180919,  216,    0
196904,20180920,  220,    0
196904,20180921,  220,    0
196904,20180922,  219,    0
196904,20180923,  231,    0
196904,20180924,  215,    0
196904,20180925,  152,    0
196904,20180926,  141,    0
196904,20180927,  136,    0
196904,20180928,  154,    0
196904,20180929,  159,    0
196904,20180930,  149,    0
196904,20181001,  134,    0
196904,20181002,  118,    0
196904,20181003,  130,    0
196904,20181004,  140,    0
196904,20181005,  144,    0
196904,20181006,  151,    0
196904,20181007,  167,    0
196904,20181008,  161,    0
196904,20181009,  169,    0
196904,20181010,  170,    0
196904,20181011,  167,    0
196904,20181012,  176,    0
196904,20181013,  149,    0
196904,20181014,  142,    0
196904,20181015,  147,    0
196904,20181016,  157,    0
196904,20181017,  160,    0
196904,20181018,  175,    0
196904,20181019,  163,    0
196904,20181020,  149,    0
196904,20181021,  120,    0
196904,20181022,  110,    0
196904,20181023,  118,    0
196904,20181024,  166,    0
196904,20181025,  152,    0
196904,20181026,  151,    0
196904,20181027,  189,    0
196904,20181028,  181,    0
196904,20181029,  164,    0
196904,20181030,  123,    0
196904,20181031,  121,    0
196904,20181101,  134,    0
196904,20181102,  126,    0
196904,20181103,  142,    0
196904,20181104,  153,    0
196904,20181105,  145,    0
196904,20181106,  149,    0
196904,20181107,  146,    0
196904,20181108,  123,    0
196904,20181109,  115,    0
196904,20181110,  108,    0
196904,20181111,  142,    0
196904,20181112,  129,    0
196904,20181113,  123,    0
196904,20181114,  123,    0
196904,20181115,  111,    0
196904,20181116,   94,    0
196904,20181117,   87,    0
196904,20181118,   65,    0
196904,20181119,   52,    0
196904,20181120,   41,    0
196904,20181121,   78,    0
196904,20181122,   84,    0
196904,20181123,   85,    0
196904,20181124,  122,    0
196904,20181125,   98,    0
196904,20181126,   80,    0
196904,20181127,   81,    0
196904,20181128,   58,    0
196904,20181129,   30,    0
196904,20181130,   31,    0
196904,20181201,   50,    0
196904,20181202,   46,    0
196904,20181203,   75,    0
196904,20181204,   68,    0
196904,20181205,   57,    0
196904,20181206,   67,    0
196904,20181207,-9999,    9
196904,20181208,-9999,    9
196904,20181209,-9999,    9
196904,20181210,-9999,    9
196904,20181211,-9999,    9
196904,20181212,-9999,    9
196904,20181213,-9999,    9
196904,20181214,-9999,    9
196904,20181215,-9999,    9
196904,20181216,-9999,    9
196904,20181217,-9999,    9
196904,20181218,-9999,    9
196904,20181219,-9999,    9
196904,20181220,-9999,    9
196904,20181221,-9999,    9
196904,20181222,-9999,    9
196904,20181223,-9999,    9
196904,20181224,-9999,    9
196904,20181225,-9999,    9
196904,20181226,-9999,    9
196904,20181227,-9999,    9
196904,20181228,-9999,    9
196904,20181229,-9999,    9
196904,20181230,-9999,    9
196904,20181231,-9999,    9
196904,20190101,-9999,    9
196904,20190102,-9999,    9
196904,20190103,-9999,    9
196904,20190104,-9999,    9
196904,20190105,-9999,    9
196904,20190106,-9999,    9
196904,20190107,-9999,    9
196904,20190108,-9999,    9
196904,20190109,-9999,    9
196904,20190110,-9999,    9
196904,20190111,-9999,    9
196904,20190112,-9999,    9
196904,20190113,-9999,    9
196904,20190114,-9999,    9
196904,20190115,-9999,    9
196904,20190116,-9999,    9
196904,20190117,-9999,    9
196904,20190118,-9999,    9
196904,20190119,-9999,    9
196904,20190120,-9999,    9
