EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, RONCOVETRO (STAID: 17760).
Blended and updated with sources: 196944 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196944,20051201,-9999,    9
196944,20051202,-9999,    9
196944,20051203,-9999,    9
196944,20051204,-9999,    9
196944,20051205,-9999,    9
196944,20051206,-9999,    9
196944,20051207,-9999,    9
196944,20051208,-9999,    9
196944,20051209,-9999,    9
196944,20051210,-9999,    9
196944,20051211,-9999,    9
196944,20051212,-9999,    9
196944,20051213,-9999,    9
196944,20051214,-9999,    9
196944,20051215,-9999,    9
196944,20051216,-9999,    9
196944,20051217,-9999,    9
196944,20051218,-9999,    9
196944,20051219,-9999,    9
196944,20051220,-9999,    9
196944,20051221,-9999,    9
196944,20051222,-9999,    9
196944,20051223,-9999,    9
196944,20051224,-9999,    9
196944,20051225,-9999,    9
196944,20051226,-9999,    9
196944,20051227,-9999,    9
196944,20051228,-9999,    9
196944,20051229,-9999,    9
196944,20051230,-9999,    9
196944,20051231,  -20,    0
196944,20060101,  -27,    0
196944,20060102,   10,    0
196944,20060103,   31,    0
196944,20060104,   14,    0
196944,20060105,    0,    0
196944,20060106,   17,    0
196944,20060107,   21,    0
196944,20060108,    3,    0
196944,20060109,  -10,    0
196944,20060110,    1,    0
196944,20060111,   26,    0
196944,20060112,   24,    0
196944,20060113,    2,    0
196944,20060114,    3,    0
196944,20060115,  -28,    0
196944,20060116,  -30,    0
196944,20060117,  -21,    0
196944,20060118,   -8,    0
196944,20060119,   37,    0
196944,20060120,   45,    0
196944,20060121,   41,    0
196944,20060122,   21,    0
196944,20060123,  -18,    0
196944,20060124,  -47,    0
196944,20060125,  -34,    0
196944,20060126,  -50,    0
196944,20060127,  -31,    0
196944,20060128,   13,    0
196944,20060129,   31,    0
196944,20060130,   34,    0
196944,20060131,   66,    0
196944,20060201,   79,    0
196944,20060202,   84,    0
196944,20060203,   53,    0
196944,20060204,   42,    0
196944,20060205,   -9,    0
196944,20060206,  -18,    0
196944,20060207,  -17,    0
196944,20060208,   13,    0
196944,20060209,   43,    0
196944,20060210,   28,    0
196944,20060211,   24,    0
196944,20060212,   14,    0
196944,20060213,   11,    0
196944,20060214,   25,    0
196944,20060215,   24,    0
196944,20060216,    7,    0
196944,20060217,   77,    0
196944,20060218,   84,    0
196944,20060219,   76,    0
196944,20060220,   57,    0
196944,20060221,   17,    0
196944,20060222,   30,    0
196944,20060223,   31,    0
196944,20060224,    1,    0
196944,20060225,    7,    0
196944,20060226,   26,    0
196944,20060227,    8,    0
196944,20060228,   -4,    0
196944,20060301,    9,    0
196944,20060302,    3,    0
196944,20060303,   60,    0
196944,20060304,  101,    0
196944,20060305,   76,    0
196944,20060306,   10,    0
196944,20060307,   18,    0
196944,20060308,   28,    0
196944,20060309,   49,    0
196944,20060310,   54,    0
196944,20060311,   34,    0
196944,20060312,   -3,    0
196944,20060313,   13,    0
196944,20060314,   38,    0
196944,20060315,   39,    0
196944,20060316,   15,    0
196944,20060317,   39,    0
196944,20060318,   40,    0
196944,20060319,   44,    0
196944,20060320,   66,    0
196944,20060321,   55,    0
196944,20060322,   55,    0
196944,20060323,   85,    0
196944,20060324,   67,    0
196944,20060325,   74,    0
196944,20060326,  107,    0
196944,20060327,  113,    0
196944,20060328,  118,    0
196944,20060329,  118,    0
196944,20060330,  113,    0
196944,20060331,  134,    0
196944,20060401,  110,    0
196944,20060402,  115,    0
196944,20060403,  124,    0
196944,20060404,  105,    0
196944,20060405,   94,    0
196944,20060406,   41,    0
196944,20060407,   52,    0
196944,20060408,   84,    0
196944,20060409,  103,    0
196944,20060410,   99,    0
196944,20060411,   49,    0
196944,20060412,   78,    0
196944,20060413,  106,    0
196944,20060414,  144,    0
196944,20060415,  121,    0
196944,20060416,  134,    0
196944,20060417,  119,    0
196944,20060418,   96,    0
196944,20060419,  117,    0
196944,20060420,  129,    0
196944,20060421,  137,    0
196944,20060422,  160,    0
196944,20060423,  169,    0
196944,20060424,  165,    0
196944,20060425,  144,    0
196944,20060426,  142,    0
196944,20060427,  131,    0
196944,20060428,  114,    0
196944,20060429,  123,    0
196944,20060430,   82,    0
196944,20060501,  107,    0
196944,20060502,  124,    0
196944,20060503,  139,    0
196944,20060504,  142,    0
196944,20060505,  129,    0
196944,20060506,  134,    0
196944,20060507,  145,    0
196944,20060508,  143,    0
196944,20060509,   96,    0
196944,20060510,  121,    0
196944,20060511,  132,    0
196944,20060512,  166,    0
196944,20060513,  164,    0
196944,20060514,  151,    0
196944,20060515,  171,    0
196944,20060516,  186,    0
196944,20060517,  207,    0
196944,20060518,  204,    0
196944,20060519,  195,    0
196944,20060520,  175,    0
196944,20060521,  176,    0
196944,20060522,  204,    0
196944,20060523,  181,    0
196944,20060524,  151,    0
196944,20060525,  155,    0
196944,20060526,  183,    0
196944,20060527,  226,    0
196944,20060528,  231,    0
196944,20060529,  179,    0
196944,20060530,   98,    0
196944,20060531,   98,    0
196944,20060601,  115,    0
196944,20060602,   88,    0
196944,20060603,  134,    0
196944,20060604,  169,    0
196944,20060605,  157,    0
196944,20060606,  143,    0
196944,20060607,  141,    0
196944,20060608,  158,    0
196944,20060609,  159,    0
196944,20060610,  189,    0
196944,20060611,  166,    0
196944,20060612,  177,    0
196944,20060613,  213,    0
196944,20060614,  233,    0
196944,20060615,  239,    0
196944,20060616,  229,    0
196944,20060617,  233,    0
196944,20060618,  234,    0
196944,20060619,  239,    0
196944,20060620,  243,    0
196944,20060621,  253,    0
196944,20060622,  259,    0
196944,20060623,  257,    0
196944,20060624,  254,    0
196944,20060625,  244,    0
196944,20060626,  260,    0
196944,20060627,  265,    0
196944,20060628,  234,    0
196944,20060629,  239,    0
196944,20060630,  254,    0
196944,20060701,  252,    0
196944,20060702,  227,    0
196944,20060703,  231,    0
196944,20060704,  225,    0
196944,20060705,  232,    0
196944,20060706,  212,    0
196944,20060707,  174,    0
196944,20060708,  208,    0
196944,20060709,  237,    0
196944,20060710,  249,    0
196944,20060711,  260,    0
196944,20060712,  263,    0
196944,20060713,  243,    0
196944,20060714,  252,    0
196944,20060715,  252,    0
196944,20060716,  236,    0
196944,20060717,  227,    0
196944,20060718,  233,    0
196944,20060719,  251,    0
196944,20060720,  276,    0
196944,20060721,  287,    0
196944,20060722,  290,    0
196944,20060723,  276,    0
196944,20060724,  266,    0
196944,20060725,  274,    0
196944,20060726,  260,    0
196944,20060727,  253,    0
196944,20060728,  260,    0
196944,20060729,  225,    0
196944,20060730,  255,    0
196944,20060731,  265,    0
196944,20060801,  252,    0
196944,20060802,  205,    0
196944,20060803,  163,    0
196944,20060804,  187,    0
196944,20060805,  190,    0
196944,20060806,  205,    0
196944,20060807,  225,    0
196944,20060808,  223,    0
196944,20060809,  201,    0
196944,20060810,  188,    0
196944,20060811,  168,    0
196944,20060812,  137,    0
196944,20060813,  154,    0
