EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, RONTANA (STAID: 17761).
Blended and updated with sources: 196952 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196952,20070501,  143,    0
196952,20070502,  133,    0
196952,20070503,  111,    0
196952,20070504,  120,    0
196952,20070505,  125,    0
196952,20070506,  135,    0
196952,20070507,  167,    0
196952,20070508,  192,    0
196952,20070509,  180,    0
196952,20070510,-9999,    9
196952,20070511,  201,    0
196952,20070512,  188,    0
196952,20070513,  207,    0
196952,20070514,  209,    0
196952,20070515,  152,    0
196952,20070516,  140,    0
196952,20070517,  153,    0
196952,20070518,  150,    0
196952,20070519,  162,    0
196952,20070520,  181,    0
196952,20070521,  204,    0
196952,20070522,  234,    0
196952,20070523,  228,    0
196952,20070524,  226,    0
196952,20070525,  235,    0
196952,20070526,  224,    0
196952,20070527,  172,    0
196952,20070528,  125,    0
196952,20070529,  110,    0
196952,20070530,  150,    0
196952,20070531,  164,    0
196952,20070601,  141,    0
196952,20070602,  121,    0
196952,20070603,  156,    0
196952,20070604,  179,    0
196952,20070605,  170,    0
196952,20070606,  151,    0
196952,20070607,  160,    0
196952,20070608,  178,    0
196952,20070609,  201,    0
196952,20070610,  218,    0
196952,20070611,  208,    0
196952,20070612,  187,    0
196952,20070613,  205,    0
196952,20070614,  217,    0
196952,20070615,  209,    0
196952,20070616,  203,    0
196952,20070617,  213,    0
196952,20070618,  224,    0
196952,20070619,  232,    0
196952,20070620,  240,    0
196952,20070621,  236,    0
196952,20070622,  221,    0
196952,20070623,  216,    0
196952,20070624,  231,    0
196952,20070625,  248,    0
196952,20070626,  191,    0
196952,20070627,  180,    0
196952,20070628,  192,    0
196952,20070629,  204,    0
196952,20070630,  206,    0
196952,20070701,  234,    0
196952,20070702,  222,    0
196952,20070703,  207,    0
196952,20070704,  187,    0
196952,20070705,  192,    0
196952,20070706,  222,    0
196952,20070707,  235,    0
196952,20070708,  241,    0
196952,20070709,  235,    0
196952,20070710,  184,    0
196952,20070711,  158,    0
196952,20070712,  205,    0
196952,20070713,  225,    0
196952,20070714,  248,    0
