EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, ROVERSANO (STAID: 17762).
Blended and updated with sources: 196968 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
196968,20051201,-9999,    9
196968,20051202,-9999,    9
196968,20051203,-9999,    9
196968,20051204,-9999,    9
196968,20051205,-9999,    9
196968,20051206,-9999,    9
196968,20051207,-9999,    9
196968,20051208,-9999,    9
196968,20051209,-9999,    9
196968,20051210,-9999,    9
196968,20051211,-9999,    9
196968,20051212,-9999,    9
196968,20051213,-9999,    9
196968,20051214,-9999,    9
196968,20051215,-9999,    9
196968,20051216,-9999,    9
196968,20051217,-9999,    9
196968,20051218,-9999,    9
196968,20051219,-9999,    9
196968,20051220,-9999,    9
196968,20051221,-9999,    9
196968,20051222,-9999,    9
196968,20051223,-9999,    9
196968,20051224,-9999,    9
196968,20051225,-9999,    9
196968,20051226,-9999,    9
196968,20051227,-9999,    9
196968,20051228,-9999,    9
196968,20051229,-9999,    9
196968,20051230,-9999,    9
196968,20051231,    5,    0
196968,20060101,    6,    0
196968,20060102,   37,    0
196968,20060103,   50,    0
196968,20060104,   43,    0
196968,20060105,   39,    0
196968,20060106,   42,    0
196968,20060107,   56,    0
196968,20060108,   43,    0
196968,20060109,   25,    0
196968,20060110,   22,    0
196968,20060111,   19,    0
196968,20060112,   30,    0
196968,20060113,   27,    0
196968,20060114,   11,    0
196968,20060115,    8,    0
196968,20060116,   12,    0
196968,20060117,    5,    0
196968,20060118,   10,    0
196968,20060119,    2,    0
196968,20060120,   11,    0
196968,20060121,   12,    0
196968,20060122,   38,    0
196968,20060123,   10,    0
196968,20060124,   -5,    0
196968,20060125,  -15,    0
196968,20060126,   -2,    0
196968,20060127,   14,    0
196968,20060128,   39,    0
196968,20060129,   56,    0
196968,20060130,   65,    0
196968,20060131,   76,    0
196968,20060201,   66,    0
196968,20060202,   68,    0
196968,20060203,   66,    0
196968,20060204,   65,    0
196968,20060205,   27,    0
196968,20060206,    5,    0
196968,20060207,    3,    0
