EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SALETTO (STAID: 17768).
Blended and updated with sources: 195936 197016 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
195936,20051201,-9999,    9
195936,20051202,-9999,    9
195936,20051203,-9999,    9
195936,20051204,-9999,    9
195936,20051205,-9999,    9
195936,20051206,-9999,    9
195936,20051207,-9999,    9
195936,20051208,-9999,    9
195936,20051209,-9999,    9
195936,20051210,-9999,    9
195936,20051211,-9999,    9
195936,20051212,-9999,    9
195936,20051213,-9999,    9
195936,20051214,-9999,    9
195936,20051215,-9999,    9
195936,20051216,-9999,    9
195936,20051217,-9999,    9
195936,20051218,-9999,    9
195936,20051219,-9999,    9
195936,20051220,-9999,    9
195936,20051221,-9999,    9
195936,20051222,-9999,    9
195936,20051223,-9999,    9
195936,20051224,-9999,    9
195936,20051225,-9999,    9
195936,20051226,-9999,    9
195936,20051227,-9999,    9
195936,20051228,-9999,    9
195936,20051229,-9999,    9
195936,20051230,-9999,    9
195936,20051231,  -13,    0
195936,20060101,   -1,    0
195936,20060102,   15,    0
195936,20060103,   37,    0
195936,20060104,   25,    0
195936,20060105,   27,    0
195936,20060106,   31,    0
195936,20060107,   31,    0
195936,20060108,   26,    0
195936,20060109,    9,    0
195936,20060110,    3,    0
195936,20060111,    9,    0
195936,20060112,    4,    0
195936,20060113,    2,    0
195936,20060114,  -17,    0
195936,20060115,  -10,    0
195936,20060116,    2,    0
195936,20060117,   -2,    0
195936,20060118,    5,    0
195936,20060119,  -17,    0
195936,20060120,  -26,    0
195936,20060121,   -6,    0
195936,20060122,   16,    0
195936,20060123,    3,    0
195936,20060124,  -19,    0
195936,20060125,  -25,    0
195936,20060126,  -28,    0
195936,20060127,    0,    0
195936,20060128,   24,    0
195936,20060129,   34,    0
195936,20060130,   46,    0
195936,20060131,   60,    0
195936,20060201,   49,    0
195936,20060202,   49,    0
195936,20060203,   41,    0
195936,20060204,   29,    0
195936,20060205,   17,    0
195936,20060206,  -10,    0
195936,20060207,  -13,    0
195936,20060208,   18,    0
195936,20060209,   17,    0
195936,20060210,   18,    0
195936,20060211,   25,    0
195936,20060212,    8,    0
195936,20060213,    5,    0
195936,20060214,   14,    0
195936,20060215,   30,    0
195936,20060216,   24,    0
195936,20060217,   57,    0
195936,20060218,   65,    0
195936,20060219,   61,    0
195936,20060220,   82,    0
195936,20060221,   57,    0
195936,20060222,   70,    0
195936,20060223,   71,    0
195936,20060224,   52,    0
195936,20060225,   48,    0
195936,20060226,   60,    0
195936,20060227,   42,    0
195936,20060228,   24,    0
195936,20060301,   36,    0
195936,20060302,   31,    0
195936,20060303,   33,    0
195936,20060304,   89,    0
195936,20060305,  114,    0
195936,20060306,   48,    0
195936,20060307,   40,    0
195936,20060308,   42,    0
195936,20060309,   67,    0
195936,20060310,   69,    0
195936,20060311,   54,    0
195936,20060312,   20,    0
195936,20060313,   41,    0
195936,20060314,   31,    0
195936,20060315,   47,    0
195936,20060316,   46,    0
195936,20060317,   60,    0
195936,20060318,   44,    0
195936,20060319,   49,    0
195936,20060320,   59,    0
195936,20060321,   72,    0
195936,20060322,   84,    0
195936,20060323,  101,    0
195936,20060324,   79,    0
195936,20060325,   94,    0
195936,20060326,  118,    0
195936,20060327,  134,    0
195936,20060328,  148,    0
195936,20060329,  141,    0
195936,20060330,  125,    0
195936,20060331,  135,    0
195936,20060401,  136,    0
195936,20060402,  141,    0
195936,20060403,  112,    0
195936,20060404,  105,    0
195936,20060405,  118,    0
195936,20060406,   84,    0
195936,20060407,   75,    0
195936,20060408,   95,    0
195936,20060409,  121,    0
195936,20060410,  133,    0
195936,20060411,   87,    0
195936,20060412,  101,    0
195936,20060413,  112,    0
195936,20060414,  147,    0
195936,20060415,  140,    0
195936,20060416,  151,    0
195936,20060417,  137,    0
195936,20060418,  139,    0
195936,20060419,  139,    0
195936,20060420,  149,    0
195936,20060421,  157,    0
195936,20060422,  172,    0
195936,20060423,  175,    0
195936,20060424,  168,    0
195936,20060425,  169,    0
195936,20060426,  177,    0
195936,20060427,  144,    0
195936,20060428,  146,    0
195936,20060429,  153,    0
195936,20060430,  113,    0
195936,20060501,  130,    0
195936,20060502,  141,    0
195936,20060503,  153,    0
195936,20060504,  153,    0
195936,20060505,  153,    0
195936,20060506,  169,    0
195936,20060507,  168,    0
195936,20060508,  157,    0
195936,20060509,  129,    0
195936,20060510,  152,    0
195936,20060511,  164,    0
195936,20060512,  177,    0
195936,20060513,  192,    0
195936,20060514,  162,    0
195936,20060515,  173,    0
195936,20060516,  202,    0
195936,20060517,  211,    0
195936,20060518,  212,    0
195936,20060519,  221,    0
195936,20060520,  204,    0
195936,20060521,  216,    0
195936,20060522,  221,    0
195936,20060523,  204,    0
195936,20060524,  166,    0
195936,20060525,  163,    0
195936,20060526,  193,    0
195936,20060527,  208,    0
195936,20060528,  218,    0
195936,20060529,  184,    0
195936,20060530,  117,    0
195936,20060531,  131,    0
195936,20060601,  148,    0
195936,20060602,  133,    0
195936,20060603,  142,    0
195936,20060604,  177,    0
195936,20060605,  174,    0
195936,20060606,  158,    0
195936,20060607,  160,    0
195936,20060608,  164,    0
195936,20060609,  168,    0
195936,20060610,  196,    0
195936,20060611,  180,    0
195936,20060612,  180,    0
195936,20060613,  208,    0
195936,20060614,  227,    0
195936,20060615,  235,    0
195936,20060616,  228,    0
195936,20060617,  237,    0
195936,20060618,  245,    0
195936,20060619,  238,    0
195936,20060620,  259,    0
195936,20060621,  247,    0
195936,20060622,  254,    0
195936,20060623,  253,    0
195936,20060624,  255,    0
195936,20060625,  256,    0
195936,20060626,  265,    0
195936,20060627,  271,    0
195936,20060628,  264,    0
195936,20060629,  260,    0
195936,20060630,  259,    0
195936,20060701,  249,    0
195936,20060702,  243,    0
195936,20060703,  238,    0
195936,20060704,  232,    0
195936,20060705,  232,    0
195936,20060706,  226,    0
195936,20060707,  206,    0
195936,20060708,  228,    0
195936,20060709,  245,    0
195936,20060710,  254,    0
195936,20060711,  260,    0
195936,20060712,  263,    0
195936,20060713,  259,    0
195936,20060714,  256,    0
195936,20060715,  255,    0
195936,20060716,  236,    0
195936,20060717,  229,    0
195936,20060718,  226,    0
195936,20060719,  245,    0
195936,20060720,  265,    0
195936,20060721,  273,    0
195936,20060722,  280,    0
195936,20060723,  283,    0
195936,20060724,  285,    0
195936,20060725,  281,    0
195936,20060726,  281,    0
195936,20060727,  280,    0
195936,20060728,  271,    0
195936,20060729,  245,    0
195936,20060730,  263,    0
195936,20060731,  277,    0
195936,20060801,  258,    0
195936,20060802,  229,    0
195936,20060803,  222,    0
195936,20060804,  201,    0
195936,20060805,  208,    0
195936,20060806,  231,    0
195936,20060807,  241,    0
195936,20060808,  231,    0
195936,20060809,  209,    0
195936,20060810,  219,    0
195936,20060811,  188,    0
195936,20060812,  172,    0
195936,20060813,  185,    0
195936,20060814,  188,    0
195936,20060815,  208,    0
195936,20060816,  221,    0
195936,20060817,  248,    0
195936,20060818,  267,    0
195936,20060819,  216,    0
195936,20060820,  235,    0
195936,20060821,  218,    0
195936,20060822,  227,    0
195936,20060823,  228,    0
195936,20060824,  236,    0
195936,20060825,  221,    0
195936,20060826,  219,    0
195936,20060827,  201,    0
195936,20060828,  210,    0
195936,20060829,  218,    0
195936,20060830,  188,    0
195936,20060831,  187,    0
195936,20060901,  199,    0
195936,20060902,  212,    0
195936,20060903,  229,    0
195936,20060904,  247,    0
195936,20060905,  249,    0
195936,20060906,  249,    0
195936,20060907,  252,    0
195936,20060908,  231,    0
195936,20060909,  204,    0
195936,20060910,  192,    0
195936,20060911,  189,    0
195936,20060912,  198,    0
195936,20060913,  203,    0
195936,20060914,  210,    0
195936,20060915,  226,    0
195936,20060916,  183,    0
195936,20060917,  174,    0
195936,20060918,  197,    0
195936,20060919,  202,    0
195936,20060920,  204,    0
195936,20060921,  197,    0
195936,20060922,  201,    0
195936,20060923,  187,    0
195936,20060924,  180,    0
195936,20060925,  176,    0
195936,20060926,  192,    0
195936,20060927,  191,    0
195936,20060928,  191,    0
195936,20060929,  192,    0
195936,20060930,  199,    0
195936,20061001,  218,    0
195936,20061002,  214,    0
195936,20061003,  232,    0
195936,20061004,  206,    0
195936,20061005,  160,    0
195936,20061006,  156,    0
195936,20061007,  137,    0
195936,20061008,  154,    0
195936,20061009,  152,    0
195936,20061010,  147,    0
195936,20061011,  148,    0
195936,20061012,  140,    0
195936,20061013,  154,    0
195936,20061014,  149,    0
195936,20061015,  137,    0
195936,20061016,  127,    0
195936,20061017,  116,    0
195936,20061018,  106,    0
195936,20061019,  132,    0
195936,20061020,  137,    0
195936,20061021,  140,    0
195936,20061022,  153,    0
195936,20061023,  168,    0
195936,20061024,  213,    0
195936,20061025,  165,    0
195936,20061026,  159,    0
195936,20061027,  166,    0
195936,20061028,  146,    0
195936,20061029,  158,    0
195936,20061030,  143,    0
195936,20061031,  122,    0
195936,20061101,  144,    0
195936,20061102,   86,    0
195936,20061103,   54,    0
195936,20061104,   46,    0
195936,20061105,   59,    0
195936,20061106,   90,    0
195936,20061107,   78,    0
195936,20061108,  106,    0
195936,20061109,  112,    0
195936,20061110,   81,    0
195936,20061111,   62,    0
195936,20061112,   73,    0
195936,20061113,   67,    0
195936,20061114,   76,    0
195936,20061115,   90,    0
195936,20061116,   94,    0
195936,20061117,   89,    0
195936,20061118,  108,    0
195936,20061119,  111,    0
195936,20061120,  104,    0
195936,20061121,   95,    0
195936,20061122,   93,    0
195936,20061123,   70,    0
195936,20061124,   90,    0
195936,20061125,   90,    0
195936,20061126,   93,    0
195936,20061127,   99,    0
195936,20061128,  107,    0
195936,20061129,  104,    0
195936,20061130,   87,    0
195936,20061201,   70,    0
195936,20061202,   36,    0
195936,20061203,   62,    0
195936,20061204,   73,    0
195936,20061205,   87,    0
195936,20061206,  100,    0
195936,20061207,  106,    0
195936,20061208,  122,    0
195936,20061209,  118,    0
195936,20061210,   71,    0
195936,20061211,   46,    0
195936,20061212,   35,    0
195936,20061213,   38,    0
195936,20061214,   31,    0
195936,20061215,   31,    0
195936,20061216,   42,    0
195936,20061217,   56,    0
195936,20061218,   68,    0
195936,20061219,   51,    0
195936,20061220,   23,    0
195936,20061221,   31,    0
195936,20061222,   40,    0
195936,20061223,   16,    0
195936,20061224,   22,    0
195936,20061225,   29,    0
195936,20061226,   15,    0
195936,20061227,   -9,    0
195936,20061228,   -7,    0
195936,20061229,    6,    0
195936,20061230,   16,    0
195936,20061231,   37,    0
195936,20070101,   39,    0
195936,20070102,   52,    0
195936,20070103,   53,    0
195936,20070104,   20,    0
195936,20070105,   40,    0
195936,20070106,   27,    0
195936,20070107,   47,    0
195936,20070108,   54,    0
195936,20070109,   54,    0
195936,20070110,   43,    0
195936,20070111,   56,    0
195936,20070112,   46,    0
195936,20070113,   48,    0
195936,20070114,   53,    0
195936,20070115,   55,    0
195936,20070116,   55,    0
195936,20070117,   59,    0
195936,20070118,   58,    0
195936,20070119,   77,    0
195936,20070120,   56,    0
195936,20070121,   65,    0
195936,20070122,   69,    0
195936,20070123,  112,    0
195936,20070124,   64,    0
195936,20070125,   41,    0
195936,20070126,   21,    0
195936,20070127,   25,    0
195936,20070128,   23,    0
195936,20070129,   45,    0
195936,20070130,   26,    0
195936,20070131,   17,    0
195936,20070201,   26,    0
195936,20070202,   36,    0
195936,20070203,   28,    0
195936,20070204,   38,    0
195936,20070205,   23,    0
195936,20070206,   32,    0
195936,20070207,   55,    0
195936,20070208,   62,    0
195936,20070209,   75,    0
195936,20070210,   81,    0
195936,20070211,   75,    0
195936,20070212,   49,    0
195936,20070213,   90,    0
195936,20070214,   57,    0
195936,20070215,   75,    0
195936,20070216,   48,    0
195936,20070217,   45,    0
195936,20070218,   52,    0
195936,20070219,   56,    0
195936,20070220,   66,    0
195936,20070221,   99,    0
195936,20070222,   98,    0
195936,20070223,   73,    0
195936,20070224,   90,    0
195936,20070225,   98,    0
195936,20070226,   86,    0
195936,20070227,   90,    0
195936,20070228,   73,    0
195936,20070301,   78,    0
195936,20070302,  108,    0
195936,20070303,  104,    0
195936,20070304,  109,    0
195936,20070305,  102,    0
195936,20070306,  121,    0
195936,20070307,  109,    0
195936,20070308,  102,    0
195936,20070309,  108,    0
195936,20070310,   90,    0
195936,20070311,   78,    0
195936,20070312,   80,    0
195936,20070313,   95,    0
195936,20070314,  106,    0
195936,20070315,  105,    0
195936,20070316,   99,    0
195936,20070317,  124,    0
195936,20070318,  128,    0
195936,20070319,  123,    0
195936,20070320,   50,    0
195936,20070321,   65,    0
195936,20070322,   53,    0
195936,20070323,   54,    0
195936,20070324,   78,    0
195936,20070325,   75,    0
195936,20070326,   74,    0
195936,20070327,   86,    0
195936,20070328,   76,    0
195936,20070329,   78,    0
195936,20070330,   82,    0
195936,20070331,  102,    0
195936,20070401,  111,    0
195936,20070402,  118,    0
195936,20070403,  117,    0
195936,20070404,  114,    0
195936,20070405,  105,    0
195936,20070406,  114,    0
195936,20070407,  124,    0
195936,20070408,  126,    0
195936,20070409,  143,    0
195936,20070410,  151,    0
195936,20070411,  151,    0
195936,20070412,  148,    0
195936,20070413,  143,    0
195936,20070414,  148,    0
195936,20070415,  155,    0
195936,20070416,  153,    0
195936,20070417,  147,    0
195936,20070418,  152,    0
195936,20070419,  145,    0
195936,20070420,  159,    0
195936,20070421,  163,    0
195936,20070422,  168,    0
195936,20070423,  186,    0
195936,20070424,  194,    0
195936,20070425,  184,    0
195936,20070426,  166,    0
195936,20070427,  160,    0
195936,20070428,  170,    0
195936,20070429,  182,    0
195936,20070430,  166,    0
195936,20070501,  162,    0
195936,20070502,  142,    0
195936,20070503,  148,    0
195936,20070504,  154,    0
195936,20070505,  152,    0
195936,20070506,  152,    0
195936,20070507,  182,    0
195936,20070508,  209,    0
195936,20070509,  216,    0
195936,20070510,  208,    0
195936,20070511,  210,    0
195936,20070512,  213,    0
195936,20070513,  218,    0
195936,20070514,  228,    0
195936,20070515,  194,    0
195936,20070516,  164,    0
195936,20070517,  174,    0
195936,20070518,  171,    0
195936,20070519,  167,    0
195936,20070520,  194,    0
195936,20070521,  215,    0
195936,20070522,  241,    0
195936,20070523,  243,    0
195936,20070524,  238,    0
195936,20070525,  242,    0
195936,20070526,  232,    0
195936,20070527,  199,    0
195936,20070528,  156,    0
195936,20070529,  149,    0
195936,20070530,  177,    0
195936,20070531,  181,    0
195936,20070601,  173,    0
195936,20070602,  157,    0
195936,20070603,  191,    0
195936,20070604,  190,    0
195936,20070605,  208,    0
195936,20070606,  182,    0
195936,20070607,  188,    0
195936,20070608,  206,    0
195936,20070609,  230,    0
195936,20070610,  241,    0
195936,20070611,  239,    0
195936,20070612,  206,    0
195936,20070613,  227,    0
195936,20070614,  244,    0
195936,20070615,  238,    0
195936,20070616,  230,    0
195936,20070617,  230,    0
195936,20070618,  245,    0
195936,20070619,  257,    0
195936,20070620,  258,    0
195936,20070621,  269,    0
195936,20070622,  244,    0
195936,20070623,  251,    0
195936,20070624,  239,    0
195936,20070625,  266,    0
195936,20070626,  241,    0
195936,20070627,  215,    0
195936,20070628,  210,    0
195936,20070629,  229,    0
195936,20070630,  235,    0
195936,20070701,  243,    0
195936,20070702,  247,    0
195936,20070703,  233,    0
195936,20070704,  222,    0
195936,20070705,  204,    0
195936,20070706,  237,    0
195936,20070707,  251,    0
195936,20070708,  253,    0
195936,20070709,  264,    0
195936,20070710,  221,    0
195936,20070711,  195,    0
195936,20070712,  219,    0
195936,20070713,  234,    0
195936,20070714,  256,    0
195936,20070715,  265,    0
195936,20070716,  276,    0
195936,20070717,  286,    0
195936,20070718,  285,    0
195936,20070719,  286,    0
195936,20070720,  297,    0
195936,20070721,  300,    0
195936,20070722,  282,    0
195936,20070723,  284,    0
195936,20070724,  270,    0
195936,20070725,  245,    0
195936,20070726,  256,    0
195936,20070727,  279,    0
195936,20070728,  284,    0
195936,20070729,  271,    0
195936,20070730,  255,    0
195936,20070731,  203,    0
195936,20070801,  210,    0
195936,20070802,  230,    0
195936,20070803,  218,    0
195936,20070804,  215,    0
195936,20070805,  243,    0
195936,20070806,  237,    0
195936,20070807,  264,    0
195936,20070808,  252,    0
195936,20070809,  207,    0
195936,20070810,  209,    0
195936,20070811,  230,    0
195936,20070812,  252,    0
195936,20070813,  256,    0
195936,20070814,  254,    0
195936,20070815,  265,    0
195936,20070816,  279,    0
195936,20070817,  268,    0
195936,20070818,  234,    0
195936,20070819,  250,    0
195936,20070820,  214,    0
195936,20070821,  186,    0
195936,20070822,  211,    0
195936,20070823,  186,    0
195936,20070824,  194,    0
195936,20070825,  227,    0
195936,20070826,  249,    0
195936,20070827,  250,    0
195936,20070828,  258,    0
195936,20070829,  256,    0
195936,20070830,  249,    0
