EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SAN_MICHELE (STAID: 17779).
Blended and updated with sources: 197168 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197168,20051201,-9999,    9
197168,20051202,-9999,    9
197168,20051203,-9999,    9
197168,20051204,-9999,    9
197168,20051205,-9999,    9
197168,20051206,-9999,    9
197168,20051207,-9999,    9
197168,20051208,-9999,    9
197168,20051209,-9999,    9
197168,20051210,-9999,    9
197168,20051211,-9999,    9
197168,20051212,-9999,    9
197168,20051213,-9999,    9
197168,20051214,-9999,    9
197168,20051215,-9999,    9
197168,20051216,-9999,    9
197168,20051217,-9999,    9
197168,20051218,-9999,    9
197168,20051219,-9999,    9
197168,20051220,-9999,    9
197168,20051221,-9999,    9
197168,20051222,-9999,    9
197168,20051223,-9999,    9
197168,20051224,-9999,    9
197168,20051225,-9999,    9
197168,20051226,-9999,    9
197168,20051227,-9999,    9
197168,20051228,-9999,    9
197168,20051229,-9999,    9
197168,20051230,-9999,    9
197168,20051231,  -33,    0
197168,20060101,  -23,    0
197168,20060102,   12,    0
197168,20060103,   16,    0
197168,20060104,    6,    0
197168,20060105,    0,    0
197168,20060106,    8,    0
197168,20060107,   17,    0
197168,20060108,   -3,    0
197168,20060109,  -21,    0
197168,20060110,   -2,    0
197168,20060111,   16,    0
197168,20060112,   11,    0
197168,20060113,   -9,    0
197168,20060114,    2,    0
197168,20060115,  -35,    0
197168,20060116,  -35,    0
197168,20060117,  -28,    0
197168,20060118,   17,    0
197168,20060119,   28,    0
197168,20060120,   33,    0
197168,20060121,   37,    0
197168,20060122,   27,    0
197168,20060123,  -18,    0
197168,20060124,  -46,    0
197168,20060125,  -43,    0
197168,20060126,  -58,    0
197168,20060127,  -36,    0
197168,20060128,   10,    0
197168,20060129,   25,    0
197168,20060130,   34,    0
197168,20060131,   65,    0
197168,20060201,   77,    0
197168,20060202,   73,    0
197168,20060203,   53,    0
197168,20060204,   38,    0
197168,20060205,  -11,    0
197168,20060206,  -33,    0
197168,20060207,  -24,    0
197168,20060208,    7,    0
197168,20060209,   36,    0
197168,20060210,   15,    0
197168,20060211,   15,    0
197168,20060212,    3,    0
197168,20060213,    3,    0
197168,20060214,   14,    0
197168,20060215,   10,    0
197168,20060216,   16,    0
197168,20060217,   64,    0
197168,20060218,   54,    0
197168,20060219,   45,    0
197168,20060220,   26,    0
