EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SAN_NICOLO (STAID: 17780).
Blended and updated with sources: 196488 197184 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197184,20051201,-9999,    9
197184,20051202,-9999,    9
197184,20051203,-9999,    9
197184,20051204,-9999,    9
197184,20051205,-9999,    9
197184,20051206,-9999,    9
197184,20051207,-9999,    9
197184,20051208,-9999,    9
197184,20051209,-9999,    9
197184,20051210,-9999,    9
197184,20051211,-9999,    9
197184,20051212,-9999,    9
197184,20051213,-9999,    9
197184,20051214,-9999,    9
197184,20051215,-9999,    9
197184,20051216,-9999,    9
197184,20051217,-9999,    9
197184,20051218,-9999,    9
197184,20051219,-9999,    9
197184,20051220,-9999,    9
197184,20051221,-9999,    9
197184,20051222,-9999,    9
197184,20051223,-9999,    9
197184,20051224,-9999,    9
197184,20051225,-9999,    9
197184,20051226,-9999,    9
197184,20051227,-9999,    9
197184,20051228,-9999,    9
197184,20051229,-9999,    9
197184,20051230,-9999,    9
197184,20051231,  -19,    0
197184,20060101,  -17,    0
197184,20060102,  -45,    0
197184,20060103,  -12,    0
197184,20060104,  -63,    0
197184,20060105,  -12,    0
197184,20060106,   10,    0
197184,20060107,  -11,    0
197184,20060108,  -27,    0
197184,20060109,  -10,    0
197184,20060110,  -29,    0
197184,20060111,  -19,    0
197184,20060112,  -30,    0
197184,20060113,  -29,    0
197184,20060114,  -31,    0
197184,20060115,  -36,    0
197184,20060116,  -18,    0
197184,20060117,   -6,    0
197184,20060118,   -2,    0
197184,20060119,  -25,    0
197184,20060120,  -33,    0
197184,20060121,   -8,    0
197184,20060122,   13,    0
197184,20060123,   -7,    0
197184,20060124,  -25,    0
197184,20060125,  -39,    0
197184,20060126,  -31,    0
197184,20060127,  -17,    0
197184,20060128,    0,    0
197184,20060129,   10,    0
197184,20060130,   17,    0
197184,20060131,   15,    0
197184,20060201,   -1,    0
197184,20060202,    0,    0
197184,20060203,    8,    0
197184,20060204,  -12,    0
197184,20060205,   -6,    0
197184,20060206,  -35,    0
197184,20060207,  -28,    0
197184,20060208,    2,    0
197184,20060209,   -9,    0
197184,20060210,   11,    0
197184,20060211,   -1,    0
197184,20060212,  -11,    0
197184,20060213,   -6,    0
197184,20060214,   -5,    0
197184,20060215,   10,    0
197184,20060216,   16,    0
197184,20060217,   11,    0
197184,20060218,   17,    0
197184,20060219,   34,    0
197184,20060220,   36,    0
197184,20060221,   45,    0
197184,20060222,   60,    0
197184,20060223,   65,    0
197184,20060224,   34,    0
197184,20060225,   37,    0
197184,20060226,   41,    0
197184,20060227,   34,    0
197184,20060228,   20,    0
197184,20060301,   21,    0
197184,20060302,   26,    0
197184,20060303,   25,    0
197184,20060304,   60,    0
197184,20060305,   78,    0
197184,20060306,   58,    0
197184,20060307,   42,    0
197184,20060308,   34,    0
197184,20060309,   71,    0
197184,20060310,   88,    0
197184,20060311,   69,    0
197184,20060312,   36,    0
197184,20060313,   37,    0
197184,20060314,   48,    0
197184,20060315,   50,    0
197184,20060316,   51,    0
197184,20060317,   53,    0
197184,20060318,   61,    0
197184,20060319,   69,    0
197184,20060320,   74,    0
197184,20060321,   67,    0
197184,20060322,   84,    0
197184,20060323,   91,    0
197184,20060324,   75,    0
197184,20060325,   93,    0
197184,20060326,  118,    0
197184,20060327,  125,    0
197184,20060328,  116,    0
197184,20060329,  126,    0
197184,20060330,  101,    0
197184,20060331,  131,    0
197184,20060401,  117,    0
197184,20060402,  125,    0
197184,20060403,  135,    0
197184,20060404,  121,    0
197184,20060405,   97,    0
197184,20060406,   76,    0
197184,20060407,   76,    0
197184,20060408,   90,    0
197184,20060409,   97,    0
197184,20060410,  109,    0
197184,20060411,   75,    0
197184,20060412,   83,    0
197184,20060413,  106,    0
197184,20060414,  129,    0
197184,20060415,  124,    0
197184,20060416,  147,    0
197184,20060417,  125,    0
197184,20060418,  115,    0
197184,20060419,  142,    0
197184,20060420,  133,    0
197184,20060421,  142,    0
197184,20060422,  164,    0
197184,20060423,  166,    0
197184,20060424,  172,    0
197184,20060425,  153,    0
197184,20060426,  157,    0
197184,20060427,  161,    0
197184,20060428,  151,    0
197184,20060429,  153,    0
197184,20060430,  120,    0
197184,20060501,  133,    0
197184,20060502,  148,    0
197184,20060503,  153,    0
197184,20060504,  172,    0
197184,20060505,  154,    0
197184,20060506,  147,    0
197184,20060507,  158,    0
197184,20060508,  156,    0
197184,20060509,  130,    0
197184,20060510,  143,    0
197184,20060511,  158,    0
197184,20060512,  172,    0
197184,20060513,  176,    0
197184,20060514,  185,    0
197184,20060515,  185,    0
197184,20060516,  194,    0
197184,20060517,  202,    0
197184,20060518,  203,    0
197184,20060519,  213,    0
197184,20060520,  196,    0
197184,20060521,  195,    0
197184,20060522,  206,    0
197184,20060523,  192,    0
197184,20060524,  182,    0
197184,20060525,  170,    0
197184,20060526,  190,    0
197184,20060527,  221,    0
197184,20060528,  216,    0
197184,20060529,  201,    0
197184,20060530,  149,    0
197184,20060531,  126,    0
197184,20060601,  154,    0
197184,20060602,  145,    0
197184,20060603,  174,    0
197184,20060604,  182,    0
197184,20060605,  183,    0
197184,20060606,  175,    0
197184,20060607,  174,    0
197184,20060608,  180,    0
197184,20060609,  189,    0
197184,20060610,  199,    0
197184,20060611,  199,    0
197184,20060612,  200,    0
197184,20060613,  217,    0
197184,20060614,  229,    0
197184,20060615,  226,    0
197184,20060616,  209,    0
197184,20060617,  227,    0
197184,20060618,  234,    0
197184,20060619,  239,    0
197184,20060620,  243,    0
197184,20060621,  256,    0
197184,20060622,  261,    0
197184,20060623,  261,    0
197184,20060624,  262,    0
197184,20060625,  238,    0
197184,20060626,  258,    0
197184,20060627,  267,    0
197184,20060628,  261,    0
197184,20060629,  244,    0
197184,20060630,  246,    0
197184,20060701,  257,    0
197184,20060702,  253,    0
197184,20060703,  258,    0
197184,20060704,  254,    0
197184,20060705,  250,    0
197184,20060706,  224,    0
197184,20060707,  207,    0
197184,20060708,  240,    0
197184,20060709,  246,    0
197184,20060710,  260,    0
197184,20060711,  269,    0
197184,20060712,  279,    0
197184,20060713,  260,    0
197184,20060714,  257,    0
197184,20060715,  271,    0
197184,20060716,  255,    0
197184,20060717,  245,    0
197184,20060718,  243,    0
197184,20060719,  248,    0
197184,20060720,  258,    0
197184,20060721,  273,    0
197184,20060722,  280,    0
197184,20060723,  281,    0
197184,20060724,  283,    0
197184,20060725,  281,    0
197184,20060726,  267,    0
197184,20060727,  272,    0
197184,20060728,  243,    0
197184,20060729,  246,    0
197184,20060730,  265,    0
197184,20060731,  280,    0
197184,20060801,  259,    0
197184,20060802,  248,    0
197184,20060803,  212,    0
197184,20060804,  221,    0
197184,20060805,  218,    0
197184,20060806,  223,    0
197184,20060807,  251,    0
197184,20060808,  250,    0
197184,20060809,  222,    0
197184,20060810,  215,    0
197184,20060811,  205,    0
197184,20060812,  186,    0
197184,20060813,  182,    0
197184,20060814,  181,    0
197184,20060815,  201,    0
197184,20060816,  183,    0
197184,20060817,  208,    0
197184,20060818,  239,    0
197184,20060819,  219,    0
197184,20060820,  228,    0
197184,20060821,  225,    0
197184,20060822,  223,    0
197184,20060823,  225,    0
197184,20060824,  223,    0
197184,20060825,  207,    0
197184,20060826,  209,    0
197184,20060827,  200,    0
197184,20060828,  190,    0
197184,20060829,  209,    0
197184,20060830,  189,    0
197184,20060831,  175,    0
197184,20060901,  181,    0
197184,20060902,  198,    0
197184,20060903,  215,    0
197184,20060904,  232,    0
197184,20060905,  240,    0
197184,20060906,  244,    0
197184,20060907,  250,    0
197184,20060908,  239,    0
197184,20060909,  213,    0
197184,20060910,  195,    0
197184,20060911,  193,    0
197184,20060912,  199,    0
197184,20060913,  199,    0
197184,20060914,  186,    0
197184,20060915,  194,    0
197184,20060916,  192,    0
197184,20060917,  185,    0
197184,20060918,  188,    0
197184,20060919,  200,    0
197184,20060920,  195,    0
197184,20060921,  195,    0
197184,20060922,  196,    0
197184,20060923,  193,    0
197184,20060924,  184,    0
197184,20060925,  166,    0
197184,20060926,  172,    0
197184,20060927,  179,    0
197184,20060928,  180,    0
197184,20060929,  183,    0
197184,20060930,  186,    0
197184,20061001,  194,    0
197184,20061002,  198,    0
197184,20061003,  209,    0
197184,20061004,  179,    0
197184,20061005,  151,    0
197184,20061006,  145,    0
197184,20061007,  134,    0
197184,20061008,  138,    0
197184,20061009,  132,    0
197184,20061010,  137,    0
197184,20061011,  136,    0
197184,20061012,  145,    0
197184,20061013,  138,    0
197184,20061014,  140,    0
197184,20061015,  143,    0
197184,20061016,  127,    0
197184,20061017,  113,    0
197184,20061018,  118,    0
197184,20061019,  126,    0
197184,20061020,  119,    0
197184,20061021,  134,    0
197184,20061022,  149,    0
197184,20061023,  148,    0
197184,20061024,  161,    0
197184,20061025,  141,    0
197184,20061026,  140,    0
197184,20061027,  148,    0
197184,20061028,  129,    0
197184,20061029,  143,    0
197184,20061030,  119,    0
197184,20061031,  114,    0
197184,20061101,  129,    0
197184,20061102,   88,    0
197184,20061103,   55,    0
197184,20061104,   35,    0
197184,20061105,   53,    0
197184,20061106,   75,    0
197184,20061107,   77,    0
197184,20061108,   80,    0
197184,20061109,  103,    0
197184,20061110,   87,    0
197184,20061111,   63,    0
197184,20061112,   88,    0
197184,20061113,   50,    0
197184,20061114,   72,    0
197184,20061115,  100,    0
197184,20061116,  106,    0
197184,20061117,  111,    0
197184,20061118,  115,    0
197184,20061119,   96,    0
197184,20061120,  108,    0
197184,20061121,   94,    0
197184,20061122,   89,    0
197184,20061123,   61,    0
197184,20061124,   78,    0
197184,20061125,   85,    0
197184,20061126,  110,    0
197184,20061127,  100,    0
197184,20061128,   99,    0
197184,20061129,   98,    0
197184,20061130,   79,    0
197184,20061201,   49,    0
197184,20061202,   67,    0
197184,20061203,   80,    0
197184,20061204,   82,    0
197184,20061205,   83,    0
197184,20061206,   87,    0
197184,20061207,   97,    0
197184,20061208,   99,    0
197184,20061209,   91,    0
197184,20061210,   42,    0
197184,20061211,   41,    0
197184,20061212,   26,    0
197184,20061213,   21,    0
197184,20061214,   14,    0
197184,20061215,   21,    0
197184,20061216,   38,    0
197184,20061217,   59,    0
197184,20061218,   60,    0
197184,20061219,   46,    0
197184,20061220,   14,    0
197184,20061221,    1,    0
197184,20061222,    7,    0
197184,20061223,   -3,    0
197184,20061224,    5,    0
197184,20061225,    7,    0
197184,20061226,   -8,    0
197184,20061227,    7,    0
197184,20061228,   13,    0
197184,20061229,   19,    0
197184,20061230,   25,    0
197184,20061231,   53,    0
197184,20070101,   51,    0
197184,20070102,   67,    0
197184,20070103,   64,    0
197184,20070104,   28,    0
197184,20070105,   19,    0
197184,20070106,   32,    0
197184,20070107,   67,    0
197184,20070108,   66,    0
197184,20070109,   69,    0
197184,20070110,   71,    0
197184,20070111,   74,    0
197184,20070112,   79,    0
197184,20070113,   41,    0
197184,20070114,   55,    0
