EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SANTO_STEFANO_DAVETO (STAID: 17796).
Blended and updated with sources: 197320 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197320,20051201,-9999,    9
197320,20051202,-9999,    9
197320,20051203,-9999,    9
197320,20051204,-9999,    9
197320,20051205,-9999,    9
197320,20051206,-9999,    9
197320,20051207,-9999,    9
197320,20051208,-9999,    9
197320,20051209,-9999,    9
197320,20051210,-9999,    9
197320,20051211,-9999,    9
197320,20051212,-9999,    9
197320,20051213,-9999,    9
197320,20051214,-9999,    9
197320,20051215,-9999,    9
197320,20051216,-9999,    9
197320,20051217,-9999,    9
197320,20051218,-9999,    9
197320,20051219,-9999,    9
197320,20051220,-9999,    9
197320,20051221,-9999,    9
197320,20051222,-9999,    9
197320,20051223,-9999,    9
197320,20051224,-9999,    9
197320,20051225,-9999,    9
197320,20051226,-9999,    9
197320,20051227,-9999,    9
197320,20051228,-9999,    9
197320,20051229,-9999,    9
197320,20051230,-9999,    9
197320,20051231,    0,    0
197320,20060101,   -2,    0
197320,20060102,   -5,    0
197320,20060103,   12,    0
197320,20060104,   -3,    0
197320,20060105,  -25,    0
197320,20060106,  -26,    0
197320,20060107,   -8,    0
197320,20060108,  -23,    0
197320,20060109,  -32,    0
197320,20060110,  -18,    0
197320,20060111,  -11,    0
197320,20060112,   -7,    0
197320,20060113,  -24,    0
197320,20060114,  -16,    0
197320,20060115,  -51,    0
197320,20060116,  -44,    0
197320,20060117,   -5,    0
197320,20060118,   30,    0
197320,20060119,   30,    0
197320,20060120,   18,    0
197320,20060121,   29,    0
197320,20060122,   15,    0
197320,20060123,  -21,    0
197320,20060124,  -45,    0
197320,20060125,  -29,    0
197320,20060126,  -52,    0
197320,20060127,  -51,    0
197320,20060128,   -2,    0
197320,20060129,   15,    0
197320,20060130,   35,    0
197320,20060131,   49,    0
197320,20060201,   59,    0
197320,20060202,   50,    0
197320,20060203,   18,    0
197320,20060204,   15,    0
197320,20060205,  -20,    0
197320,20060206,  -33,    0
197320,20060207,   -6,    0
197320,20060208,   11,    0
197320,20060209,   14,    0
197320,20060210,    2,    0
197320,20060211,  -12,    0
197320,20060212,  -14,    0
197320,20060213,   -8,    0
197320,20060214,    6,    0
197320,20060215,   29,    0
197320,20060216,   37,    0
197320,20060217,   38,    0
197320,20060218,   31,    0
197320,20060219,   33,    0
197320,20060220,   20,    0
197320,20060221,    5,    0
197320,20060222,    9,    0
197320,20060223,   10,    0
197320,20060224,   -8,    0
197320,20060225,   -5,    0
197320,20060226,    7,    0
197320,20060227,   -5,    0
197320,20060228,  -18,    0
197320,20060301,  -11,    0
197320,20060302,  -16,    0
197320,20060303,   32,    0
197320,20060304,   47,    0
197320,20060305,   47,    0
197320,20060306,   -5,    0
197320,20060307,   -9,    0
197320,20060308,   -5,    0
197320,20060309,   52,    0
197320,20060310,   47,    0
197320,20060311,   10,    0
197320,20060312,  -20,    0
197320,20060313,   -1,    0
197320,20060314,   24,    0
197320,20060315,   20,    0
197320,20060316,    2,    0
197320,20060317,   12,    0
197320,20060318,   13,    0
197320,20060319,   28,    0
197320,20060320,   41,    0
197320,20060321,   43,    0
197320,20060322,   37,    0
197320,20060323,   47,    0
197320,20060324,   35,    0
197320,20060325,   54,    0
197320,20060326,   65,    0
197320,20060327,   74,    0
197320,20060328,   65,    0
197320,20060329,   62,    0
197320,20060330,   52,    0
197320,20060331,   76,    0
197320,20060401,   81,    0
197320,20060402,   73,    0
197320,20060403,   89,    0
197320,20060404,   70,    0
197320,20060405,   54,    0
197320,20060406,   43,    0
197320,20060407,   38,    0
197320,20060408,   47,    0
197320,20060409,   66,    0
197320,20060410,   71,    0
197320,20060411,   21,    0
197320,20060412,   50,    0
197320,20060413,   71,    0
197320,20060414,   78,    0
197320,20060415,   74,    0
197320,20060416,   94,    0
197320,20060417,   91,    0
197320,20060418,   83,    0
197320,20060419,   88,    0
197320,20060420,   70,    0
197320,20060421,   82,    0
197320,20060422,  104,    0
197320,20060423,  103,    0
197320,20060424,  120,    0
197320,20060425,  116,    0
197320,20060426,  101,    0
197320,20060427,  100,    0
197320,20060428,   96,    0
197320,20060429,   94,    0
197320,20060430,   78,    0
197320,20060501,   81,    0
197320,20060502,   90,    0
197320,20060503,  106,    0
197320,20060504,  117,    0
197320,20060505,  106,    0
197320,20060506,   98,    0
197320,20060507,  101,    0
197320,20060508,  105,    0
197320,20060509,   65,    0
197320,20060510,   87,    0
197320,20060511,   93,    0
197320,20060512,  109,    0
197320,20060513,  109,    0
197320,20060514,  126,    0
197320,20060515,  133,    0
197320,20060516,  133,    0
197320,20060517,  135,    0
197320,20060518,  156,    0
197320,20060519,  146,    0
197320,20060520,  130,    0
197320,20060521,  133,    0
197320,20060522,  147,    0
197320,20060523,  133,    0
197320,20060524,  111,    0
197320,20060525,  126,    0
197320,20060526,  142,    0
197320,20060527,  163,    0
197320,20060528,  154,    0
197320,20060529,  142,    0
197320,20060530,  105,    0
197320,20060531,   61,    0
197320,20060601,   91,    0
197320,20060602,   69,    0
197320,20060603,  114,    0
197320,20060604,  113,    0
197320,20060605,  118,    0
197320,20060606,  113,    0
197320,20060607,  109,    0
197320,20060608,  115,    0
197320,20060609,  120,    0
197320,20060610,  132,    0
197320,20060611,  139,    0
197320,20060612,  136,    0
197320,20060613,  153,    0
197320,20060614,  154,    0
197320,20060615,  159,    0
197320,20060616,  161,    0
197320,20060617,  175,    0
197320,20060618,  186,    0
197320,20060619,  183,    0
197320,20060620,  203,    0
197320,20060621,  205,    0
197320,20060622,  197,    0
197320,20060623,  198,    0
197320,20060624,  195,    0
197320,20060625,  204,    0
197320,20060626,  196,    0
197320,20060627,  200,    0
197320,20060628,  214,    0
197320,20060629,  196,    0
197320,20060630,  204,    0
197320,20060701,  207,    0
197320,20060702,  195,    0
197320,20060703,  192,    0
197320,20060704,  196,    0
197320,20060705,  195,    0
197320,20060706,  172,    0
197320,20060707,  155,    0
197320,20060708,  170,    0
197320,20060709,  173,    0
197320,20060710,  199,    0
197320,20060711,  211,    0
197320,20060712,  215,    0
197320,20060713,  183,    0
197320,20060714,  185,    0
197320,20060715,  196,    0
197320,20060716,  199,    0
197320,20060717,  193,    0
197320,20060718,  191,    0
197320,20060719,  198,    0
197320,20060720,  220,    0
197320,20060721,  224,    0
197320,20060722,  210,    0
197320,20060723,  207,    0
197320,20060724,  190,    0
197320,20060725,  210,    0
197320,20060726,  200,    0
197320,20060727,  203,    0
197320,20060728,  193,    0
