EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SAN_VALENTINO (STAID: 17797).
Blended and updated with sources: 197328 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197328,20051201,-9999,    9
197328,20051202,-9999,    9
197328,20051203,-9999,    9
197328,20051204,-9999,    9
197328,20051205,-9999,    9
197328,20051206,-9999,    9
197328,20051207,-9999,    9
197328,20051208,-9999,    9
197328,20051209,-9999,    9
197328,20051210,-9999,    9
197328,20051211,-9999,    9
197328,20051212,-9999,    9
197328,20051213,-9999,    9
197328,20051214,-9999,    9
197328,20051215,-9999,    9
197328,20051216,-9999,    9
197328,20051217,-9999,    9
197328,20051218,-9999,    9
197328,20051219,-9999,    9
197328,20051220,-9999,    9
197328,20051221,-9999,    9
197328,20051222,-9999,    9
197328,20051223,-9999,    9
197328,20051224,-9999,    9
197328,20051225,-9999,    9
197328,20051226,-9999,    9
197328,20051227,-9999,    9
197328,20051228,-9999,    9
197328,20051229,-9999,    9
197328,20051230,-9999,    9
197328,20051231,  -19,    0
197328,20060101,  -14,    0
197328,20060102,   12,    0
197328,20060103,   29,    0
197328,20060104,   21,    0
197328,20060105,   17,    0
197328,20060106,   24,    0
197328,20060107,   28,    0
197328,20060108,   11,    0
197328,20060109,    1,    0
197328,20060110,    0,    0
197328,20060111,   16,    0
197328,20060112,   11,    0
197328,20060113,    0,    0
197328,20060114,   -5,    0
197328,20060115,  -25,    0
197328,20060116,  -13,    0
197328,20060117,   -9,    0
197328,20060118,   -2,    0
197328,20060119,   11,    0
197328,20060120,   17,    0
197328,20060121,   15,    0
197328,20060122,   20,    0
197328,20060123,   -5,    0
197328,20060124,  -35,    0
197328,20060125,  -28,    0
197328,20060126,  -39,    0
197328,20060127,  -17,    0
197328,20060128,   15,    0
197328,20060129,   30,    0
197328,20060130,   39,    0
197328,20060131,   60,    0
197328,20060201,   62,    0
197328,20060202,   62,    0
197328,20060203,   54,    0
197328,20060204,   45,    0
197328,20060205,    6,    0
197328,20060206,   -8,    0
197328,20060207,  -10,    0
197328,20060208,   11,    0
197328,20060209,   35,    0
197328,20060210,   32,    0
197328,20060211,   29,    0
197328,20060212,   18,    0
197328,20060213,   14,    0
197328,20060214,   24,    0
197328,20060215,   27,    0
197328,20060216,   16,    0
197328,20060217,   80,    0
197328,20060218,   81,    0
197328,20060219,   52,    0
197328,20060220,   61,    0
197328,20060221,   36,    0
197328,20060222,   47,    0
197328,20060223,   50,    0
197328,20060224,    9,    0
197328,20060225,   18,    0
197328,20060226,   38,    0
197328,20060227,   21,    0
197328,20060228,   12,    0
197328,20060301,   25,    0
197328,20060302,   22,    0
197328,20060303,   36,    0
197328,20060304,  122,    0
197328,20060305,   97,    0
197328,20060306,   30,    0
197328,20060307,   33,    0
197328,20060308,   37,    0
197328,20060309,   60,    0
197328,20060310,   62,    0
197328,20060311,   44,    0
197328,20060312,   10,    0
197328,20060313,   24,    0
197328,20060314,   37,    0
197328,20060315,   48,    0
197328,20060316,   28,    0
197328,20060317,   52,    0
197328,20060318,   48,    0
197328,20060319,   56,    0
197328,20060320,   76,    0
197328,20060321,   64,    0
197328,20060322,   73,    0
197328,20060323,   99,    0
197328,20060324,   72,    0
197328,20060325,   91,    0
197328,20060326,  117,    0
197328,20060327,  129,    0
197328,20060328,  140,    0
197328,20060329,  141,    0
197328,20060330,  127,    0
197328,20060331,  143,    0
197328,20060401,  123,    0
197328,20060402,  128,    0
197328,20060403,  122,    0
197328,20060404,  108,    0
197328,20060405,  103,    0
197328,20060406,   60,    0
197328,20060407,   67,    0
197328,20060408,   93,    0
197328,20060409,  113,    0
197328,20060410,  108,    0
197328,20060411,   74,    0
197328,20060412,   92,    0
197328,20060413,  110,    0
197328,20060414,  150,    0
197328,20060415,  131,    0
197328,20060416,  144,    0
197328,20060417,  127,    0
197328,20060418,  113,    0
197328,20060419,  138,    0
197328,20060420,  138,    0
197328,20060421,  150,    0
197328,20060422,  170,    0
197328,20060423,  176,    0
197328,20060424,  169,    0
197328,20060425,  154,    0
197328,20060426,  160,    0
197328,20060427,  139,    0
197328,20060428,  133,    0
197328,20060429,  140,    0
197328,20060430,   96,    0
197328,20060501,  124,    0
197328,20060502,  139,    0
197328,20060503,  153,    0
197328,20060504,  150,    0
197328,20060505,  142,    0
197328,20060506,  151,    0
197328,20060507,  159,    0
197328,20060508,  150,    0
197328,20060509,  114,    0
197328,20060510,  140,    0
197328,20060511,  153,    0
197328,20060512,  180,    0
197328,20060513,  181,    0
197328,20060514,  156,    0
197328,20060515,  181,    0
197328,20060516,  197,    0
197328,20060517,  210,    0
197328,20060518,  208,    0
197328,20060519,  216,    0
197328,20060520,  204,    0
197328,20060521,  212,    0
197328,20060522,  220,    0
197328,20060523,  192,    0
197328,20060524,  159,    0
197328,20060525,  163,    0
197328,20060526,  196,    0
197328,20060527,  226,    0
