EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SASSO_MARCONI_ARPA (STAID: 17799).
Blended and updated with sources: 194368 197360 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197360,20051201,-9999,    9
197360,20051202,-9999,    9
197360,20051203,-9999,    9
197360,20051204,-9999,    9
197360,20051205,-9999,    9
197360,20051206,-9999,    9
197360,20051207,-9999,    9
197360,20051208,-9999,    9
197360,20051209,-9999,    9
197360,20051210,-9999,    9
197360,20051211,-9999,    9
197360,20051212,-9999,    9
197360,20051213,-9999,    9
197360,20051214,-9999,    9
197360,20051215,-9999,    9
197360,20051216,-9999,    9
197360,20051217,-9999,    9
197360,20051218,-9999,    9
197360,20051219,-9999,    9
197360,20051220,-9999,    9
197360,20051221,-9999,    9
197360,20051222,-9999,    9
197360,20051223,-9999,    9
197360,20051224,-9999,    9
197360,20051225,-9999,    9
197360,20051226,-9999,    9
197360,20051227,-9999,    9
197360,20051228,-9999,    9
197360,20051229,-9999,    9
197360,20051230,-9999,    9
197360,20051231,  -17,    0
197360,20060101,  -13,    0
197360,20060102,   20,    0
197360,20060103,   44,    0
197360,20060104,   27,    0
197360,20060105,   20,    0
197360,20060106,   33,    0
197360,20060107,   38,    0
197360,20060108,   25,    0
197360,20060109,    8,    0
197360,20060110,   18,    0
197360,20060111,   37,    0
197360,20060112,   29,    0
197360,20060113,   16,    0
197360,20060114,   13,    0
197360,20060115,  -15,    0
197360,20060116,   -8,    0
197360,20060117,  -10,    0
197360,20060118,    4,    0
197360,20060119,   21,    0
197360,20060120,   29,    0
197360,20060121,   15,    0
197360,20060122,   32,    0
197360,20060123,    0,    0
197360,20060124,  -31,    0
197360,20060125,  -21,    0
197360,20060126,  -28,    0
197360,20060127,  -12,    0
197360,20060128,   21,    0
197360,20060129,   35,    0
197360,20060130,   43,    0
197360,20060131,   76,    0
197360,20060201,   82,    0
197360,20060202,   81,    0
197360,20060203,   77,    0
197360,20060204,   58,    0
197360,20060205,   10,    0
197360,20060206,    2,    0
197360,20060207,    3,    0
197360,20060208,   26,    0
